symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PL-WT,2024-08-27,0.28738,0.28738,0.26589,0.26989,25044
PL-WT,2024-08-28,0.26989,0.26989,0.26989,0.26989,202
PL-WT,2024-08-29,0.28727,0.28987,0.26986,0.27488,36954
PL-WT,2024-08-30,0.27479,0.27479,0.25989,0.26989,1581
PL-WT,2024-09-03,0.26469,0.26989,0.2427,0.26479,25505
PL-WT,2024-09-04,0.2299,0.26989,0.21981,0.26279,19365
PL-WT,2024-09-05,0.24865,0.27728,0.24865,0.26429,18524
PL-WT,2024-09-06,0.2243,0.2243,0.18002,0.18002,102501
PL-WT,2024-09-09,0.18242,0.20991,0.17992,0.17992,2620
PL-WT,2024-09-10,0.15494,0.18483,0.15494,0.17706,4839
PL-WT,2024-09-11,0.18857,0.21991,0.15782,0.17293,9651
PL-WT,2024-09-12,0.21481,0.21481,0.16003,0.19482,8223
PL-WT,2024-09-13,0.19982,0.19992,0.16993,0.19982,2209
PL-WT,2024-09-16,0.18067,0.20961,0.18002,0.20961,3713
PL-WT,2024-09-17,0.20982,0.20982,0.16993,0.19977,2633
PL-WT,2024-09-18,0.19132,0.19892,0.16693,0.16693,2794
PL-WT,2024-09-19,0.17983,0.19071,0.16993,0.17023,2081
PL-WT,2024-09-20,0.16992,0.20991,0.16992,0.17992,8256
PL-WT,2024-09-23,0.19962,0.19962,0.16993,0.16993,556
PL-WT,2024-09-24,0.18862,0.19192,0.16993,0.18972,1372
PL-WT,2024-09-25,0.19972,0.21771,0.18992,0.18992,1782
PL-WT,2024-09-26,0.21991,0.21991,0.18992,0.18992,4427
PL-WT,2024-09-27,0.21771,0.21771,0.17493,0.20202,8246
PL-WT,2024-09-30,0.20781,0.20781,0.20781,0.20781,195
PL-WT,2024-10-01,0.18013,0.18992,0.17493,0.17663,1638
PL-WT,2024-10-02,0.19641,0.20781,0.19641,0.20781,290
PL-WT,2024-10-03,0.20691,0.20691,0.16993,0.18992,10664
PL-WT,2024-10-04,0.19322,0.19322,0.17103,0.17103,3514
PL-WT,2024-10-07,0.16992,0.18972,0.16992,0.17992,8560
PL-WT,2024-10-08,0.16153,0.16153,0.16153,0.16153,177
PL-WT,2024-10-09,0.16972,0.17992,0.15503,0.15743,25676
PL-WT,2024-10-11,0.15754,0.17993,0.15744,0.16993,3460
PL-WT,2024-10-14,0.20991,0.20991,0.16493,0.17992,3459
PL-WT,2024-10-15,0.16993,0.21071,0.16543,0.16543,8334
PL-WT,2024-10-16,0.15993,0.21281,0.15993,0.18992,9714
PL-WT,2024-10-17,0.17992,0.21771,0.16743,0.16743,3572
PL-WT,2024-10-18,0.16993,0.21761,0.16743,0.16743,2283
PL-WT,2024-10-21,0.15493,0.18482,0.15493,0.18482,2811
PL-WT,2024-10-22,0.21561,0.21561,0.16683,0.17708,62553
PL-WT,2024-10-23,0.17498,0.17993,0.17498,0.17793,897
PL-WT,2024-10-24,0.16663,0.17993,0.16663,0.17593,3915
PL-WT,2024-10-25,0.16993,0.20466,0.16983,0.19482,29681
PL-WT,2024-10-28,0.20461,0.21771,0.18992,0.20991,8514
PL-WT,2024-10-29,0.19181,0.20691,0.17992,0.18002,1000
PL-WT,2024-10-30,0.21771,0.21771,0.19182,0.19992,4618
PL-WT,2024-10-31,0.19991,0.2176,0.17992,0.17992,10482
PL-WT,2024-11-01,0.19872,0.2168,0.16993,0.19342,6468
PL-WT,2024-11-04,0.18992,0.19792,0.17993,0.19792,1007
PL-WT,2024-11-05,0.18992,0.19372,0.18067,0.19002,8321
PL-WT,2024-11-06,0.18992,0.21451,0.18622,0.19492,8477
PL-WT,2024-11-07,0.21381,0.21381,0.18992,0.19992,2678
PL-WT,2024-11-08,0.21141,0.21141,0.21141,0.21141,180
PL-WT,2024-11-11,0.19991,0.21771,0.19002,0.20781,13162
PL-WT,2024-11-12,0.19362,0.19992,0.18992,0.19992,2500
PL-WT,2024-11-13,0.19992,0.30737,0.19992,0.28488,167763
PL-WT,2024-11-14,0.28988,0.33286,0.27988,0.27988,155081
PL-WT,2024-11-15,0.30788,0.30788,0.26489,0.29688,30623
PL-WT,2024-11-18,0.31487,0.32736,0.26489,0.32736,9166
PL-WT,2024-11-19,0.26739,0.31267,0.26489,0.31267,34386
PL-WT,2024-11-20,0.41223,0.41223,0.29987,0.32986,9140
PL-WT,2024-11-21,0.33986,0.37734,0.31987,0.33986,41238
PL-WT,2024-11-22,0.36985,0.39733,0.34935,0.35985,44207
PL-WT,2024-11-25,0.39993,0.50479,0.39993,0.44961,119971
PL-WT,2024-11-26,0.4745,0.48979,0.39983,0.42012,57733
PL-WT,2024-11-27,0.4657,0.48979,0.41982,0.44971,36193
PL-WT,2024-11-29,0.48979,0.52977,0.4698,0.4708,31350
PL-WT,2024-12-02,0.49979,0.59975,0.49979,0.52978,173024
PL-WT,2024-12-03,0.78717,0.78717,0.53378,0.54967,82619
PL-WT,2024-12-04,0.62866,0.66842,0.54977,0.57086,155094
PL-WT,2024-12-05,0.55976,0.64722,0.50718,0.63673,121335
PL-WT,2024-12-06,0.56451,0.66712,0.51618,0.64323,77673
PL-WT,2024-12-09,0.61974,0.67222,0.55977,0.61974,159459
PL-WT,2024-12-10,0.50979,0.61974,0.48986,0.49979,58177
PL-WT,2024-12-11,0.50079,0.54977,0.45471,0.54977,79859
PL-WT,2024-12-12,0.54977,0.60974,0.54967,0.54977,119732
PL-WT,2024-12-13,0.54977,0.59974,0.4899,0.50291,39369
PL-WT,2024-12-16,0.54967,0.56976,0.48605,0.54977,106810
PL-WT,2024-12-17,0.56976,0.56976,0.486,0.55348,26493
PL-WT,2024-12-18,0.56406,0.56976,0.45481,0.51458,19660
PL-WT,2024-12-19,0.50979,0.55976,0.46991,0.50969,39505
PL-WT,2024-12-20,0.51483,0.54977,0.49579,0.54547,19051
PL-WT,2024-12-23,0.49979,0.61974,0.49979,0.5907,56083
PL-WT,2024-12-24,0.56976,0.64116,0.53507,0.64116,45551
PL-WT,2024-12-26,0.69031,0.84465,0.68971,0.80966,101317
PL-WT,2024-12-27,0.80966,0.80966,0.66972,0.76958,59568
PL-WT,2024-12-30,0.74968,0.74968,0.64972,0.72969,115849
PL-WT,2024-12-31,0.70971,0.70971,0.54487,0.57976,70718
PL-WT,2025-01-02,0.63836,0.67272,0.58965,0.60088,14307
PL-WT,2025-01-03,0.60575,0.66972,0.59975,0.66962,23573
PL-WT,2025-01-06,0.69971,0.78967,0.69971,0.74579,54148
PL-WT,2025-01-07,0.7197,0.75344,0.64973,0.65233,13232
PL-WT,2025-01-08,0.74969,0.74969,0.55927,0.65093,24739
PL-WT,2025-01-10,0.57476,0.58766,0.51978,0.55477,17035
PL-WT,2025-01-13,0.51978,0.58365,0.4698,0.58365,15310
PL-WT,2025-01-14,0.62974,0.62974,0.62974,0.62974,303
PL-WT,2025-01-15,0.62884,0.63524,0.51979,0.58096,33818
PL-WT,2025-01-16,0.54977,0.62973,0.54967,0.59075,54899
PL-WT,2025-01-17,0.63524,0.63524,0.59975,0.59975,5598
PL-WT,2025-01-21,0.62444,0.84964,0.54227,0.84964,71251
PL-WT,2025-01-22,0.84965,0.9721,0.73969,0.76968,28292
PL-WT,2025-01-23,0.76968,0.81816,0.68981,0.81816,30310
PL-WT,2025-01-24,0.9496,1.05,0.84455,0.99958,93600
PL-WT,2025-01-27,1.04,1.19,0.906,1.09,62489
PL-WT,2025-01-28,1.2,1.2,1.01,1.13,42395
PL-WT,2025-01-29,1.2,1.23,1.04,1.18,322846
PL-WT,2025-01-30,1.25,1.35,1.2,1.26,179714
PL-WT,2025-01-31,1.34,1.5,1.2,1.33,151069
PL-WT,2025-02-03,1.25,1.49,1.15,1.47,79159
PL-WT,2025-02-04,1.5,1.5,1.27,1.48,56514
PL-WT,2025-02-05,1.5,1.5,1.41,1.48,84457
PL-WT,2025-02-06,1.38,1.5,1.3,1.32,253750
PL-WT,2025-02-07,1.45,1.45,1.27,1.32,41249
PL-WT,2025-02-10,1.4,1.5,1.27,1.44,121482
PL-WT,2025-02-11,1.44,1.44,1.32,1.43,10709
PL-WT,2025-02-12,1.37,1.48,1.33,1.42,42192
PL-WT,2025-02-13,1.4,1.43,1.34,1.43,19310
PL-WT,2025-02-14,1.43,1.43,1.25,1.28,72897
PL-WT,2025-02-18,1.27,1.42,1.25,1.37,53125
PL-WT,2025-02-19,1.37,1.37,1.25,1.3,16133
PL-WT,2025-02-20,1.17,1.25,1.05,1.15,55390
PL-WT,2025-02-21,1.16,1.23,0.89962,0.92961,172297
PL-WT,2025-02-24,0.92961,0.92961,0.75978,0.80966,76787
PL-WT,2025-02-25,0.81965,0.84964,0.74978,0.84964,18174
PL-WT,2025-02-26,0.97959,0.98959,0.76968,0.85964,18255
PL-WT,2025-02-27,0.87963,0.93961,0.77887,0.78967,7717
PL-WT,2025-02-28,0.85964,0.85964,0.76968,0.85964,11555
PL-WT,2025-03-03,0.85964,0.85964,0.74949,0.76968,17182
PL-WT,2025-03-04,0.72969,0.77967,0.65391,0.77957,92230
PL-WT,2025-03-05,0.77967,0.84964,0.74394,0.83285,7527
