symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PM,2024-12-05,124.3,126.11,124.0,125.44,4186300
PM,2024-12-06,125.16,125.16,123.47,123.61,4212554
PM,2024-12-09,123.37,124.09,121.1,121.86,4759574
PM,2024-12-10,121.15,122.61,120.94,122.12,3791059
PM,2024-12-11,122.65,122.84,119.61,120.07,10141600
PM,2024-12-12,120.93,121.19,119.63,120.24,5144717
PM,2024-12-13,119.59,121.0,119.38,119.88,3233184
PM,2024-12-16,120.31,120.69,119.14,119.24,5439221
PM,2024-12-17,118.66,119.82,118.61,119.33,5276020
PM,2024-12-18,118.63,119.14,117.83,117.92,4719804
PM,2024-12-19,117.76,118.06,115.55,115.67,6985437
PM,2024-12-20,115.98,118.13,115.71,117.61,10267415
PM,2024-12-23,117.13,117.38,115.56,117.19,3697120
PM,2024-12-24,116.91,117.5,116.04,116.37,2806600
PM,2024-12-26,116.3,117.09,116.02,116.51,2425601
PM,2024-12-27,116.45,116.77,115.73,116.26,3923537
PM,2024-12-30,115.89,116.03,114.23,114.88,3336400
PM,2024-12-31,115.3,115.67,114.83,115.21,4397852
PM,2025-01-02,116.16,116.93,115.12,115.93,3391338
PM,2025-01-03,116.32,117.1,115.97,116.81,3350210
PM,2025-01-06,116.89,117.67,115.51,115.83,4993775
PM,2025-01-07,115.83,116.71,115.49,116.22,4933324
PM,2025-01-08,115.7,116.72,114.88,116.66,3569406
PM,2025-01-10,114.88,115.49,111.99,112.15,5365207
PM,2025-01-13,112.0,112.74,111.16,112.53,5676941
PM,2025-01-14,112.75,113.51,112.27,113.41,3942635
PM,2025-01-15,113.01,114.1,112.18,113.45,5374200
PM,2025-01-16,113.76,115.31,113.25,114.68,7855800
PM,2025-01-17,114.73,116.97,114.21,116.4,5170141
PM,2025-01-21,117.15,118.88,117.0,118.52,5963622
PM,2025-01-22,118.19,118.27,117.14,117.64,4431317
PM,2025-01-23,117.67,120.12,117.51,120.07,5375315
PM,2025-01-24,120.22,121.96,120.16,121.84,3685981
PM,2025-01-27,123.65,125.75,123.14,124.86,7645006
PM,2025-01-28,123.86,125.49,122.84,123.45,5102100
PM,2025-01-29,123.79,125.15,123.67,124.06,3869400
PM,2025-01-30,124.5,124.91,123.53,124.75,3241825
PM,2025-01-31,124.44,125.56,123.98,124.64,5331372
PM,2025-02-03,123.4,125.44,122.77,124.82,5633346
PM,2025-02-04,125.4,125.57,124.36,124.82,5237819
PM,2025-02-05,125.22,125.91,124.75,125.39,8403538
PM,2025-02-06,139.7,140.51,134.04,139.11,13753000
PM,2025-02-07,139.28,139.43,137.66,138.24,7207817
PM,2025-02-10,137.85,140.43,137.28,140.31,5900142
PM,2025-02-11,140.31,142.19,139.29,141.66,4989937
PM,2025-02-12,140.4,143.83,140.24,143.49,5269208
PM,2025-02-13,142.71,143.57,141.71,142.81,5758644
PM,2025-02-14,142.4,144.76,141.82,144.03,4778248
PM,2025-02-18,143.4,144.32,142.3,142.44,7986900
PM,2025-02-19,142.63,143.55,141.21,143.4,7052200
PM,2025-02-20,142.19,146.02,142.01,145.1,7431500
PM,2025-02-21,144.72,148.04,144.52,147.81,7117200
PM,2025-02-24,147.81,149.95,147.6,149.61,8687712
PM,2025-02-25,150.43,151.48,149.25,150.7,9348380
PM,2025-02-26,150.68,151.62,147.69,148.13,6865109
PM,2025-02-27,148.26,149.24,146.99,147.44,6073211
PM,2025-02-28,148.73,149.38,146.78,148.65,9655101
PM,2025-03-03,148.21,152.07,147.42,152.01,5459000
PM,2025-03-04,151.71,152.69,147.24,147.37,6243165
PM,2025-03-05,146.79,148.33,146.13,146.6,4239800
PM,2025-03-06,146.43,147.53,145.16,146.99,5354323
PM,2025-03-07,146.58,147.33,144.0,144.5,7932500
PM,2025-03-10,144.9,145.18,143.26,144.16,11848700
PM,2025-03-11,144.4,147.06,143.72,145.6,5787235
PM,2025-03-12,145.36,146.04,143.89,144.86,5180819
PM,2025-03-13,145.24,146.23,143.73,144.06,6258837
PM,2025-03-14,144.12,145.52,143.4,145.39,5541496
PM,2025-03-17,146.32,149.08,145.63,149.06,6680746
PM,2025-03-18,148.86,150.3,147.03,147.27,8021673
PM,2025-03-19,147.36,147.91,145.72,147.7,4202300
PM,2025-03-20,147.48,147.8,146.27,147.25,5016230
PM,2025-03-21,147.16,147.45,145.2,146.29,11194916
PM,2025-03-24,146.79,147.74,145.58,146.36,6070419
PM,2025-03-25,146.8,147.16,144.96,147.0,3797182
PM,2025-03-26,146.79,149.46,146.75,149.04,4320438
PM,2025-03-27,149.07,150.42,148.73,149.7,4398623
PM,2025-03-28,149.77,150.76,148.28,149.84,4333600
PM,2025-03-31,150.74,153.89,150.65,153.29,8395743
PM,2025-04-01,153.07,153.24,151.37,152.67,4429432
PM,2025-04-02,152.67,152.94,149.42,150.82,3889000
PM,2025-04-03,153.98,157.5,152.83,156.52,10581525
PM,2025-04-04,155.75,156.45,144.95,145.46,11951732
PM,2025-04-07,142.13,147.6,140.11,146.05,9984300
PM,2025-04-08,147.52,148.04,141.77,144.12,9018200
PM,2025-04-09,143.54,147.7,141.14,146.6,10278500
PM,2025-04-10,147.56,148.46,143.97,145.99,7818200
PM,2025-04-11,146.68,149.96,146.12,148.62,6460909
PM,2025-04-14,150.11,152.81,149.06,152.19,5904800
PM,2025-04-15,153.11,155.53,151.48,154.61,6007403
PM,2025-04-16,156.11,156.6,153.62,154.98,8296100
PM,2025-04-17,155.78,159.35,155.78,157.62,7546403
PM,2025-04-21,158.15,158.43,153.71,156.62,7264800
PM,2025-04-22,157.7,159.05,156.38,158.49,9509700
PM,2025-04-23,163.16,165.75,160.39,162.18,9084743
PM,2025-04-24,162.56,164.66,160.75,164.24,8564916
PM,2025-04-25,165.11,165.49,163.0,164.41,7755789
PM,2025-04-28,164.45,164.67,162.38,163.37,6153300
PM,2025-04-29,162.35,165.24,162.03,164.43,5346726
PM,2025-04-30,165.66,166.14,163.23,165.49,6454424
PM,2025-05-01,163.78,165.21,163.1,164.22,4885900
PM,2025-05-02,164.57,165.62,163.94,165.01,4451101
PM,2025-05-05,165.32,167.77,164.18,167.26,4545100
PM,2025-05-06,166.86,168.25,166.27,168.12,4082000
PM,2025-05-07,167.56,170.44,167.22,169.35,6685581
PM,2025-05-08,168.27,168.97,164.45,166.11,5635100
PM,2025-05-09,165.83,165.83,163.58,163.89,4733523
PM,2025-05-12,159.96,160.89,156.8,159.18,10006643
PM,2025-05-13,159.32,159.63,158.0,158.21,5941147
PM,2025-05-14,157.84,159.95,157.35,158.41,4953232
PM,2025-05-15,159.6,163.79,159.3,163.35,4959500
PM,2025-05-16,163.53,164.75,162.6,164.6,3803524
PM,2025-05-19,165.15,167.45,164.67,167.24,3879733
PM,2025-05-20,167.07,168.61,166.83,168.15,3787663
PM,2025-05-21,168.04,169.34,167.68,168.66,6245300
PM,2025-05-22,168.66,170.19,167.23,169.23,4768900
PM,2025-05-23,169.67,172.58,169.67,172.09,6164742
PM,2025-05-27,172.09,173.67,171.43,173.09,5847979
PM,2025-05-28,172.17,173.31,171.78,172.66,3286500
PM,2025-05-29,170.47,172.08,168.94,171.78,5727518
PM,2025-05-30,171.92,175.14,171.49,174.4,8506100
PM,2025-06-02,173.71,176.57,173.36,176.49,4627400
PM,2025-06-03,175.96,177.64,173.27,176.12,4940468
PM,2025-06-04,176.34,176.35,172.17,174.47,5684894
PM,2025-06-05,174.96,176.34,173.75,175.73,3571074
PM,2025-06-06,175.44,176.26,174.83,175.5,2647603
PM,2025-06-09,175.01,175.01,172.64,174.44,3114520
PM,2025-06-10,174.41,175.08,172.68,172.9,3225683
PM,2025-06-11,172.98,177.14,172.48,177.09,3947300
PM,2025-06-12,177.52,177.79,175.4,177.79,5621338
PM,2025-06-13,177.71,178.81,176.98,178.01,5505836
PM,2025-06-16,177.61,180.29,175.34,177.01,5188000
PM,2025-06-17,176.36,178.21,175.4,177.17,7428021
PM,2025-06-18,177.52,178.27,176.09,176.35,6063488
PM,2025-06-20,175.98,177.21,175.48,177.01,10765214
PM,2025-06-23,177.28,179.11,177.02,178.61,4308734
PM,2025-06-24,178.25,178.63,177.41,178.17,3184324
PM,2025-06-25,177.03,177.41,173.04,173.45,5113000
PM,2025-06-26,174.65,174.98,173.19,174.47,5847500
PM,2025-06-27,174.0,176.41,173.4,176.15,7053309
PM,2025-06-30,176.12,177.55,175.18,177.22,5254132
PM,2025-07-01,177.81,178.87,171.59,172.74,5176668
PM,2025-07-02,171.59,173.31,170.4,171.16,5572600
PM,2025-07-03,171.2,174.05,170.57,174.05,2734143
PM,2025-07-07,174.52,176.57,173.43,176.31,4653700
PM,2025-07-08,175.06,176.12,172.38,172.93,4177748
PM,2025-07-09,174.73,174.76,171.55,173.18,3821300
PM,2025-07-10,173.59,176.26,172.18,176.11,5212310
PM,2025-07-11,175.11,175.36,173.29,175.06,3430706
PM,2025-07-14,176.11,176.6,174.56,175.87,5598600
