symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
POOL,2024-08-27,345.16,346.72,341.22,343.03,188112
POOL,2024-08-28,341.92,344.77,340.3,340.8,164004
POOL,2024-08-29,344.85,346.73,340.01,341.96,177817
POOL,2024-08-30,343.37,345.91,340.94,342.74,454900
POOL,2024-09-03,341.68,343.21,331.15,331.42,429700
POOL,2024-09-04,330.03,336.4,328.84,335.83,390000
POOL,2024-09-05,336.72,336.72,332.02,333.34,290300
POOL,2024-09-06,334.16,337.72,331.33,332.75,356100
POOL,2024-09-09,335.31,342.41,333.99,337.73,431700
POOL,2024-09-10,337.63,339.74,335.18,337.65,268937
POOL,2024-09-11,336.94,337.44,328.49,337.18,225500
POOL,2024-09-12,337.39,338.73,332.9,337.74,202125
POOL,2024-09-13,341.15,349.15,340.27,347.03,191300
POOL,2024-09-16,348.19,352.49,347.65,349.44,187300
POOL,2024-09-17,353.03,364.48,352.98,362.47,502862
POOL,2024-09-18,362.4,368.53,357.72,359.61,336848
POOL,2024-09-19,368.99,369.43,360.68,362.69,210900
POOL,2024-09-20,359.33,359.73,354.95,355.17,341800
POOL,2024-09-23,358.0,360.39,354.64,359.0,150700
POOL,2024-09-24,360.38,362.78,358.6,362.52,156100
POOL,2024-09-25,361.98,362.1,356.39,356.83,236500
POOL,2024-09-26,359.68,363.05,357.24,360.98,256800
POOL,2024-09-27,365.37,369.1,362.03,363.13,173700
POOL,2024-09-30,364.1,373.34,363.2,367.29,390500
POOL,2024-10-01,367.3,367.69,359.29,366.13,258000
POOL,2024-10-02,363.58,366.02,360.67,363.36,209017
POOL,2024-10-03,360.13,362.52,357.2,362.07,226112
POOL,2024-10-04,364.84,365.13,353.88,354.72,341618
POOL,2024-10-07,351.64,354.28,348.92,353.85,241747
POOL,2024-10-08,353.86,359.11,351.32,355.73,189900
POOL,2024-10-09,355.36,356.92,351.44,356.51,181400
POOL,2024-10-10,354.11,356.41,350.66,353.35,211000
POOL,2024-10-11,353.35,359.52,353.17,356.06,204122
POOL,2024-10-14,355.84,359.38,353.41,359.01,208902
POOL,2024-10-15,359.01,364.2,354.91,355.47,316300
POOL,2024-10-16,357.4,363.81,357.4,362.59,199352
POOL,2024-10-17,362.61,362.61,356.76,360.1,204100
POOL,2024-10-18,361.49,363.55,357.52,361.06,216847
POOL,2024-10-21,361.06,362.55,348.42,349.92,278500
POOL,2024-10-22,348.33,348.33,341.09,341.92,299846
POOL,2024-10-23,342.33,345.17,340.44,341.83,363802
POOL,2024-10-24,370.4,370.4,357.25,367.8,644100
POOL,2024-10-25,370.29,370.29,354.42,356.76,308849
POOL,2024-10-28,359.74,363.13,358.37,360.55,260108
POOL,2024-10-29,357.21,357.21,352.6,353.21,329300
POOL,2024-10-30,351.75,357.46,351.75,355.25,328800
