symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
POWI,2024-08-27,64.01,65.24,63.15,63.28,501740
POWI,2024-08-28,63.17,63.35,61.93,61.98,321532
POWI,2024-08-29,62.96,64.95,62.62,64.5,582000
POWI,2024-08-30,65.23,66.12,64.9,65.37,1026900
POWI,2024-09-03,63.77,64.02,60.52,60.57,490600
POWI,2024-09-04,60.01,60.55,58.88,59.41,581700
POWI,2024-09-05,59.12,59.68,57.88,58.13,499124
POWI,2024-09-06,57.8,57.95,56.38,56.68,455600
POWI,2024-09-09,56.95,57.18,56.02,56.37,472800
POWI,2024-09-10,56.19,56.82,55.18,56.43,351300
POWI,2024-09-11,56.51,57.28,55.17,57.23,328730
POWI,2024-09-12,57.08,57.34,55.86,56.73,482939
POWI,2024-09-13,57.58,58.55,57.22,58.11,280500
POWI,2024-09-16,57.57,58.38,56.47,57.07,565700
POWI,2024-09-17,58.09,59.12,57.23,57.52,260428
POWI,2024-09-18,57.85,60.38,57.48,57.97,416100
POWI,2024-09-19,60.32,60.46,59.24,59.88,336200
POWI,2024-09-20,59.17,59.49,57.78,58.11,1855344
POWI,2024-09-23,58.6,59.3,58.05,59.02,447348
POWI,2024-09-24,59.93,61.08,59.57,60.18,358829
POWI,2024-09-25,59.57,60.01,58.48,58.92,469400
POWI,2024-09-26,61.44,62.75,60.77,61.75,471226
POWI,2024-09-27,62.42,62.88,61.37,61.93,315842
POWI,2024-09-30,61.03,62.66,60.48,62.47,499736
POWI,2024-10-01,62.09,62.38,60.08,60.65,376200
POWI,2024-10-02,60.66,62.3,60.66,61.71,247600
POWI,2024-10-03,60.75,61.83,60.15,60.88,234632
POWI,2024-10-04,62.64,62.64,61.2,61.51,243400
POWI,2024-10-07,61.01,61.52,60.38,61.07,194534
POWI,2024-10-08,60.46,60.7,59.99,60.65,179500
POWI,2024-10-09,60.37,61.65,60.04,61.56,189300
POWI,2024-10-10,59.85,60.89,59.45,60.78,277700
POWI,2024-10-11,59.94,62.35,59.66,62.14,214700
POWI,2024-10-14,62.38,63.33,62.09,63.28,256600
POWI,2024-10-15,63.25,63.83,61.23,61.41,312900
POWI,2024-10-16,62.64,62.92,61.82,62.05,224102
POWI,2024-10-17,63.09,63.4,62.16,62.9,334406
POWI,2024-10-18,63.52,63.57,62.21,62.43,228836
POWI,2024-10-21,62.06,62.1,60.62,61.41,214709
POWI,2024-10-22,61.26,61.32,60.56,60.75,240000
POWI,2024-10-23,61.35,61.52,59.69,60.5,206829
POWI,2024-10-24,60.87,61.28,60.11,60.81,295700
POWI,2024-10-25,60.99,62.82,60.99,61.33,519600
POWI,2024-10-28,62.12,63.45,61.69,63.14,316400
POWI,2024-10-29,62.93,63.9,62.81,63.89,294971
POWI,2024-10-30,62.64,63.74,61.38,61.46,217900
POWI,2024-10-31,61.34,61.34,58.49,58.87,334600
POWI,2024-11-01,59.1,61.35,59.1,61.21,360825
POWI,2024-11-04,60.87,62.47,60.29,61.84,432247
POWI,2024-11-05,61.25,63.0,60.79,62.92,594200
POWI,2024-11-06,63.81,67.74,63.81,64.72,892525
POWI,2024-11-07,66.81,66.87,62.52,63.69,744641
POWI,2024-11-08,62.99,64.64,62.86,64.6,535900
POWI,2024-11-11,64.84,64.84,62.39,63.38,429100
POWI,2024-11-12,62.72,63.57,61.48,62.33,412201
POWI,2024-11-13,61.95,63.02,61.46,61.7,506700
POWI,2024-11-14,61.61,62.45,59.78,60.51,506000
POWI,2024-11-15,60.4,60.4,58.4,58.49,350200
POWI,2024-11-18,58.34,59.59,58.27,59.03,362704
POWI,2024-11-19,58.14,59.11,58.1,58.9,290239
POWI,2024-11-20,58.42,59.61,58.27,59.56,273742
POWI,2024-11-21,60.24,61.23,59.21,60.8,272700
POWI,2024-11-22,60.81,62.2,60.81,62.04,250200
POWI,2024-11-25,62.83,66.61,62.6,66.3,793331
POWI,2024-11-26,66.4,67.09,63.84,63.97,505200
POWI,2024-11-27,64.21,64.85,62.42,63.1,295000
POWI,2024-11-29,63.53,64.99,63.28,64.03,226000
POWI,2024-12-02,64.12,66.11,63.63,65.61,303044
POWI,2024-12-03,65.1,66.11,64.41,64.6,392000
POWI,2024-12-04,65.36,65.37,61.98,62.45,429837
POWI,2024-12-05,62.14,62.73,60.83,61.25,351600
POWI,2024-12-06,61.83,62.46,61.06,61.71,309131
POWI,2024-12-09,61.93,66.14,61.87,64.83,265648
POWI,2024-12-10,64.56,64.56,62.68,63.56,279005
POWI,2024-12-11,63.97,65.41,63.67,63.95,252222
POWI,2024-12-12,63.59,64.64,62.92,64.33,365339
POWI,2024-12-13,64.34,64.65,62.78,63.27,448924
POWI,2024-12-16,63.3,64.09,62.37,63.33,344228
POWI,2024-12-17,62.92,64.13,61.82,63.59,283208
POWI,2024-12-18,64.32,65.05,60.18,61.01,559200
POWI,2024-12-19,61.1,61.99,59.54,59.84,419500
POWI,2024-12-20,59.19,61.34,59.19,60.3,1077524
POWI,2024-12-23,60.6,61.94,60.23,61.0,287401
