symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PRIM,2024-08-27,54.67,55.19,54.13,54.86,241320
PRIM,2024-08-28,54.86,55.74,53.98,54.24,437818
PRIM,2024-08-29,54.78,56.05,54.52,55.36,258828
PRIM,2024-08-30,55.59,56.1,54.91,56.09,303532
PRIM,2024-09-03,55.03,55.37,50.77,51.0,544630
PRIM,2024-09-04,50.74,51.51,50.26,50.65,581900
PRIM,2024-09-05,50.73,50.89,49.5,49.84,449900
PRIM,2024-09-06,49.6,50.3,48.04,48.42,595426
PRIM,2024-09-09,48.76,49.42,48.23,48.3,527130
PRIM,2024-09-10,48.36,49.67,48.1,49.2,569010
PRIM,2024-09-11,49.65,52.84,49.39,52.16,716700
PRIM,2024-09-12,52.56,54.08,52.28,53.66,594932
PRIM,2024-09-13,54.48,55.33,53.88,54.26,405541
PRIM,2024-09-16,53.79,54.62,53.53,54.42,288848
PRIM,2024-09-17,54.93,56.37,54.64,56.0,473418
PRIM,2024-09-18,56.01,58.79,55.54,56.71,522800
PRIM,2024-09-19,58.63,59.32,57.74,58.99,694100
PRIM,2024-09-20,59.03,59.89,58.51,58.75,1139500
PRIM,2024-09-23,58.98,59.58,57.98,58.17,453200
PRIM,2024-09-24,58.3,58.39,57.16,57.18,461300
PRIM,2024-09-25,56.93,57.98,56.72,57.68,357638
PRIM,2024-09-26,58.25,58.76,56.83,57.23,617400
PRIM,2024-09-27,57.76,58.64,57.36,57.73,328100
PRIM,2024-09-30,57.4,58.13,56.74,57.78,232900
PRIM,2024-10-01,57.4,57.4,55.83,56.76,446601
PRIM,2024-10-02,56.34,57.62,56.08,57.49,300600
PRIM,2024-10-03,57.14,58.31,56.84,57.44,703138
PRIM,2024-10-04,58.8,59.51,58.04,59.39,614700
PRIM,2024-10-07,59.58,61.6,59.23,60.27,592476
PRIM,2024-10-08,60.75,60.9,60.04,60.37,595847
PRIM,2024-10-09,60.39,61.19,60.2,60.91,265100
PRIM,2024-10-10,60.08,60.64,59.38,59.83,733700
PRIM,2024-10-11,59.91,61.25,58.66,61.15,519200
PRIM,2024-10-14,61.18,61.83,60.89,61.0,408300
PRIM,2024-10-15,60.75,60.84,59.8,60.44,667900
PRIM,2024-10-16,60.9,62.13,60.63,61.41,633835
PRIM,2024-10-17,61.68,62.15,60.85,62.01,748632
PRIM,2024-10-18,62.62,63.52,61.84,62.94,1243931
PRIM,2024-10-21,62.94,63.48,62.51,63.04,501723
PRIM,2024-10-22,62.81,63.38,62.06,62.06,485348
PRIM,2024-10-23,61.92,62.59,60.37,61.02,362000
PRIM,2024-10-24,61.22,61.54,60.45,61.02,279748
PRIM,2024-10-25,61.52,61.69,60.27,60.71,362409
PRIM,2024-10-28,61.16,63.25,60.78,63.23,1409478
PRIM,2024-10-29,62.41,63.06,61.35,62.96,651900
PRIM,2024-10-30,62.48,64.03,62.05,63.42,859000
PRIM,2024-10-31,62.38,63.86,61.8,62.29,682800
PRIM,2024-11-01,63.28,64.32,63.04,63.26,585336
PRIM,2024-11-04,63.12,64.34,62.79,64.0,948328
PRIM,2024-11-05,64.26,73.52,64.26,73.47,2115730
PRIM,2024-11-06,77.85,78.12,73.47,76.68,2347857
