symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PRU,2024-08-27,109.65,109.76,108.94,109.47,1069400
PRU,2024-08-28,109.37,110.77,109.35,110.27,1056610
PRU,2024-08-29,110.89,111.93,109.61,111.22,1294645
PRU,2024-08-30,111.46,112.75,111.12,112.48,2141500
PRU,2024-09-03,111.48,112.75,111.09,112.05,1351552
PRU,2024-09-04,112.37,113.29,110.1,110.99,1405708
PRU,2024-09-05,111.68,111.85,108.62,109.34,1472722
PRU,2024-09-06,109.37,110.0,104.54,105.14,2979300
PRU,2024-09-09,106.29,107.4,105.19,106.71,1666339
PRU,2024-09-10,106.97,106.97,104.68,106.46,1278045
PRU,2024-09-11,105.86,106.6,103.56,106.5,1724300
PRU,2024-09-12,106.96,107.55,104.99,107.54,1512900
PRU,2024-09-13,108.12,108.71,107.71,107.93,1219900
PRU,2024-09-16,108.68,109.88,108.34,109.3,1318400
PRU,2024-09-17,109.55,110.95,109.55,110.18,1079900
PRU,2024-09-18,110.63,111.9,109.91,110.88,1298551
PRU,2024-09-19,112.98,113.43,111.64,113.07,1501497
PRU,2024-09-20,112.49,112.86,111.79,112.67,2966300
PRU,2024-09-23,112.9,113.54,111.89,112.14,1180663
PRU,2024-09-24,112.46,112.68,111.05,111.23,1295000
PRU,2024-09-25,111.55,111.82,110.8,111.0,1460982
PRU,2024-09-26,111.57,112.56,111.14,111.9,1086314
PRU,2024-09-27,112.22,113.11,111.64,112.16,893300
PRU,2024-09-30,112.08,112.56,110.86,112.42,1301517
PRU,2024-10-01,111.84,111.86,109.5,110.81,1291500
PRU,2024-10-02,110.79,112.02,110.19,110.43,1151300
PRU,2024-10-03,109.64,110.44,108.92,110.38,1540800
PRU,2024-10-04,112.63,114.7,111.98,114.18,1889600
PRU,2024-10-07,113.44,114.29,111.38,111.83,1393387
PRU,2024-10-08,112.02,112.64,111.41,112.22,972900
PRU,2024-10-09,112.14,114.1,111.84,113.37,1562600
PRU,2024-10-10,114.09,114.19,112.4,112.98,1065200
PRU,2024-10-11,113.62,115.86,113.54,114.86,1374717
PRU,2024-10-14,114.98,116.39,114.48,116.2,1270100
PRU,2024-10-15,116.66,118.27,116.16,116.82,1646940
PRU,2024-10-16,117.34,118.29,117.18,117.93,1459300
PRU,2024-10-17,117.91,118.78,117.91,118.66,1144400
PRU,2024-10-18,118.83,118.83,117.53,118.27,1055546
PRU,2024-10-21,117.83,118.46,116.31,116.57,1003500
PRU,2024-10-22,116.45,117.28,115.85,116.64,758700
PRU,2024-10-23,116.06,116.59,115.3,116.19,853700
PRU,2024-10-24,116.55,116.83,115.41,116.38,688800
PRU,2024-10-25,116.51,116.52,114.15,114.62,1247200
PRU,2024-10-28,115.49,117.09,115.28,116.6,1335800
PRU,2024-10-29,116.51,117.25,115.96,116.3,1302712
PRU,2024-10-30,116.41,118.29,116.21,117.57,2009100
PRU,2024-10-31,116.67,117.6,113.69,113.71,2083939
PRU,2024-11-01,114.4,115.51,112.58,112.59,1992100
PRU,2024-11-04,112.72,113.13,111.5,112.02,1529700
PRU,2024-11-05,111.48,112.48,110.55,111.57,1805683
PRU,2024-11-06,118.38,119.88,117.62,118.58,3698300
PRU,2024-11-07,117.65,118.12,114.56,115.01,1809574
PRU,2024-11-08,115.12,115.5,112.67,113.16,2012036
PRU,2024-11-11,114.84,116.98,114.16,116.05,1954528
PRU,2024-11-12,115.69,116.82,115.61,116.5,1109527
PRU,2024-11-13,116.48,117.29,115.89,116.29,1039700
PRU,2024-11-14,117.16,117.99,116.07,116.74,1190875
PRU,2024-11-15,116.89,118.92,116.89,118.28,3049858
PRU,2024-11-18,118.37,119.03,118.12,118.96,1328680
PRU,2024-11-19,117.24,117.96,115.96,116.87,1509987
PRU,2024-11-20,117.34,117.4,115.72,116.4,1563736
PRU,2024-11-21,117.24,119.39,116.65,118.42,1452141
PRU,2024-11-22,118.42,120.52,118.42,119.95,1117400
PRU,2024-11-25,120.5,121.63,120.13,120.71,2127100
PRU,2024-11-26,120.11,121.23,119.18,121.09,1138425
PRU,2024-11-27,121.3,122.44,121.22,121.47,994103
PRU,2024-11-29,121.66,122.29,121.28,121.37,781112
PRU,2024-12-02,121.74,121.74,119.42,120.43,1482740
PRU,2024-12-03,120.62,120.72,118.46,119.25,1365818
PRU,2024-12-04,118.7,119.22,117.35,118.08,1224117
PRU,2024-12-05,118.17,119.81,118.17,119.38,1578027
PRU,2024-12-06,119.53,119.88,118.19,118.7,1391124
PRU,2024-12-09,118.9,118.98,114.85,114.95,1658890
PRU,2024-12-10,114.96,114.96,112.73,113.71,1440208
PRU,2024-12-11,114.73,114.73,112.32,112.61,1995500
PRU,2024-12-12,112.78,114.73,112.4,113.12,1567507
PRU,2024-12-13,113.64,113.89,112.56,113.0,1383736
