symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PSKY,2024-08-27,10.96,10.99,10.39,10.57,17312700
PSKY,2024-08-28,10.23,10.23,10.2,10.22,9517700
PSKY,2024-08-29,10.31,10.4,10.31,10.38,11261800
PSKY,2024-08-30,10.2,10.23,10.19,10.19,18652600
PSKY,2024-09-03,10.13,10.16,10.1,10.1,7184300
PSKY,2024-09-04,10.1,10.12,10.02,10.03,7891100
PSKY,2024-09-05,10.18,10.18,10.15,10.15,10023300
PSKY,2024-09-06,10.08,10.11,9.78,9.79,8040200
PSKY,2024-09-09,9.75,10.08,9.75,10.08,9985400
PSKY,2024-09-10,10.02,10.04,9.71,9.79,8484903
PSKY,2024-09-11,9.8,9.81,9.78,9.79,7634600
PSKY,2024-09-12,9.96,9.96,9.96,9.96,7202800
PSKY,2024-09-13,10.0,10.31,10.0,10.26,8732526
PSKY,2024-09-16,10.44,10.44,10.26,10.27,6489100
PSKY,2024-09-17,10.19,10.19,9.92,10.0,5793000
PSKY,2024-09-18,10.39,10.39,10.31,10.33,7193200
PSKY,2024-09-19,10.45,10.57,10.1,10.2,6670400
PSKY,2024-09-20,10.17,10.2,10.02,10.11,33505542
PSKY,2024-09-23,10.11,10.18,10.1,10.12,5902300
PSKY,2024-09-24,10.16,10.29,10.09,10.29,4747517
PSKY,2024-09-25,10.27,10.3,10.15,10.29,4942538
PSKY,2024-09-26,10.3,10.3,10.3,10.3,4399000
PSKY,2024-09-27,10.38,10.39,10.36,10.39,5269800
PSKY,2024-09-30,10.53,10.59,10.5,10.5,7416200
PSKY,2024-10-01,10.46,10.46,10.41,10.41,5953800
PSKY,2024-10-02,10.3,10.31,10.3,10.31,5171000
PSKY,2024-10-03,10.26,10.26,10.24,10.24,6605000
PSKY,2024-10-04,10.25,10.3,10.13,10.26,5154125
PSKY,2024-10-07,10.25,10.29,10.15,10.26,4937800
PSKY,2024-10-08,10.21,10.21,10.21,10.21,4109100
PSKY,2024-10-09,10.21,10.33,10.19,10.29,6750700
PSKY,2024-10-10,10.38,10.38,10.19,10.38,4974400
PSKY,2024-10-11,10.31,10.31,10.09,10.12,4382500
PSKY,2024-10-14,10.09,10.19,10.09,10.19,3350500
PSKY,2024-10-15,10.09,10.25,10.09,10.24,6693046
PSKY,2024-10-16,10.22,10.34,10.22,10.26,4658728
PSKY,2024-10-17,10.1,10.23,10.1,10.23,9025300
PSKY,2024-10-18,10.2,10.26,10.15,10.19,4590717
PSKY,2024-10-21,10.15,10.15,10.15,10.15,5225400
PSKY,2024-10-22,10.04,10.12,10.01,10.01,5931500
PSKY,2024-10-23,10.01,10.1,9.96,10.05,4890600
PSKY,2024-10-24,10.05,10.08,9.98,10.04,3633000
