symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PYPL,2024-12-06,89.02,89.57,88.09,89.41,6955544
PYPL,2024-12-09,91.77,93.17,89.26,89.53,10714200
PYPL,2024-12-10,89.46,89.52,87.91,88.29,6697500
PYPL,2024-12-11,88.15,90.55,87.38,90.27,6657200
PYPL,2024-12-12,89.95,90.69,88.87,88.93,4711138
PYPL,2024-12-13,89.94,90.71,89.35,90.54,8358100
PYPL,2024-12-16,90.31,90.98,89.05,90.82,7402500
PYPL,2024-12-17,90.42,91.51,89.75,90.38,8395600
PYPL,2024-12-18,90.22,90.61,84.73,85.0,12583700
PYPL,2024-12-19,85.82,87.95,85.7,86.32,9522428
PYPL,2024-12-20,84.46,87.76,84.05,86.67,22052710
PYPL,2024-12-23,86.01,86.78,85.51,86.44,5633131
PYPL,2024-12-24,86.44,87.86,86.13,87.78,3276344
PYPL,2024-12-26,87.14,88.27,86.8,87.68,4802200
PYPL,2024-12-27,86.9,87.2,85.74,86.4,5125000
PYPL,2024-12-30,85.24,85.62,84.21,84.98,5855039
PYPL,2024-12-31,85.29,85.45,84.6,84.9,4533202
PYPL,2025-01-02,85.39,86.49,84.38,85.73,6227776
PYPL,2025-01-03,86.27,87.24,85.86,87.14,6136427
PYPL,2025-01-06,87.56,89.62,87.26,89.06,7869200
PYPL,2025-01-07,89.06,89.5,87.14,87.51,6080800
PYPL,2025-01-08,87.6,87.77,86.34,87.48,7400030
PYPL,2025-01-10,86.33,86.63,81.81,82.92,11341216
PYPL,2025-01-13,81.76,83.68,81.36,83.55,7402400
PYPL,2025-01-14,84.84,86.94,84.3,86.72,8958442
PYPL,2025-01-15,88.25,89.72,88.01,89.17,10024100
PYPL,2025-01-16,89.48,89.89,88.38,88.45,5816400
PYPL,2025-01-17,90.29,92.76,89.54,91.33,16499703
PYPL,2025-01-21,91.73,91.73,88.92,89.3,12629343
PYPL,2025-01-22,89.53,89.9,88.67,89.38,7345739
PYPL,2025-01-23,89.29,89.31,87.78,89.26,7540610
PYPL,2025-01-24,89.12,89.55,88.37,88.64,6004700
PYPL,2025-01-27,87.08,89.81,86.93,89.76,6923826
PYPL,2025-01-28,89.29,89.36,86.43,87.73,8666000
PYPL,2025-01-29,87.7,88.95,87.7,88.29,5234500
PYPL,2025-01-30,89.04,90.45,88.37,89.1,7708500
PYPL,2025-01-31,89.09,89.92,88.07,88.11,8338934
PYPL,2025-02-03,86.05,89.24,85.55,89.04,11215041
PYPL,2025-02-04,81.83,82.25,76.97,77.31,58801900
PYPL,2025-02-05,77.8,79.08,77.26,78.78,23646046
PYPL,2025-02-06,79.26,79.32,77.7,78.16,14440500
PYPL,2025-02-07,78.58,79.07,76.82,76.9,13597300
PYPL,2025-02-10,77.75,78.51,77.2,77.83,11815600
PYPL,2025-02-11,77.41,77.44,75.64,75.81,15769400
PYPL,2025-02-12,75.02,76.45,74.91,75.87,11782529
PYPL,2025-02-13,75.97,76.53,75.33,76.19,9958600
PYPL,2025-02-14,76.5,77.92,76.23,77.56,10504600
PYPL,2025-02-18,77.79,78.35,77.1,78.21,11281243
PYPL,2025-02-19,78.09,78.59,77.13,77.95,9082300
PYPL,2025-02-20,77.71,77.76,76.44,77.22,9319311
PYPL,2025-02-21,77.04,77.08,74.36,74.56,15171700
PYPL,2025-02-24,74.85,75.48,73.58,74.85,12873300
PYPL,2025-02-25,76.73,77.16,72.32,73.68,20647200
PYPL,2025-02-26,73.94,74.09,71.39,71.67,15296804
PYPL,2025-02-27,71.77,72.17,70.21,70.36,11661200
PYPL,2025-02-28,70.13,70.75,69.32,70.68,13601324
PYPL,2025-03-03,70.72,71.19,69.13,69.38,15753700
PYPL,2025-03-04,68.63,68.71,65.99,67.12,20180000
PYPL,2025-03-05,67.62,69.32,67.34,69.13,14464300
PYPL,2025-03-06,68.46,69.49,67.3,67.72,11226928
PYPL,2025-03-07,67.61,70.61,67.47,70.11,16388300
PYPL,2025-03-10,68.66,69.6,66.64,67.8,15035200
PYPL,2025-03-11,68.05,68.58,66.81,67.62,12133100
PYPL,2025-03-12,68.51,69.02,67.55,68.26,11545839
PYPL,2025-03-13,67.97,68.55,66.35,66.56,9778300
PYPL,2025-03-14,67.46,68.78,67.17,68.59,9828715
PYPL,2025-03-17,68.31,69.85,67.62,69.28,7971219
PYPL,2025-03-18,68.71,69.1,67.93,68.52,7520849
PYPL,2025-03-19,68.73,70.11,68.46,69.63,6876430
PYPL,2025-03-20,69.07,70.43,68.88,69.3,7453600
PYPL,2025-03-21,68.26,70.04,68.19,69.82,14603808
PYPL,2025-03-24,71.18,71.29,70.14,70.6,9911035
PYPL,2025-03-25,70.63,71.34,70.18,70.49,6690600
PYPL,2025-03-26,70.55,71.24,69.18,69.6,7454000
PYPL,2025-03-27,68.7,69.59,68.34,68.5,7883100
PYPL,2025-03-28,67.7,67.88,64.61,64.81,16536300
PYPL,2025-03-31,63.95,65.09,63.07,64.91,11562033
PYPL,2025-04-01,64.28,66.01,64.26,65.75,8000600
PYPL,2025-04-02,64.91,67.22,64.76,66.8,8123000
PYPL,2025-04-03,62.76,63.6,60.62,61.38,18479921
PYPL,2025-04-04,59.68,59.87,57.02,58.06,22125000
PYPL,2025-04-07,56.44,61.15,55.55,58.22,20263200
PYPL,2025-04-08,59.45,60.94,56.16,57.11,16533623
PYPL,2025-04-09,56.37,63.83,56.21,63.61,22502000
PYPL,2025-04-10,61.97,62.12,58.63,60.24,14398120
PYPL,2025-04-11,60.21,62.48,60.13,62.26,12919400
PYPL,2025-04-14,63.36,63.56,61.36,61.94,8997500
PYPL,2025-04-15,62.03,62.46,61.32,61.67,9140800
PYPL,2025-04-16,61.05,61.13,59.4,59.92,9833606
PYPL,2025-04-17,60.03,61.15,59.81,60.68,9023742
PYPL,2025-04-21,59.92,60.64,59.14,59.97,7354100
PYPL,2025-04-22,60.41,61.59,59.64,61.1,9390144
PYPL,2025-04-23,62.39,64.23,61.84,62.13,9838900
PYPL,2025-04-24,62.57,64.49,62.43,64.43,10877000
PYPL,2025-04-25,64.15,65.08,64.15,65.0,8693400
PYPL,2025-04-28,64.97,65.48,63.79,64.59,14251515
PYPL,2025-04-29,66.02,67.07,64.02,65.97,19706804
PYPL,2025-04-30,64.81,65.64,63.2,65.49,10293800
PYPL,2025-05-01,65.28,65.78,64.51,65.07,10073000
PYPL,2025-05-02,65.8,67.41,65.64,66.89,10081506
PYPL,2025-05-05,66.61,69.0,66.56,68.18,12000307
PYPL,2025-05-06,67.59,68.57,67.44,67.69,7659400
PYPL,2025-05-07,67.97,68.58,67.37,68.33,8106537
PYPL,2025-05-08,68.94,70.58,68.94,70.11,11791500
PYPL,2025-05-09,70.5,70.94,69.64,69.89,7470500
PYPL,2025-05-12,72.59,73.76,71.47,71.93,12513047
PYPL,2025-05-13,72.03,72.27,71.51,71.91,8076200
PYPL,2025-05-14,72.28,72.96,71.86,72.3,7724048
PYPL,2025-05-15,71.96,72.28,71.06,71.19,8116500
PYPL,2025-05-16,71.09,71.84,70.71,71.8,8717900
PYPL,2025-05-19,70.79,72.16,70.74,71.94,7434931
PYPL,2025-05-20,71.51,72.4,71.36,72.23,8403200
PYPL,2025-05-21,71.82,72.81,71.13,71.27,8094345
PYPL,2025-05-22,71.09,71.61,70.9,71.07,6451026
PYPL,2025-05-23,69.09,69.77,69.04,69.48,7683600
PYPL,2025-05-27,70.37,71.62,70.29,71.1,8770916
PYPL,2025-05-28,71.2,71.66,70.72,71.06,6292100
PYPL,2025-05-29,71.78,72.07,69.88,70.56,7058910
PYPL,2025-05-30,70.59,70.71,69.15,69.91,14937200
PYPL,2025-06-02,68.92,70.59,68.69,70.56,7518225
PYPL,2025-06-03,70.62,71.05,69.49,70.95,7316400
PYPL,2025-06-04,71.12,72.69,70.96,72.42,7712328
PYPL,2025-06-05,72.42,73.16,71.7,72.09,6326019
PYPL,2025-06-06,72.88,73.23,72.25,73.04,7240200
PYPL,2025-06-09,73.31,73.58,72.56,73.16,6166500
PYPL,2025-06-10,73.2,74.88,72.94,74.37,9510736
PYPL,2025-06-11,74.71,74.82,73.54,74.22,7706133
PYPL,2025-06-12,73.63,74.92,73.61,74.42,8644643
PYPL,2025-06-13,72.92,73.83,70.16,70.46,16744400
PYPL,2025-06-16,71.25,72.11,70.7,71.88,7195509
PYPL,2025-06-17,71.54,71.72,70.1,70.3,7374325
PYPL,2025-06-18,70.14,70.91,67.17,68.21,20427726
PYPL,2025-06-20,68.47,70.18,68.19,69.68,18497900
PYPL,2025-06-23,70.63,71.77,69.79,71.63,11447942
PYPL,2025-06-24,72.74,73.55,72.17,73.19,9500942
PYPL,2025-06-25,73.74,73.85,72.03,72.68,7851900
PYPL,2025-06-26,72.86,72.99,71.23,72.78,10235639
PYPL,2025-06-27,72.88,73.36,72.47,73.25,10449548
PYPL,2025-06-30,73.55,74.15,73.27,73.93,7738000
PYPL,2025-07-01,73.56,75.29,73.41,74.89,8633809
PYPL,2025-07-02,74.62,76.46,74.61,75.91,9361506
PYPL,2025-07-03,76.31,76.96,76.07,76.19,5263400
PYPL,2025-07-07,75.81,76.43,75.22,75.78,5918601
PYPL,2025-07-08,76.03,76.11,74.11,74.63,8758400
PYPL,2025-07-09,75.1,75.39,73.99,74.44,6755700
