symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
QTWO,2024-08-27,73.84,74.92,73.3,74.5,309902
QTWO,2024-08-28,73.97,74.81,73.08,73.4,644108
QTWO,2024-08-29,73.63,74.37,73.05,73.79,288847
QTWO,2024-08-30,74.24,74.51,73.24,74.21,524043
QTWO,2024-09-03,73.5,73.93,71.51,72.25,597718
QTWO,2024-09-04,72.81,73.71,71.73,73.66,376643
QTWO,2024-09-05,73.22,73.65,72.48,73.16,324739
QTWO,2024-09-06,73.61,73.89,70.82,71.14,319717
QTWO,2024-09-09,71.96,73.06,71.61,72.85,341100
QTWO,2024-09-10,73.09,73.09,70.41,71.53,264100
QTWO,2024-09-11,70.88,71.91,69.76,71.27,437739
QTWO,2024-09-12,71.56,72.57,71.02,72.05,284238
QTWO,2024-09-13,72.36,75.76,72.36,74.8,507929
QTWO,2024-09-16,74.68,75.26,73.86,74.61,310100
QTWO,2024-09-17,75.73,76.55,74.61,76.19,432900
QTWO,2024-09-18,76.37,77.7,75.3,76.07,338224
QTWO,2024-09-19,78.66,79.93,77.8,79.73,747650
QTWO,2024-09-20,80.32,82.72,80.32,81.55,1243100
QTWO,2024-09-23,80.3,81.6,78.42,79.48,1102700
QTWO,2024-09-24,79.33,79.8,78.17,78.49,421600
QTWO,2024-09-25,78.33,78.81,77.5,78.29,375623
QTWO,2024-09-26,79.27,79.5,76.85,77.56,370226
QTWO,2024-09-27,79.06,79.45,78.2,79.05,1041331
QTWO,2024-09-30,78.8,79.99,78.05,79.77,937124
QTWO,2024-10-01,79.8,80.25,77.29,77.83,357310
QTWO,2024-10-02,77.51,78.99,77.39,78.55,228600
QTWO,2024-10-03,77.96,79.37,77.25,77.81,265600
QTWO,2024-10-04,79.43,80.48,78.47,79.59,368848
QTWO,2024-10-07,79.12,79.8,78.53,79.13,565900
QTWO,2024-10-08,79.69,81.45,79.55,80.49,340800
QTWO,2024-10-09,80.62,81.65,80.44,80.65,247923
QTWO,2024-10-10,79.19,80.0,77.83,79.44,435600
QTWO,2024-10-11,79.73,82.16,79.73,82.14,357600
QTWO,2024-10-14,82.5,82.56,81.26,81.92,262700
QTWO,2024-10-15,81.99,82.73,80.98,81.26,348903
QTWO,2024-10-16,81.71,81.86,80.18,80.42,1117900
