symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RBRK,2024-08-27,35.53,35.9,35.18,35.42,372200
RBRK,2024-08-28,35.17,35.26,33.45,34.21,741186
RBRK,2024-08-29,34.43,35.2,33.64,33.77,454589
RBRK,2024-08-30,34.0,34.99,34.0,34.82,1415743
RBRK,2024-09-03,34.32,35.08,32.77,32.86,623205
RBRK,2024-09-04,32.61,33.41,31.84,32.63,570700
RBRK,2024-09-05,32.61,32.97,32.01,32.14,636226
RBRK,2024-09-06,32.18,32.62,30.64,30.72,1042332
RBRK,2024-09-09,31.0,32.43,30.84,32.06,3111609
RBRK,2024-09-10,29.85,31.75,29.18,31.58,4098537
RBRK,2024-09-11,30.96,33.9,30.58,33.5,5368100
RBRK,2024-09-12,31.96,32.24,30.24,30.75,5274145
RBRK,2024-09-13,30.93,31.01,30.09,30.5,3276300
RBRK,2024-09-16,31.49,31.74,30.76,31.38,3128407
RBRK,2024-09-17,31.0,32.45,30.37,32.24,3435200
RBRK,2024-09-18,31.9,32.23,31.1,31.54,2978421
RBRK,2024-09-19,32.29,33.13,32.18,32.7,3312408
RBRK,2024-09-20,32.25,33.72,31.92,33.29,10241878
RBRK,2024-09-23,32.89,33.61,32.66,33.37,1282237
RBRK,2024-09-24,33.62,33.82,33.19,33.55,1322000
RBRK,2024-09-25,33.62,33.67,31.09,31.52,2894703
RBRK,2024-09-26,31.58,31.93,30.35,31.74,2684717
RBRK,2024-09-27,31.75,32.33,31.05,31.96,2537966
RBRK,2024-09-30,31.96,32.39,31.26,32.15,2021556
RBRK,2024-10-01,31.93,31.95,30.67,31.36,2016201
RBRK,2024-10-02,31.25,31.71,30.36,31.39,1326724
RBRK,2024-10-03,31.27,32.89,31.01,32.6,1896447
RBRK,2024-10-04,32.86,33.3,32.0,33.19,2560100
RBRK,2024-10-07,32.95,33.2,32.53,32.95,1160600
RBRK,2024-10-08,33.0,35.09,32.73,34.63,3615150
RBRK,2024-10-09,34.84,36.0,34.62,35.99,2612820
RBRK,2024-10-10,35.62,38.93,35.62,38.71,4592241
RBRK,2024-10-11,38.73,40.36,38.47,39.54,3456100
RBRK,2024-10-14,39.55,39.91,38.9,39.26,1383334
RBRK,2024-10-15,39.26,40.04,38.93,39.13,1576543
RBRK,2024-10-16,39.32,39.42,38.29,38.87,965336
RBRK,2024-10-17,39.0,40.75,38.62,39.48,1859300
RBRK,2024-10-18,39.71,41.33,39.17,39.54,2251100
RBRK,2024-10-21,39.66,39.98,38.16,38.52,1256381
RBRK,2024-10-22,38.52,38.92,37.65,38.61,1705848
RBRK,2024-10-23,38.3,38.56,37.38,37.69,785000
RBRK,2024-10-24,37.79,39.12,37.67,38.91,1081221
RBRK,2024-10-25,39.34,40.79,39.11,39.4,1519623
RBRK,2024-10-28,39.4,41.0,39.4,40.58,1002802
RBRK,2024-10-29,41.07,43.95,40.8,42.6,2972300
RBRK,2024-10-30,42.73,42.99,41.5,42.6,1226049
RBRK,2024-10-31,42.71,42.96,41.05,41.26,865000
RBRK,2024-11-01,41.44,41.94,41.02,41.38,1110624
RBRK,2024-11-04,41.0,42.15,40.98,41.52,870636
RBRK,2024-11-05,41.5,42.45,41.18,41.55,667722
RBRK,2024-11-06,42.99,44.13,42.81,43.29,1280536
RBRK,2024-11-07,43.6,44.98,43.3,44.47,1286668
RBRK,2024-11-08,44.3,45.09,43.8,44.76,1492300
RBRK,2024-11-11,45.22,45.9,43.48,44.32,1014800
RBRK,2024-11-12,43.95,45.0,43.63,44.81,951375
RBRK,2024-11-13,45.0,45.61,43.65,44.58,1406400
RBRK,2024-11-14,44.52,45.16,43.44,44.5,836500
RBRK,2024-11-15,44.07,44.68,42.01,43.24,1627446
RBRK,2024-11-18,43.61,44.29,43.08,43.83,750142
RBRK,2024-11-19,43.26,44.28,42.5,44.21,756300
RBRK,2024-11-20,45.0,45.49,43.76,45.15,924140
RBRK,2024-11-21,46.0,49.73,46.0,49.12,1848321
RBRK,2024-11-22,49.38,51.58,49.37,51.05,1713535
RBRK,2024-11-25,51.08,52.75,49.85,50.39,2102987
RBRK,2024-11-26,50.27,51.3,49.77,50.02,979282
RBRK,2024-11-27,50.06,50.77,48.94,49.66,717700
RBRK,2024-11-29,50.07,51.99,50.06,50.82,518425
RBRK,2024-12-02,51.1,51.8,49.28,49.43,1107223
RBRK,2024-12-03,48.69,51.17,48.15,50.93,1277200
RBRK,2024-12-04,51.51,54.0,51.32,52.62,2278543
RBRK,2024-12-05,52.3,54.9,52.02,53.66,3940400
RBRK,2024-12-06,65.68,72.66,62.06,64.63,17262400
RBRK,2024-12-09,63.94,70.18,63.35,69.79,5866236
RBRK,2024-12-10,69.5,73.9,67.65,69.23,3889200
RBRK,2024-12-11,69.71,72.08,69.41,70.42,2477500
RBRK,2024-12-12,70.0,74.99,70.0,74.19,2703300
RBRK,2024-12-13,71.15,72.69,69.68,72.18,5634743
RBRK,2024-12-16,71.95,75.79,71.8,75.51,4062000
RBRK,2024-12-17,75.0,75.22,71.87,72.97,3890100
RBRK,2024-12-18,72.7,72.91,67.05,68.05,5415424
RBRK,2024-12-19,68.84,70.42,65.1,66.98,5121344
RBRK,2024-12-20,64.88,67.83,63.85,66.12,8305854
RBRK,2024-12-23,66.56,67.94,65.08,67.17,2451551
RBRK,2024-12-24,66.91,69.64,64.3,67.93,1724400
RBRK,2024-12-26,68.84,69.69,67.55,68.38,1711844
RBRK,2024-12-27,68.79,68.79,66.56,68.35,2177978
RBRK,2024-12-30,66.61,71.3,65.58,68.27,3724100
RBRK,2024-12-31,68.07,68.46,65.05,65.36,1720600
RBRK,2025-01-02,65.72,66.87,64.05,66.35,1645200
RBRK,2025-01-03,66.97,69.36,65.08,66.9,2608256
RBRK,2025-01-06,69.0,70.58,65.82,68.5,3333900
RBRK,2025-01-07,68.95,69.59,63.6,64.34,3167230
RBRK,2025-01-08,62.6,65.0,62.06,63.19,2325300
RBRK,2025-01-10,62.25,64.0,60.53,63.46,1900873
RBRK,2025-01-13,64.24,66.29,62.74,65.05,2613106
RBRK,2025-01-14,65.4,66.0,63.73,65.09,1743340
RBRK,2025-01-15,66.52,68.75,64.56,66.73,2527800
RBRK,2025-01-16,65.02,68.58,62.53,68.24,2424374
RBRK,2025-01-17,69.6,70.1,67.33,67.9,4411000
RBRK,2025-01-21,69.22,72.19,68.51,71.36,2446138
RBRK,2025-01-22,72.56,73.1,70.92,71.35,1582813
RBRK,2025-01-23,70.5,71.64,69.52,70.31,1735465
RBRK,2025-01-24,71.01,71.96,70.41,70.99,1190114
RBRK,2025-01-27,68.36,73.28,67.4,69.01,2071031
RBRK,2025-01-28,70.46,74.5,69.02,73.19,2438900
RBRK,2025-01-29,73.5,75.25,71.76,74.11,2297300
RBRK,2025-01-30,74.51,76.21,72.8,74.03,1335644
RBRK,2025-01-31,75.26,77.22,73.25,73.27,1465315
RBRK,2025-02-03,70.19,71.81,68.74,70.87,2213900
RBRK,2025-02-04,70.61,74.19,70.1,74.08,2133600
RBRK,2025-02-05,74.5,75.98,73.88,75.59,1195747
RBRK,2025-02-06,76.06,76.55,74.13,75.34,1441700
RBRK,2025-02-07,75.55,79.05,74.14,74.49,1792249
RBRK,2025-02-10,74.9,77.71,74.9,76.96,2257627
RBRK,2025-02-11,76.1,76.78,72.52,72.9,1970000
RBRK,2025-02-12,72.42,78.28,71.2,77.55,2090600
RBRK,2025-02-13,78.3,80.0,77.06,78.72,2015127
RBRK,2025-02-14,79.8,79.8,76.56,77.54,1201697
RBRK,2025-02-18,77.99,78.4,75.0,78.09,1954415
RBRK,2025-02-19,76.5,76.86,73.2,74.19,1977106
RBRK,2025-02-20,73.5,73.55,68.58,72.22,2481300
RBRK,2025-02-21,71.03,72.7,69.19,69.7,1934800
RBRK,2025-02-24,69.26,69.26,65.19,67.72,2779500
RBRK,2025-02-25,67.54,67.58,62.59,63.86,1863873
RBRK,2025-02-26,65.02,67.21,65.01,65.84,1109700
RBRK,2025-02-27,67.0,68.14,64.23,64.3,1414660
RBRK,2025-02-28,64.0,65.26,62.64,65.12,1686214
RBRK,2025-03-03,66.41,68.32,60.98,61.37,1428900
RBRK,2025-03-04,59.48,63.06,58.18,61.56,1681242
RBRK,2025-03-05,61.16,63.23,59.56,62.85,1135100
RBRK,2025-03-06,60.71,62.23,58.21,58.59,1288632
RBRK,2025-03-07,58.25,59.15,54.51,57.35,2307106
RBRK,2025-03-10,55.01,55.9,51.45,51.84,2486921
RBRK,2025-03-11,51.57,55.08,51.09,53.82,2296342
RBRK,2025-03-12,59.39,59.92,56.55,57.11,2136217
RBRK,2025-03-13,56.48,57.11,55.0,55.28,2710814
RBRK,2025-03-14,67.8,71.2,64.8,70.64,7273318
RBRK,2025-03-17,70.0,72.41,68.11,70.84,3314100
RBRK,2025-03-18,70.55,71.44,68.75,70.01,2174896
RBRK,2025-03-19,70.13,71.93,69.28,70.96,2390734
RBRK,2025-03-20,69.58,71.74,69.0,70.19,2635844
RBRK,2025-03-21,68.24,69.42,67.4,68.19,3935832
RBRK,2025-03-24,70.0,73.82,69.28,73.46,2946905
RBRK,2025-03-25,73.79,76.11,73.4,74.28,2536400
RBRK,2025-03-26,70.06,71.42,67.01,68.61,4745200
RBRK,2025-03-27,67.72,68.73,65.18,66.0,2532042
RBRK,2025-03-28,65.2,65.32,61.42,63.66,3232812
RBRK,2025-03-31,61.75,61.8,58.66,60.98,5121300
RBRK,2025-04-01,61.0,61.29,58.75,60.47,2062434
RBRK,2025-04-02,59.76,63.85,59.76,62.43,1782400
RBRK,2025-04-03,59.26,60.78,56.69,57.45,2846700
RBRK,2025-04-04,54.58,55.2,49.12,51.77,2631818
RBRK,2025-04-07,48.54,56.91,47.35,53.02,3460033
RBRK,2025-04-08,57.17,57.64,51.71,52.81,3817844
RBRK,2025-04-09,53.31,62.63,52.38,61.69,4530113
RBRK,2025-04-10,59.97,61.34,57.75,58.35,2585100
RBRK,2025-04-11,58.87,59.36,56.01,59.01,2990500
RBRK,2025-04-14,61.3,62.71,59.07,60.05,2491028
RBRK,2025-04-15,60.86,63.38,60.45,63.31,2755723
RBRK,2025-04-16,61.62,63.58,60.31,62.32,2345853
RBRK,2025-04-17,62.34,62.91,60.73,61.61,2247505
RBRK,2025-04-21,61.3,61.61,57.9,59.28,2531909
RBRK,2025-04-22,61.5,62.88,60.08,61.89,2424231
RBRK,2025-04-23,64.58,68.18,64.52,65.55,3189464
RBRK,2025-04-24,65.81,68.59,65.81,68.21,2254400
RBRK,2025-04-25,68.12,69.85,67.53,69.84,1545230
RBRK,2025-04-28,69.31,70.19,68.29,69.76,3092900
RBRK,2025-04-29,70.0,71.55,69.51,70.74,2591001
RBRK,2025-04-30,69.15,70.66,67.7,70.53,1299116
RBRK,2025-05-01,71.58,72.33,70.01,71.11,2049300
RBRK,2025-05-02,72.92,73.69,71.73,73.33,2333634
RBRK,2025-05-05,72.24,77.34,72.24,74.67,4007302
RBRK,2025-05-06,72.15,74.59,71.31,74.24,2274942
RBRK,2025-05-07,74.18,76.33,74.0,75.81,1791538
RBRK,2025-05-08,77.0,77.97,75.27,76.57,2118000
RBRK,2025-05-09,77.13,79.79,76.0,76.88,3233474
RBRK,2025-05-12,78.83,79.38,76.31,78.61,1914501
RBRK,2025-05-13,78.88,84.47,78.88,83.1,3440700
RBRK,2025-05-14,83.5,84.65,82.13,84.61,2061000
RBRK,2025-05-15,83.2,86.0,82.06,85.52,2262075
RBRK,2025-05-16,87.5,87.5,85.07,85.31,1718616
RBRK,2025-05-19,83.4,86.75,82.02,86.72,2281500
RBRK,2025-05-20,87.01,89.09,86.69,89.01,2156400
RBRK,2025-05-21,87.47,89.84,86.41,87.75,1808000
RBRK,2025-05-22,87.42,92.31,87.42,91.11,2419100
RBRK,2025-05-23,88.95,93.11,88.31,92.35,1819523
RBRK,2025-05-27,93.05,95.39,92.31,94.85,2632200
RBRK,2025-05-28,94.86,95.9,93.51,94.09,1863019
RBRK,2025-05-29,97.0,97.76,93.95,95.38,3029709
RBRK,2025-05-30,95.18,95.59,93.0,95.35,4593800
RBRK,2025-06-02,95.15,99.79,94.53,99.74,2468024
