symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RGLD,2024-08-27,138.83,139.64,137.09,139.32,165200
RGLD,2024-08-28,137.84,138.63,136.67,137.77,189701
RGLD,2024-08-29,138.17,140.27,138.17,138.82,164432
RGLD,2024-08-30,138.38,139.53,136.67,137.72,240700
RGLD,2024-09-03,135.78,136.73,131.69,132.73,320017
RGLD,2024-09-04,132.72,134.73,131.85,134.31,275502
RGLD,2024-09-05,136.03,137.31,134.78,135.13,219058
RGLD,2024-09-06,134.95,135.96,131.49,131.7,180633
RGLD,2024-09-09,131.84,132.72,131.41,132.57,195724
RGLD,2024-09-10,132.57,133.94,131.83,133.7,204046
RGLD,2024-09-11,133.14,134.46,132.01,134.16,194800
RGLD,2024-09-12,136.23,139.49,136.23,138.36,315311
RGLD,2024-09-13,139.52,143.05,139.52,140.69,395700
RGLD,2024-09-16,140.79,140.79,137.79,138.59,291400
RGLD,2024-09-17,138.46,139.79,136.57,137.81,215100
RGLD,2024-09-18,138.03,141.87,136.47,136.71,293815
RGLD,2024-09-19,139.86,139.91,136.31,137.96,334871
RGLD,2024-09-20,139.36,142.05,139.36,141.1,763100
RGLD,2024-09-23,141.74,143.04,141.15,141.27,636225
RGLD,2024-09-24,142.67,145.07,141.93,143.8,431700
RGLD,2024-09-25,143.85,144.6,142.19,143.94,335807
RGLD,2024-09-26,144.3,144.94,142.96,143.08,419400
RGLD,2024-09-27,143.07,143.77,139.28,139.32,668326
RGLD,2024-09-30,138.54,138.62,136.33,137.85,426400
RGLD,2024-10-01,139.43,140.54,138.22,139.37,216800
RGLD,2024-10-02,139.24,140.92,138.31,139.44,145621
RGLD,2024-10-03,137.97,138.64,136.66,137.24,219206
RGLD,2024-10-04,137.59,138.66,136.45,136.94,178100
RGLD,2024-10-07,136.08,136.26,134.41,134.88,227500
RGLD,2024-10-08,133.15,135.86,133.02,135.68,335968
RGLD,2024-10-09,135.4,135.78,133.8,135.62,350985
RGLD,2024-10-10,136.29,138.22,135.77,137.99,314900
RGLD,2024-10-11,138.99,140.36,138.75,139.96,252246
RGLD,2024-10-14,138.89,140.26,138.43,140.24,150600
RGLD,2024-10-15,140.09,143.86,140.09,143.66,363630
RGLD,2024-10-16,144.7,146.72,143.37,145.21,347848
RGLD,2024-10-17,146.11,147.76,145.18,146.28,219418
RGLD,2024-10-18,147.74,151.53,147.32,150.42,476620
RGLD,2024-10-21,152.73,152.83,149.66,150.28,250633
RGLD,2024-10-22,151.92,152.29,150.78,152.01,244551
RGLD,2024-10-23,151.01,151.97,148.71,150.01,332800
RGLD,2024-10-24,149.98,150.02,145.68,148.94,289527
RGLD,2024-10-25,148.39,148.94,146.93,148.14,331302
RGLD,2024-10-28,147.81,149.86,147.58,148.82,234335
RGLD,2024-10-29,149.98,151.46,149.41,151.36,225200
RGLD,2024-10-30,151.21,151.21,148.18,148.89,219200
RGLD,2024-10-31,147.1,147.29,143.38,143.92,392637
RGLD,2024-11-01,144.22,145.74,142.68,143.32,286000
RGLD,2024-11-04,143.34,144.33,141.4,143.24,245654
RGLD,2024-11-05,144.14,146.19,143.57,146.07,278321
RGLD,2024-11-06,140.86,143.02,135.51,142.72,517498
RGLD,2024-11-07,149.19,149.19,142.69,145.15,550400
RGLD,2024-11-08,144.77,147.91,143.74,147.74,324000
RGLD,2024-11-11,142.88,143.86,139.13,141.43,388400
RGLD,2024-11-12,139.92,141.88,135.61,139.25,549069
RGLD,2024-11-13,140.41,142.67,137.53,137.64,688110
RGLD,2024-11-14,136.12,139.6,136.12,137.75,377111
RGLD,2024-11-15,138.75,139.24,137.56,138.19,445656
RGLD,2024-11-18,140.1,144.28,140.1,144.15,435528
RGLD,2024-11-19,145.11,145.87,143.16,145.72,490800
RGLD,2024-11-20,144.91,146.89,144.85,146.42,257706
RGLD,2024-11-21,147.12,147.78,145.07,146.01,322956
RGLD,2024-11-22,147.19,147.64,145.88,146.81,1226900
RGLD,2024-11-25,142.92,144.59,141.9,142.76,551426
RGLD,2024-11-26,142.76,144.35,141.49,144.17,304881
RGLD,2024-11-27,144.87,146.15,142.89,143.54,420100
RGLD,2024-11-29,144.46,145.8,143.95,144.12,163300
RGLD,2024-12-02,143.13,145.65,142.68,145.18,375681
RGLD,2024-12-03,146.14,148.44,145.71,146.2,394122
RGLD,2024-12-04,145.84,146.74,145.2,145.6,201018
RGLD,2024-12-05,144.86,146.2,142.64,143.94,258331
RGLD,2024-12-06,143.96,143.96,140.91,142.15,269321
RGLD,2024-12-09,144.86,148.23,144.86,146.24,418471
RGLD,2024-12-10,147.86,148.28,145.75,146.05,328295
RGLD,2024-12-11,148.46,151.92,146.83,151.57,493802
RGLD,2024-12-12,149.52,150.02,147.93,148.06,616642
RGLD,2024-12-13,146.6,147.39,144.13,144.78,434300
RGLD,2024-12-16,144.75,144.75,142.88,143.55,354200
RGLD,2024-12-17,141.84,142.72,141.05,142.16,339200
RGLD,2024-12-18,141.18,141.35,133.52,133.66,457500
RGLD,2024-12-19,134.61,135.73,131.52,132.14,466300
RGLD,2024-12-20,132.59,135.06,131.12,131.85,1386700
RGLD,2024-12-23,131.2,131.81,129.98,131.09,377900
RGLD,2024-12-24,132.01,132.25,130.49,131.37,124400
RGLD,2024-12-26,131.47,133.09,130.96,132.67,348410
RGLD,2024-12-27,130.58,132.68,130.1,131.87,206600
RGLD,2024-12-30,130.8,131.05,128.76,129.13,372951
RGLD,2024-12-31,129.15,130.62,129.08,129.92,194615
RGLD,2025-01-02,131.41,132.9,131.41,132.57,364621
RGLD,2025-01-03,132.65,133.03,131.43,132.91,361317
RGLD,2025-01-06,133.01,133.7,130.74,131.04,418262
RGLD,2025-01-07,133.46,135.36,131.81,132.11,376220
RGLD,2025-01-08,132.47,134.98,131.94,134.7,402226
RGLD,2025-01-10,135.89,137.71,132.19,133.15,363201
RGLD,2025-01-13,131.9,133.37,130.24,132.51,419543
RGLD,2025-01-14,132.89,134.75,132.55,133.94,499230
RGLD,2025-01-15,134.9,135.46,133.17,135.24,518230
RGLD,2025-01-16,135.69,138.26,135.29,136.73,344248
RGLD,2025-01-17,135.97,137.81,135.06,136.97,331300
RGLD,2025-01-21,137.54,139.94,137.54,139.13,314900
RGLD,2025-01-22,139.81,139.87,136.72,137.1,308470
RGLD,2025-01-23,135.61,137.3,134.76,137.23,357000
RGLD,2025-01-24,138.53,139.3,137.13,137.86,335520
RGLD,2025-01-27,137.03,137.03,134.14,136.84,324618
RGLD,2025-01-28,136.84,137.79,136.08,137.45,244452
RGLD,2025-01-29,137.32,138.03,134.46,135.9,292001
RGLD,2025-01-30,137.89,140.32,136.24,139.72,459300
RGLD,2025-01-31,139.94,140.62,137.18,138.23,629220
RGLD,2025-02-03,139.14,140.79,136.77,139.28,698000
RGLD,2025-02-04,140.03,141.2,138.41,140.39,488805
RGLD,2025-02-05,141.37,144.76,141.37,143.19,606445
RGLD,2025-02-06,143.19,143.61,142.09,143.3,358700
RGLD,2025-02-07,144.65,145.12,142.73,142.84,414258
RGLD,2025-02-10,146.04,146.17,144.46,145.4,319357
RGLD,2025-02-11,144.83,145.02,143.08,143.22,366945
RGLD,2025-02-12,142.01,146.81,141.77,145.52,473595
RGLD,2025-02-13,148.2,153.82,143.11,151.75,878661
RGLD,2025-02-14,153.27,153.87,144.98,145.16,880279
RGLD,2025-02-18,146.44,147.97,144.52,147.41,545500
RGLD,2025-02-19,146.42,148.08,145.73,147.54,352700
RGLD,2025-02-20,147.5,150.64,147.5,150.51,407920
RGLD,2025-02-21,149.67,149.92,146.29,146.76,524124
RGLD,2025-02-24,147.75,149.83,145.84,149.39,488400
RGLD,2025-02-25,148.73,149.31,145.83,149.15,384494
RGLD,2025-02-26,147.47,150.56,146.32,148.71,364207
RGLD,2025-02-27,146.6,147.26,143.15,143.39,349400
RGLD,2025-02-28,142.36,145.47,141.33,145.33,377672
RGLD,2025-03-03,146.6,148.44,145.39,145.88,381100
RGLD,2025-03-04,147.59,148.29,145.21,146.05,366733
RGLD,2025-03-05,146.03,149.16,145.53,148.95,433218
RGLD,2025-03-06,147.01,148.94,146.56,148.47,331328
RGLD,2025-03-07,148.58,153.48,147.96,152.42,557532
RGLD,2025-03-10,151.9,154.57,149.58,150.47,707591
RGLD,2025-03-11,152.77,155.88,151.38,152.14,459828
RGLD,2025-03-12,151.78,152.34,149.82,151.66,265206
RGLD,2025-03-13,152.2,154.45,149.98,151.8,527844
RGLD,2025-03-14,153.27,153.72,150.97,152.45,425500
RGLD,2025-03-17,152.94,154.23,152.66,153.33,410100
RGLD,2025-03-18,155.86,157.13,152.64,152.89,525642
RGLD,2025-03-19,152.62,153.41,151.15,153.0,541809
RGLD,2025-03-20,152.51,154.92,151.55,153.53,418222
RGLD,2025-03-21,152.3,155.67,150.89,155.23,1404866
RGLD,2025-03-24,155.62,157.42,154.22,155.38,380833
RGLD,2025-03-25,156.53,160.36,156.22,158.41,435102
RGLD,2025-03-26,159.31,159.56,157.53,157.53,373800
RGLD,2025-03-27,158.83,162.01,158.54,159.47,524537
RGLD,2025-03-28,161.75,162.32,158.26,160.35,526045
RGLD,2025-03-31,161.4,163.08,158.02,161.65,862028
RGLD,2025-04-01,161.16,162.64,159.78,162.39,526304
RGLD,2025-04-02,161.75,162.91,159.61,162.69,410002
RGLD,2025-04-03,156.91,167.08,156.24,165.37,843700
RGLD,2025-04-04,160.59,161.54,153.6,154.25,1089388
RGLD,2025-04-07,150.89,160.58,149.78,155.61,1145062
RGLD,2025-04-08,160.32,161.85,152.61,154.13,756717
RGLD,2025-04-09,158.36,167.27,155.89,163.11,1050510
RGLD,2025-04-10,164.22,171.49,164.16,169.48,922030
RGLD,2025-04-11,173.98,179.93,173.72,178.02,1077548
RGLD,2025-04-14,176.32,181.23,174.0,180.22,713107
RGLD,2025-04-15,182.21,184.03,179.42,183.39,608200
RGLD,2025-04-16,187.36,189.56,183.74,184.83,1069488
RGLD,2025-04-17,184.23,185.22,181.51,183.29,566954
RGLD,2025-04-21,188.54,190.11,182.0,184.3,702500
RGLD,2025-04-22,185.07,185.56,178.93,179.77,930300
RGLD,2025-04-23,173.65,179.55,171.75,179.0,515727
RGLD,2025-04-24,181.61,182.17,179.52,182.0,366057
RGLD,2025-04-25,177.48,179.91,176.31,177.31,523812
RGLD,2025-04-28,176.72,179.6,175.68,179.27,435678
RGLD,2025-04-29,178.27,179.28,177.05,178.81,407200
RGLD,2025-04-30,177.09,181.27,177.07,181.12,872760
RGLD,2025-05-01,177.5,178.28,174.85,176.53,505879
RGLD,2025-05-02,178.43,178.43,173.58,174.97,517708
RGLD,2025-05-05,178.16,178.43,173.97,177.68,555649
RGLD,2025-05-06,180.19,183.16,178.11,182.92,501287
RGLD,2025-05-07,178.72,182.52,177.69,181.06,644820
RGLD,2025-05-08,178.71,181.71,176.86,177.17,516378
RGLD,2025-05-09,179.45,182.88,177.01,182.81,439500
RGLD,2025-05-12,174.69,177.43,168.93,169.38,743800
RGLD,2025-05-13,169.16,169.64,166.2,167.79,593626
RGLD,2025-05-14,164.47,165.07,162.77,164.19,655570
RGLD,2025-05-15,165.01,167.85,164.37,167.82,416321
RGLD,2025-05-16,165.67,169.7,164.56,169.65,606842
RGLD,2025-05-19,171.06,171.61,169.21,171.59,386853
RGLD,2025-05-20,171.28,176.15,171.28,176.02,479111
RGLD,2025-05-21,176.02,178.42,175.4,178.14,395559
RGLD,2025-05-22,178.03,178.03,173.81,175.19,463400
RGLD,2025-05-23,177.87,180.11,175.03,179.02,389221
RGLD,2025-05-27,176.68,178.44,176.58,177.13,323500
RGLD,2025-05-28,177.46,178.35,176.06,176.93,296900
RGLD,2025-05-29,177.09,178.99,175.46,177.84,334502
RGLD,2025-05-30,177.38,178.53,175.06,176.57,824841
RGLD,2025-06-02,178.46,185.67,178.43,185.09,603046
RGLD,2025-06-03,182.32,184.48,180.91,183.76,374600
RGLD,2025-06-04,184.4,185.09,182.1,182.34,399335
RGLD,2025-06-05,183.87,185.99,181.02,182.25,504732
RGLD,2025-06-06,182.11,182.12,173.89,174.4,682140
RGLD,2025-06-09,174.72,176.31,172.39,175.23,491000
RGLD,2025-06-10,175.42,175.7,171.39,172.15,410303
RGLD,2025-06-11,172.15,173.14,170.79,173.04,603741
RGLD,2025-06-12,175.18,178.02,174.5,177.47,406212
RGLD,2025-06-13,178.45,181.88,178.02,180.7,1697545
RGLD,2025-06-16,179.8,180.76,177.71,178.14,791447
RGLD,2025-06-17,178.66,179.82,176.41,178.24,480353
RGLD,2025-06-18,177.56,179.1,176.45,177.57,344485
RGLD,2025-06-20,176.31,180.5,176.31,177.79,1144401
RGLD,2025-06-23,178.44,183.76,178.44,181.48,485800
RGLD,2025-06-24,176.96,178.07,173.48,176.59,519053
RGLD,2025-06-25,175.33,177.27,174.88,175.14,459010
RGLD,2025-06-26,176.0,178.45,175.14,178.39,433403
RGLD,2025-06-27,174.35,174.93,170.81,173.95,712100
RGLD,2025-06-30,174.96,176.53,172.86,176.29,419314
RGLD,2025-07-01,178.27,179.04,175.78,176.07,369323
RGLD,2025-07-02,177.62,179.02,176.38,177.74,421900
RGLD,2025-07-03,177.15,179.16,176.48,178.71,251305
RGLD,2025-07-07,165.9,167.59,155.67,167.2,3050380
RGLD,2025-07-08,166.47,166.48,157.68,159.24,1916500
RGLD,2025-07-09,160.01,160.25,157.1,159.4,990495
RGLD,2025-07-10,159.72,160.13,156.79,158.8,840036
RGLD,2025-07-11,160.26,160.73,157.72,158.97,1134400
RGLD,2025-07-14,158.97,161.43,158.02,158.83,1289313
RGLD,2025-07-15,159.18,159.48,154.8,156.83,1001641
RGLD,2025-07-16,157.11,158.7,155.23,156.7,791431
RGLD,2025-07-17,155.03,155.06,151.74,154.15,1106442
RGLD,2025-07-18,155.83,155.93,153.52,153.8,674819
RGLD,2025-07-21,156.03,158.4,155.85,156.51,846659
RGLD,2025-07-22,157.34,158.87,155.94,157.11,1228400
RGLD,2025-07-23,157.11,157.11,154.77,156.29,847600
RGLD,2025-07-24,154.86,156.38,153.5,154.61,587566
RGLD,2025-07-25,153.73,155.38,152.55,154.03,652151
RGLD,2025-07-28,153.15,153.56,150.59,150.99,674190
RGLD,2025-07-29,150.87,152.38,149.82,151.69,775374
RGLD,2025-07-30,150.66,152.6,150.08,151.17,1083320
RGLD,2025-07-31,151.09,153.46,150.05,150.48,915824
RGLD,2025-08-01,153.72,154.32,150.57,151.7,881181
RGLD,2025-08-04,153.66,156.03,153.36,155.46,710500
RGLD,2025-08-05,156.03,160.84,155.47,159.19,1411448
RGLD,2025-08-06,160.15,160.85,159.09,160.33,1130283
RGLD,2025-08-07,161.81,165.87,161.02,164.31,1187599
RGLD,2025-08-08,166.85,169.63,165.63,167.93,1015623
RGLD,2025-08-11,164.93,171.26,163.12,169.55,942732
RGLD,2025-08-12,170.71,171.35,168.27,171.27,611234
RGLD,2025-08-13,172.81,173.07,169.46,171.2,867100
RGLD,2025-08-14,170.79,171.6,167.68,168.56,652604
RGLD,2025-08-15,168.13,171.25,166.96,170.39,955179
RGLD,2025-08-18,169.94,171.71,169.55,170.49,573011
RGLD,2025-08-19,170.62,170.62,165.49,165.68,815700
RGLD,2025-08-20,166.95,168.82,166.25,168.66,590444
RGLD,2025-08-21,168.33,173.93,167.96,173.67,717578
RGLD,2025-08-22,173.4,176.68,172.21,176.34,635474
RGLD,2025-08-25,176.25,177.82,172.94,173.47,652918
RGLD,2025-08-26,173.87,178.0,173.87,176.79,743455
RGLD,2025-08-27,175.32,176.23,173.87,175.88,597115
RGLD,2025-08-28,176.19,176.19,173.64,174.94,475400
RGLD,2025-08-29,175.31,179.09,175.05,178.47,688686
RGLD,2025-09-02,179.96,182.97,177.89,181.84,939647
RGLD,2025-09-03,183.2,184.23,178.71,179.79,913776
RGLD,2025-09-04,178.03,179.98,176.52,179.34,558412
RGLD,2025-09-05,182.25,184.53,179.98,183.72,947967
RGLD,2025-09-08,186.45,186.75,184.0,185.28,784906
RGLD,2025-09-09,185.88,186.68,182.72,183.87,723939
RGLD,2025-09-10,184.25,187.24,184.12,185.03,627097
RGLD,2025-09-11,183.66,188.03,183.06,188.02,603900
RGLD,2025-09-12,188.79,189.95,186.67,188.15,616647
RGLD,2025-09-15,189.3,194.65,188.11,194.22,1133927
RGLD,2025-09-16,194.79,194.79,189.29,189.41,946200
RGLD,2025-09-17,188.22,190.93,185.51,186.94,993733
RGLD,2025-09-18,185.1,186.98,182.45,186.86,812658
RGLD,2025-09-19,186.5,191.47,185.25,190.49,4324435
RGLD,2025-09-22,193.8,194.11,187.29,190.34,1352056
RGLD,2025-09-23,191.72,193.55,190.46,190.73,930655
