symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RGTI,2024-08-27,0.935,0.94,0.899,0.91,1945500
RGTI,2024-08-28,0.9,0.9133,0.843,0.8599,2836700
RGTI,2024-08-29,0.871,0.9168,0.871,0.8807,2500439
RGTI,2024-08-30,0.8919,0.9169,0.8622,0.9164,1854548
RGTI,2024-09-03,0.92,0.92,0.8155,0.8312,2286600
RGTI,2024-09-04,0.8243,0.874,0.82,0.835,1558109
RGTI,2024-09-05,0.86,0.86,0.7999,0.8,2351336
RGTI,2024-09-06,0.81,0.82,0.74,0.7536,3834845
RGTI,2024-09-09,0.7985,0.7985,0.66,0.6881,7880200
RGTI,2024-09-10,0.7115,0.7351,0.673,0.7336,4820300
RGTI,2024-09-11,0.72,0.81,0.72,0.8044,3269544
RGTI,2024-09-12,0.81,0.835,0.7724,0.8202,1935600
RGTI,2024-09-13,0.8278,0.8617,0.8251,0.8526,2703405
RGTI,2024-09-16,0.8347,0.8398,0.795,0.8216,3285925
RGTI,2024-09-17,0.83,0.86,0.811,0.8404,2036924
RGTI,2024-09-18,0.844,0.88,0.82,0.82,3923800
RGTI,2024-09-19,0.8492,0.8556,0.8131,0.8151,2007900
RGTI,2024-09-20,0.8109,0.8302,0.7939,0.7939,3690626
RGTI,2024-09-23,0.79,0.8058,0.757,0.765,2741900
RGTI,2024-09-24,0.772,0.787,0.75,0.76,2465945
RGTI,2024-09-25,0.7672,0.7731,0.71,0.7402,3637600
RGTI,2024-09-26,0.7471,0.79,0.735,0.7781,2518600
RGTI,2024-09-27,0.7888,0.8465,0.75,0.8102,4479100
RGTI,2024-09-30,0.8041,0.83,0.78,0.7831,1958892
RGTI,2024-10-01,0.7891,0.7955,0.745,0.753,1912600
RGTI,2024-10-02,0.7598,0.7838,0.73245,0.7644,1559300
RGTI,2024-10-03,0.75,0.7658,0.7425,0.748,1467009
RGTI,2024-10-04,0.7664,0.81,0.74,0.7849,1985299
RGTI,2024-10-07,0.78,0.81,0.7703,0.7847,1600440
RGTI,2024-10-08,0.7853,0.8,0.771,0.7789,1798904
RGTI,2024-10-09,0.79,0.7909,0.75,0.7659,2675211
RGTI,2024-10-10,0.7572,0.7628,0.725,0.7555,2077900
RGTI,2024-10-11,0.74,0.8278,0.74,0.8164,3076428
RGTI,2024-10-14,0.82,0.849,0.8026,0.8422,2723819
RGTI,2024-10-15,0.8391,0.8391,0.7909,0.8105,1576900
RGTI,2024-10-16,0.8187,0.96,0.8041,0.92,8326200
RGTI,2024-10-17,0.94,0.9882,0.91,0.951,4990727
RGTI,2024-10-18,0.98,1.19,0.9764,1.11,11659806
RGTI,2024-10-21,1.17,1.3,1.09,1.28,13311300
RGTI,2024-10-22,1.27,1.33,1.15,1.23,7908120
RGTI,2024-10-23,1.19,1.38,1.15,1.21,10591547
RGTI,2024-10-24,1.3,1.33,1.18,1.2,6136400
RGTI,2024-10-25,1.23,1.31,1.2,1.22,7768827
RGTI,2024-10-28,1.27,1.54,1.25,1.5,15633308
RGTI,2024-10-29,1.6,1.73,1.4,1.46,18426200
RGTI,2024-10-30,1.37,1.51,1.32,1.41,9146523
RGTI,2024-10-31,1.41,1.43,1.24,1.32,5494611
RGTI,2024-11-01,1.3,1.35,1.22,1.23,4703500
RGTI,2024-11-04,1.21,1.22,1.12,1.13,5250100
RGTI,2024-11-05,1.11,1.16,1.06,1.12,4917400
RGTI,2024-11-06,1.18,1.25,1.13,1.2,6098200
RGTI,2024-11-07,1.22,1.47,1.21,1.43,12541039
RGTI,2024-11-08,1.4,1.62,1.4,1.51,16527405
RGTI,2024-11-11,1.67,1.69,1.4,1.52,17031300
RGTI,2024-11-12,1.31,1.5,1.25,1.49,11405606
RGTI,2024-11-13,1.51,1.89,1.48,1.7,23091500
RGTI,2024-11-14,1.84,1.85,1.53,1.55,32824300
RGTI,2024-11-15,1.6,1.61,1.38,1.41,15605200
RGTI,2024-11-18,1.49,1.49,1.28,1.3,12759600
RGTI,2024-11-19,1.33,1.38,1.29,1.31,11740300
RGTI,2024-11-20,1.38,1.49,1.32,1.35,15851400
