symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RH,2024-12-05,375.99,383.9,370.66,370.72,534996
RH,2024-12-06,377.92,384.0,369.47,376.1,693258
RH,2024-12-09,381.35,400.49,381.35,396.78,1061048
RH,2024-12-10,392.71,398.0,384.0,386.09,720011
RH,2024-12-11,395.62,403.4,390.48,398.95,645710
RH,2024-12-12,392.98,396.37,377.12,381.38,1715400
RH,2024-12-13,443.97,457.26,429.07,446.04,3056518
RH,2024-12-16,445.0,445.5,414.14,414.98,1313026
RH,2024-12-17,416.9,420.41,406.4,411.72,825075
RH,2024-12-18,412.92,426.07,393.88,396.39,872813
RH,2024-12-19,401.57,402.35,382.3,388.02,854442
RH,2024-12-20,385.0,403.58,384.95,398.26,768497
RH,2024-12-23,395.4,411.57,393.0,408.23,531318
RH,2024-12-24,410.0,414.7,407.6,413.7,191130
RH,2024-12-26,407.4,412.53,405.6,407.0,315298
RH,2024-12-27,405.48,406.82,395.81,398.07,383300
RH,2024-12-30,394.7,397.66,386.0,393.93,372577
RH,2024-12-31,393.9,398.0,390.8,393.59,337082
RH,2025-01-02,395.63,398.34,392.19,395.1,319517
RH,2025-01-03,396.99,405.46,392.25,405.46,314042
RH,2025-01-06,411.3,420.12,411.3,414.96,551681
RH,2025-01-07,417.56,418.45,397.19,403.82,397509
RH,2025-01-08,405.21,408.33,394.0,408.27,486839
RH,2025-01-10,404.34,415.7,402.28,413.95,642170
RH,2025-01-13,414.21,421.93,406.42,419.52,802710
RH,2025-01-14,425.36,429.5,411.48,416.04,579074
RH,2025-01-15,433.3,435.75,426.99,428.65,635880
RH,2025-01-16,433.03,435.42,424.21,432.83,435700
RH,2025-01-17,439.68,448.84,437.17,447.23,671600
RH,2025-01-21,454.1,455.84,444.91,454.52,641500
RH,2025-01-22,450.66,451.13,439.3,442.81,383734
RH,2025-01-23,441.99,441.99,430.49,434.46,509166
RH,2025-01-24,434.01,434.84,413.08,418.74,1012929
RH,2025-01-27,411.88,418.64,407.83,410.83,737645
RH,2025-01-28,410.59,425.94,403.18,423.14,597707
RH,2025-01-29,423.51,430.83,419.73,422.01,343102
RH,2025-01-30,430.15,436.99,427.86,433.16,481800
RH,2025-01-31,429.21,432.88,415.75,419.11,374088
RH,2025-02-03,404.51,409.48,386.38,395.14,924830
RH,2025-02-04,398.52,407.5,397.55,406.08,496732
RH,2025-02-05,406.57,415.15,404.01,414.73,343625
RH,2025-02-06,418.96,419.5,410.28,415.27,236469
RH,2025-02-07,413.43,416.0,392.32,397.1,464500
RH,2025-02-10,400.0,404.34,398.03,402.22,290998
RH,2025-02-11,399.71,402.0,377.04,384.42,625276
RH,2025-02-12,374.99,374.99,366.3,374.15,810033
RH,2025-02-13,379.13,385.29,374.97,380.35,400543
RH,2025-02-14,385.28,389.25,380.01,382.33,412081
RH,2025-02-18,382.33,389.2,376.08,388.25,543380
RH,2025-02-19,381.75,385.08,376.73,381.89,455236
RH,2025-02-20,382.17,387.47,362.34,365.93,677128
RH,2025-02-21,369.59,369.59,336.96,340.09,844644
RH,2025-02-24,340.09,352.98,328.11,346.2,976600
RH,2025-02-25,345.12,355.0,341.37,348.54,656409
RH,2025-02-26,353.25,365.67,348.3,353.77,631129
RH,2025-02-27,351.22,351.97,326.94,327.97,807104
RH,2025-02-28,325.09,331.77,318.05,322.07,862700
RH,2025-03-03,322.92,326.0,304.4,307.23,813260
RH,2025-03-04,300.0,300.0,278.54,292.18,1477818
RH,2025-03-05,292.18,294.41,284.24,289.48,613331
RH,2025-03-06,283.23,292.65,275.89,280.97,782135
RH,2025-03-07,277.68,279.0,250.1,262.43,1499264
RH,2025-03-10,260.0,260.0,226.61,233.41,1567700
RH,2025-03-11,235.0,243.47,224.13,230.57,1216900
RH,2025-03-12,241.31,248.14,235.11,241.02,1104517
RH,2025-03-13,236.64,238.34,212.04,216.63,1420811
RH,2025-03-14,221.01,226.77,216.55,225.06,1056605
RH,2025-03-17,224.38,228.5,214.11,225.32,1089008
RH,2025-03-18,217.37,224.36,215.69,221.84,717305
RH,2025-03-19,219.73,239.35,215.0,230.04,1306900
RH,2025-03-20,226.6,240.65,223.17,234.03,1209380
RH,2025-03-21,226.9,246.15,225.68,242.18,1263478
RH,2025-03-24,248.0,261.55,248.0,257.84,1199419
RH,2025-03-25,257.36,264.58,250.56,252.9,831389
RH,2025-03-26,254.18,255.05,240.0,243.58,608485
RH,2025-03-27,240.07,249.65,233.5,243.42,953666
RH,2025-03-28,240.25,243.05,228.15,236.28,852445
RH,2025-03-31,227.54,238.24,221.97,234.41,974740
RH,2025-04-01,233.87,242.89,231.01,239.06,773375
RH,2025-04-02,235.0,256.86,235.0,249.35,2717600
RH,2025-04-03,163.19,166.09,138.4,149.39,12789500
RH,2025-04-04,139.46,154.0,123.03,145.66,9632000
RH,2025-04-07,142.84,174.42,142.36,164.48,6468500
RH,2025-04-08,177.0,177.0,144.35,149.36,4372900
RH,2025-04-09,144.98,197.68,142.07,192.03,7578900
RH,2025-04-10,178.52,179.05,164.0,172.08,3698327
RH,2025-04-11,169.95,171.45,155.24,164.62,2614343
RH,2025-04-14,169.31,170.92,159.2,163.78,1728100
RH,2025-04-15,162.46,166.44,157.98,159.52,1049900
RH,2025-04-16,158.45,161.0,150.19,153.85,1228525
RH,2025-04-17,154.08,161.52,150.82,161.13,1212100
RH,2025-04-21,158.06,159.07,149.17,155.79,1344100
RH,2025-04-22,159.1,175.5,158.89,172.8,2478200
RH,2025-04-23,187.81,194.0,173.5,174.48,2772300
RH,2025-04-24,175.7,184.88,174.33,184.35,1164135
RH,2025-04-25,183.85,188.22,181.44,185.49,999014
RH,2025-04-28,187.76,188.52,179.0,183.53,873130
RH,2025-04-29,181.29,185.52,180.0,184.6,679871
RH,2025-04-30,177.35,184.9,173.31,184.03,858194
RH,2025-05-01,188.26,191.61,183.52,184.76,1007175
RH,2025-05-02,189.09,201.41,188.89,196.56,1526615
RH,2025-05-05,192.62,195.91,186.0,186.31,866617
RH,2025-05-06,181.86,184.31,179.09,182.87,857830
RH,2025-05-07,184.74,190.5,182.0,189.02,855758
RH,2025-05-08,192.2,199.19,189.88,196.6,978081
RH,2025-05-09,197.8,199.63,190.11,194.28,889967
RH,2025-05-12,225.8,232.65,223.65,226.04,2348600
RH,2025-05-13,228.98,232.46,224.42,225.67,968800
RH,2025-05-14,225.4,226.68,215.03,215.97,1154517
RH,2025-05-15,212.69,219.48,211.0,218.09,744774
RH,2025-05-16,218.35,220.59,206.99,210.02,1203000
RH,2025-05-19,204.53,205.95,200.47,203.91,1161417
RH,2025-05-20,205.0,212.82,203.31,207.52,881300
RH,2025-05-21,201.62,202.87,193.77,195.6,907100
RH,2025-05-22,190.41,191.6,184.68,187.26,1483672
RH,2025-05-23,180.97,186.18,180.33,184.88,936311
RH,2025-05-27,189.19,191.5,183.59,190.07,990270
RH,2025-05-28,189.85,191.2,183.8,183.85,568740
RH,2025-05-29,191.71,193.04,182.4,184.14,918300
RH,2025-05-30,180.0,182.24,177.34,181.11,793508
RH,2025-06-02,179.08,179.2,166.15,167.46,2074104
RH,2025-06-03,169.0,177.72,167.01,176.72,1111635
RH,2025-06-04,176.65,180.74,175.44,178.19,859204
RH,2025-06-05,177.0,182.23,173.74,175.5,1648700
RH,2025-06-06,182.18,186.37,179.52,183.47,1050600
RH,2025-06-09,186.12,192.6,183.95,184.85,1284400
RH,2025-06-10,188.45,190.63,185.6,189.38,1227900
RH,2025-06-11,191.5,193.31,178.98,178.98,1779800
RH,2025-06-12,177.6,179.5,173.16,176.87,3606100
RH,2025-06-13,211.0,221.88,187.26,189.12,6802617
RH,2025-06-16,192.57,195.2,184.42,189.29,2359200
RH,2025-06-17,187.0,189.86,181.33,182.69,1359226
RH,2025-06-18,182.37,196.26,182.14,189.1,1644135
RH,2025-06-20,193.03,195.15,186.17,188.85,912300
RH,2025-06-23,186.99,187.2,178.8,186.22,1153400
RH,2025-06-24,184.0,188.73,181.35,184.02,1364400
RH,2025-06-25,186.0,188.6,182.74,186.95,918321
RH,2025-06-26,188.4,194.09,185.27,193.04,939811
RH,2025-06-27,194.0,198.8,188.99,190.83,1359143
RH,2025-06-30,192.62,193.35,188.24,189.01,650105
RH,2025-07-01,187.65,209.34,187.45,198.97,1561600
RH,2025-07-02,200.0,212.33,197.73,205.8,2127309
RH,2025-07-03,205.7,209.05,203.84,207.04,579200
RH,2025-07-07,204.83,206.59,196.75,198.38,1010033
RH,2025-07-08,198.99,202.59,192.82,199.62,906500
RH,2025-07-09,202.0,205.0,198.66,203.27,802657
RH,2025-07-10,204.95,217.6,203.27,213.45,1185361
RH,2025-07-11,209.59,211.24,206.77,207.52,808000
RH,2025-07-14,207.0,207.71,200.31,202.91,829126
RH,2025-07-15,204.15,205.21,186.7,187.54,1762812
RH,2025-07-16,188.0,190.44,181.03,188.32,1395937
RH,2025-07-17,190.24,199.0,188.71,196.76,1494905
RH,2025-07-18,199.1,199.8,193.65,195.49,678698
RH,2025-07-21,199.15,199.15,192.44,194.67,738428
RH,2025-07-22,196.02,213.66,194.7,212.79,1925813
RH,2025-07-23,215.2,223.54,215.2,221.0,1280430
RH,2025-07-24,218.45,224.22,211.75,212.74,901300
RH,2025-07-25,213.16,215.35,208.57,213.8,749765
RH,2025-07-28,217.79,222.49,212.0,218.17,825124
RH,2025-07-29,216.55,219.55,210.18,211.53,730656
RH,2025-07-30,214.79,216.72,205.08,207.72,862801
RH,2025-07-31,206.0,209.04,203.04,205.62,762535
RH,2025-08-01,199.86,204.14,191.59,200.76,1315100
RH,2025-08-04,208.5,220.92,207.41,216.89,1454192
RH,2025-08-05,217.68,221.0,212.19,217.99,855400
RH,2025-08-06,217.33,220.61,212.77,213.02,591144
RH,2025-08-07,223.09,229.85,208.2,213.06,1390300
RH,2025-08-08,214.35,216.0,211.67,215.04,613917
RH,2025-08-11,215.0,219.0,213.65,214.92,804500
RH,2025-08-12,218.45,238.09,217.51,237.29,1590860
RH,2025-08-13,239.0,248.38,233.89,245.68,1386811
RH,2025-08-14,236.05,237.0,229.17,235.1,1146033
RH,2025-08-15,237.0,240.0,233.34,233.76,552489
RH,2025-08-18,233.47,235.32,228.69,229.21,690856
RH,2025-08-19,233.14,240.96,228.1,231.53,839064
RH,2025-08-20,228.38,228.38,213.76,216.61,1422427
RH,2025-08-21,212.89,219.14,210.5,218.79,919099
RH,2025-08-22,222.46,245.25,219.8,243.71,1819037
RH,2025-08-25,225.54,233.45,219.26,230.72,1956731
RH,2025-08-26,229.66,233.99,218.31,221.19,1073000
RH,2025-08-27,224.94,231.91,222.04,228.0,1050000
RH,2025-08-28,231.69,233.8,226.0,229.22,586443
RH,2025-08-29,228.7,230.7,224.56,225.67,586900
RH,2025-09-02,218.89,223.9,218.0,221.72,612436
RH,2025-09-03,220.0,224.03,217.67,221.22,731700
RH,2025-09-04,220.84,235.84,219.64,235.24,1022063
RH,2025-09-05,248.7,257.0,246.38,251.0,1656257
RH,2025-09-08,252.31,253.05,237.6,240.99,1198439
RH,2025-09-09,240.04,240.38,228.51,232.98,1005305
RH,2025-09-10,236.1,238.0,226.89,228.93,867900
RH,2025-09-11,231.12,232.44,226.25,228.12,3101722
RH,2025-09-12,218.18,232.0,214.92,217.62,4111700
RH,2025-09-15,218.7,226.63,215.51,222.83,987076
RH,2025-09-16,223.0,231.35,219.0,230.7,1008208
RH,2025-09-17,233.31,248.44,229.49,229.51,1407800
RH,2025-09-18,230.41,234.35,225.0,233.46,1012021
RH,2025-09-19,234.12,237.0,224.67,224.7,1198600
RH,2025-09-22,221.16,223.38,217.65,217.79,1022100
RH,2025-09-23,218.98,224.68,216.34,218.44,858960
RH,2025-09-24,218.44,221.71,212.57,212.62,998800
RH,2025-09-25,207.52,216.69,205.45,211.3,1118500
RH,2025-09-26,208.95,214.54,201.11,202.5,1582117
RH,2025-09-29,200.63,202.02,191.57,197.84,1480000
RH,2025-09-30,204.05,207.68,197.7,203.16,1008648
RH,2025-10-01,202.61,204.01,195.69,200.8,683849
RH,2025-10-02,197.0,205.95,196.1,203.79,673800
RH,2025-10-03,207.01,212.36,205.84,207.5,833627
RH,2025-10-06,209.28,210.0,199.72,200.0,878500
RH,2025-10-07,201.68,201.68,195.18,196.44,672300
RH,2025-10-08,196.67,200.34,194.06,199.26,549300
RH,2025-10-09,198.15,199.5,184.65,185.31,1519500
RH,2025-10-10,185.48,186.08,171.22,173.37,1748436
RH,2025-10-13,178.12,183.17,175.98,181.56,1292415
RH,2025-10-14,176.8,186.11,175.29,183.14,861216
RH,2025-10-15,184.0,186.29,176.52,176.56,797022
RH,2025-10-16,180.36,180.36,172.56,176.16,721900
RH,2025-10-17,175.67,176.42,172.12,174.27,693100
RH,2025-10-20,176.6,180.08,175.36,179.68,855557
RH,2025-10-21,178.1,186.75,176.39,185.7,920800
RH,2025-10-22,183.47,184.95,175.0,178.81,869241
RH,2025-10-23,178.8,182.5,175.74,180.59,558242
RH,2025-10-24,185.0,186.5,180.23,180.96,677786
RH,2025-10-27,184.5,191.39,184.21,188.23,961859
RH,2025-10-28,193.88,202.4,188.72,193.25,1538615
RH,2025-10-29,189.66,193.84,183.45,184.31,759900
RH,2025-10-30,181.26,182.52,175.18,175.45,869535
RH,2025-10-31,175.67,176.65,171.05,172.49,811400
RH,2025-11-03,169.43,171.89,167.5,170.07,835746
RH,2025-11-04,168.0,169.0,163.03,163.71,797635
RH,2025-11-05,164.45,173.85,161.01,166.19,1267613
RH,2025-11-06,163.9,166.49,156.67,158.06,1006000
RH,2025-11-07,155.72,163.61,155.51,162.18,930012
RH,2025-11-10,163.87,164.9,155.6,157.77,898945
RH,2025-11-11,158.27,167.6,156.0,162.18,954707
RH,2025-11-12,163.84,166.38,159.66,161.02,538200
RH,2025-11-13,161.03,165.01,157.5,158.32,714503
RH,2025-11-14,155.16,156.05,148.0,149.41,1163331
RH,2025-11-17,148.93,149.91,140.88,142.5,1043700
RH,2025-11-18,139.89,145.05,139.0,141.55,931125
RH,2025-11-19,142.86,151.42,141.01,146.75,1111800
RH,2025-11-20,148.17,150.7,139.01,139.54,1002923
RH,2025-11-21,140.81,154.84,140.78,153.08,1403510
RH,2025-11-24,153.5,154.17,148.5,149.48,922500
RH,2025-11-25,152.52,162.37,150.04,159.61,963372
RH,2025-11-26,159.9,164.4,159.28,159.44,729323
RH,2025-11-28,158.28,159.32,155.81,157.59,419642
RH,2025-12-01,155.09,163.79,153.17,160.68,981757
RH,2025-12-02,161.06,162.0,156.02,157.02,777321
RH,2025-12-03,156.33,164.66,156.33,162.31,713230
RH,2025-12-04,165.12,165.12,158.08,159.94,569539
RH,2025-12-05,161.77,166.52,159.59,161.06,643547
RH,2025-12-08,162.25,164.28,154.42,155.68,981120
RH,2025-12-09,154.0,161.0,154.0,158.03,816300
RH,2025-12-10,157.0,161.51,152.22,157.22,1240900
RH,2025-12-11,158.96,162.0,151.71,153.31,2658000
RH,2025-12-12,161.75,173.78,158.0,162.01,3588416
RH,2025-12-15,165.0,165.87,159.74,163.67,1212522
RH,2025-12-16,165.32,175.7,163.0,167.59,2030327
RH,2025-12-17,167.66,171.71,163.92,170.44,1100029
RH,2025-12-18,176.25,181.72,170.0,172.63,1247900
RH,2025-12-19,171.19,174.3,168.0,170.98,1021818
RH,2025-12-22,172.21,179.61,171.07,179.49,979401
RH,2025-12-23,179.41,183.21,173.87,182.37,909300
RH,2025-12-24,181.09,186.18,180.99,182.98,406843
RH,2025-12-26,183.8,186.32,181.95,185.65,656141
RH,2025-12-29,183.64,189.68,182.0,184.63,892500
RH,2025-12-30,183.05,184.72,181.0,181.93,543247
RH,2025-12-31,180.14,182.64,178.61,179.15,493429
RH,2026-01-02,191.55,198.5,187.8,193.41,1973626
RH,2026-01-05,190.33,205.5,190.0,197.21,1435000
RH,2026-01-06,196.87,213.97,196.05,210.2,1381504
RH,2026-01-07,213.45,217.61,202.9,206.5,1244321
RH,2026-01-08,204.47,222.0,202.22,214.94,1657536
RH,2026-01-09,218.38,222.28,204.47,219.0,1619111
RH,2026-01-12,215.69,220.78,211.11,218.18,699231
RH,2026-01-13,218.72,223.48,215.61,222.74,755243
