symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RIG,2024-12-06,4.19,4.19,4.0,4.02,22277500
RIG,2024-12-09,4.1,4.11,3.98,4.02,31410500
RIG,2024-12-10,4.02,4.06,3.91,3.98,31293405
RIG,2024-12-11,4.02,4.14,3.93,4.09,24186200
RIG,2024-12-12,4.04,4.06,3.91,3.94,18041000
RIG,2024-12-13,3.92,3.95,3.83,3.86,18307900
RIG,2024-12-16,3.81,3.86,3.7,3.73,24818734
RIG,2024-12-17,3.67,3.7,3.54,3.67,24365020
RIG,2024-12-18,3.78,3.9,3.58,3.62,24452636
RIG,2024-12-19,3.67,3.73,3.53,3.55,29562100
RIG,2024-12-20,3.53,3.62,3.48,3.53,30883032
RIG,2024-12-23,3.53,3.57,3.43,3.47,15588500
RIG,2024-12-24,3.47,3.56,3.4,3.53,13408211
RIG,2024-12-26,3.53,3.59,3.46,3.57,18275904
RIG,2024-12-27,3.55,3.62,3.48,3.53,27274400
RIG,2024-12-30,3.53,3.78,3.49,3.66,27028300
RIG,2024-12-31,3.68,3.82,3.67,3.75,22898500
RIG,2025-01-02,3.84,3.98,3.84,3.95,28189111
RIG,2025-01-03,3.98,4.01,3.87,3.96,19179305
RIG,2025-01-06,4.0,4.05,3.95,3.98,21327834
RIG,2025-01-07,4.0,4.19,3.99,4.16,33873238
RIG,2025-01-08,4.1,4.14,3.93,3.99,31563923
RIG,2025-01-10,4.13,4.19,4.0,4.03,32114000
RIG,2025-01-13,4.07,4.13,3.99,4.09,22920620
RIG,2025-01-14,4.07,4.12,3.92,4.07,21513711
RIG,2025-01-15,4.06,4.32,4.02,4.28,29897800
RIG,2025-01-16,4.21,4.27,4.04,4.1,27604733
RIG,2025-01-17,4.13,4.14,4.0,4.06,22847500
RIG,2025-01-21,4.1,4.1,3.9,3.96,25080330
RIG,2025-01-22,3.94,4.0,3.85,3.87,16409500
RIG,2025-01-23,3.87,3.95,3.84,3.86,21817219
RIG,2025-01-24,3.86,3.94,3.83,3.85,20090100
RIG,2025-01-27,3.82,4.04,3.79,3.83,33358341
RIG,2025-01-28,3.84,3.97,3.84,3.93,22058638
RIG,2025-01-29,3.87,3.89,3.77,3.83,24329300
RIG,2025-01-30,3.84,3.95,3.8,3.91,23450533
RIG,2025-01-31,3.91,4.04,3.82,3.92,31448500
RIG,2025-02-03,3.87,3.92,3.77,3.79,35150726
RIG,2025-02-04,3.75,3.9,3.72,3.89,32521525
RIG,2025-02-05,3.9,3.95,3.82,3.87,19475436
RIG,2025-02-06,3.9,3.94,3.72,3.75,31884142
RIG,2025-02-07,3.66,3.75,3.57,3.58,27568300
RIG,2025-02-10,3.63,3.75,3.62,3.74,25472236
RIG,2025-02-11,3.77,3.95,3.73,3.87,26744800
RIG,2025-02-12,3.82,3.88,3.72,3.72,23937600
RIG,2025-02-13,3.71,3.72,3.59,3.63,23238728
RIG,2025-02-14,3.66,3.7,3.49,3.53,33962140
RIG,2025-02-18,3.45,3.63,3.38,3.55,32143332
RIG,2025-02-19,3.53,3.61,3.41,3.44,33008000
RIG,2025-02-20,3.45,3.61,3.39,3.56,42783724
RIG,2025-02-21,3.6,3.64,3.35,3.36,39123500
RIG,2025-02-24,3.34,3.38,3.28,3.33,37448900
RIG,2025-02-25,3.33,3.38,3.18,3.19,36883239
RIG,2025-02-26,3.18,3.19,3.06,3.09,38705834
RIG,2025-02-27,3.09,3.16,3.03,3.04,32050700
RIG,2025-02-28,3.0,3.03,2.95,2.95,32406100
RIG,2025-03-03,2.92,2.99,2.65,2.67,62261900
RIG,2025-03-04,2.62,2.83,2.55,2.75,41121810
RIG,2025-03-05,2.74,2.83,2.7,2.73,38977500
RIG,2025-03-06,2.68,2.79,2.68,2.77,39738935
RIG,2025-03-07,2.86,3.08,2.84,3.04,39530649
RIG,2025-03-10,3.02,3.1,2.92,2.98,57012000
RIG,2025-03-11,3.01,3.06,2.9,2.94,39934200
RIG,2025-03-12,2.96,3.0,2.88,2.98,34618030
RIG,2025-03-13,2.99,3.04,2.8,2.85,39729100
RIG,2025-03-14,2.94,3.07,2.87,3.04,38648422
RIG,2025-03-17,3.08,3.19,3.02,3.17,43292700
RIG,2025-03-18,3.2,3.21,3.11,3.2,28426439
RIG,2025-03-19,3.2,3.27,3.1,3.15,47384600
RIG,2025-03-20,3.13,3.26,3.09,3.24,31898823
RIG,2025-03-21,3.19,3.23,3.12,3.19,40861300
RIG,2025-03-24,3.22,3.26,3.17,3.23,20378091
RIG,2025-03-25,3.27,3.29,3.1,3.14,39574928
RIG,2025-03-26,3.14,3.3,3.14,3.22,27850700
RIG,2025-03-27,3.24,3.32,3.15,3.3,33527000
RIG,2025-03-28,3.26,3.28,3.14,3.2,17922022
RIG,2025-03-31,3.1,3.2,3.06,3.17,31514306
RIG,2025-04-01,3.2,3.38,3.19,3.32,43521806
RIG,2025-04-02,3.23,3.26,3.11,3.16,62341027
RIG,2025-04-03,2.88,2.98,2.7,2.72,43128735
RIG,2025-04-04,2.51,2.59,2.11,2.17,77363033
RIG,2025-04-07,2.06,2.52,1.97,2.37,68043402
RIG,2025-04-08,2.51,2.55,2.11,2.19,77259500
RIG,2025-04-09,2.15,2.44,2.03,2.41,94152707
RIG,2025-04-10,2.27,2.29,2.11,2.17,42607900
RIG,2025-04-11,2.16,2.3,2.15,2.26,53522415
RIG,2025-04-14,2.29,2.3,2.18,2.22,38764317
RIG,2025-04-15,2.2,2.24,2.17,2.19,34753049
RIG,2025-04-16,2.21,2.28,2.13,2.16,47605325
RIG,2025-04-17,2.17,2.31,2.16,2.28,44839882
RIG,2025-04-21,2.2,2.23,2.08,2.13,31849400
RIG,2025-04-22,2.16,2.18,2.09,2.14,30728000
RIG,2025-04-23,2.22,2.28,2.13,2.17,43676620
RIG,2025-04-24,2.2,2.32,2.19,2.29,34255045
RIG,2025-04-25,2.23,2.34,2.2,2.33,25427748
RIG,2025-04-28,2.29,2.38,2.26,2.31,30270700
RIG,2025-04-29,2.3,2.3,2.13,2.2,50547800
RIG,2025-04-30,2.17,2.22,2.11,2.13,48716516
RIG,2025-05-01,2.16,2.35,2.15,2.34,50432700
RIG,2025-05-02,2.37,2.4,2.33,2.37,33093445
RIG,2025-05-05,2.32,2.39,2.3,2.3,35811542
RIG,2025-05-06,2.33,2.45,2.29,2.37,47091642
RIG,2025-05-07,2.38,2.39,2.27,2.3,42436601
RIG,2025-05-08,2.38,2.55,2.36,2.5,44972831
RIG,2025-05-09,2.58,2.65,2.54,2.61,38194100
RIG,2025-05-12,2.84,2.88,2.72,2.77,49878310
RIG,2025-05-13,2.84,2.86,2.73,2.73,34300602
RIG,2025-05-14,2.74,2.82,2.69,2.78,40525907
RIG,2025-05-15,2.68,2.71,2.6,2.66,39824800
RIG,2025-05-16,2.67,2.7,2.6,2.61,35291822
RIG,2025-05-19,2.52,2.59,2.51,2.59,43386849
RIG,2025-05-20,2.6,2.6,2.53,2.55,23807014
RIG,2025-05-21,2.54,2.59,2.45,2.46,35114900
RIG,2025-05-22,2.43,2.44,2.34,2.41,32611900
