symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RMD,2024-08-27,223.15,239.4,223.15,239.05,1895945
RMD,2024-08-28,237.37,243.55,236.21,239.49,1226787
RMD,2024-08-29,241.53,241.77,237.77,239.95,591200
RMD,2024-08-30,241.03,242.97,239.28,241.79,1084200
RMD,2024-09-03,241.25,244.46,240.55,241.67,997822
RMD,2024-09-04,236.73,243.29,233.36,241.52,980100
RMD,2024-09-05,241.73,242.8,239.0,241.55,769508
RMD,2024-09-06,242.25,244.12,237.77,241.64,579029
RMD,2024-09-09,243.17,251.82,241.77,246.27,1352988
RMD,2024-09-10,244.37,249.89,243.68,249.52,801400
RMD,2024-09-11,247.98,249.72,241.99,249.58,649900
RMD,2024-09-12,249.16,249.23,245.77,247.4,790458
RMD,2024-09-13,246.55,249.32,245.15,245.65,1343200
RMD,2024-09-16,246.47,249.57,245.48,248.45,1096409
RMD,2024-09-17,249.04,250.91,246.67,247.57,1035948
RMD,2024-09-18,230.55,238.84,228.43,234.89,1887269
RMD,2024-09-19,237.65,240.27,233.85,239.78,1128000
RMD,2024-09-20,239.98,242.49,237.29,241.71,1567015
RMD,2024-09-23,241.77,244.09,239.89,242.93,916016
RMD,2024-09-24,245.91,246.02,241.83,243.89,744729
RMD,2024-09-25,243.13,243.13,237.07,237.57,925413
RMD,2024-09-26,242.59,243.3,237.51,239.36,979922
RMD,2024-09-27,240.14,242.76,235.59,235.85,1131100
RMD,2024-09-30,240.3,246.11,237.07,240.9,1910700
RMD,2024-10-01,242.13,242.74,234.49,235.6,1334432
RMD,2024-10-02,234.07,236.73,231.79,235.71,875300
RMD,2024-10-03,235.12,235.99,233.5,235.29,544742
RMD,2024-10-04,236.31,236.31,230.36,230.89,755300
RMD,2024-10-07,231.58,233.42,227.4,229.23,651000
RMD,2024-10-08,230.39,234.69,230.08,232.95,744100
RMD,2024-10-09,232.88,235.04,231.02,233.91,749700
RMD,2024-10-10,230.7,235.3,230.7,234.79,766093
RMD,2024-10-11,235.34,239.31,235.27,237.34,504740
RMD,2024-10-14,236.96,239.04,235.55,237.54,588200
RMD,2024-10-15,239.18,240.78,235.59,236.03,1024700
RMD,2024-10-16,235.05,238.92,234.32,235.2,816001
RMD,2024-10-17,236.62,238.96,234.24,236.43,839334
RMD,2024-10-18,237.42,238.48,234.64,236.83,766425
RMD,2024-10-21,237.88,239.24,235.25,236.88,973032
RMD,2024-10-22,235.9,237.98,234.49,236.81,614629
RMD,2024-10-23,235.98,237.05,231.98,234.27,1019834
RMD,2024-10-24,234.33,240.77,234.33,235.9,1846403
RMD,2024-10-25,256.57,257.05,249.46,252.69,3516542
RMD,2024-10-28,254.59,255.9,243.02,243.57,1796100
RMD,2024-10-29,244.36,246.8,240.62,241.18,1486270
RMD,2024-10-30,240.09,242.6,237.88,239.81,1105490
RMD,2024-10-31,238.81,240.45,237.36,239.27,1165516
RMD,2024-11-01,238.81,243.52,237.94,241.06,1118400
RMD,2024-11-04,241.77,244.49,239.64,240.4,1236221
RMD,2024-11-05,240.4,243.26,238.1,242.5,1081100
RMD,2024-11-06,245.46,246.7,238.79,242.39,802500
RMD,2024-11-07,243.75,245.8,240.92,245.79,815815
RMD,2024-11-08,246.25,252.34,245.78,249.59,930321
RMD,2024-11-11,249.76,250.19,245.68,245.94,898839
RMD,2024-11-12,246.05,246.51,243.46,244.47,737144
RMD,2024-11-13,243.68,244.98,232.75,232.83,993990
RMD,2024-11-14,232.84,234.27,228.62,228.87,1102300
RMD,2024-11-15,230.59,232.49,228.61,232.14,1116942
RMD,2024-11-18,232.31,237.56,232.31,236.77,759947
RMD,2024-11-19,235.09,238.0,234.0,235.48,711330
RMD,2024-11-20,236.09,239.79,234.1,238.88,490515
RMD,2024-11-21,239.83,241.03,238.02,240.9,455006
RMD,2024-11-22,240.9,241.19,238.77,241.08,551442
RMD,2024-11-25,241.83,247.01,240.91,246.8,1708448
RMD,2024-11-26,246.94,248.42,244.54,247.22,676207
RMD,2024-11-27,248.2,248.58,245.17,246.57,654500
RMD,2024-11-29,245.72,249.56,244.99,246.26,351327
RMD,2024-12-02,246.16,246.16,240.69,242.21,575940
RMD,2024-12-03,241.64,246.71,241.64,244.18,665000
RMD,2024-12-04,242.93,243.9,240.67,243.12,884183
RMD,2024-12-05,240.36,242.4,236.08,236.76,642392
RMD,2024-12-06,237.82,242.42,236.76,238.74,462436
RMD,2024-12-09,241.53,245.02,239.49,242.05,583600
RMD,2024-12-10,242.45,243.78,239.33,242.51,505900
RMD,2024-12-11,242.48,243.29,239.38,243.06,514234
RMD,2024-12-12,240.47,245.19,238.78,239.83,922342
RMD,2024-12-13,238.61,238.83,234.33,235.88,580589
RMD,2024-12-16,236.02,239.16,228.44,238.35,829780
RMD,2024-12-17,239.32,242.47,238.72,239.93,739300
RMD,2024-12-18,236.39,237.52,227.39,227.66,871441
RMD,2024-12-19,229.11,232.9,227.47,229.02,596843
RMD,2024-12-20,228.44,235.96,228.44,234.64,3057200
RMD,2024-12-23,227.66,229.43,222.02,228.61,1151442
RMD,2024-12-24,229.25,230.01,227.04,230.01,227615
RMD,2024-12-26,228.4,232.15,228.4,231.29,390213
RMD,2024-12-27,231.15,231.8,228.53,230.6,390900
RMD,2024-12-30,229.61,229.95,225.59,226.96,504400
RMD,2024-12-31,228.14,229.53,225.74,226.16,522844
RMD,2025-01-02,228.43,228.43,224.15,225.95,558305
RMD,2025-01-03,226.03,229.3,224.44,229.11,639425
RMD,2025-01-06,229.28,234.63,228.45,232.49,793800
RMD,2025-01-07,233.39,237.08,232.3,233.78,675200
RMD,2025-01-08,231.45,234.58,229.94,233.56,878752
RMD,2025-01-10,229.7,232.84,227.31,231.23,1043431
RMD,2025-01-13,228.96,228.99,224.74,227.71,580200
RMD,2025-01-14,229.25,229.55,225.16,226.3,692800
RMD,2025-01-15,228.14,231.34,226.56,230.8,1147621
RMD,2025-01-16,232.39,237.93,230.49,234.5,797110
RMD,2025-01-17,235.36,237.71,233.27,237.13,776900
RMD,2025-01-21,241.84,246.55,241.18,245.05,1047900
RMD,2025-01-22,243.34,246.11,242.21,244.59,762900
RMD,2025-01-23,243.89,246.36,241.96,246.12,643904
RMD,2025-01-24,245.45,247.99,240.54,247.74,778500
RMD,2025-01-27,246.7,255.84,246.53,251.88,1253809
RMD,2025-01-28,249.68,250.59,246.86,247.17,921500
RMD,2025-01-29,246.91,250.69,245.47,250.06,932194
RMD,2025-01-30,252.52,260.14,251.29,254.8,1832900
RMD,2025-01-31,255.15,257.08,232.4,233.57,2599352
RMD,2025-02-03,239.32,241.59,232.4,237.89,1978818
RMD,2025-02-04,237.44,242.56,236.23,237.8,1401702
RMD,2025-02-05,239.43,243.26,237.79,239.89,1000259
RMD,2025-02-06,239.33,240.71,232.49,234.55,992644
RMD,2025-02-07,235.13,236.43,233.02,234.32,830600
RMD,2025-02-10,236.34,238.17,234.35,235.92,819684
RMD,2025-02-11,234.16,236.18,233.55,234.8,581400
RMD,2025-02-12,233.75,234.81,230.89,233.98,674124
RMD,2025-02-13,236.79,237.4,233.68,237.36,696363
RMD,2025-02-14,239.71,241.32,230.69,230.91,1025932
RMD,2025-02-18,229.05,230.89,226.84,228.53,1001000
RMD,2025-02-19,237.31,237.87,229.43,232.43,941926
RMD,2025-02-20,230.95,232.53,229.57,230.73,662300
RMD,2025-02-21,230.24,231.3,228.29,229.63,518500
RMD,2025-02-24,229.63,229.76,226.15,227.61,1918800
RMD,2025-02-25,227.36,234.21,227.21,234.09,979500
RMD,2025-02-26,234.36,234.53,230.03,232.53,565536
RMD,2025-02-27,231.4,232.84,228.68,229.23,557475
RMD,2025-02-28,229.42,231.58,226.14,231.45,1306900
RMD,2025-03-03,232.02,234.34,229.34,231.03,722900
RMD,2025-03-04,231.37,231.6,225.07,229.43,801287
RMD,2025-03-05,225.69,226.11,217.81,221.84,1188042
RMD,2025-03-06,221.86,224.01,217.73,223.03,1226762
RMD,2025-03-07,222.44,230.8,220.93,230.38,908219
RMD,2025-03-10,228.32,241.21,226.69,234.53,2006000
RMD,2025-03-11,234.21,235.34,222.89,223.79,1282805
RMD,2025-03-12,220.97,220.97,215.74,218.27,775600
RMD,2025-03-13,219.79,220.84,215.59,217.77,1173332
RMD,2025-03-14,217.94,222.65,217.24,222.17,746952
RMD,2025-03-17,220.43,224.94,218.82,222.75,806500
RMD,2025-03-18,221.03,222.12,217.18,218.3,710600
RMD,2025-03-19,219.89,222.0,218.46,220.08,801882
RMD,2025-03-20,221.92,223.56,218.59,219.15,671414
RMD,2025-03-21,218.14,219.24,215.1,217.75,1171800
RMD,2025-03-24,219.54,222.12,218.39,220.93,753895
RMD,2025-03-25,221.33,224.99,217.62,219.33,1060414
RMD,2025-03-26,219.52,222.07,218.78,219.91,492341
RMD,2025-03-27,221.64,222.73,219.33,220.65,484700
RMD,2025-03-28,219.77,221.16,217.75,217.99,542428
RMD,2025-03-31,217.16,223.25,213.14,221.86,1086600
RMD,2025-04-01,220.89,221.12,217.52,220.33,766900
RMD,2025-04-02,217.79,221.58,217.14,221.02,625900
RMD,2025-04-03,215.08,216.59,209.84,211.46,1512127
RMD,2025-04-04,207.8,209.67,202.7,203.35,2065636
RMD,2025-04-07,199.09,216.93,198.15,211.11,2203396
RMD,2025-04-08,213.67,214.68,200.05,202.73,1527918
RMD,2025-04-09,202.18,216.2,200.11,214.52,1772029
RMD,2025-04-10,212.25,212.8,205.13,208.68,1044500
RMD,2025-04-11,210.28,212.1,204.9,212.09,2305935
RMD,2025-04-14,212.16,213.42,208.38,212.63,1745100
RMD,2025-04-15,213.95,215.45,210.17,212.07,1769529
RMD,2025-04-16,209.89,212.9,208.67,209.61,938300
RMD,2025-04-17,207.14,212.42,200.21,211.02,1109600
RMD,2025-04-21,209.74,212.24,207.45,209.0,941754
RMD,2025-04-22,210.58,213.17,209.23,212.18,1365825
RMD,2025-04-23,212.39,219.57,208.48,212.46,1691746
RMD,2025-04-24,231.13,237.54,225.39,234.01,2257946
RMD,2025-04-25,236.45,236.82,228.47,233.79,1194900
RMD,2025-04-28,233.9,234.72,228.86,232.06,1117954
RMD,2025-04-29,232.93,235.85,231.55,235.63,718104
RMD,2025-04-30,235.02,235.29,231.47,234.49,1321162
RMD,2025-05-01,234.49,236.69,231.79,234.39,732200
RMD,2025-05-02,237.87,238.86,236.11,237.82,608800
RMD,2025-05-05,238.76,239.61,236.58,238.53,766020
RMD,2025-05-06,235.9,240.32,234.89,239.8,898644
RMD,2025-05-07,240.1,243.14,239.4,242.53,750159
RMD,2025-05-08,244.08,245.68,241.13,241.45,737950
RMD,2025-05-09,242.22,243.76,240.86,243.39,693839
RMD,2025-05-12,246.21,248.3,244.97,245.99,894319
RMD,2025-05-13,246.43,247.17,244.3,245.98,2145961
RMD,2025-05-14,246.36,247.72,244.78,245.33,1074900
RMD,2025-05-15,247.92,248.29,244.55,246.91,1442200
RMD,2025-05-16,247.57,250.25,246.05,250.0,839610
RMD,2025-05-19,247.25,251.72,246.42,251.64,658700
RMD,2025-05-20,241.83,249.8,241.56,246.47,1432300
RMD,2025-05-21,245.34,247.33,242.75,244.13,847104
RMD,2025-05-22,242.95,245.41,242.23,243.84,644423
RMD,2025-05-23,240.91,243.85,240.59,241.21,558148
RMD,2025-05-27,244.69,245.81,242.35,244.56,1056207
RMD,2025-05-28,244.15,245.33,242.96,243.11,656927
RMD,2025-05-29,243.5,244.58,242.0,243.47,562836
RMD,2025-05-30,242.85,244.13,240.51,243.14,1060300
RMD,2025-06-02,242.14,242.78,238.33,242.39,640651
RMD,2025-06-03,242.08,245.69,240.36,245.39,833237
RMD,2025-06-04,245.66,248.88,245.3,248.26,703739
RMD,2025-06-05,249.16,250.12,246.97,248.01,643313
RMD,2025-06-06,248.95,250.78,247.97,250.5,458653
RMD,2025-06-09,250.3,250.72,246.9,249.29,976800
RMD,2025-06-10,251.74,253.04,250.41,250.96,861900
RMD,2025-06-11,250.98,253.27,249.08,249.67,620300
RMD,2025-06-12,248.99,250.51,248.57,250.51,573049
RMD,2025-06-13,248.95,250.24,246.53,247.66,427416
RMD,2025-06-16,249.04,252.32,247.93,249.99,645900
