symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RNG,2024-08-27,33.26,34.09,33.1,33.87,835547
RNG,2024-08-28,33.7,33.89,32.94,33.37,811611
RNG,2024-08-29,33.66,34.4,33.57,33.79,1086113
RNG,2024-08-30,34.0,34.51,33.07,33.27,1145113
RNG,2024-09-03,32.95,33.59,32.64,32.8,856030
RNG,2024-09-04,31.39,31.86,28.79,29.1,3036233
RNG,2024-09-05,29.1,29.53,28.81,28.95,1326900
RNG,2024-09-06,29.06,29.53,28.01,28.01,1615816
RNG,2024-09-09,28.23,28.83,27.65,27.67,1600000
RNG,2024-09-10,27.68,27.9,27.19,27.7,1664300
RNG,2024-09-11,27.5,28.37,27.45,27.95,1318820
RNG,2024-09-12,28.04,28.62,27.68,28.28,846601
RNG,2024-09-13,28.45,29.83,28.45,29.33,1211800
RNG,2024-09-16,29.39,30.84,29.31,30.26,2273600
RNG,2024-09-17,30.45,30.88,29.64,29.99,1069500
RNG,2024-09-18,29.93,30.77,29.53,30.04,1170700
RNG,2024-09-19,30.91,30.91,30.22,30.31,1298232
RNG,2024-09-20,30.15,30.75,29.98,30.27,3357229
RNG,2024-09-23,30.38,30.74,29.7,30.37,1304196
RNG,2024-09-24,30.83,30.91,30.19,30.57,1041400
RNG,2024-09-25,30.42,30.73,30.1,30.19,1062500
RNG,2024-09-26,30.67,31.04,30.25,31.02,1154200
RNG,2024-09-27,31.29,31.52,31.12,31.49,908049
RNG,2024-09-30,31.5,31.97,31.41,31.58,1132718
RNG,2024-10-01,31.44,31.7,30.47,30.64,821600
RNG,2024-10-02,30.66,31.51,30.53,31.26,2240200
RNG,2024-10-03,30.95,31.38,30.79,30.98,1354825
RNG,2024-10-04,31.47,31.47,30.75,30.93,840500
RNG,2024-10-07,30.85,30.95,29.95,30.04,1340304
RNG,2024-10-08,29.94,30.13,29.61,29.78,1925532
RNG,2024-10-09,29.78,30.78,29.75,30.36,3651534
RNG,2024-10-10,29.89,31.8,29.89,31.3,2313300
RNG,2024-10-11,31.48,32.7,31.29,32.67,1231388
RNG,2024-10-14,32.67,32.83,32.35,32.66,853000
RNG,2024-10-15,32.62,32.92,32.35,32.78,765294
RNG,2024-10-16,32.84,33.0,32.45,32.84,730200
RNG,2024-10-17,32.56,32.92,32.28,32.9,675609
RNG,2024-10-18,33.26,33.94,33.18,33.87,1009334
RNG,2024-10-21,33.85,34.36,33.81,34.04,1373510
RNG,2024-10-22,33.87,34.3,33.43,33.95,866400
RNG,2024-10-23,34.01,34.17,33.17,33.39,747100
RNG,2024-10-24,33.59,34.22,33.59,34.12,796600
RNG,2024-10-25,34.16,34.38,33.64,33.76,661400
RNG,2024-10-28,34.04,34.2,33.85,34.03,762748
RNG,2024-10-29,33.83,34.53,33.83,34.15,1118500
RNG,2024-10-30,34.14,35.74,34.14,35.5,1168147
RNG,2024-10-31,35.56,36.38,35.23,35.95,1160717
RNG,2024-11-01,36.18,37.15,36.05,36.39,1283559
RNG,2024-11-04,36.3,36.7,35.83,36.1,1126000
RNG,2024-11-05,36.06,36.57,35.52,36.55,1190714
RNG,2024-11-06,37.12,37.96,36.97,37.44,1562334
RNG,2024-11-07,37.86,38.85,37.65,38.74,1828200
RNG,2024-11-08,38.44,40.92,36.61,37.91,2624389
RNG,2024-11-11,38.2,38.59,35.94,36.15,2144615
RNG,2024-11-12,35.7,36.98,35.55,36.21,1248598
RNG,2024-11-13,36.25,38.23,36.19,37.88,1421240
RNG,2024-11-14,37.87,38.09,36.63,36.68,1046100
RNG,2024-11-15,36.26,36.59,35.24,35.72,1101940
RNG,2024-11-18,35.49,35.59,34.07,34.97,1478483
RNG,2024-11-19,34.58,35.98,34.42,35.5,1034738
RNG,2024-11-20,35.47,35.63,34.74,34.98,692246
RNG,2024-11-21,35.15,35.44,34.36,34.81,1516233
RNG,2024-11-22,34.89,37.03,34.86,36.85,1329316
RNG,2024-11-25,37.32,39.06,37.18,38.92,1541959
RNG,2024-11-26,38.63,38.82,38.09,38.58,1026223
RNG,2024-11-27,38.77,39.21,37.87,38.0,652707
RNG,2024-11-29,38.04,38.25,37.36,37.57,380904
RNG,2024-12-02,37.54,37.95,37.18,37.7,789786
RNG,2024-12-03,37.26,38.41,36.88,36.99,3768309
RNG,2024-12-04,37.72,40.52,37.34,39.72,2268500
RNG,2024-12-05,39.84,40.13,38.42,38.44,1160638
RNG,2024-12-06,39.04,40.97,38.78,40.96,1596032
RNG,2024-12-09,41.28,41.85,40.66,41.66,1386226
RNG,2024-12-10,41.29,42.12,41.07,41.18,2252798
RNG,2024-12-11,41.32,42.09,40.15,41.75,1151504
RNG,2024-12-12,41.58,41.67,40.64,41.28,1138500
RNG,2024-12-13,40.81,40.99,38.2,38.98,1694608
RNG,2024-12-16,38.82,40.38,38.8,39.86,1216100
RNG,2024-12-17,39.68,39.9,38.68,39.17,1180600
RNG,2024-12-18,39.28,39.53,37.38,37.61,908107
RNG,2024-12-19,37.93,38.23,36.51,37.1,1275900
RNG,2024-12-20,36.69,37.64,36.21,37.39,2563650
RNG,2024-12-23,37.14,37.7,36.85,37.29,696500
RNG,2024-12-24,37.21,37.21,36.65,36.93,342841
RNG,2024-12-26,36.75,37.69,36.54,37.31,627950
RNG,2024-12-27,37.21,37.21,35.42,36.05,710800
RNG,2024-12-30,35.82,35.82,35.01,35.4,852100
RNG,2024-12-31,35.63,35.72,34.84,34.95,588820
RNG,2025-01-02,35.53,35.78,34.73,34.77,683000
RNG,2025-01-03,33.94,35.37,33.94,35.34,846326
RNG,2025-01-06,35.65,37.17,35.63,36.71,1621033
RNG,2025-01-07,35.61,35.73,33.67,33.97,2488519
RNG,2025-01-08,34.01,34.45,33.24,33.51,1162804
RNG,2025-01-10,32.99,33.27,32.44,32.89,1171825
RNG,2025-01-13,32.45,32.68,32.09,32.35,1386063
RNG,2025-01-14,32.45,32.95,31.86,32.76,1406959
RNG,2025-01-15,33.67,34.32,33.35,33.39,986240
RNG,2025-01-16,33.43,33.91,33.04,33.46,1364000
RNG,2025-01-17,34.06,34.14,33.11,33.75,727921
RNG,2025-01-21,34.01,34.62,33.5,34.21,1407013
RNG,2025-01-22,34.27,35.04,33.86,34.02,973515
RNG,2025-01-23,33.78,34.44,33.02,34.33,1303828
RNG,2025-01-24,34.62,35.15,34.23,34.59,807900
RNG,2025-01-27,33.56,34.81,33.44,34.79,927696
RNG,2025-01-28,34.92,36.37,34.18,36.23,1238001
RNG,2025-01-29,36.18,36.18,34.84,35.33,773328
RNG,2025-01-30,35.19,35.87,34.9,35.53,722448
RNG,2025-01-31,35.82,35.86,34.62,34.76,1023453
RNG,2025-02-03,33.65,34.25,33.0,34.12,1173300
RNG,2025-02-04,34.4,34.65,33.91,34.58,916440
RNG,2025-02-05,34.7,34.92,34.03,34.91,734837
RNG,2025-02-06,34.74,34.89,34.23,34.61,684152
RNG,2025-02-07,34.53,34.64,33.59,33.75,844300
RNG,2025-02-10,34.09,35.17,33.86,34.76,795445
RNG,2025-02-11,34.3,34.89,33.94,34.27,708816
RNG,2025-02-12,33.69,34.96,33.47,34.76,557406
RNG,2025-02-13,34.93,35.12,34.43,35.12,806900
RNG,2025-02-14,35.11,35.19,33.25,33.68,1295400
RNG,2025-02-18,33.94,34.12,32.84,33.75,1089507
RNG,2025-02-19,33.58,33.73,31.45,31.69,2300733
RNG,2025-02-20,31.62,31.62,30.08,30.72,2405811
RNG,2025-02-21,29.2,29.95,28.2,28.9,3958500
RNG,2025-02-24,28.78,29.22,27.62,28.88,2705503
RNG,2025-02-25,28.63,29.17,27.74,28.73,2435426
RNG,2025-02-26,28.94,29.24,28.37,28.66,2316833
RNG,2025-02-27,28.71,29.16,28.4,28.55,1975119
RNG,2025-02-28,28.4,28.95,27.86,28.4,2046300
RNG,2025-03-03,28.65,29.08,27.8,27.92,1826531
RNG,2025-03-04,27.64,28.52,27.17,27.42,1889347
RNG,2025-03-05,27.42,28.15,27.42,27.92,2373241
RNG,2025-03-06,27.48,28.13,27.48,27.89,1606549
RNG,2025-03-07,27.67,28.64,26.97,27.99,1724794
RNG,2025-03-10,27.77,27.99,26.59,26.94,1834529
RNG,2025-03-11,26.66,27.43,26.6,26.7,2096000
RNG,2025-03-12,27.13,27.53,26.56,26.9,1568986
RNG,2025-03-13,26.69,26.78,26.18,26.28,1529048
RNG,2025-03-14,26.74,27.08,26.52,26.95,1545465
RNG,2025-03-17,26.95,27.35,26.82,26.95,2594221
RNG,2025-03-18,26.89,27.24,26.51,26.95,1851734
RNG,2025-03-19,27.13,27.62,26.97,27.16,1816500
RNG,2025-03-20,26.94,27.38,26.85,26.98,1196200
RNG,2025-03-21,26.79,27.14,26.64,26.86,6642769
RNG,2025-03-24,27.52,28.07,27.29,28.02,1595400
RNG,2025-03-25,28.21,28.44,27.79,27.79,1061640
