symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ROKU,2024-08-27,69.4,70.68,68.88,69.74,2598500
ROKU,2024-08-28,69.28,69.28,66.31,66.85,3319212
ROKU,2024-08-29,67.45,69.75,67.36,68.44,3398300
ROKU,2024-08-30,68.7,68.83,63.83,67.77,6091010
ROKU,2024-09-03,67.64,67.64,64.91,65.22,2340714
ROKU,2024-09-04,64.37,65.93,63.28,63.55,2276207
ROKU,2024-09-05,66.85,68.4,65.39,66.7,4953601
ROKU,2024-09-06,66.81,67.84,63.69,64.37,3196300
ROKU,2024-09-09,64.37,66.61,64.15,65.41,2507541
ROKU,2024-09-10,66.07,66.19,64.11,65.66,2064500
ROKU,2024-09-11,68.11,70.2,66.95,70.15,4670200
ROKU,2024-09-12,74.65,75.27,72.46,74.13,7546200
ROKU,2024-09-13,74.69,75.45,73.67,74.69,3092200
ROKU,2024-09-16,74.23,74.94,72.73,74.37,2601747
ROKU,2024-09-17,75.33,76.4,74.42,74.67,2773325
ROKU,2024-09-18,76.18,78.69,76.0,77.36,5671900
ROKU,2024-09-19,79.47,79.65,76.41,77.45,4290600
ROKU,2024-09-20,76.78,77.94,75.6,76.02,4063100
ROKU,2024-09-23,75.96,76.32,73.76,73.8,2734605
ROKU,2024-09-24,74.11,76.51,73.73,76.36,3077900
ROKU,2024-09-25,75.9,76.1,73.58,74.01,3146736
ROKU,2024-09-26,73.88,74.48,71.74,73.7,3691900
ROKU,2024-09-27,74.4,76.0,74.17,74.41,2841548
ROKU,2024-09-30,75.32,75.44,73.72,74.66,2374147
ROKU,2024-10-01,75.66,76.61,73.18,74.34,2987014
ROKU,2024-10-02,73.84,74.76,73.28,74.18,2031900
ROKU,2024-10-03,73.65,75.54,73.34,75.45,2021900
ROKU,2024-10-04,76.71,77.3,74.95,75.89,1742754
ROKU,2024-10-07,75.97,77.49,75.28,76.35,2585309
ROKU,2024-10-08,75.63,78.74,75.63,78.57,2535100
ROKU,2024-10-09,78.47,78.7,76.8,77.4,2621200
ROKU,2024-10-10,77.37,78.56,76.33,77.37,2056900
ROKU,2024-10-11,77.27,79.03,77.24,78.37,2212500
ROKU,2024-10-14,77.96,78.15,76.16,76.36,2932504
ROKU,2024-10-15,76.27,79.43,76.2,78.93,3002700
ROKU,2024-10-16,79.01,80.77,76.53,77.56,2893800
ROKU,2024-10-17,77.09,78.3,76.5,76.95,2128438
ROKU,2024-10-18,78.61,80.2,78.24,80.07,2874200
ROKU,2024-10-21,79.65,79.9,76.42,77.0,2997231
ROKU,2024-10-22,76.65,77.26,76.01,76.79,1661615
ROKU,2024-10-23,76.33,76.93,72.72,73.5,3738429
ROKU,2024-10-24,74.0,74.76,73.55,74.04,2287619
ROKU,2024-10-25,74.66,76.23,74.25,75.27,2281507
ROKU,2024-10-28,75.93,77.25,75.61,76.05,2030300
ROKU,2024-10-29,76.17,77.06,75.06,76.41,1956200
ROKU,2024-10-30,76.92,79.29,76.08,77.51,7243008
ROKU,2024-10-31,68.0,68.75,60.05,64.08,21958700
ROKU,2024-11-01,63.35,66.0,63.0,65.7,6782400
ROKU,2024-11-04,64.62,69.82,64.51,67.18,6687400
ROKU,2024-11-05,67.23,71.27,67.0,69.67,5511608
ROKU,2024-11-06,71.96,72.97,71.11,72.27,4065500
ROKU,2024-11-07,72.6,72.89,70.99,72.03,3187200
ROKU,2024-11-08,71.49,74.14,70.76,73.82,4265900
ROKU,2024-11-11,74.53,77.21,73.85,77.12,3474309
ROKU,2024-11-12,76.15,77.74,75.75,76.62,2906100
ROKU,2024-11-13,75.78,78.57,75.1,75.21,2775000
ROKU,2024-11-14,75.57,76.35,74.2,74.32,2269445
ROKU,2024-11-15,74.5,74.5,68.77,68.87,5824108
ROKU,2024-11-18,71.28,74.44,70.22,74.03,4540435
ROKU,2024-11-19,72.89,75.02,72.18,73.61,2853820
ROKU,2024-11-20,67.99,69.85,65.97,68.71,8627000
ROKU,2024-11-21,69.52,69.85,68.15,68.68,2716800
ROKU,2024-11-22,68.0,70.81,67.77,69.2,4142200
ROKU,2024-11-25,69.71,70.12,68.14,68.22,3993721
ROKU,2024-11-26,67.7,68.38,66.23,66.31,3405500
ROKU,2024-11-27,66.73,68.29,66.49,67.71,2894400
ROKU,2024-11-29,67.82,69.05,67.56,69.03,1540100
ROKU,2024-12-02,69.65,77.3,69.28,77.05,8292402
ROKU,2024-12-03,76.05,77.7,74.29,75.69,4171208
ROKU,2024-12-04,80.17,85.95,79.16,82.94,12233321
ROKU,2024-12-05,82.81,83.39,80.1,82.03,4295010
ROKU,2024-12-06,83.31,86.48,82.67,84.12,4228400
ROKU,2024-12-09,85.0,86.75,81.74,84.12,3695500
ROKU,2024-12-10,84.09,85.28,80.58,81.82,2261448
ROKU,2024-12-11,82.99,84.29,82.27,82.42,2469600
ROKU,2024-12-12,82.28,84.26,81.88,81.9,1875100
ROKU,2024-12-13,81.66,83.14,81.12,82.99,2019540
ROKU,2024-12-16,82.73,84.1,81.02,83.44,1919540
ROKU,2024-12-17,81.82,84.4,81.63,83.39,2153300
ROKU,2024-12-18,83.0,84.47,77.59,78.49,3515700
ROKU,2024-12-19,79.84,80.73,77.33,78.43,3110061
ROKU,2024-12-20,77.67,81.84,77.09,80.59,3466600
ROKU,2024-12-23,79.86,80.73,78.36,78.8,2484700
ROKU,2024-12-24,78.91,79.75,78.37,79.56,768300
ROKU,2024-12-26,79.08,80.06,78.57,79.48,1190720
ROKU,2024-12-27,79.18,79.18,74.71,77.03,2286531
ROKU,2024-12-30,75.39,75.8,73.31,74.89,2214100
ROKU,2024-12-31,75.21,75.87,73.46,74.34,1686900
ROKU,2025-01-02,75.14,76.14,73.58,74.49,1938819
ROKU,2025-01-03,74.74,77.5,73.94,77.38,2634920
ROKU,2025-01-06,78.33,81.94,78.01,79.91,2688338
ROKU,2025-01-07,84.2,84.84,76.8,77.99,3435413
ROKU,2025-01-08,79.07,84.92,78.6,83.0,5502020
ROKU,2025-01-10,80.84,81.41,78.8,79.19,3691764
ROKU,2025-01-13,77.67,78.82,76.3,76.66,2486000
ROKU,2025-01-14,77.08,77.49,74.1,74.8,2639900
ROKU,2025-01-15,77.18,78.63,76.26,76.53,2249816
ROKU,2025-01-16,76.5,76.97,74.92,75.16,3027200
ROKU,2025-01-17,75.84,77.22,75.56,75.89,1797900
ROKU,2025-01-21,77.65,81.74,77.65,79.74,4072800
ROKU,2025-01-22,80.79,81.26,78.8,79.6,2576807
ROKU,2025-01-23,79.6,83.85,78.59,83.78,3214307
ROKU,2025-01-24,83.62,84.75,80.58,81.29,2830500
ROKU,2025-01-27,78.83,81.48,78.28,80.21,1856847
ROKU,2025-01-28,80.0,83.06,79.35,82.34,1788613
ROKU,2025-01-29,82.44,83.75,80.62,82.58,1660708
ROKU,2025-01-30,82.8,85.7,82.8,85.28,2330032
ROKU,2025-01-31,86.0,86.41,82.18,82.76,2866200
ROKU,2025-02-03,80.33,82.27,79.0,79.1,3228916
ROKU,2025-02-04,79.08,82.7,78.87,80.16,3266614
ROKU,2025-02-05,80.12,81.71,79.52,81.65,2105646
ROKU,2025-02-06,81.16,82.12,80.29,81.08,1926300
ROKU,2025-02-07,80.87,85.19,80.87,85.0,3208300
ROKU,2025-02-10,86.66,91.61,84.47,84.6,6609600
ROKU,2025-02-11,82.75,83.75,81.21,82.75,3598600
ROKU,2025-02-12,81.48,85.29,81.25,84.78,3203600
ROKU,2025-02-13,81.76,87.06,81.39,86.8,10325900
ROKU,2025-02-14,100.79,104.96,96.16,99.07,18474134
ROKU,2025-02-18,99.93,102.39,94.44,95.8,6062800
ROKU,2025-02-19,95.0,96.36,92.13,92.41,3750240
ROKU,2025-02-20,94.22,95.03,90.43,92.79,3601147
ROKU,2025-02-21,93.69,93.79,88.2,88.86,3413500
ROKU,2025-02-24,88.86,91.83,86.81,91.24,3086000
ROKU,2025-02-25,91.42,91.43,85.35,85.76,4022600
ROKU,2025-02-26,85.86,87.3,84.2,85.57,3527721
ROKU,2025-02-27,86.19,87.0,81.34,81.49,2831500
ROKU,2025-02-28,80.7,83.67,79.75,83.51,3058000
ROKU,2025-03-03,84.67,85.5,79.45,80.26,2450600
ROKU,2025-03-04,79.03,82.07,76.68,80.41,3875900
ROKU,2025-03-05,80.41,85.41,79.53,85.07,4811929
ROKU,2025-03-06,83.74,85.07,79.29,79.6,3854900
ROKU,2025-03-07,78.12,79.36,72.43,76.67,5873220
ROKU,2025-03-10,74.27,74.5,68.99,71.15,5884629
ROKU,2025-03-11,70.62,72.1,68.34,69.64,3353700
ROKU,2025-03-12,71.73,72.68,70.11,70.96,3383900
ROKU,2025-03-13,70.56,71.44,67.35,67.63,3694712
ROKU,2025-03-14,68.77,69.92,67.55,67.78,3060801
ROKU,2025-03-17,67.81,70.61,67.31,69.65,3381234
ROKU,2025-03-18,68.79,68.84,66.27,67.36,3207141
ROKU,2025-03-19,69.47,74.45,69.29,72.14,6799030
ROKU,2025-03-20,71.09,75.1,71.07,73.82,3854700
ROKU,2025-03-21,72.25,78.72,72.02,78.29,5833409
ROKU,2025-03-24,80.33,81.59,79.35,81.23,4181600
ROKU,2025-03-25,81.21,82.34,79.79,81.73,2547412
ROKU,2025-03-26,81.12,82.19,77.12,77.87,2203316
ROKU,2025-03-27,78.66,78.76,75.51,76.05,2113300
ROKU,2025-03-28,76.11,76.69,72.44,72.49,3050414
ROKU,2025-03-31,70.06,71.24,67.5,70.44,3756303
ROKU,2025-04-01,70.77,73.56,69.6,70.6,3020946
ROKU,2025-04-02,68.31,72.67,68.24,71.42,3037743
ROKU,2025-04-03,65.32,65.52,59.71,60.26,7723127
ROKU,2025-04-04,57.75,58.3,53.24,55.28,6957100
ROKU,2025-04-07,53.23,62.49,52.43,57.13,7255300
ROKU,2025-04-08,61.5,62.5,54.18,55.1,5645907
ROKU,2025-04-09,54.69,67.33,54.5,63.86,9985338
ROKU,2025-04-10,60.0,60.9,56.98,59.27,5512228
ROKU,2025-04-11,58.81,60.3,57.18,60.22,5284345
ROKU,2025-04-14,61.71,62.64,57.95,59.5,3515637
ROKU,2025-04-15,59.42,60.29,58.66,59.39,3056546
ROKU,2025-04-16,57.88,59.03,57.03,58.4,2574945
ROKU,2025-04-17,58.68,58.82,57.38,58.46,2585000
ROKU,2025-04-21,57.16,59.26,57.01,59.17,4028100
ROKU,2025-04-22,59.41,60.91,58.87,59.23,3510300
ROKU,2025-04-23,62.17,65.05,62.14,62.58,4293500
ROKU,2025-04-24,62.76,65.0,62.58,64.65,3061700
ROKU,2025-04-25,65.0,66.59,64.51,65.71,2971700
ROKU,2025-04-28,65.7,68.28,65.22,68.14,3564806
ROKU,2025-04-29,69.03,71.16,68.64,69.28,3835600
ROKU,2025-04-30,66.45,68.69,65.85,68.18,4162600
ROKU,2025-05-01,70.32,71.25,66.93,67.27,10330835
ROKU,2025-05-02,59.86,63.68,58.55,61.55,13889400
ROKU,2025-05-05,60.68,61.75,59.05,60.42,5235500
ROKU,2025-05-06,59.45,61.21,58.77,60.29,3572933
ROKU,2025-05-07,60.09,61.04,59.45,59.89,3322321
ROKU,2025-05-08,60.68,62.32,59.93,61.36,3753300
ROKU,2025-05-09,61.91,62.84,60.43,60.93,3095638
ROKU,2025-05-12,65.5,69.39,65.2,68.78,8114000
ROKU,2025-05-13,69.21,72.17,69.07,71.4,4836800
ROKU,2025-05-14,71.47,72.18,70.12,71.88,4563700
ROKU,2025-05-15,70.71,71.14,69.15,70.07,2518100
ROKU,2025-05-16,70.29,71.47,69.97,71.37,2116100
ROKU,2025-05-19,69.23,71.18,69.11,70.83,2454422
ROKU,2025-05-20,70.62,72.26,69.96,71.41,2561506
ROKU,2025-05-21,70.22,71.77,68.6,69.56,3631736
ROKU,2025-05-22,69.21,70.78,69.15,69.77,2729914
ROKU,2025-05-23,67.89,69.05,67.67,69.01,2108618
ROKU,2025-05-27,70.11,72.42,69.12,71.98,3437303
ROKU,2025-05-28,72.41,74.14,72.19,73.96,3143000
ROKU,2025-05-29,75.2,75.25,72.49,72.8,3063600
ROKU,2025-05-30,71.5,72.88,71.2,72.46,9625911
ROKU,2025-06-02,71.75,74.05,71.61,73.01,2500800
ROKU,2025-06-03,72.98,73.97,71.88,72.97,3499900
ROKU,2025-06-04,72.88,74.66,72.75,73.69,3034389
ROKU,2025-06-05,73.76,76.5,73.65,74.6,3854847
ROKU,2025-06-06,76.38,78.73,74.7,78.5,5685230
ROKU,2025-06-09,79.41,79.64,78.14,79.59,2989828
ROKU,2025-06-10,79.66,81.75,79.36,79.91,3886534
ROKU,2025-06-11,80.31,81.84,79.51,80.48,2306230
ROKU,2025-06-12,78.98,79.8,76.16,76.75,3687000
ROKU,2025-06-13,74.95,76.36,73.91,74.41,3220836
ROKU,2025-06-16,81.32,84.38,79.91,82.17,9933131
ROKU,2025-06-17,84.29,85.4,79.79,80.63,5593418
ROKU,2025-06-18,80.7,82.44,80.13,81.43,3096700
ROKU,2025-06-20,82.29,82.62,80.63,80.99,2587447
ROKU,2025-06-23,80.61,80.98,77.64,80.9,4781300
ROKU,2025-06-24,80.99,83.71,80.62,83.69,3838300
ROKU,2025-06-25,84.25,85.3,83.3,83.63,3207493
ROKU,2025-06-26,83.73,86.94,82.6,86.5,3259300
ROKU,2025-06-27,87.12,87.73,85.14,86.94,3631533
ROKU,2025-06-30,88.53,89.06,87.1,87.89,3011135
ROKU,2025-07-01,86.74,89.2,86.0,86.2,3487900
ROKU,2025-07-02,86.4,88.05,85.51,86.4,2833700
ROKU,2025-07-03,87.96,88.99,86.83,88.27,2047200
ROKU,2025-07-07,87.16,88.12,85.82,88.06,2961800
ROKU,2025-07-08,88.5,89.65,87.33,88.14,1831200
ROKU,2025-07-09,88.14,88.95,87.18,88.63,1917500
