symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ROST,2024-12-05,152.08,154.63,151.85,154.18,2884338
ROST,2024-12-06,155.04,155.89,153.86,154.06,3692203
ROST,2024-12-09,154.04,156.23,152.96,153.82,3555760
ROST,2024-12-10,154.03,154.79,152.04,153.72,2228714
ROST,2024-12-11,154.7,154.98,151.74,151.82,1499954
ROST,2024-12-12,151.29,152.65,151.13,151.86,2129328
ROST,2024-12-13,151.87,152.67,150.85,151.51,1698006
ROST,2024-12-16,151.95,151.95,147.67,147.95,2557018
ROST,2024-12-17,147.21,149.66,147.19,148.87,3313300
ROST,2024-12-18,148.87,150.1,146.59,146.65,2641351
ROST,2024-12-19,146.59,147.49,145.81,145.85,2352100
ROST,2024-12-20,145.88,149.22,145.86,147.19,6172700
ROST,2024-12-23,146.53,146.97,144.91,146.73,1411221
ROST,2024-12-24,147.13,148.65,146.57,148.5,658000
ROST,2024-12-26,148.12,152.01,147.72,151.85,1313641
ROST,2024-12-27,150.76,152.05,150.05,150.95,1341500
ROST,2024-12-30,150.02,150.26,147.77,149.51,1703041
ROST,2024-12-31,150.44,150.7,148.64,149.28,1692847
ROST,2025-01-02,150.52,152.78,149.39,150.59,1947525
ROST,2025-01-03,151.6,153.04,150.52,152.22,1638767
ROST,2025-01-06,152.08,155.18,152.08,152.91,1882419
ROST,2025-01-07,152.69,153.17,149.44,149.57,2705522
ROST,2025-01-08,149.89,152.67,148.93,152.6,2437801
ROST,2025-01-10,150.3,152.4,149.63,149.75,2809606
ROST,2025-01-13,149.26,149.45,144.69,149.17,2086768
ROST,2025-01-14,149.28,149.79,146.28,147.16,1961400
ROST,2025-01-15,148.7,149.02,145.69,147.05,2366064
ROST,2025-01-16,147.4,148.21,146.82,147.04,2254600
ROST,2025-01-17,148.85,149.45,146.95,147.19,3011202
ROST,2025-01-21,146.2,147.65,145.52,146.98,2508737
ROST,2025-01-22,146.55,147.91,144.65,147.82,2640854
ROST,2025-01-23,147.18,147.42,145.88,146.66,2419800
