symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RS,2025-02-10,292.34,292.34,282.67,285.12,481719
RS,2025-02-11,286.22,289.34,283.09,284.4,233130
RS,2025-02-12,280.83,283.72,279.09,281.23,334800
RS,2025-02-13,281.87,285.4,279.61,285.2,294500
RS,2025-02-14,286.85,292.77,286.34,291.5,513308
RS,2025-02-18,293.39,294.45,289.58,293.16,416500
RS,2025-02-19,289.02,293.27,286.81,287.52,532147
RS,2025-02-20,291.08,304.52,289.84,296.37,874200
RS,2025-02-21,300.11,300.11,293.62,294.8,531400
RS,2025-02-24,297.77,300.0,292.53,292.99,755339
RS,2025-02-25,291.25,294.15,289.01,289.89,479100
RS,2025-02-26,293.01,294.39,287.79,288.17,278000
RS,2025-02-27,288.82,292.06,288.27,288.87,277014
RS,2025-02-28,289.83,291.41,285.45,290.98,418900
RS,2025-03-03,294.92,295.22,280.62,283.01,416100
RS,2025-03-04,279.27,281.03,272.57,275.38,568181
RS,2025-03-05,276.45,280.0,273.17,277.44,512900
RS,2025-03-06,277.46,278.13,273.15,277.44,362800
RS,2025-03-07,277.11,285.04,276.28,284.13,379900
RS,2025-03-10,279.83,282.43,276.15,277.88,400402
RS,2025-03-11,278.8,281.21,275.22,276.93,372600
RS,2025-03-12,278.34,278.34,273.0,273.0,386100
RS,2025-03-13,271.52,276.45,270.23,274.29,385720
RS,2025-03-14,276.9,279.47,274.83,278.08,297314
RS,2025-03-17,275.68,277.24,269.23,274.77,572200
RS,2025-03-18,274.76,277.56,273.52,276.09,320143
RS,2025-03-19,277.22,278.35,272.93,278.35,473117
RS,2025-03-20,275.03,280.15,275.03,276.82,524296
RS,2025-03-21,272.66,274.19,269.19,272.94,3082041
RS,2025-03-24,277.05,283.66,275.53,282.61,450548
RS,2025-03-25,281.83,289.32,281.83,288.34,420929
RS,2025-03-26,288.07,290.63,286.53,289.44,283790
RS,2025-03-27,287.9,291.51,286.24,288.93,268600
RS,2025-03-28,289.69,289.78,281.28,281.52,297100
RS,2025-03-31,278.28,284.15,276.06,283.95,362442
RS,2025-04-01,282.32,286.75,280.75,284.2,311300
RS,2025-04-02,280.17,289.86,279.93,289.01,331600
RS,2025-04-03,274.93,278.02,270.67,270.74,409213
RS,2025-04-04,262.46,267.01,254.9,260.38,660228
RS,2025-04-07,250.84,269.63,245.91,259.01,718600
RS,2025-04-08,268.54,275.1,255.5,257.72,484100
RS,2025-04-09,257.74,282.12,257.09,275.62,726500
RS,2025-04-10,269.3,277.8,263.88,272.99,576222
RS,2025-04-11,273.23,276.97,266.68,274.9,357831
RS,2025-04-14,276.92,278.77,272.17,273.7,216900
RS,2025-04-15,273.07,276.96,270.34,272.1,163647
RS,2025-04-16,270.59,275.56,266.48,270.62,230348
RS,2025-04-17,268.58,274.19,268.58,273.0,272714
RS,2025-04-21,270.94,271.39,265.51,267.33,268600
RS,2025-04-22,269.75,275.43,267.9,275.43,266353
