symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RSI,2024-08-27,9.17,9.27,9.05,9.14,1083880
RSI,2024-08-28,9.09,9.11,8.76,8.92,1132544
RSI,2024-08-29,8.98,9.11,8.8,9.11,1415000
RSI,2024-08-30,9.16,9.38,9.09,9.37,1961900
RSI,2024-09-03,9.19,9.24,8.99,9.02,1466211
RSI,2024-09-04,9.04,9.42,8.92,9.18,1323573
RSI,2024-09-05,9.16,9.32,8.99,9.1,1351307
RSI,2024-09-06,9.1,9.21,8.93,9.08,973238
RSI,2024-09-09,9.17,9.53,9.14,9.39,1494885
RSI,2024-09-10,9.39,9.44,9.26,9.35,804800
RSI,2024-09-11,9.35,9.56,9.22,9.55,1391833
RSI,2024-09-12,9.64,10.05,9.55,10.0,5381800
RSI,2024-09-13,10.12,10.35,10.01,10.07,4207717
RSI,2024-09-16,10.1,10.1,9.74,9.87,1363500
RSI,2024-09-17,9.98,10.2,9.91,10.17,1112207
RSI,2024-09-18,10.25,10.63,10.14,10.44,2516848
RSI,2024-09-19,10.75,10.8,10.49,10.55,1421233
RSI,2024-09-20,10.55,10.57,10.22,10.36,2225600
RSI,2024-09-23,10.45,10.49,10.18,10.45,1189600
RSI,2024-09-24,10.45,10.64,10.36,10.6,1478436
RSI,2024-09-25,10.91,10.94,10.61,10.66,2036721
RSI,2024-09-26,10.83,10.87,10.59,10.74,1269500
RSI,2024-09-27,10.85,10.97,10.64,10.72,2002200
RSI,2024-09-30,10.68,10.94,10.6,10.85,1178727
RSI,2024-10-01,10.75,10.77,10.29,10.29,1832560
RSI,2024-10-02,10.22,10.48,10.1,10.48,962800
RSI,2024-10-03,10.38,10.56,10.32,10.54,617449
RSI,2024-10-04,10.75,10.82,10.47,10.7,1211547
RSI,2024-10-07,10.67,10.7,10.42,10.44,794704
RSI,2024-10-08,10.49,11.03,10.43,10.85,1748700
RSI,2024-10-09,10.85,11.21,10.8,11.01,2453723
RSI,2024-10-10,10.92,10.99,10.77,10.94,1566647
RSI,2024-10-11,11.03,11.45,11.0,11.41,2161200
RSI,2024-10-14,11.45,11.54,11.21,11.36,855752
RSI,2024-10-15,11.31,11.31,10.99,11.02,1823600
RSI,2024-10-16,11.08,11.16,10.99,11.13,1290314
RSI,2024-10-17,11.14,11.18,10.89,11.13,1181800
RSI,2024-10-18,11.18,11.18,10.83,11.01,1407500
RSI,2024-10-21,10.74,10.84,10.52,10.72,1329700
RSI,2024-10-22,10.69,10.95,10.63,10.93,1396400
RSI,2024-10-23,10.85,11.01,10.67,10.74,778000
RSI,2024-10-24,10.78,10.89,10.51,10.58,872900
RSI,2024-10-25,10.66,10.78,10.31,10.32,1152600
RSI,2024-10-28,10.58,10.69,10.16,10.4,1394700
RSI,2024-10-29,10.24,10.65,10.02,10.61,1479385
RSI,2024-10-30,10.6,11.0,10.55,10.76,3718100
RSI,2024-10-31,11.45,11.5,10.08,10.82,5263523
RSI,2024-11-01,10.91,11.04,10.77,10.91,3473749
RSI,2024-11-04,10.9,11.27,10.75,10.86,3661200
RSI,2024-11-05,10.9,10.98,9.92,10.17,3630524
RSI,2024-11-06,10.84,11.15,10.63,10.84,3549335
RSI,2024-11-07,10.8,11.16,10.71,10.81,3543503
RSI,2024-11-08,10.73,10.93,10.53,10.9,2402241
RSI,2024-11-11,11.05,11.69,10.94,11.59,3922200
RSI,2024-11-12,11.53,12.18,11.36,12.1,4085208
RSI,2024-11-13,12.3,12.46,11.47,11.49,2030208
RSI,2024-11-14,11.5,11.72,11.32,11.41,1648443
RSI,2024-11-15,11.39,11.39,10.73,11.13,2197613
RSI,2024-11-18,11.07,11.31,11.04,11.26,1409463
RSI,2024-11-19,11.0,11.84,10.91,11.84,2218400
RSI,2024-11-20,11.96,12.21,11.72,12.21,1859510
RSI,2024-11-21,12.2,13.71,12.07,13.48,3337400
RSI,2024-11-22,13.56,13.63,12.97,13.32,2322203
RSI,2024-11-25,13.4,14.04,13.15,13.8,2225719
RSI,2024-11-26,13.76,14.53,13.62,14.51,2920716
RSI,2024-11-27,14.5,14.6,14.05,14.21,1772020
RSI,2024-11-29,14.32,14.51,14.15,14.42,687000
RSI,2024-12-02,14.3,14.82,14.28,14.41,1948722
RSI,2024-12-03,14.48,14.77,14.24,14.73,1278000
RSI,2024-12-04,14.72,14.92,14.29,14.3,2211635
RSI,2024-12-05,14.25,14.56,14.1,14.13,1162100
RSI,2024-12-06,14.26,14.26,13.62,13.68,1512937
RSI,2024-12-09,13.7,13.84,13.22,13.24,1590259
RSI,2024-12-10,13.37,13.82,13.12,13.5,1761905
RSI,2024-12-11,13.65,14.16,13.54,13.86,1399612
RSI,2024-12-12,13.59,13.93,13.55,13.67,877607
RSI,2024-12-13,13.83,13.99,13.43,13.57,1135700
RSI,2024-12-16,13.63,13.96,13.6,13.76,1254400
RSI,2024-12-17,13.63,14.13,13.31,13.87,1340101
RSI,2024-12-18,13.95,14.05,12.76,12.99,2062803
RSI,2024-12-19,13.23,13.48,13.02,13.14,1367798
RSI,2024-12-20,12.88,13.72,12.68,13.67,3057306
RSI,2024-12-23,13.49,13.66,13.18,13.49,1189231
RSI,2024-12-24,13.5,13.64,13.36,13.62,965346
RSI,2024-12-26,13.57,13.83,13.45,13.82,1117500
RSI,2024-12-27,13.68,13.85,13.32,13.74,1359979
RSI,2024-12-30,13.48,13.79,13.26,13.61,1481597
RSI,2024-12-31,13.61,13.8,13.4,13.72,1525238
RSI,2025-01-02,13.85,14.71,13.47,13.74,2419368
RSI,2025-01-03,13.64,14.35,13.62,14.25,1592747
RSI,2025-01-06,14.32,14.56,14.12,14.2,1721100
RSI,2025-01-07,14.28,14.96,14.04,14.74,2649900
RSI,2025-01-08,14.65,14.92,14.39,14.59,1622004
RSI,2025-01-10,14.33,14.39,13.65,13.98,1924341
RSI,2025-01-13,13.63,14.01,13.33,13.96,1393923
RSI,2025-01-14,14.14,15.01,14.09,14.8,1655561
RSI,2025-01-15,15.16,15.68,14.93,15.14,2255914
RSI,2025-01-16,15.14,15.32,14.9,14.93,1132762
RSI,2025-01-17,15.24,15.25,14.9,15.02,1014249
RSI,2025-01-21,15.19,15.61,15.15,15.36,1073592
RSI,2025-01-22,15.8,15.98,14.41,14.65,1890947
RSI,2025-01-23,14.5,14.62,14.26,14.39,1274700
RSI,2025-01-24,14.37,14.4,13.47,13.9,2439515
RSI,2025-01-27,13.58,14.07,13.53,14.05,1473800
RSI,2025-01-28,14.04,14.86,13.88,14.25,1997135
RSI,2025-01-29,14.32,14.54,14.15,14.32,1194850
RSI,2025-01-30,14.49,14.89,14.22,14.3,1126853
RSI,2025-01-31,14.35,14.77,14.07,14.58,1675807
RSI,2025-02-03,14.06,14.69,13.8,14.44,1447000
RSI,2025-02-04,14.52,15.26,14.43,14.91,5647433
RSI,2025-02-05,14.87,14.89,14.45,14.76,1390910
RSI,2025-02-06,14.79,14.89,14.28,14.39,970100
RSI,2025-02-07,14.43,14.46,13.56,14.1,3216211
RSI,2025-02-10,14.16,14.55,13.75,14.44,2770907
RSI,2025-02-11,14.28,15.14,14.28,14.88,2429625
RSI,2025-02-12,14.65,15.66,14.52,15.48,1909856
RSI,2025-02-13,15.71,15.79,15.08,15.73,1379205
RSI,2025-02-14,15.92,16.74,15.78,16.7,2639237
RSI,2025-02-18,16.62,16.78,15.75,16.02,2883731
RSI,2025-02-19,15.76,16.0,15.18,15.5,1916181
RSI,2025-02-20,15.48,15.78,15.24,15.41,2787100
RSI,2025-02-21,15.54,15.66,13.67,13.67,2271200
RSI,2025-02-24,13.65,13.87,13.1,13.23,2139000
RSI,2025-02-25,13.09,13.21,12.63,12.89,2186700
RSI,2025-02-26,13.14,13.73,13.14,13.3,2155922
RSI,2025-02-27,12.5,12.56,11.16,11.27,7273066
RSI,2025-02-28,11.5,11.79,11.2,11.66,3925800
RSI,2025-03-03,11.82,12.12,11.32,11.34,2735720
RSI,2025-03-04,11.13,11.54,10.95,11.29,2355734
RSI,2025-03-05,11.3,11.93,11.07,11.67,2804948
RSI,2025-03-06,11.31,11.52,10.42,10.53,2351700
RSI,2025-03-07,10.45,10.76,9.94,10.52,2277905
RSI,2025-03-10,10.01,10.09,9.54,9.96,2884098
RSI,2025-03-11,9.73,10.38,9.71,10.08,2117014
RSI,2025-03-12,10.52,10.7,10.16,10.58,1752600
RSI,2025-03-13,10.48,10.66,9.63,9.68,1928521
RSI,2025-03-14,9.94,10.81,9.92,10.7,2171401
RSI,2025-03-17,10.65,11.0,10.61,10.83,1686431
RSI,2025-03-18,10.7,10.98,10.47,10.66,1085768
RSI,2025-03-19,10.57,11.16,10.56,11.12,1761408
RSI,2025-03-20,10.89,11.41,10.85,10.93,1615000
RSI,2025-03-21,10.68,10.98,10.58,10.96,1816071
RSI,2025-03-24,11.29,11.47,11.21,11.34,1287700
RSI,2025-03-25,11.41,11.41,11.15,11.22,1131332
RSI,2025-03-26,11.34,11.39,10.84,10.91,1294815
RSI,2025-03-27,10.8,11.17,10.73,10.99,1233400
RSI,2025-03-28,10.96,11.05,10.52,10.83,1793148
RSI,2025-03-31,10.5,10.85,10.26,10.72,2305420
RSI,2025-04-01,10.68,11.0,10.47,10.99,1285622
RSI,2025-04-02,10.79,11.43,10.72,11.37,1240515
RSI,2025-04-03,10.71,11.08,10.56,10.78,1642875
RSI,2025-04-04,10.22,10.52,9.81,10.22,1783095
RSI,2025-04-07,9.77,11.33,9.66,10.53,2049104
RSI,2025-04-08,11.01,11.16,10.22,10.56,2143200
RSI,2025-04-09,10.54,12.0,10.54,11.62,2048222
RSI,2025-04-10,11.14,11.51,10.88,11.29,1711740
RSI,2025-04-11,11.24,11.82,11.04,11.69,1228657
RSI,2025-04-14,11.88,11.94,11.49,11.86,743417
RSI,2025-04-15,11.87,11.97,11.71,11.85,1033500
RSI,2025-04-16,11.65,11.87,11.52,11.83,675450
RSI,2025-04-17,11.81,11.85,11.56,11.76,784301
RSI,2025-04-21,11.66,11.7,11.19,11.33,817100
RSI,2025-04-22,11.58,11.86,11.5,11.59,1652739
RSI,2025-04-23,12.0,12.21,11.66,11.75,967311
RSI,2025-04-24,11.84,12.03,11.81,12.01,1467309
RSI,2025-04-25,11.9,12.3,11.9,12.25,738300
RSI,2025-04-28,12.27,12.4,12.11,12.24,831300
RSI,2025-04-29,12.24,12.44,12.04,12.36,1428817
RSI,2025-04-30,12.1,12.58,12.06,12.13,2273300
RSI,2025-05-01,11.99,12.49,11.12,11.45,3594743
RSI,2025-05-02,11.37,11.98,11.24,11.65,1459900
RSI,2025-05-05,11.5,12.0,11.34,11.82,1674354
