symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RSPS,2024-12-05,30.28,30.4,30.17,30.34,79200
RSPS,2024-12-06,30.5,30.54,30.16,30.17,46900
RSPS,2024-12-09,30.26,30.63,30.19,30.37,329600
RSPS,2024-12-10,30.32,30.67,30.12,30.56,44100
RSPS,2024-12-11,30.51,30.65,30.22,30.22,43509
RSPS,2024-12-12,30.32,30.38,30.19,30.27,35000
RSPS,2024-12-13,30.18,30.31,30.03,30.29,24900
RSPS,2024-12-16,30.21,30.35,30.03,30.03,44600
RSPS,2024-12-17,29.92,30.09,29.91,29.95,19633
RSPS,2024-12-18,29.77,29.89,29.43,29.43,47800
RSPS,2024-12-19,29.25,29.25,29.03,29.04,70100
RSPS,2024-12-20,28.97,29.34,28.97,29.22,54542
RSPS,2024-12-23,29.11,29.14,28.87,29.12,112246
RSPS,2024-12-24,29.07,29.23,29.07,29.22,26840
RSPS,2024-12-26,29.21,29.38,29.21,29.35,77800
RSPS,2024-12-27,29.25,29.43,29.19,29.29,41600
RSPS,2024-12-30,29.15,29.15,28.84,28.93,98518
RSPS,2024-12-31,28.98,29.13,28.9,29.06,64500
RSPS,2025-01-02,29.15,29.3,28.93,29.01,41324
RSPS,2025-01-03,29.05,29.05,28.82,28.92,59720
RSPS,2025-01-06,29.0,29.04,28.6,28.6,48900
RSPS,2025-01-07,28.66,28.89,28.44,28.47,30729
RSPS,2025-01-08,28.36,28.4,28.11,28.36,39519
RSPS,2025-01-10,28.19,28.43,27.96,28.03,217726
RSPS,2025-01-13,28.02,28.27,27.99,28.21,32000
RSPS,2025-01-14,28.22,28.28,28.06,28.2,54000
RSPS,2025-01-15,28.42,28.46,28.01,28.04,48206
RSPS,2025-01-16,28.01,28.37,27.92,28.34,61800
RSPS,2025-01-17,28.41,28.51,28.37,28.4,38033
RSPS,2025-01-21,28.38,28.53,28.32,28.46,70935
RSPS,2025-01-22,28.53,28.53,28.21,28.23,58000
RSPS,2025-01-23,28.17,28.33,28.08,28.3,94746
RSPS,2025-01-24,28.28,28.54,28.28,28.5,45100
RSPS,2025-01-27,28.75,29.26,28.75,29.17,137549
RSPS,2025-01-28,29.05,29.19,28.59,28.62,33000
RSPS,2025-01-29,28.66,28.82,28.66,28.68,57130
RSPS,2025-01-30,28.82,29.03,28.82,28.98,34421
RSPS,2025-01-31,28.72,28.85,28.57,28.59,47918
RSPS,2025-02-03,28.32,28.59,28.15,28.45,33600
RSPS,2025-02-04,28.3,28.3,27.97,28.03,55900
RSPS,2025-02-05,28.01,28.04,27.81,28.04,60462
RSPS,2025-02-06,28.36,28.37,28.03,28.08,101500
RSPS,2025-02-07,28.11,28.16,28.0,28.1,68200
RSPS,2025-02-10,28.12,28.16,28.0,28.16,43800
RSPS,2025-02-11,28.1,28.39,28.03,28.39,40700
RSPS,2025-02-12,28.14,28.31,28.11,28.25,54804
RSPS,2025-02-13,28.3,28.63,28.29,28.58,53400
RSPS,2025-02-14,28.7,28.74,28.44,28.45,22964
RSPS,2025-02-18,28.33,28.7,28.33,28.66,42800
RSPS,2025-02-19,28.65,28.91,28.62,28.88,40800
RSPS,2025-02-20,28.67,28.98,28.67,28.98,30700
RSPS,2025-02-21,29.03,29.49,28.99,29.46,240200
RSPS,2025-02-24,29.35,29.79,29.3,29.64,195200
RSPS,2025-02-25,29.75,30.06,29.75,29.96,88100
RSPS,2025-02-26,29.93,29.93,29.3,29.32,115428
RSPS,2025-02-27,29.31,29.49,29.19,29.38,48906
RSPS,2025-02-28,29.53,29.64,29.35,29.6,21412
RSPS,2025-03-03,29.48,29.85,29.48,29.68,356900
RSPS,2025-03-04,29.71,29.99,29.27,29.29,145226
RSPS,2025-03-05,29.22,29.5,29.22,29.41,140323
RSPS,2025-03-06,29.37,29.69,29.32,29.6,31012
RSPS,2025-03-07,29.46,30.44,29.46,30.16,116660
RSPS,2025-03-10,30.22,30.94,30.19,30.26,104407
RSPS,2025-03-11,30.27,30.27,29.65,29.65,88824
RSPS,2025-03-12,29.41,29.41,28.93,28.93,88745
RSPS,2025-03-13,29.04,29.27,28.9,28.97,51800
RSPS,2025-03-14,28.93,29.05,28.86,28.99,49800
RSPS,2025-03-17,29.01,29.5,29.01,29.41,42012
RSPS,2025-03-18,29.39,29.39,29.15,29.15,39833
RSPS,2025-03-19,29.05,29.12,28.91,29.08,88223
RSPS,2025-03-20,29.03,29.13,28.92,28.97,38911
RSPS,2025-03-21,28.91,29.04,28.87,28.98,31539
RSPS,2025-03-24,28.97,29.13,28.9,29.07,61400
RSPS,2025-03-25,29.0,29.0,28.74,28.83,38500
RSPS,2025-03-26,28.86,29.37,28.86,29.3,46715
RSPS,2025-03-27,29.37,29.8,29.37,29.74,50900
RSPS,2025-03-28,29.8,29.88,29.51,29.59,45300
RSPS,2025-03-31,29.59,30.06,29.59,29.95,108700
RSPS,2025-04-01,30.01,30.01,29.8,29.99,128700
RSPS,2025-04-02,30.0,30.03,29.77,29.95,37700
RSPS,2025-04-03,29.79,30.18,29.79,29.97,54520
RSPS,2025-04-04,29.64,29.95,28.84,28.86,92226
RSPS,2025-04-07,28.28,29.16,28.13,28.53,94944
RSPS,2025-04-08,28.88,28.91,27.6,27.87,66814
RSPS,2025-04-09,27.72,29.03,27.62,28.91,48044
RSPS,2025-04-10,28.86,29.0,28.33,28.81,93247
RSPS,2025-04-11,28.76,29.32,28.68,29.2,38700
RSPS,2025-04-14,29.27,29.73,29.27,29.64,37819
RSPS,2025-04-15,29.71,29.71,29.25,29.25,25200
RSPS,2025-04-16,29.38,29.38,28.86,28.96,109340
RSPS,2025-04-17,29.04,29.68,29.04,29.59,80321
RSPS,2025-04-21,29.54,29.54,29.21,29.46,30341
RSPS,2025-04-22,29.51,29.91,29.51,29.85,76925
RSPS,2025-04-23,29.97,29.99,29.49,29.72,119611
RSPS,2025-04-24,29.63,29.63,29.36,29.46,167842
RSPS,2025-04-25,29.5,29.5,29.15,29.31,25418
RSPS,2025-04-28,29.3,29.35,29.03,29.18,20700
RSPS,2025-04-29,29.1,29.39,29.1,29.39,31900
RSPS,2025-04-30,29.47,29.69,29.2,29.56,18100
RSPS,2025-05-01,29.34,29.4,29.23,29.23,24717
RSPS,2025-05-02,29.38,29.45,29.27,29.38,117424
RSPS,2025-05-05,29.36,29.36,29.14,29.25,19320
RSPS,2025-05-06,29.16,29.26,29.11,29.21,13440
RSPS,2025-05-07,29.24,29.33,29.09,29.23,30200
RSPS,2025-05-08,29.21,29.48,29.17,29.28,21439
RSPS,2025-05-09,29.2,29.32,29.17,29.17,11100
RSPS,2025-05-12,29.39,29.5,29.16,29.39,37012
RSPS,2025-05-13,29.25,29.25,28.99,29.02,51500
RSPS,2025-05-14,28.84,28.9,28.76,28.78,29100
RSPS,2025-05-15,28.82,29.29,28.82,29.29,39532
RSPS,2025-05-16,29.3,29.64,29.3,29.63,52900
RSPS,2025-05-19,29.54,29.7,29.52,29.66,92700
RSPS,2025-05-20,29.7,29.95,29.67,29.82,32400
RSPS,2025-05-21,29.71,29.71,29.29,29.31,24300
RSPS,2025-05-22,29.22,29.31,29.04,29.17,54625
RSPS,2025-05-23,29.13,29.28,28.97,29.21,40800
RSPS,2025-05-27,29.34,29.57,29.28,29.56,68600
RSPS,2025-05-28,29.56,29.64,29.27,29.3,185700
RSPS,2025-05-29,29.27,29.52,29.2,29.52,127609
RSPS,2025-05-30,29.45,29.73,29.45,29.63,29107
RSPS,2025-06-02,29.51,29.58,29.33,29.56,40000
RSPS,2025-06-03,29.58,29.78,29.51,29.74,13260
RSPS,2025-06-04,29.7,29.7,29.47,29.47,21300
RSPS,2025-06-05,29.35,29.37,29.2,29.26,32600
RSPS,2025-06-06,29.4,29.45,29.31,29.39,24700
RSPS,2025-06-09,29.38,29.5,29.28,29.4,38649
RSPS,2025-06-10,29.36,29.51,29.29,29.36,161200
RSPS,2025-06-11,29.36,29.36,29.18,29.28,88500
RSPS,2025-06-12,29.23,29.48,29.14,29.47,65916
RSPS,2025-06-13,29.36,29.56,29.06,29.13,45200
RSPS,2025-06-16,29.23,29.46,29.21,29.38,61600
RSPS,2025-06-17,29.25,29.31,29.1,29.11,38800
RSPS,2025-06-18,29.13,29.22,29.05,29.05,46000
RSPS,2025-06-20,29.21,29.3,29.13,29.23,35842
RSPS,2025-06-23,29.25,29.54,29.22,29.52,60400
RSPS,2025-06-24,29.47,29.54,29.39,29.46,62000
RSPS,2025-06-25,29.33,29.33,28.99,29.02,72100
RSPS,2025-06-26,29.15,29.15,29.03,29.1,67533
RSPS,2025-06-27,29.18,29.22,29.02,29.14,53836
RSPS,2025-06-30,29.1,29.33,29.1,29.31,36100
RSPS,2025-07-01,29.31,30.05,29.31,29.85,44100
RSPS,2025-07-02,29.86,30.12,29.77,30.07,59700
RSPS,2025-07-03,30.09,30.09,29.87,29.93,30300
RSPS,2025-07-07,29.9,29.9,29.66,29.73,56600
RSPS,2025-07-08,29.65,29.77,29.52,29.66,36234
RSPS,2025-07-09,29.71,29.71,29.31,29.49,35130
RSPS,2025-07-10,29.42,29.82,29.39,29.71,30037
RSPS,2025-07-11,29.65,29.72,29.41,29.64,53948
RSPS,2025-07-14,29.64,29.65,29.35,29.57,43500
RSPS,2025-07-15,29.49,29.58,29.17,29.17,46741
RSPS,2025-07-16,29.2,29.39,29.06,29.39,53346
RSPS,2025-07-17,29.4,29.68,29.4,29.67,39543
RSPS,2025-07-18,29.64,29.79,29.54,29.58,27200
RSPS,2025-07-21,29.6,29.77,29.46,29.47,50718
RSPS,2025-07-22,29.4,30.06,29.4,30.06,38300
RSPS,2025-07-23,30.17,30.39,30.17,30.29,111030
RSPS,2025-07-24,30.21,30.33,30.11,30.15,140600
RSPS,2025-07-25,30.13,30.23,30.0,30.23,32500
RSPS,2025-07-28,30.06,30.09,29.87,29.89,51741
RSPS,2025-07-29,29.91,30.11,29.85,30.04,47516
RSPS,2025-07-30,30.1,30.25,29.77,29.85,49268
RSPS,2025-07-31,29.64,29.79,29.44,29.48,173700
RSPS,2025-08-01,29.59,29.68,29.46,29.58,79815
RSPS,2025-08-04,29.57,29.81,29.57,29.75,110437
RSPS,2025-08-05,29.7,29.92,29.7,29.82,123000
RSPS,2025-08-06,29.84,30.14,29.81,30.02,37700
RSPS,2025-08-07,30.04,30.35,29.98,30.29,94140
RSPS,2025-08-08,30.41,30.46,30.26,30.31,40700
RSPS,2025-08-11,30.37,30.37,30.06,30.17,63500
RSPS,2025-08-12,30.18,30.4,30.18,30.3,73618
RSPS,2025-08-13,30.23,30.56,30.1,30.52,58500
RSPS,2025-08-14,30.34,30.34,30.1,30.19,51500
RSPS,2025-08-15,30.24,30.28,30.08,30.22,62800
RSPS,2025-08-18,30.18,30.26,30.08,30.08,32627
RSPS,2025-08-19,30.15,30.43,30.15,30.34,47000
RSPS,2025-08-20,30.23,30.73,30.23,30.45,76644
RSPS,2025-08-21,30.27,30.39,30.21,30.35,33246
RSPS,2025-08-22,30.43,30.67,30.43,30.58,47200
