symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
RUN,2024-08-28,20.73,20.94,20.33,20.6,4983700
RUN,2024-08-29,20.72,20.75,20.03,20.13,5367039
RUN,2024-08-30,20.25,20.63,19.91,20.52,5369020
RUN,2024-09-03,20.27,20.27,18.45,18.51,8020617
RUN,2024-09-04,18.61,19.86,18.56,19.63,6103100
RUN,2024-09-05,19.63,19.91,19.21,19.26,5021944
RUN,2024-09-06,19.33,19.42,18.11,18.17,6113425
RUN,2024-09-09,18.03,18.3,17.12,17.29,7008100
RUN,2024-09-10,17.36,17.46,16.69,17.2,5825522
RUN,2024-09-11,18.01,19.18,17.96,19.15,12683105
RUN,2024-09-12,19.06,19.29,18.6,18.78,6091400
RUN,2024-09-13,19.28,19.61,18.76,19.23,6590343
RUN,2024-09-16,19.25,19.83,18.58,19.34,5566348
RUN,2024-09-17,19.5,20.45,19.34,20.31,6902640
RUN,2024-09-18,20.32,21.77,19.9,20.3,11073400
RUN,2024-09-19,21.2,21.29,19.01,19.13,11446746
RUN,2024-09-20,19.14,19.43,18.61,18.91,10172624
RUN,2024-09-23,18.86,19.14,18.34,18.91,5553041
RUN,2024-09-24,19.38,19.44,18.78,18.92,5736416
RUN,2024-09-25,18.88,19.08,18.28,18.29,6574814
RUN,2024-09-26,18.7,19.27,18.22,18.56,4724047
RUN,2024-09-27,18.91,19.45,18.47,18.5,5718500
RUN,2024-09-30,18.16,18.63,17.9,18.06,5556270
RUN,2024-10-01,18.04,18.12,17.28,17.5,4863000
RUN,2024-10-02,17.27,17.37,16.6,17.01,6216537
RUN,2024-10-03,16.88,17.23,16.68,16.84,3916100
RUN,2024-10-04,17.11,17.35,16.28,16.52,6660550
RUN,2024-10-07,16.36,16.8,16.21,16.64,5355700
RUN,2024-10-08,16.48,16.6,16.05,16.39,5319626
RUN,2024-10-09,16.29,16.9,16.01,16.65,5737100
RUN,2024-10-10,16.34,16.52,15.33,15.52,9697000
RUN,2024-10-11,15.37,16.17,15.35,15.94,6173411
RUN,2024-10-14,15.77,15.85,15.37,15.65,7037700
RUN,2024-10-15,15.5,15.5,14.89,15.09,7571500
RUN,2024-10-16,15.27,15.41,14.99,15.4,5372341
RUN,2024-10-17,15.25,15.33,14.45,14.57,5933518
RUN,2024-10-18,14.57,14.83,14.45,14.61,5791300
RUN,2024-10-21,14.45,14.57,13.38,13.75,10389624
RUN,2024-10-22,13.8,14.08,13.41,14.04,8746500
RUN,2024-10-23,13.7,14.23,13.53,13.85,5897700
RUN,2024-10-24,14.07,14.27,13.65,14.0,6054500
RUN,2024-10-25,14.06,14.6,14.01,14.37,8307146
RUN,2024-10-28,15.34,15.69,14.41,14.43,11351707
RUN,2024-10-29,14.04,14.25,13.66,14.14,6709100
RUN,2024-10-30,13.8,14.62,13.76,14.09,4935800
RUN,2024-10-31,14.03,14.6,13.46,14.45,7589600
RUN,2024-11-01,14.8,15.35,14.4,14.76,9125900
RUN,2024-11-04,15.05,16.34,15.03,16.08,11549300
RUN,2024-11-05,15.6,16.94,15.41,16.91,10427900
RUN,2024-11-06,14.21,14.4,11.54,11.9,39917600
RUN,2024-11-07,12.05,12.28,11.5,11.6,18882100
RUN,2024-11-08,11.52,11.74,9.7,10.23,29577500
RUN,2024-11-11,10.2,10.72,9.89,10.23,13491833
RUN,2024-11-12,9.92,10.24,9.23,9.74,15396700
RUN,2024-11-13,9.78,10.47,9.77,10.27,12630424
RUN,2024-11-14,10.34,11.59,10.15,10.91,17150000
RUN,2024-11-15,11.17,11.24,9.87,9.89,13664900
RUN,2024-11-18,9.75,10.19,9.54,10.01,10020400
RUN,2024-11-19,9.9,10.13,9.67,9.71,7548508
RUN,2024-11-20,9.61,10.23,9.55,10.2,9541141
RUN,2024-11-21,10.1,10.74,9.93,10.22,8388803
RUN,2024-11-22,10.0,10.66,10.0,10.51,7179108
RUN,2024-11-25,10.88,11.74,10.65,11.52,13651700
RUN,2024-11-26,11.27,11.53,10.87,11.49,7227500
RUN,2024-11-27,11.5,12.15,11.4,11.55,7671800
RUN,2024-11-29,11.7,11.87,11.43,11.53,4635149
RUN,2024-12-02,11.58,11.98,11.37,11.67,6468717
RUN,2024-12-03,11.61,11.61,11.17,11.26,6381328
RUN,2024-12-04,11.24,11.39,10.65,10.71,8190500
RUN,2024-12-05,10.67,10.85,10.12,10.36,8735922
RUN,2024-12-06,10.57,10.68,10.29,10.58,6291500
RUN,2024-12-09,10.76,11.74,10.68,11.21,9304000
RUN,2024-12-10,11.11,11.16,10.45,10.54,9815529
RUN,2024-12-11,10.68,10.84,10.18,10.5,5643600
RUN,2024-12-12,10.41,10.57,10.15,10.19,5212022
RUN,2024-12-13,10.2,10.21,9.87,10.12,5758211
RUN,2024-12-16,10.02,10.34,9.86,9.99,5696200
RUN,2024-12-17,10.1,10.58,9.97,10.06,7883600
RUN,2024-12-18,10.06,10.42,9.13,9.15,11561500
RUN,2024-12-19,9.31,9.68,9.08,9.13,12947400
RUN,2024-12-20,9.15,10.03,9.01,9.87,13773700
RUN,2024-12-23,9.73,10.15,9.65,10.1,6946700
RUN,2024-12-24,9.97,10.21,9.78,10.12,3104500
RUN,2024-12-26,9.98,10.22,9.85,10.07,4891000
RUN,2024-12-27,9.99,10.16,9.7,9.86,6278216
RUN,2024-12-30,9.66,9.71,9.37,9.5,6886522
RUN,2024-12-31,9.56,9.81,9.22,9.25,7937700
RUN,2025-01-02,9.49,10.25,9.42,10.21,7712700
RUN,2025-01-03,10.37,10.82,10.3,10.71,8318347
RUN,2025-01-06,10.95,11.45,10.73,10.97,8361000
RUN,2025-01-07,11.35,11.88,11.14,11.37,10182800
RUN,2025-01-08,10.9,10.94,10.4,10.75,7866200
RUN,2025-01-10,10.86,10.98,9.93,10.04,12209407
RUN,2025-01-13,9.8,9.83,9.27,9.73,11645116
RUN,2025-01-14,9.87,10.16,9.45,9.57,10823711
RUN,2025-01-15,10.1,10.45,9.61,9.63,8766700
RUN,2025-01-16,9.54,9.69,9.34,9.55,9672000
RUN,2025-01-17,9.64,9.71,9.38,9.44,9258804
RUN,2025-01-21,9.35,9.36,8.95,9.22,14940100
RUN,2025-01-22,9.17,9.25,8.39,8.46,18339513
RUN,2025-01-23,8.41,9.37,8.22,9.34,13141346
RUN,2025-01-24,9.39,10.43,9.33,10.23,17837344
RUN,2025-01-27,10.2,10.44,9.93,10.19,9552236
RUN,2025-01-28,10.31,10.31,9.16,9.26,10828100
RUN,2025-01-29,9.38,10.0,9.15,9.39,11273427
RUN,2025-01-30,9.52,9.84,9.33,9.42,5722205
RUN,2025-01-31,9.4,9.61,8.94,9.05,9840731
RUN,2025-02-03,8.57,9.28,8.55,8.8,10173900
RUN,2025-02-04,8.75,9.1,8.62,8.9,7833039
RUN,2025-02-05,9.0,9.31,8.71,8.72,8865799
RUN,2025-02-06,8.82,9.06,8.37,8.64,11542702
RUN,2025-02-07,8.49,8.58,8.22,8.47,11964145
RUN,2025-02-10,8.51,8.53,8.22,8.36,7756743
RUN,2025-02-11,8.16,8.39,7.93,8.1,8430134
RUN,2025-02-12,7.94,8.18,7.9,8.0,8658431
RUN,2025-02-13,8.03,8.77,7.87,8.58,9531012
RUN,2025-02-14,8.66,9.0,8.57,8.82,7502541
RUN,2025-02-18,8.85,9.13,8.63,8.86,6354031
RUN,2025-02-19,9.16,9.31,8.58,8.61,10600929
RUN,2025-02-20,8.59,8.67,8.32,8.54,6146500
RUN,2025-02-21,8.64,8.78,8.24,8.42,6203900
RUN,2025-02-24,8.44,8.78,8.26,8.49,7344100
RUN,2025-02-25,8.4,8.78,8.28,8.37,9335834
RUN,2025-02-26,8.52,8.77,8.32,8.39,10092841
RUN,2025-02-27,8.4,8.52,7.88,7.91,11946100
RUN,2025-02-28,7.92,7.92,6.99,7.25,24044600
RUN,2025-03-03,7.12,7.29,6.0,6.17,24967524
RUN,2025-03-04,6.08,7.08,5.93,6.71,22177245
RUN,2025-03-05,6.85,7.04,6.37,6.9,14036826
RUN,2025-03-06,6.69,7.04,6.44,6.87,11251544
RUN,2025-03-07,6.79,7.23,6.78,7.16,15134716
RUN,2025-03-10,7.11,7.65,6.91,6.99,14912017
RUN,2025-03-11,6.97,7.34,6.51,6.93,11805100
RUN,2025-03-12,6.68,6.83,6.38,6.57,11104300
RUN,2025-03-13,6.41,6.47,6.11,6.21,9032142
RUN,2025-03-14,6.31,6.51,6.27,6.5,9995900
RUN,2025-03-17,6.57,7.1,6.51,6.97,10016300
RUN,2025-03-18,6.91,6.92,6.27,6.51,10314600
RUN,2025-03-19,6.51,6.84,6.46,6.66,9071503
RUN,2025-03-20,6.57,7.09,6.51,6.71,10227107
RUN,2025-03-21,6.55,6.79,6.27,6.59,14128000
RUN,2025-03-24,6.7,7.09,6.37,6.38,14917718
RUN,2025-03-25,6.37,6.67,6.25,6.56,11419014
RUN,2025-03-26,6.49,6.71,6.0,6.21,12141105
RUN,2025-03-27,6.11,6.21,5.91,6.01,10659900
RUN,2025-03-28,6.01,6.11,5.91,5.94,9959800
RUN,2025-03-31,5.8,5.92,5.55,5.86,11446500
RUN,2025-04-01,5.88,6.6,5.75,6.49,15397328
RUN,2025-04-02,6.44,6.85,6.39,6.78,14140322
RUN,2025-04-03,6.47,6.66,5.95,6.59,18602042
RUN,2025-04-04,6.29,6.99,5.85,6.99,16160006
RUN,2025-04-07,6.53,7.42,6.36,6.57,17228000
RUN,2025-04-08,6.81,6.83,5.55,5.67,16060600
