symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SBAC,2024-12-05,213.86,216.01,212.59,215.62,622600
SBAC,2024-12-06,216.82,216.93,210.29,214.46,1072300
SBAC,2024-12-09,214.46,219.01,214.46,217.26,866900
SBAC,2024-12-10,216.4,216.4,210.59,211.54,933100
SBAC,2024-12-11,212.06,212.38,208.75,210.4,899382
SBAC,2024-12-12,210.3,212.37,209.34,210.24,730804
SBAC,2024-12-13,209.23,210.22,207.35,208.52,609600
SBAC,2024-12-16,206.58,208.65,205.97,206.57,813796
SBAC,2024-12-17,206.65,207.99,202.25,203.37,779478
SBAC,2024-12-18,201.34,203.4,195.49,195.66,1356925
SBAC,2024-12-19,194.66,195.99,191.86,192.91,1819601
SBAC,2024-12-20,194.63,199.08,194.4,198.1,2458429
SBAC,2024-12-23,197.17,197.97,195.21,197.82,1109000
SBAC,2024-12-24,196.77,197.79,195.52,197.12,438300
SBAC,2024-12-26,196.82,198.63,195.54,198.52,591978
SBAC,2024-12-27,196.47,200.0,196.47,197.74,653500
SBAC,2024-12-30,197.87,198.11,195.49,197.85,658848
SBAC,2024-12-31,199.85,200.31,196.2,198.32,696667
SBAC,2025-01-02,199.54,199.78,194.7,195.01,513751
SBAC,2025-01-03,196.0,197.52,193.96,196.38,525900
SBAC,2025-01-06,195.5,197.33,193.16,193.58,811200
SBAC,2025-01-07,193.17,194.8,190.35,190.62,761100
SBAC,2025-01-08,190.38,194.57,188.21,194.34,1131100
SBAC,2025-01-10,189.84,190.63,187.38,187.58,1108900
SBAC,2025-01-13,187.89,190.01,187.43,189.72,846120
SBAC,2025-01-14,189.46,192.08,189.0,189.78,853500
SBAC,2025-01-15,195.01,195.5,191.56,191.93,1021009
SBAC,2025-01-16,192.56,199.49,192.56,198.69,1188338
SBAC,2025-01-17,200.01,200.01,197.88,198.14,697700
SBAC,2025-01-21,199.32,201.84,197.86,198.87,670925
SBAC,2025-01-22,197.07,198.23,192.85,193.07,996522
SBAC,2025-01-23,193.03,193.4,189.84,193.35,576710
SBAC,2025-01-24,193.05,193.76,190.96,191.54,673529
SBAC,2025-01-27,199.88,202.85,197.9,202.35,1022700
SBAC,2025-01-28,201.78,201.78,195.64,196.25,815151
SBAC,2025-01-29,196.58,197.06,191.48,192.78,738016
SBAC,2025-01-30,195.45,196.72,192.16,193.79,709109
SBAC,2025-01-31,192.78,196.14,191.8,192.25,769360
SBAC,2025-02-03,191.67,193.89,190.73,192.42,812827
SBAC,2025-02-04,191.64,192.99,189.96,192.23,676211
SBAC,2025-02-05,194.47,198.31,192.17,198.01,822500
SBAC,2025-02-06,198.84,199.63,198.13,199.49,620400
SBAC,2025-02-07,198.88,201.23,198.21,200.29,779000
SBAC,2025-02-10,201.42,201.93,198.23,200.76,556300
SBAC,2025-02-11,200.87,203.77,200.08,203.62,526309
SBAC,2025-02-12,200.07,203.32,198.64,203.02,588642
SBAC,2025-02-13,204.05,204.05,201.9,202.53,441004
SBAC,2025-02-14,204.26,205.45,199.78,199.85,486835
SBAC,2025-02-18,198.88,201.1,198.1,200.85,537545
SBAC,2025-02-19,200.67,202.95,199.2,202.19,696800
SBAC,2025-02-20,201.9,204.64,200.74,204.38,485440
SBAC,2025-02-21,204.16,209.23,203.88,207.27,1132700
SBAC,2025-02-24,207.37,209.81,205.13,207.12,1171739
SBAC,2025-02-25,214.57,219.32,211.5,213.28,1779010
SBAC,2025-02-26,212.05,214.31,208.94,209.7,761909
SBAC,2025-02-27,207.4,212.49,207.3,212.33,666300
SBAC,2025-02-28,214.04,214.35,210.42,212.04,1094000
SBAC,2025-03-03,211.03,216.46,211.03,215.56,629600
SBAC,2025-03-04,217.16,221.83,212.78,213.45,958000
SBAC,2025-03-05,209.87,215.33,209.87,214.46,792239
SBAC,2025-03-06,214.86,214.86,208.96,212.86,826800
SBAC,2025-03-07,214.08,219.9,214.08,217.72,1520934
SBAC,2025-03-10,218.63,221.47,217.0,218.86,1453519
SBAC,2025-03-11,218.38,220.42,214.1,214.5,1536439
SBAC,2025-03-12,212.67,213.78,207.95,210.66,755400
SBAC,2025-03-13,211.64,212.24,207.38,209.87,939300
SBAC,2025-03-14,210.67,214.71,209.78,213.46,1282831
SBAC,2025-03-17,214.43,218.76,214.12,216.07,927000
SBAC,2025-03-18,215.55,218.88,214.16,218.27,750946
SBAC,2025-03-19,216.36,218.31,212.97,214.99,794500
SBAC,2025-03-20,215.25,216.77,213.68,216.14,632846
SBAC,2025-03-21,216.57,218.28,214.3,216.79,1208709
SBAC,2025-03-24,215.84,217.41,212.86,213.91,747347
SBAC,2025-03-25,212.51,212.51,208.8,209.63,809400
SBAC,2025-03-26,210.58,211.64,208.75,210.01,394500
SBAC,2025-03-27,210.47,212.92,209.82,211.65,558115
SBAC,2025-03-28,213.49,213.49,210.9,212.1,533800
SBAC,2025-03-31,213.97,217.92,213.1,215.2,1209500
SBAC,2025-04-01,215.05,217.44,212.84,215.6,670943
SBAC,2025-04-02,214.58,215.88,212.59,214.55,708043
SBAC,2025-04-03,219.82,229.71,219.52,225.82,1610247
SBAC,2025-04-04,226.53,229.29,214.95,215.1,2220141
SBAC,2025-04-07,199.0,215.1,198.56,209.74,1982319
SBAC,2025-04-08,212.46,212.46,201.9,204.01,1736700
SBAC,2025-04-09,202.53,211.08,197.01,207.5,1931133
SBAC,2025-04-10,208.63,213.7,202.04,207.56,1530556
SBAC,2025-04-11,207.72,215.2,205.81,214.39,1118100
SBAC,2025-04-14,213.64,220.53,212.98,219.82,860600
SBAC,2025-04-15,220.94,222.38,218.82,219.95,747400
SBAC,2025-04-16,217.03,223.75,217.03,220.74,1622587
SBAC,2025-04-17,221.4,226.23,221.4,224.05,1308133
SBAC,2025-04-21,224.44,225.08,217.46,220.62,982300
SBAC,2025-04-22,221.72,226.85,220.62,226.36,1111259
SBAC,2025-04-23,224.15,225.49,215.2,219.01,1823500
SBAC,2025-04-24,221.8,221.8,217.02,217.97,883225
SBAC,2025-04-25,216.95,218.91,214.59,217.24,856214
SBAC,2025-04-28,216.75,219.42,216.35,218.4,882344
SBAC,2025-04-29,228.97,233.84,224.79,233.29,1703329
SBAC,2025-04-30,231.56,238.85,231.56,238.08,1201154
SBAC,2025-05-01,235.99,237.48,234.01,235.48,740441
SBAC,2025-05-02,236.78,237.35,233.05,236.67,758612
SBAC,2025-05-05,237.39,239.35,235.14,236.66,700900
SBAC,2025-05-06,236.91,239.8,235.77,237.52,739700
SBAC,2025-05-07,237.69,238.86,235.03,235.06,860649
SBAC,2025-05-08,234.84,235.65,231.18,231.45,925120
SBAC,2025-05-09,230.24,235.44,228.62,234.45,670645
SBAC,2025-05-12,229.28,230.28,222.99,224.65,1065229
SBAC,2025-05-13,224.77,224.77,218.82,220.88,1067350
SBAC,2025-05-14,219.72,220.19,215.99,217.86,1526100
SBAC,2025-05-15,220.07,224.64,219.28,224.08,929809
SBAC,2025-05-16,224.42,228.17,224.16,227.98,1084700
SBAC,2025-05-19,229.22,230.45,227.01,230.36,544505
SBAC,2025-05-20,226.95,230.93,226.95,228.67,648249
SBAC,2025-05-21,228.56,230.36,226.45,226.83,594130
SBAC,2025-05-22,227.1,227.1,221.52,224.35,705300
SBAC,2025-05-23,225.55,227.14,223.65,225.58,400822
SBAC,2025-05-27,226.27,228.46,224.6,227.04,573207
SBAC,2025-05-28,226.7,226.7,222.48,225.1,673747
SBAC,2025-05-29,223.98,226.42,222.74,226.29,512421
SBAC,2025-05-30,226.62,228.61,224.22,227.91,1256500
SBAC,2025-06-02,226.04,227.86,223.92,227.09,522832
SBAC,2025-06-03,225.75,226.41,222.36,225.54,627200
SBAC,2025-06-04,225.95,228.48,224.34,226.79,427900
SBAC,2025-06-05,226.46,227.31,224.64,225.71,674715
SBAC,2025-06-06,224.44,225.84,221.65,221.81,482447
SBAC,2025-06-09,221.62,222.56,218.65,221.13,610917
SBAC,2025-06-10,222.2,223.74,220.77,222.28,546900
SBAC,2025-06-11,221.94,224.2,219.23,220.89,745500
SBAC,2025-06-12,222.36,224.19,221.12,224.15,643700
SBAC,2025-06-13,224.05,225.05,222.19,223.92,592608
SBAC,2025-06-16,223.63,228.11,222.89,226.17,1147400
SBAC,2025-06-17,225.45,226.75,223.31,224.6,821700
SBAC,2025-06-18,224.28,224.88,222.17,224.4,595905
SBAC,2025-06-20,225.86,226.6,222.84,225.37,937500
SBAC,2025-06-23,226.3,231.6,225.32,230.1,573920
SBAC,2025-06-24,229.71,233.35,227.84,232.54,598833
SBAC,2025-06-25,231.59,231.59,227.25,228.68,493919
SBAC,2025-06-26,229.16,229.88,224.8,226.74,700713
SBAC,2025-06-27,226.41,229.04,225.35,226.84,780100
SBAC,2025-06-30,226.4,230.89,224.49,230.81,621431
SBAC,2025-07-01,230.36,235.21,229.81,234.64,846711
SBAC,2025-07-02,234.05,236.27,232.02,233.51,728228
SBAC,2025-07-03,231.81,231.81,226.76,229.91,524800
SBAC,2025-07-07,229.9,231.82,227.41,229.58,695000
SBAC,2025-07-08,227.69,231.58,227.69,230.22,650120
SBAC,2025-07-09,228.88,230.52,226.18,230.25,725227
SBAC,2025-07-10,229.1,231.19,226.05,228.79,583300
SBAC,2025-07-11,227.83,227.83,223.65,224.87,678942
SBAC,2025-07-14,225.76,229.43,225.11,228.35,461200
SBAC,2025-07-15,227.78,228.37,225.23,226.08,610633
SBAC,2025-07-16,227.0,230.0,225.95,229.87,1058400
SBAC,2025-07-17,228.91,230.29,228.01,228.86,445900
SBAC,2025-07-18,229.13,231.3,227.98,229.88,395600
SBAC,2025-07-21,230.87,232.67,229.96,230.35,403300
SBAC,2025-07-22,232.58,236.03,230.5,235.24,960700
SBAC,2025-07-23,238.98,238.98,231.47,232.84,980510
SBAC,2025-07-24,233.1,236.01,230.41,231.08,894000
SBAC,2025-07-25,231.4,231.65,228.23,229.9,500400
SBAC,2025-07-28,228.23,229.41,222.57,222.86,634500
SBAC,2025-07-29,223.48,225.25,219.24,224.99,977133
SBAC,2025-07-30,224.05,227.78,221.88,223.08,778500
SBAC,2025-07-31,220.65,223.58,219.63,220.86,859200
SBAC,2025-08-01,230.62,230.62,223.19,224.65,1083126
SBAC,2025-08-04,224.23,227.36,223.84,226.44,944690
SBAC,2025-08-05,219.42,219.42,211.81,215.4,2174022
SBAC,2025-08-06,216.04,219.45,215.73,216.0,987914
SBAC,2025-08-07,215.91,219.63,214.25,219.31,754416
SBAC,2025-08-08,219.31,220.38,215.85,217.06,569133
SBAC,2025-08-11,216.53,217.59,214.28,215.35,602844
SBAC,2025-08-12,215.7,216.09,213.21,214.25,621976
SBAC,2025-08-13,214.55,216.86,214.37,215.62,929609
SBAC,2025-08-14,215.28,215.28,210.97,213.19,921900
SBAC,2025-08-15,214.16,217.21,214.07,216.16,791328
SBAC,2025-08-18,216.35,217.04,211.32,211.46,850296
SBAC,2025-08-19,212.65,216.65,212.41,216.48,743200
SBAC,2025-08-20,218.16,221.35,217.7,219.87,941700
SBAC,2025-08-21,216.98,219.92,216.25,218.18,526306
