symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SEM,2024-08-27,18.64,18.85,18.57,18.58,787858
SEM,2024-08-28,18.59,18.87,18.58,18.78,1126223
SEM,2024-08-29,18.84,19.02,18.56,18.9,956440
SEM,2024-08-30,18.84,19.02,18.65,18.95,807893
SEM,2024-09-03,18.74,19.03,18.41,18.52,929081
SEM,2024-09-04,18.42,18.66,18.29,18.62,614025
SEM,2024-09-05,18.64,18.69,18.46,18.47,1134787
SEM,2024-09-06,18.48,18.64,17.67,17.72,1433307
SEM,2024-09-09,17.73,17.82,17.4,17.72,1167649
SEM,2024-09-10,17.7,17.75,17.48,17.66,777343
SEM,2024-09-11,17.56,17.85,17.32,17.81,680575
SEM,2024-09-12,17.91,18.26,17.74,18.21,722331
SEM,2024-09-13,18.35,18.56,18.3,18.5,875934
SEM,2024-09-16,18.69,18.78,18.43,18.54,704099
SEM,2024-09-17,18.73,18.84,18.32,18.34,866700
SEM,2024-09-18,18.29,19.04,18.21,18.54,858613
SEM,2024-09-19,18.99,18.99,18.51,18.57,746894
SEM,2024-09-20,18.58,18.65,18.23,18.39,3451421
SEM,2024-09-23,18.45,18.56,18.26,18.41,470615
SEM,2024-09-24,18.39,18.66,18.38,18.58,664747
SEM,2024-09-25,18.65,18.65,18.29,18.41,890906
SEM,2024-09-26,18.51,18.51,18.08,18.09,945843
SEM,2024-09-27,18.38,18.38,17.91,18.21,977805
SEM,2024-09-30,18.17,18.33,17.98,18.32,1237851
SEM,2024-10-01,18.21,18.22,17.75,17.89,814519
SEM,2024-10-02,17.7,17.9,17.65,17.81,547739
SEM,2024-10-03,17.7,17.78,17.51,17.59,506421
SEM,2024-10-04,17.81,17.84,17.54,17.68,549310
SEM,2024-10-07,17.5,17.54,17.29,17.42,991280
SEM,2024-10-08,17.52,17.64,17.28,17.53,1466949
SEM,2024-10-09,17.48,17.87,17.35,17.68,870414
SEM,2024-10-10,17.38,17.55,17.34,17.41,955166
SEM,2024-10-11,17.46,17.72,17.44,17.7,897377
SEM,2024-10-14,17.74,17.86,17.55,17.81,687049
SEM,2024-10-15,17.81,18.06,17.74,17.75,674077
SEM,2024-10-16,17.91,18.31,17.91,18.04,836608
SEM,2024-10-17,18.02,18.11,17.93,18.02,446216
SEM,2024-10-18,18.04,18.14,17.96,17.98,483115
SEM,2024-10-21,18.0,18.01,17.33,17.38,714577
SEM,2024-10-22,17.31,17.38,17.21,17.28,366761
SEM,2024-10-23,17.24,17.29,17.0,17.2,687777
SEM,2024-10-24,17.19,17.3,17.01,17.09,763270
SEM,2024-10-25,16.89,17.11,16.62,16.67,1091934
SEM,2024-10-28,16.9,17.07,16.78,16.89,898426
SEM,2024-10-29,16.99,17.55,16.94,17.41,1405805
SEM,2024-10-30,17.39,17.61,17.24,17.25,992626
SEM,2024-10-31,17.15,17.23,16.78,16.85,1758614
SEM,2024-11-01,18.01,19.46,18.0,18.88,2871693
SEM,2024-11-04,19.02,19.44,18.9,19.18,1774494
SEM,2024-11-05,19.04,19.64,18.93,19.55,1525984
SEM,2024-11-06,19.7,20.26,19.7,20.13,2029234
SEM,2024-11-07,20.22,20.3,19.89,20.26,1149237
SEM,2024-11-08,20.33,20.71,20.3,20.63,1308677
SEM,2024-11-11,20.95,21.53,20.88,21.12,1385335
SEM,2024-11-12,21.14,21.26,20.25,20.59,1209985
SEM,2024-11-13,20.93,20.93,20.12,20.13,958270
SEM,2024-11-14,20.18,20.2,19.49,19.63,1366540
SEM,2024-11-15,19.81,19.81,19.43,19.74,1459945
SEM,2024-11-18,19.77,19.84,19.04,19.29,1084518
SEM,2024-11-19,19.07,19.66,19.06,19.5,1047641
SEM,2024-11-20,19.46,20.21,19.46,20.07,1300629
SEM,2024-11-21,20.01,20.68,19.82,20.59,1811757
SEM,2024-11-22,20.68,20.94,20.6,20.9,1878810
SEM,2024-11-25,20.61,20.94,20.35,20.39,2208600
SEM,2024-11-26,19.91,20.9,19.74,20.88,2438914
SEM,2024-11-27,20.15,20.52,19.57,19.91,2540310
SEM,2024-11-29,20.02,20.75,19.96,20.66,1201407
SEM,2024-12-02,20.64,20.85,20.01,20.58,5169737
SEM,2024-12-03,20.64,20.84,20.06,20.13,1936510
SEM,2024-12-04,19.96,20.13,19.4,20.08,1832519
SEM,2024-12-05,20.1,20.33,19.66,20.01,1814332
SEM,2024-12-06,20.1,20.1,19.33,19.4,1263406
SEM,2024-12-09,19.37,19.82,19.36,19.63,1111238
SEM,2024-12-10,19.7,19.82,19.33,19.48,1764207
SEM,2024-12-11,19.58,19.6,19.12,19.26,1135769
SEM,2024-12-12,19.25,19.54,19.1,19.41,1342819
SEM,2024-12-13,19.28,19.43,18.79,19.06,893400
SEM,2024-12-16,19.11,19.51,18.98,19.21,1088737
SEM,2024-12-17,18.96,19.15,18.64,18.71,805600
SEM,2024-12-18,18.79,18.95,17.67,17.89,1082300
SEM,2024-12-19,17.94,18.17,17.64,17.87,889212
SEM,2024-12-20,17.79,18.67,17.75,18.65,4052000
SEM,2024-12-23,18.58,18.69,18.28,18.63,845415
SEM,2024-12-24,18.62,18.72,18.46,18.72,361900
SEM,2024-12-26,18.66,19.0,18.59,18.98,646700
SEM,2024-12-27,18.79,18.98,18.44,18.58,984800
SEM,2024-12-30,18.51,18.53,18.08,18.4,975600
SEM,2024-12-31,18.44,18.68,18.36,18.45,871835
SEM,2025-01-02,18.62,18.86,18.17,18.39,946125
SEM,2025-01-03,18.21,18.25,17.72,18.01,1021100
SEM,2025-01-06,18.03,18.51,18.02,18.02,1028747
SEM,2025-01-07,18.16,18.39,17.98,18.24,1423400
SEM,2025-01-08,18.25,18.53,18.07,18.33,1142142
SEM,2025-01-10,17.94,18.22,17.88,17.88,683800
SEM,2025-01-13,17.77,18.42,17.75,18.4,593512
SEM,2025-01-14,18.34,18.53,18.19,18.51,695051
SEM,2025-01-15,18.97,19.03,18.59,18.86,767806
SEM,2025-01-16,18.77,18.87,18.54,18.77,594059
SEM,2025-01-17,19.0,19.07,18.59,18.66,545600
SEM,2025-01-21,18.83,19.02,18.76,18.92,744700
SEM,2025-01-22,18.8,18.9,18.52,18.89,506800
SEM,2025-01-23,18.87,19.15,18.63,18.87,883604
SEM,2025-01-24,18.83,19.34,18.75,19.25,838100
SEM,2025-01-27,19.2,20.13,19.14,19.94,1100588
SEM,2025-01-28,20.12,20.38,19.76,19.93,757900
SEM,2025-01-29,19.8,19.93,19.17,19.18,663000
SEM,2025-01-30,19.23,19.55,19.19,19.4,746101
SEM,2025-01-31,19.29,19.44,19.06,19.25,693600
SEM,2025-02-03,19.02,19.92,18.88,19.75,892212
SEM,2025-02-04,19.62,19.9,19.57,19.76,694600
