symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SF,2024-08-27,55.67,55.94,55.42,55.7,330150
SF,2024-08-28,55.58,56.24,55.45,55.48,505673
SF,2024-08-29,55.78,56.2,55.17,55.67,569874
SF,2024-08-30,56.07,56.44,55.49,56.41,576939
SF,2024-09-03,56.05,56.29,54.68,54.96,506700
SF,2024-09-04,54.54,55.19,54.54,54.81,384750
SF,2024-09-05,54.88,55.13,54.52,55.02,469122
SF,2024-09-06,55.02,55.29,53.27,53.76,370953
SF,2024-09-09,54.09,55.18,53.42,54.47,528900
SF,2024-09-10,54.47,54.47,53.33,54.03,423003
SF,2024-09-11,53.48,53.57,52.4,53.46,393015
SF,2024-09-12,54.27,54.57,53.76,54.33,373200
SF,2024-09-13,54.6,55.41,54.6,55.29,393164
SF,2024-09-16,55.59,57.5,55.59,57.22,808688
SF,2024-09-17,57.58,58.24,57.38,57.75,871718
SF,2024-09-18,57.75,58.6,57.23,58.0,646065
SF,2024-09-19,59.07,59.9,58.34,59.86,732663
SF,2024-09-20,59.94,59.94,59.13,59.61,1342358
SF,2024-09-23,59.76,60.11,59.26,59.57,401898
SF,2024-09-24,59.68,59.94,59.43,59.84,511200
SF,2024-09-25,59.93,60.19,59.49,59.84,660149
SF,2024-09-26,60.36,60.71,59.48,59.89,720947
SF,2024-09-27,60.1,60.57,59.63,60.37,550800
SF,2024-09-30,60.24,60.57,59.67,60.52,769557
SF,2024-10-01,60.4,60.58,59.42,60.21,414813
SF,2024-10-02,60.19,60.95,60.11,60.85,467400
SF,2024-10-03,60.56,61.23,59.88,61.08,560100
SF,2024-10-04,61.98,62.46,61.02,61.78,945657
SF,2024-10-07,61.54,62.2,61.27,61.71,672803
SF,2024-10-08,61.27,61.66,60.98,61.25,790545
SF,2024-10-09,61.61,62.68,61.56,62.31,679104
SF,2024-10-10,62.03,62.41,61.52,61.79,689895
SF,2024-10-11,62.18,63.43,61.91,62.81,723015
SF,2024-10-14,62.99,63.46,62.74,63.36,630155
SF,2024-10-15,63.74,65.03,63.68,64.08,1078992
SF,2024-10-16,64.7,65.34,64.46,65.03,1042706
SF,2024-10-17,65.31,66.26,65.26,66.02,980309
SF,2024-10-18,66.23,66.6,65.83,65.88,796274
SF,2024-10-21,65.86,66.04,65.17,65.41,828522
SF,2024-10-22,65.15,65.42,64.75,64.79,870750
SF,2024-10-23,63.97,65.46,62.77,65.24,1408350
SF,2024-10-24,65.93,67.56,65.93,67.21,1104002
SF,2024-10-25,67.32,67.9,66.62,66.7,885450
SF,2024-10-28,67.23,68.29,67.23,67.77,973950
SF,2024-10-29,67.67,67.96,67.28,67.52,599400
SF,2024-10-30,67.51,68.39,67.11,67.13,820200
SF,2024-10-31,67.27,67.67,66.29,66.79,969546
SF,2024-11-01,67.05,67.36,66.11,66.57,1230762
SF,2024-11-04,66.16,66.16,64.93,65.25,1219500
SF,2024-11-05,65.29,66.45,64.99,66.19,892508
SF,2024-11-06,70.51,75.91,70.05,75.37,2178900
SF,2024-11-07,74.8,74.9,73.2,73.51,955232
SF,2024-11-08,73.84,74.52,73.2,74.32,670880
SF,2024-11-11,75.65,76.14,75.0,75.73,743850
SF,2024-11-12,75.53,75.78,74.57,75.0,643217
SF,2024-11-13,75.65,75.65,73.97,74.25,553950
SF,2024-11-14,74.65,74.93,73.92,74.5,687581
SF,2024-11-15,74.2,74.47,73.26,73.76,1434000
SF,2024-11-18,74.16,74.36,73.28,73.68,1322711
SF,2024-11-19,72.78,73.43,72.12,72.94,774066
SF,2024-11-20,73.16,73.26,72.38,73.12,570900
SF,2024-11-21,73.11,74.37,73.11,74.13,625553
SF,2024-11-22,74.26,75.17,73.86,74.91,732756
SF,2024-11-25,75.38,76.78,75.06,75.88,1584060
SF,2024-11-26,75.47,76.13,74.62,75.21,789519
SF,2024-11-27,75.75,75.85,74.76,74.95,595719
SF,2024-11-29,75.73,75.73,74.58,74.64,441792
SF,2024-12-02,75.31,75.92,74.31,74.36,831600
SF,2024-12-03,74.84,74.92,73.54,73.72,715542
SF,2024-12-04,73.87,74.15,73.15,73.64,598500
SF,2024-12-05,73.97,74.51,73.81,73.95,694371
SF,2024-12-06,73.74,74.29,72.94,73.81,694491
SF,2024-12-09,73.8,73.89,71.72,71.93,667562
SF,2024-12-10,71.82,72.36,71.15,71.7,682272
SF,2024-12-11,72.32,73.12,71.71,72.75,765059
SF,2024-12-12,72.84,73.15,71.7,72.26,817053
SF,2024-12-13,72.6,73.37,71.47,71.67,959135
SF,2024-12-16,71.83,71.83,70.45,70.94,1032008
SF,2024-12-17,70.41,70.47,69.12,69.46,840000
SF,2024-12-18,69.89,70.32,66.24,66.31,815850
SF,2024-12-19,67.06,68.55,66.02,66.28,1480800
SF,2024-12-20,66.02,67.99,65.94,67.72,3198927
SF,2024-12-23,67.25,68.72,66.76,68.66,762491
SF,2024-12-24,68.8,69.64,68.54,69.53,393150
SF,2024-12-26,69.29,69.96,68.9,69.81,595722
SF,2024-12-27,69.29,69.93,68.63,69.13,495368
SF,2024-12-30,68.32,69.27,67.94,68.8,532385
SF,2024-12-31,69.27,69.31,68.3,68.75,703910
SF,2025-01-02,69.17,69.84,68.64,68.78,724050
SF,2025-01-03,68.89,70.2,68.59,70.1,723300
SF,2025-01-06,70.7,71.13,70.15,70.36,1200900
