symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SFD,2025-01-29,18.68,19.57,18.61,19.38,3094343
SFD,2025-01-30,19.63,20.64,19.41,20.61,3250200
SFD,2025-01-31,20.8,20.83,19.9,20.33,1881255
SFD,2025-02-03,20.47,20.82,19.72,20.64,1818000
SFD,2025-02-04,20.58,20.64,20.06,20.32,723301
SFD,2025-02-05,20.33,20.38,19.55,19.98,892000
SFD,2025-02-06,19.57,19.84,19.01,19.58,1317638
SFD,2025-02-07,19.58,20.1,19.49,19.98,559500
SFD,2025-02-10,20.18,20.34,19.96,20.11,442960
SFD,2025-02-11,19.88,20.16,19.51,20.11,594500
SFD,2025-02-12,19.73,20.34,19.68,20.33,361762
SFD,2025-02-13,20.38,20.38,19.98,20.03,309419
SFD,2025-02-14,19.92,20.24,19.72,20.08,219708
SFD,2025-02-18,20.1,20.38,20.03,20.28,359229
SFD,2025-02-19,20.24,20.37,20.05,20.31,516400
SFD,2025-02-20,20.45,20.56,19.87,20.15,475745
SFD,2025-02-21,19.96,20.2,19.62,19.96,331625
SFD,2025-02-24,20.23,20.52,19.97,20.18,792300
SFD,2025-02-25,20.11,20.51,19.77,20.43,487536
SFD,2025-02-26,20.55,20.59,19.21,19.48,1351520
SFD,2025-02-27,19.6,20.33,19.27,19.87,577993
SFD,2025-02-28,20.06,20.21,19.66,19.71,782500
SFD,2025-03-03,19.5,19.99,19.3,19.74,495000
SFD,2025-03-04,19.49,19.58,18.65,18.7,1009145
SFD,2025-03-05,18.68,19.31,18.46,19.23,596400
SFD,2025-03-06,19.23,19.33,18.59,18.7,456900
SFD,2025-03-07,18.68,19.9,18.19,18.25,812929
SFD,2025-03-10,18.37,18.83,17.43,17.6,823050
SFD,2025-03-11,17.45,18.36,17.45,18.22,946800
SFD,2025-03-12,18.36,18.6,18.17,18.28,428300
SFD,2025-03-13,18.22,18.28,17.73,17.95,452249
SFD,2025-03-14,18.08,18.3,17.88,17.99,334900
SFD,2025-03-17,18.04,18.77,17.99,18.48,516396
SFD,2025-03-18,18.35,18.96,18.35,18.93,513726
SFD,2025-03-19,18.91,19.0,18.6,18.71,273025
SFD,2025-03-20,18.55,18.8,18.4,18.59,560713
SFD,2025-03-21,18.59,18.95,17.99,18.02,2041951
SFD,2025-03-24,18.21,18.85,18.21,18.54,971600
SFD,2025-03-25,18.54,18.86,17.78,18.1,1103124
SFD,2025-03-26,18.23,18.96,18.07,18.64,1138131
SFD,2025-03-27,18.58,19.25,18.55,19.02,612225
SFD,2025-03-28,19.07,19.42,18.98,19.13,546012
SFD,2025-03-31,19.06,19.45,18.91,19.29,1209713
SFD,2025-04-01,19.26,19.6,18.77,19.51,1273900
SFD,2025-04-02,19.61,19.8,19.31,19.66,1227238
SFD,2025-04-03,19.52,19.94,19.42,19.74,858202
SFD,2025-04-04,19.44,19.67,18.65,18.7,823309
SFD,2025-04-07,17.88,18.82,17.69,18.25,710157
SFD,2025-04-08,18.6,18.84,17.8,17.92,474100
SFD,2025-04-09,17.74,18.97,17.54,18.85,1106300
SFD,2025-04-10,18.88,18.88,18.01,18.66,412805
SFD,2025-04-11,18.68,18.94,18.42,18.92,604700
SFD,2025-04-14,19.11,19.25,18.89,19.07,638242
SFD,2025-04-15,19.16,19.38,19.0,19.07,915100
SFD,2025-04-16,19.25,19.39,18.89,19.02,557450
SFD,2025-04-17,19.17,19.58,19.05,19.52,477322
SFD,2025-04-21,19.56,19.64,18.89,18.92,421400
SFD,2025-04-22,18.98,19.26,18.75,18.93,540228
SFD,2025-04-23,19.17,19.8,19.04,19.79,732000
SFD,2025-04-24,19.72,19.82,19.53,19.61,518810
SFD,2025-04-25,19.66,19.68,19.02,19.13,469234
SFD,2025-04-28,19.1,19.26,18.91,19.07,1288600
SFD,2025-04-29,19.21,20.82,18.5,20.76,2121881
SFD,2025-04-30,20.88,21.35,20.64,21.28,1042900
SFD,2025-05-01,21.11,21.47,20.89,21.08,660400
SFD,2025-05-02,21.39,22.09,21.31,22.02,1278919
SFD,2025-05-05,21.91,22.46,21.29,21.65,929839
SFD,2025-05-06,21.92,21.92,21.34,21.34,421310
