symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SFNC,2024-08-27,19.49,19.51,19.21,19.32,310600
SFNC,2024-08-28,19.16,19.69,19.1,19.6,306900
SFNC,2024-08-29,19.79,19.81,19.38,19.59,354505
SFNC,2024-08-30,19.7,19.91,19.56,19.88,489300
SFNC,2024-09-03,19.66,19.94,19.5,19.64,423100
SFNC,2024-09-04,19.54,19.83,19.25,19.38,384300
SFNC,2024-09-05,19.6,19.64,19.05,19.22,265808
SFNC,2024-09-06,19.36,19.39,18.81,18.94,340700
SFNC,2024-09-09,18.96,19.21,18.66,19.06,530737
SFNC,2024-09-10,19.16,19.18,18.5,19.01,612941
SFNC,2024-09-11,18.75,18.94,18.33,18.87,537648
SFNC,2024-09-12,19.02,19.04,18.74,18.97,339300
SFNC,2024-09-13,19.25,19.65,19.11,19.63,422300
SFNC,2024-09-16,19.63,19.94,19.33,19.82,427304
SFNC,2024-09-17,20.05,20.55,19.91,20.02,599000
SFNC,2024-09-18,20.06,21.05,19.7,20.16,637300
SFNC,2024-09-19,20.7,20.8,20.26,20.7,588903
SFNC,2024-09-20,20.57,20.69,20.22,20.26,2507432
SFNC,2024-09-23,20.41,20.45,20.16,20.22,496946
SFNC,2024-09-24,20.17,20.33,20.06,20.17,886744
SFNC,2024-09-25,20.2,20.21,19.78,19.84,604300
SFNC,2024-09-26,20.23,20.33,19.96,19.99,803341
SFNC,2024-09-27,20.2,20.26,19.84,19.84,512500
SFNC,2024-09-30,19.81,20.32,19.77,20.2,421105
SFNC,2024-10-01,20.09,20.17,19.57,19.9,675923
SFNC,2024-10-02,19.93,20.22,19.61,19.69,390543
SFNC,2024-10-03,19.57,19.89,19.48,19.83,576119
SFNC,2024-10-04,20.19,20.38,20.01,20.17,468044
SFNC,2024-10-07,20.09,20.17,19.97,20.07,431900
SFNC,2024-10-08,20.17,20.23,19.81,19.95,499727
SFNC,2024-10-09,20.0,20.49,19.88,20.31,600849
SFNC,2024-10-10,20.14,20.27,19.93,20.26,379400
SFNC,2024-10-11,20.41,21.06,20.31,20.89,581127
SFNC,2024-10-14,20.89,21.36,20.76,21.26,385235
SFNC,2024-10-15,21.41,22.08,21.21,21.61,770521
SFNC,2024-10-16,21.75,22.21,21.75,21.85,702600
SFNC,2024-10-17,21.79,22.09,21.72,21.85,769000
SFNC,2024-10-18,20.97,22.1,20.54,21.83,757200
SFNC,2024-10-21,22.26,22.26,21.3,21.35,868534
SFNC,2024-10-22,21.33,21.73,21.18,21.67,516100
SFNC,2024-10-23,21.56,21.88,21.53,21.85,488918
SFNC,2024-10-24,21.88,22.04,21.55,21.99,490421
SFNC,2024-10-25,22.15,22.17,21.46,21.56,400700
SFNC,2024-10-28,21.74,22.2,21.74,22.11,401000
SFNC,2024-10-29,21.95,22.16,21.76,22.07,342000
SFNC,2024-10-30,21.98,22.64,21.95,22.17,487323
SFNC,2024-10-31,22.22,22.26,21.76,21.76,382728
SFNC,2024-11-01,21.79,22.0,21.32,21.86,420243
SFNC,2024-11-04,21.73,21.78,21.22,21.56,422200
SFNC,2024-11-05,21.58,21.97,21.52,21.86,431045
SFNC,2024-11-06,23.44,24.33,23.4,23.94,2745034
SFNC,2024-11-07,23.66,23.69,22.87,23.12,1253300
SFNC,2024-11-08,23.31,23.44,23.0,23.15,1079425
SFNC,2024-11-11,23.44,23.97,23.43,23.61,1404930
SFNC,2024-11-12,23.32,23.95,23.11,23.42,765800
SFNC,2024-11-13,23.54,23.84,23.19,23.24,790734
SFNC,2024-11-14,23.23,23.38,22.95,22.99,518600
SFNC,2024-11-15,23.14,23.22,22.66,22.97,636831
SFNC,2024-11-18,22.88,23.1,22.79,22.79,395200
SFNC,2024-11-19,22.38,22.69,22.17,22.57,659703
SFNC,2024-11-20,22.5,22.66,22.36,22.61,428400
SFNC,2024-11-21,22.74,23.06,22.64,22.69,686103
SFNC,2024-11-22,22.81,23.35,22.67,23.28,729500
SFNC,2024-11-25,23.44,23.93,23.3,23.31,1212700
SFNC,2024-11-26,23.27,23.42,23.13,23.17,450621
SFNC,2024-11-27,23.38,23.55,23.1,23.13,375300
SFNC,2024-11-29,23.36,23.36,22.78,22.94,381910
SFNC,2024-12-02,22.99,23.28,22.72,22.97,661946
SFNC,2024-12-03,22.95,23.09,22.73,22.9,486700
SFNC,2024-12-04,22.93,23.12,22.82,22.96,393618
SFNC,2024-12-05,22.96,23.14,22.68,22.7,328400
SFNC,2024-12-06,22.79,22.83,22.54,22.73,435727
SFNC,2024-12-09,22.89,22.97,22.63,22.64,482300
SFNC,2024-12-10,22.63,22.97,22.41,22.55,467311
SFNC,2024-12-11,22.83,22.98,22.59,22.67,701700
SFNC,2024-12-12,22.67,22.78,22.37,22.44,484200
SFNC,2024-12-13,22.37,22.52,22.29,22.49,466904
SFNC,2024-12-16,22.47,22.63,22.28,22.58,752600
SFNC,2024-12-17,22.4,22.59,22.02,22.13,796640
SFNC,2024-12-18,22.33,22.44,20.73,20.99,1143023
SFNC,2024-12-19,21.22,21.52,20.79,20.94,856900
SFNC,2024-12-20,20.73,21.36,20.73,21.28,3138500
SFNC,2024-12-23,21.11,21.22,20.99,21.21,490000
SFNC,2024-12-24,21.2,21.3,21.07,21.29,214932
SFNC,2024-12-26,21.12,21.4,21.02,21.36,337700
SFNC,2024-12-27,21.18,21.36,20.87,21.14,476700
SFNC,2024-12-30,21.05,21.22,20.86,21.1,375300
SFNC,2024-12-31,19.96,21.32,19.96,20.98,425546
SFNC,2025-01-02,21.1,21.29,20.49,20.53,454400
SFNC,2025-01-03,20.63,20.81,20.25,20.75,485600
SFNC,2025-01-06,20.75,21.14,20.62,20.78,601707
SFNC,2025-01-07,20.81,20.97,20.4,20.66,907800
SFNC,2025-01-08,20.45,20.72,20.38,20.64,528900
SFNC,2025-01-10,20.19,20.23,19.57,19.83,727840
SFNC,2025-01-13,19.69,20.1,19.69,20.07,636307
SFNC,2025-01-14,20.29,20.91,20.23,20.88,568700
SFNC,2025-01-15,21.52,21.66,20.99,21.22,505139
SFNC,2025-01-16,21.12,21.24,20.93,21.16,533800
SFNC,2025-01-17,21.41,21.51,21.23,21.49,622300
SFNC,2025-01-21,21.63,21.87,21.53,21.56,803008
SFNC,2025-01-22,21.41,21.71,20.96,21.15,967925
SFNC,2025-01-23,21.03,21.32,20.9,21.19,702348
SFNC,2025-01-24,21.11,21.38,21.05,21.31,527000
SFNC,2025-01-27,21.39,21.89,21.36,21.65,559600
SFNC,2025-01-28,21.6,21.8,21.52,21.6,476600
SFNC,2025-01-29,21.46,21.85,21.17,21.37,533902
SFNC,2025-01-30,21.58,21.8,21.36,21.54,469234
SFNC,2025-01-31,21.48,21.77,21.37,21.49,532800
SFNC,2025-02-03,20.92,21.43,20.66,21.1,504400
SFNC,2025-02-04,20.99,21.8,20.98,21.75,431217
SFNC,2025-02-05,21.83,21.94,21.56,21.93,350400
SFNC,2025-02-06,22.0,22.17,21.86,22.04,394918
SFNC,2025-02-07,22.01,22.01,21.39,21.68,622300
SFNC,2025-02-10,21.72,21.72,21.46,21.51,406800
SFNC,2025-02-11,21.32,21.97,21.31,21.88,404600
