symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SIL,2024-12-05,38.32,38.66,37.98,38.57,980044
SIL,2024-12-06,37.89,37.89,36.97,37.05,709600
SIL,2024-12-09,37.34,38.55,37.34,37.63,897909
SIL,2024-12-10,37.97,38.17,37.2,37.24,482064
SIL,2024-12-11,37.22,38.15,37.05,38.07,378691
SIL,2024-12-12,37.16,37.17,36.29,36.29,773411
SIL,2024-12-13,35.48,35.68,34.88,35.02,1005600
SIL,2024-12-16,35.1,35.1,34.41,34.41,741908
SIL,2024-12-17,34.02,34.36,33.65,34.15,584500
SIL,2024-12-18,33.89,33.94,32.19,32.31,1328020
SIL,2024-12-19,32.57,32.91,32.04,32.1,978109
SIL,2024-12-20,32.12,32.69,32.02,32.14,1119723
SIL,2024-12-23,32.33,32.61,32.07,32.52,605101
SIL,2024-12-24,32.62,32.68,32.35,32.67,279212
SIL,2024-12-26,32.71,33.22,32.71,32.92,584472
SIL,2024-12-27,32.33,32.33,31.76,32.0,843604
SIL,2024-12-30,31.62,31.76,30.98,31.22,778115
SIL,2024-12-31,31.36,31.66,31.11,31.38,357509
SIL,2025-01-02,31.84,32.83,31.7,32.71,828494
SIL,2025-01-03,32.61,32.76,32.29,32.36,347984
SIL,2025-01-06,32.4,32.62,32.1,32.18,486500
SIL,2025-01-07,32.81,33.34,32.29,32.5,826171
SIL,2025-01-08,32.58,32.91,32.18,32.81,445407
SIL,2025-01-10,32.98,33.42,32.22,32.4,622508
SIL,2025-01-13,31.71,31.81,31.21,31.52,805452
SIL,2025-01-14,31.53,32.69,31.53,32.43,443903
SIL,2025-01-15,32.94,33.3,32.24,32.75,396963
SIL,2025-01-16,32.79,33.15,32.52,32.6,586386
SIL,2025-01-17,32.31,33.0,32.18,32.6,1157765
SIL,2025-01-21,33.15,34.01,32.88,33.11,1493629
SIL,2025-01-22,33.13,33.28,32.52,32.81,615328
SIL,2025-01-23,32.44,32.72,32.11,32.68,1229460
SIL,2025-01-24,33.42,33.82,33.23,33.37,688500
SIL,2025-01-27,32.84,32.86,32.04,32.37,1339600
SIL,2025-01-28,32.39,32.9,32.14,32.74,580200
SIL,2025-01-29,32.92,33.45,32.78,33.26,519837
SIL,2025-01-30,34.19,35.17,34.09,34.83,1457089
SIL,2025-01-31,34.87,34.94,33.92,34.16,590104
SIL,2025-02-03,34.08,34.96,33.86,34.57,998270
SIL,2025-02-04,35.06,35.47,34.85,35.26,857000
SIL,2025-02-05,35.67,36.64,35.67,36.06,1570230
SIL,2025-02-06,36.13,36.19,35.53,36.0,1051300
SIL,2025-02-07,36.37,36.68,35.54,35.61,740900
SIL,2025-02-10,36.33,36.64,36.09,36.24,834550
SIL,2025-02-11,36.08,36.16,35.66,35.73,543130
SIL,2025-02-12,35.58,37.03,35.58,36.7,995719
SIL,2025-02-13,36.92,36.95,36.25,36.86,903109
SIL,2025-02-14,37.86,37.86,35.67,35.87,1515853
SIL,2025-02-18,36.49,36.49,35.82,36.0,1023400
SIL,2025-02-19,35.96,36.13,35.54,36.09,442248
SIL,2025-02-20,36.11,36.86,36.11,36.63,719500
SIL,2025-02-21,36.49,36.49,35.0,35.04,1004547
