symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SITE,2025-02-12,134.37,139.01,132.0,136.88,958100
SITE,2025-02-13,136.62,145.84,136.47,141.16,815639
SITE,2025-02-14,142.8,147.87,142.8,146.09,499000
SITE,2025-02-18,145.41,146.31,142.97,143.4,385200
SITE,2025-02-19,140.84,141.81,138.53,140.98,366505
SITE,2025-02-20,141.51,141.84,138.75,140.85,339437
SITE,2025-02-21,142.87,142.87,133.45,134.62,354800
SITE,2025-02-24,134.39,134.4,130.57,131.71,434235
SITE,2025-02-25,131.75,134.17,130.51,132.29,511928
SITE,2025-02-26,132.68,133.9,129.53,129.53,337639
SITE,2025-02-27,128.91,130.03,124.3,124.48,381000
SITE,2025-02-28,124.78,126.61,124.07,126.31,495200
SITE,2025-03-03,126.81,126.97,124.42,124.5,850903
SITE,2025-03-04,121.89,124.07,119.15,122.07,649933
SITE,2025-03-05,122.69,124.7,121.06,124.14,532946
SITE,2025-03-06,122.66,125.27,121.26,125.16,583500
SITE,2025-03-07,125.23,129.07,123.94,129.07,633400
SITE,2025-03-10,128.01,132.06,126.88,127.13,528445
SITE,2025-03-11,126.27,126.88,122.72,124.45,417022
SITE,2025-03-12,124.71,126.81,123.24,123.28,300100
SITE,2025-03-13,122.77,125.05,120.0,120.25,614306
SITE,2025-03-14,122.24,122.93,120.0,122.61,408300
SITE,2025-03-17,121.62,124.85,121.08,123.64,259911
SITE,2025-03-18,122.8,124.55,121.03,123.89,386600
SITE,2025-03-19,123.8,124.69,121.5,122.65,609300
SITE,2025-03-20,121.33,124.95,120.95,121.88,475400
SITE,2025-03-21,118.92,122.42,117.88,122.0,890325
SITE,2025-03-24,123.96,128.45,123.79,128.3,457410
SITE,2025-03-25,127.37,129.37,126.11,127.49,268100
SITE,2025-03-26,127.95,128.94,125.77,126.7,386428
SITE,2025-03-27,126.79,128.22,125.26,126.3,371026
SITE,2025-03-28,126.17,126.17,120.52,121.9,369028
SITE,2025-03-31,119.9,122.19,118.75,121.44,560602
SITE,2025-04-01,120.01,121.65,119.27,120.09,508136
SITE,2025-04-02,118.51,122.72,118.4,122.65,676300
SITE,2025-04-03,117.04,117.38,110.76,114.42,1057100
