symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SJM,2024-08-27,114.33,115.11,113.12,113.71,1686400
SJM,2024-08-28,106.39,109.41,106.18,108.09,3063959
SJM,2024-08-29,107.87,108.03,106.29,107.2,1466813
SJM,2024-08-30,107.3,108.81,107.07,108.04,1143032
SJM,2024-09-03,107.88,112.16,107.88,111.87,1557900
SJM,2024-09-04,112.17,114.43,111.97,113.55,1353336
SJM,2024-09-05,114.4,114.79,113.51,114.18,984877
SJM,2024-09-06,114.01,115.27,113.23,113.31,1110900
SJM,2024-09-09,113.32,114.28,112.64,113.22,728600
SJM,2024-09-10,113.31,114.09,111.56,112.08,856900
SJM,2024-09-11,111.92,112.37,110.15,110.69,1459700
SJM,2024-09-12,110.47,111.23,109.8,111.15,778919
SJM,2024-09-13,111.09,113.92,110.74,113.75,648400
SJM,2024-09-16,114.65,115.64,113.55,113.88,696101
SJM,2024-09-17,113.52,114.73,112.62,112.78,871900
SJM,2024-09-18,112.29,114.61,112.29,113.51,990100
SJM,2024-09-19,113.04,113.62,112.27,112.39,896129
SJM,2024-09-20,112.69,112.96,111.28,111.87,2338100
SJM,2024-09-23,111.7,112.38,111.01,112.09,1027438
SJM,2024-09-24,112.08,112.73,110.35,110.63,993009
SJM,2024-09-25,111.42,112.42,111.21,111.4,746140
SJM,2024-09-26,111.02,113.37,111.02,112.93,625426
SJM,2024-09-27,113.38,115.54,112.55,114.14,772735
SJM,2024-09-30,114.99,115.09,113.07,114.09,773100
SJM,2024-10-01,114.15,114.69,113.06,114.19,769516
SJM,2024-10-02,113.43,113.61,111.71,112.23,634000
SJM,2024-10-03,111.55,111.87,109.49,110.49,741153
SJM,2024-10-04,109.9,110.69,109.23,110.6,733326
SJM,2024-10-07,110.44,110.82,109.28,109.46,805843
SJM,2024-10-08,109.52,110.26,108.67,110.02,733700
SJM,2024-10-09,110.39,111.05,109.59,110.43,404200
SJM,2024-10-10,110.87,111.17,109.66,110.25,495950
SJM,2024-10-11,110.59,111.0,109.82,110.06,606588
SJM,2024-10-14,110.32,111.65,109.87,111.37,571901
SJM,2024-10-15,111.92,115.01,111.53,113.56,797614
SJM,2024-10-16,112.92,114.76,112.62,114.57,693624
SJM,2024-10-17,114.21,114.36,113.13,114.23,695232
SJM,2024-10-18,114.23,114.88,113.39,114.68,920624
SJM,2024-10-21,114.65,114.75,112.9,112.99,595539
SJM,2024-10-22,113.06,113.06,109.67,110.89,958800
SJM,2024-10-23,110.25,111.14,109.52,110.89,471200
SJM,2024-10-24,111.2,111.95,110.23,110.27,577145
SJM,2024-10-25,109.76,110.6,109.31,109.35,418527
SJM,2024-10-28,110.12,110.75,108.7,108.78,643160
SJM,2024-10-29,108.09,109.23,107.16,107.2,738544
SJM,2024-10-30,106.89,107.43,106.24,107.33,875173
SJM,2024-10-31,107.39,108.48,106.66,106.94,1286500
SJM,2024-11-01,107.54,107.54,105.98,106.38,767001
SJM,2024-11-04,106.39,108.31,106.23,107.11,1012017
SJM,2024-11-05,106.93,109.66,106.93,109.65,955317
SJM,2024-11-06,110.77,111.27,108.83,108.93,1314500
SJM,2024-11-07,108.7,109.52,107.72,108.59,995249
SJM,2024-11-08,108.82,109.0,107.76,108.77,894336
SJM,2024-11-11,108.97,109.5,106.64,107.07,1145100
SJM,2024-11-12,107.5,107.95,105.33,105.5,1115300
SJM,2024-11-13,105.51,105.73,103.57,104.59,1833738
SJM,2024-11-14,104.92,106.24,104.27,104.34,1131888
SJM,2024-11-15,104.2,104.53,101.03,101.72,1901303
SJM,2024-11-18,102.01,105.46,102.01,105.1,1572439
SJM,2024-11-19,105.22,106.95,104.45,106.47,1092134
SJM,2024-11-20,106.37,107.77,105.93,106.63,888332
SJM,2024-11-21,106.62,108.42,105.47,108.36,1050200
SJM,2024-11-22,108.41,108.96,107.29,107.79,1263063
SJM,2024-11-25,108.66,109.25,107.4,108.1,3044300
SJM,2024-11-26,114.16,119.32,112.79,114.25,3914188
SJM,2024-11-27,114.46,114.9,111.97,112.27,1710750
SJM,2024-11-29,112.3,112.89,111.91,112.07,1000903
SJM,2024-12-02,112.18,114.63,111.63,113.77,1364600
SJM,2024-12-03,113.8,113.83,111.16,111.59,1279521
SJM,2024-12-04,110.84,111.75,108.36,109.83,1439291
SJM,2024-12-05,109.65,111.16,109.65,111.0,853353
SJM,2024-12-06,111.12,111.49,110.56,110.8,1103569
SJM,2024-12-09,110.79,113.68,110.79,112.1,1428029
