symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SLB,2024-12-06,40.23,40.38,39.35,39.47,15727500
SLB,2024-12-09,39.99,40.22,39.62,39.67,10657295
SLB,2024-12-10,39.61,40.08,38.99,39.38,10075800
SLB,2024-12-11,39.61,40.27,39.48,40.05,9958341
SLB,2024-12-12,40.01,40.09,39.51,39.6,7309784
SLB,2024-12-13,39.65,39.67,38.62,38.76,10763107
SLB,2024-12-16,38.64,39.53,38.32,38.43,14900700
SLB,2024-12-17,37.94,38.16,37.29,37.51,18705300
SLB,2024-12-18,37.55,37.78,35.92,35.97,15657400
SLB,2024-12-19,36.37,36.49,35.19,35.57,16162342
SLB,2024-12-20,35.49,36.02,35.29,35.49,36468332
SLB,2024-12-23,35.43,36.02,35.31,35.9,10833928
SLB,2024-12-24,35.93,36.4,35.55,36.36,4555400
SLB,2024-12-26,36.37,36.49,35.9,36.36,8145977
SLB,2024-12-27,36.27,36.91,36.13,36.42,9493700
SLB,2024-12-30,36.27,36.55,35.88,36.43,10995000
SLB,2024-12-31,36.49,37.17,36.47,36.94,7817100
SLB,2025-01-02,37.44,37.99,36.86,37.0,11559356
SLB,2025-01-03,37.28,37.33,36.65,37.19,10313694
SLB,2025-01-06,37.48,38.09,37.22,37.35,8366600
SLB,2025-01-07,37.77,38.25,37.35,37.94,9350100
SLB,2025-01-08,37.31,37.71,37.01,37.4,11319700
SLB,2025-01-10,38.13,38.24,37.1,37.21,15273648
SLB,2025-01-13,37.4,38.57,37.37,38.4,15964000
SLB,2025-01-14,38.14,38.68,37.79,38.42,12119720
SLB,2025-01-15,38.54,39.42,38.54,39.16,11877400
SLB,2025-01-16,38.97,39.72,38.86,39.59,16148813
SLB,2025-01-17,40.61,42.88,40.09,41.99,30731332
SLB,2025-01-21,42.35,43.04,41.77,42.15,22986900
SLB,2025-01-22,41.81,41.87,39.96,40.12,23719208
SLB,2025-01-23,40.6,40.63,40.08,40.5,19071500
SLB,2025-01-24,40.66,41.07,40.2,40.71,19431100
SLB,2025-01-27,40.65,41.22,40.47,40.99,15306200
SLB,2025-01-28,41.01,41.23,39.45,39.82,16077531
SLB,2025-01-29,39.82,40.28,39.19,39.45,12734801
SLB,2025-01-30,39.53,39.88,39.21,39.53,10171120
SLB,2025-01-31,39.68,39.78,38.4,38.81,13110779
SLB,2025-02-03,38.67,39.43,38.12,38.7,12507614
SLB,2025-02-04,38.29,39.99,38.19,39.72,12752012
SLB,2025-02-05,39.65,39.91,39.01,39.6,15186140
SLB,2025-02-06,39.87,40.04,38.54,38.86,13112700
SLB,2025-02-07,39.0,39.46,38.81,38.97,11776400
SLB,2025-02-10,39.4,40.15,39.4,39.99,9388100
SLB,2025-02-11,40.05,40.94,39.83,40.54,11266706
