symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SLGN,2024-08-27,49.68,49.73,49.24,49.4,534405
SLGN,2024-08-28,49.24,49.8,49.17,49.77,585200
SLGN,2024-08-29,50.07,50.43,49.67,50.3,468500
SLGN,2024-08-30,50.24,50.92,50.24,50.78,429500
SLGN,2024-09-03,50.39,50.71,49.61,49.98,692235
SLGN,2024-09-04,49.84,50.21,49.61,49.64,475816
SLGN,2024-09-05,49.73,49.8,48.76,49.09,432200
SLGN,2024-09-06,49.24,49.57,48.87,49.22,500000
SLGN,2024-09-09,49.23,49.46,48.7,48.7,467500
SLGN,2024-09-10,48.81,49.19,48.63,48.71,358000
SLGN,2024-09-11,48.55,48.55,47.53,48.36,282500
SLGN,2024-09-12,48.72,48.91,48.49,48.75,449742
SLGN,2024-09-13,49.27,49.78,48.99,49.27,332800
SLGN,2024-09-16,49.55,50.05,49.4,49.99,394812
SLGN,2024-09-17,50.17,50.34,49.81,50.11,391200
SLGN,2024-09-18,50.22,50.74,49.84,50.16,1073630
SLGN,2024-09-19,50.84,50.95,50.38,50.72,557200
SLGN,2024-09-20,50.23,50.32,49.73,50.08,708647
SLGN,2024-09-23,50.19,50.36,49.91,50.05,452333
SLGN,2024-09-24,50.16,50.51,49.71,49.95,1269100
SLGN,2024-09-25,50.12,50.33,49.52,49.55,436200
SLGN,2024-09-26,50.02,50.71,49.81,50.49,295935
SLGN,2024-09-27,50.82,51.43,50.06,50.26,772200
SLGN,2024-09-30,50.16,51.22,49.82,51.19,631237
SLGN,2024-10-01,51.07,51.23,50.65,50.69,371300
SLGN,2024-10-02,50.76,50.93,49.84,50.31,441041
SLGN,2024-10-03,50.07,50.28,49.36,49.49,950800
SLGN,2024-10-04,49.94,50.32,49.84,50.23,425348
SLGN,2024-10-07,49.93,49.93,49.32,49.69,483708
SLGN,2024-10-08,49.63,49.88,49.31,49.33,471743
SLGN,2024-10-09,49.26,49.93,49.15,49.65,358800
SLGN,2024-10-10,49.58,49.72,49.2,49.62,398702
SLGN,2024-10-11,49.76,50.61,49.7,50.28,376300
SLGN,2024-10-14,50.29,50.73,50.24,50.6,392027
SLGN,2024-10-15,50.51,50.69,50.02,50.17,647800
SLGN,2024-10-16,50.27,50.86,50.22,50.28,424200
SLGN,2024-10-17,50.63,50.92,50.4,50.43,283707
SLGN,2024-10-18,50.72,51.19,50.28,51.14,470145
SLGN,2024-10-21,50.85,50.87,50.06,50.09,336840
SLGN,2024-10-22,49.96,50.01,49.5,49.81,306800
SLGN,2024-10-23,49.85,50.24,49.35,49.67,316337
SLGN,2024-10-24,49.63,50.1,49.52,49.67,235500
SLGN,2024-10-25,49.88,50.06,49.56,49.63,389700
SLGN,2024-10-28,49.9,50.56,49.86,49.88,366600
SLGN,2024-10-29,49.6,49.71,49.3,49.52,355800
SLGN,2024-10-30,48.98,51.48,48.74,51.1,941800
SLGN,2024-10-31,51.13,51.43,50.24,50.44,595500
SLGN,2024-11-01,50.68,51.37,50.34,51.32,892882
SLGN,2024-11-04,51.47,52.37,51.47,51.74,888251
SLGN,2024-11-05,51.67,52.33,51.51,51.76,625200
SLGN,2024-11-06,53.81,53.86,52.03,52.62,602505
SLGN,2024-11-07,52.76,52.86,52.02,52.17,396905
SLGN,2024-11-08,52.26,52.63,51.83,52.3,506800
SLGN,2024-11-11,52.7,53.17,52.5,52.72,696300
SLGN,2024-11-12,52.75,53.4,52.55,53.16,585447
SLGN,2024-11-13,53.17,53.94,53.17,53.75,921200
SLGN,2024-11-14,53.72,53.91,52.55,52.58,489155
SLGN,2024-11-15,52.61,53.02,52.12,52.21,492919
SLGN,2024-11-18,52.19,52.86,52.1,52.84,673203
SLGN,2024-11-19,52.45,53.4,52.4,52.93,686800
SLGN,2024-11-20,52.67,53.54,52.62,53.4,779935
SLGN,2024-11-21,53.4,54.51,52.95,54.21,690914
