symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SN,2024-08-27,88.25,91.97,88.0,90.55,1635332
SN,2024-08-28,90.11,91.81,89.29,89.72,774800
SN,2024-08-29,89.37,94.19,89.02,91.91,1575142
SN,2024-08-30,92.47,95.9,92.47,95.82,2090500
SN,2024-09-03,96.05,96.73,93.03,95.17,2169732
SN,2024-09-04,96.5,98.33,95.5,98.12,2597522
SN,2024-09-05,97.7,98.54,96.69,97.34,2130642
SN,2024-09-06,97.2,98.09,94.05,94.7,1548194
SN,2024-09-09,95.51,97.15,94.3,96.63,1230800
SN,2024-09-10,97.0,98.29,95.0,96.3,697116
SN,2024-09-11,96.18,99.26,95.11,99.01,1605000
SN,2024-09-12,100.0,102.17,99.5,101.8,2010538
SN,2024-09-13,101.76,104.13,101.58,103.24,1112500
SN,2024-09-16,103.47,104.5,102.74,103.56,708864
SN,2024-09-17,103.92,104.5,101.91,103.47,1075111
SN,2024-09-18,103.21,106.26,102.76,104.99,865077
SN,2024-09-19,107.8,108.68,104.57,106.86,985800
SN,2024-09-20,106.97,107.57,105.14,105.77,1357300
SN,2024-09-23,106.22,106.22,103.53,104.86,770900
SN,2024-09-24,106.55,107.89,105.62,106.39,1166663
SN,2024-09-25,106.5,106.9,105.51,105.96,1076500
SN,2024-09-26,106.69,106.69,104.19,106.0,778508
SN,2024-09-27,105.66,106.64,105.51,106.0,1304366
SN,2024-09-30,107.0,108.99,106.92,108.71,1383222
SN,2024-10-01,109.0,109.97,106.68,107.94,1098071
SN,2024-10-02,106.66,107.94,104.53,107.57,1071683
SN,2024-10-03,107.93,109.41,107.16,109.05,1078618
SN,2024-10-04,110.0,110.96,108.28,109.72,767623
SN,2024-10-07,109.1,109.88,107.9,108.31,478883
SN,2024-10-08,108.3,110.24,107.84,109.62,746506
SN,2024-10-09,109.41,110.29,108.77,109.27,850465
SN,2024-10-10,108.58,109.13,108.01,108.2,586148
SN,2024-10-11,108.1,108.67,107.0,107.3,1362893
SN,2024-10-14,107.41,107.73,104.78,107.65,1619400
SN,2024-10-15,107.42,109.07,107.25,107.93,874807
SN,2024-10-16,108.13,108.59,104.91,105.12,1398900
SN,2024-10-17,105.57,106.38,104.0,106.07,1279045
SN,2024-10-18,106.43,109.68,106.22,108.95,1317605
SN,2024-10-21,108.79,110.18,108.29,109.86,868600
SN,2024-10-22,108.8,110.67,108.57,109.48,763706
SN,2024-10-23,111.16,112.65,107.95,109.53,1138100
SN,2024-10-24,110.23,110.35,107.69,107.79,630320
SN,2024-10-25,110.39,110.79,108.72,109.32,917211
SN,2024-10-28,110.0,111.8,109.5,111.13,992201
SN,2024-10-29,110.74,111.75,110.1,110.49,783477
SN,2024-10-30,110.22,112.93,110.17,110.92,1804171
SN,2024-10-31,100.62,100.65,90.2,92.21,7576832
SN,2024-11-01,94.01,96.95,89.1,89.12,4760236
SN,2024-11-04,89.85,92.0,89.62,91.25,2449800
SN,2024-11-05,91.63,94.63,91.63,94.0,2158572
SN,2024-11-06,89.16,92.63,85.95,92.1,4648512
