symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SNAP,2024-12-05,12.58,12.59,11.72,12.17,49109612
SNAP,2024-12-06,12.37,13.02,12.22,12.44,58197712
SNAP,2024-12-09,12.5,12.63,12.2,12.5,32176108
SNAP,2024-12-10,12.5,12.57,11.99,12.41,33103200
SNAP,2024-12-11,12.42,12.74,11.99,12.0,21680000
SNAP,2024-12-12,11.94,11.96,11.37,11.38,23124400
SNAP,2024-12-13,11.41,11.55,11.08,11.31,17823800
SNAP,2024-12-16,11.36,11.57,11.21,11.34,22364223
SNAP,2024-12-17,11.34,11.43,11.12,11.18,19717449
SNAP,2024-12-18,11.16,12.16,10.86,11.22,49598200
SNAP,2024-12-19,11.34,11.57,11.14,11.3,26885300
SNAP,2024-12-20,11.01,11.63,10.95,11.4,38555442
SNAP,2024-12-23,11.53,11.59,11.0,11.26,37248303
SNAP,2024-12-24,11.27,11.28,11.12,11.18,7892415
SNAP,2024-12-26,11.11,11.38,11.07,11.2,12902218
SNAP,2024-12-27,11.16,11.18,10.77,10.99,22670505
SNAP,2024-12-30,10.72,11.0,10.57,10.86,28393844
SNAP,2024-12-31,10.86,11.0,10.75,10.77,14617100
SNAP,2025-01-02,11.0,11.38,10.78,11.24,16400500
SNAP,2025-01-03,11.46,12.08,11.45,11.97,25565629
SNAP,2025-01-06,12.1,12.59,11.98,12.57,26193600
SNAP,2025-01-07,12.65,12.87,12.31,12.55,27577626
SNAP,2025-01-08,12.3,12.59,11.93,12.04,25644808
SNAP,2025-01-10,11.99,13.28,11.88,12.47,54521200
SNAP,2025-01-13,12.24,12.45,11.94,12.15,21092900
SNAP,2025-01-14,11.78,11.81,11.29,11.34,38181542
SNAP,2025-01-15,11.68,12.35,11.62,11.84,35534700
SNAP,2025-01-16,11.38,11.65,11.17,11.22,37764026
SNAP,2025-01-17,11.36,11.6,10.8,10.86,48260600
SNAP,2025-01-21,10.92,10.98,10.54,10.56,34096707
SNAP,2025-01-22,10.68,10.76,10.45,10.46,24284100
SNAP,2025-01-23,10.41,10.67,10.4,10.58,19161849
SNAP,2025-01-24,10.65,10.9,10.65,10.89,19712200
SNAP,2025-01-27,10.59,11.19,10.59,10.85,23584434
SNAP,2025-01-28,10.88,11.2,10.77,11.19,21291538
SNAP,2025-01-29,11.25,11.77,11.19,11.63,27625300
SNAP,2025-01-30,11.64,11.67,11.14,11.35,19930600
SNAP,2025-01-31,11.43,11.73,11.26,11.29,23140849
SNAP,2025-02-03,11.0,11.3,10.96,11.17,56262600
SNAP,2025-02-04,11.19,11.71,11.19,11.6,65699100
SNAP,2025-02-05,11.54,11.57,10.59,10.63,91226400
SNAP,2025-02-06,10.49,10.79,10.35,10.69,40553416
SNAP,2025-02-07,10.72,11.05,10.6,10.92,31624300
SNAP,2025-02-10,10.81,11.09,10.68,10.71,30217300
SNAP,2025-02-11,10.44,10.92,10.35,10.87,24893000
SNAP,2025-02-12,10.67,10.92,10.67,10.73,20670707
SNAP,2025-02-13,10.76,11.26,10.76,11.25,29099000
SNAP,2025-02-14,11.12,11.2,10.83,10.85,19265700
SNAP,2025-02-18,10.88,11.05,10.72,11.04,23782028
SNAP,2025-02-19,10.92,10.97,10.72,10.78,18582731
SNAP,2025-02-20,10.78,10.83,10.57,10.68,16000300
SNAP,2025-02-21,10.7,10.8,10.33,10.34,17290513
SNAP,2025-02-24,10.39,10.55,10.1,10.42,17995900
SNAP,2025-02-25,10.35,10.52,10.1,10.4,19790500
SNAP,2025-02-26,10.48,10.59,10.1,10.16,23991000
SNAP,2025-02-27,10.2,10.31,9.93,9.99,18277930
SNAP,2025-02-28,9.97,10.26,9.86,10.25,21464800
SNAP,2025-03-03,10.32,10.38,9.76,9.77,22076100
SNAP,2025-03-04,9.6,9.86,9.24,9.6,27931817
SNAP,2025-03-05,9.62,9.84,9.51,9.79,17542239
SNAP,2025-03-06,9.63,9.93,9.52,9.6,22203700
SNAP,2025-03-07,9.52,9.84,9.36,9.72,22471800
SNAP,2025-03-10,9.49,9.59,9.05,9.08,25559212
SNAP,2025-03-11,9.0,9.19,8.82,8.86,34704323
SNAP,2025-03-12,9.04,9.14,8.78,8.89,34670336
SNAP,2025-03-13,8.85,8.87,8.34,8.37,30348416
SNAP,2025-03-14,8.58,8.68,8.46,8.64,26363234
SNAP,2025-03-17,8.7,9.1,8.65,8.99,26734900
SNAP,2025-03-18,8.91,9.07,8.66,8.73,25183100
SNAP,2025-03-19,8.75,9.22,8.75,9.04,37970100
SNAP,2025-03-20,9.02,9.59,8.99,9.23,59659200
SNAP,2025-03-21,9.14,9.36,9.1,9.33,37538500
SNAP,2025-03-24,9.55,9.67,9.39,9.54,21246300
SNAP,2025-03-25,9.59,9.7,9.42,9.63,20013500
SNAP,2025-03-26,9.66,9.68,9.26,9.41,22389700
SNAP,2025-03-27,9.28,9.34,9.14,9.17,21307310
SNAP,2025-03-28,9.13,9.21,8.81,8.89,20197800
SNAP,2025-03-31,8.64,8.75,8.31,8.71,23438434
SNAP,2025-04-01,8.74,9.11,8.66,8.93,24639800
SNAP,2025-04-02,8.63,9.11,8.6,8.88,34093900
SNAP,2025-04-03,8.42,8.48,7.97,8.02,50833000
SNAP,2025-04-04,7.74,8.29,7.66,8.05,48737600
SNAP,2025-04-07,7.79,8.49,7.46,7.73,54810700
SNAP,2025-04-08,7.97,8.1,7.08,7.23,48519100
SNAP,2025-04-09,7.17,8.91,7.11,8.82,68606611
SNAP,2025-04-10,8.46,8.61,7.74,7.83,43912400
SNAP,2025-04-11,7.8,8.1,7.67,7.96,28420800
SNAP,2025-04-14,8.18,8.24,7.77,7.91,26061419
SNAP,2025-04-15,7.9,8.03,7.71,7.87,25136134
SNAP,2025-04-16,7.75,7.88,7.59,7.74,34484200
SNAP,2025-04-17,7.66,7.95,7.65,7.88,32083703
SNAP,2025-04-21,7.76,7.87,7.5,7.61,27528900
SNAP,2025-04-22,7.66,7.92,7.63,7.85,25279539
SNAP,2025-04-23,8.1,8.25,7.83,7.99,35707100
SNAP,2025-04-24,8.05,8.44,8.04,8.33,33721641
SNAP,2025-04-25,8.45,8.68,8.4,8.54,32816100
SNAP,2025-04-28,8.55,9.01,8.55,8.83,53515600
SNAP,2025-04-29,8.83,9.23,8.82,9.09,105509908
SNAP,2025-04-30,7.77,7.98,7.47,7.96,151470113
SNAP,2025-05-01,8.01,8.14,7.8,7.83,75366800
SNAP,2025-05-02,7.87,8.48,7.84,8.45,79162200
SNAP,2025-05-05,8.37,8.68,8.36,8.55,43996734
SNAP,2025-05-06,8.46,8.57,8.34,8.36,32096438
SNAP,2025-05-07,8.4,8.41,7.92,8.13,34256300
SNAP,2025-05-08,8.29,8.36,8.07,8.22,46129000
SNAP,2025-05-09,8.36,8.63,8.22,8.25,28078505
SNAP,2025-05-12,8.86,9.21,8.65,9.21,53703236
SNAP,2025-05-13,9.2,9.26,9.03,9.1,33201600
SNAP,2025-05-14,9.14,9.23,8.94,9.03,29981300
SNAP,2025-05-15,8.95,9.02,8.55,8.58,30819834
SNAP,2025-05-16,8.62,8.78,8.49,8.75,30985032
SNAP,2025-05-19,8.45,8.81,8.43,8.68,26112400
SNAP,2025-05-20,8.65,8.69,8.44,8.53,28383334
SNAP,2025-05-21,8.48,8.58,8.23,8.28,26762100
SNAP,2025-05-22,8.31,8.47,8.16,8.43,25250138
SNAP,2025-05-23,8.24,8.34,8.2,8.23,18213100
SNAP,2025-05-27,8.34,8.45,8.25,8.42,23550500
SNAP,2025-05-28,8.43,8.5,8.32,8.34,20226732
SNAP,2025-05-29,8.47,8.48,8.21,8.28,22364428
SNAP,2025-05-30,8.23,8.25,8.0,8.25,27217500
SNAP,2025-06-02,8.18,8.29,8.05,8.2,20530308
SNAP,2025-06-03,8.22,8.44,8.06,8.37,26362700
SNAP,2025-06-04,8.38,8.63,8.29,8.45,25357700
SNAP,2025-06-05,8.48,8.54,8.08,8.2,34395124
SNAP,2025-06-06,8.3,8.38,8.17,8.27,26368500
SNAP,2025-06-09,8.35,8.66,8.32,8.5,34168800
SNAP,2025-06-10,8.47,8.83,8.35,8.49,39438006
SNAP,2025-06-11,8.57,8.95,8.52,8.57,31720443
SNAP,2025-06-12,8.47,8.52,8.24,8.3,30086313
SNAP,2025-06-13,8.14,8.23,7.9,7.94,37891908
SNAP,2025-06-16,8.04,8.29,7.89,8.27,39534026
SNAP,2025-06-17,8.14,8.33,8.12,8.18,20844400
SNAP,2025-06-18,8.14,8.32,8.1,8.23,27628000
SNAP,2025-06-20,8.28,8.34,8.0,8.01,27505300
SNAP,2025-06-23,7.96,8.09,7.75,7.91,35802224
SNAP,2025-06-24,8.07,8.34,8.05,8.32,44830100
SNAP,2025-06-25,8.38,8.42,8.0,8.03,45962241
SNAP,2025-06-26,8.11,8.19,8.01,8.14,29046300
SNAP,2025-06-27,8.3,8.95,8.23,8.72,63313600
SNAP,2025-06-30,8.85,8.86,8.59,8.69,32390245
SNAP,2025-07-01,9.0,9.53,8.91,9.35,74078500
SNAP,2025-07-02,9.37,9.62,9.32,9.38,48022900
SNAP,2025-07-03,9.41,9.46,9.19,9.27,21788700
