symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SOFI,2024-12-06,15.77,16.05,14.85,16.02,57220505
SOFI,2024-12-09,15.68,15.96,15.23,15.57,59642800
SOFI,2024-12-10,15.49,16.12,15.14,15.29,49585530
SOFI,2024-12-11,15.5,16.0,15.16,15.94,47600810
SOFI,2024-12-12,15.92,16.48,15.73,15.9,48071031
SOFI,2024-12-13,16.04,16.36,15.79,16.25,41622300
SOFI,2024-12-16,16.54,17.04,16.2,16.88,55457617
SOFI,2024-12-17,17.15,17.17,16.17,16.66,53985223
SOFI,2024-12-18,16.89,17.19,14.93,15.24,76625700
SOFI,2024-12-19,15.72,15.99,14.92,15.03,44149617
SOFI,2024-12-20,14.72,15.53,14.58,15.35,52746600
SOFI,2024-12-23,15.5,15.79,15.17,15.63,34576414
SOFI,2024-12-24,15.73,16.03,15.57,16.02,15731500
SOFI,2024-12-26,15.98,16.68,15.88,16.6,36916834
SOFI,2024-12-27,16.39,16.47,15.78,15.98,31003009
SOFI,2024-12-30,15.57,15.88,15.42,15.63,31036000
SOFI,2024-12-31,15.79,15.9,15.35,15.4,29262500
SOFI,2025-01-02,15.0,15.11,13.75,14.13,76412600
SOFI,2025-01-03,14.3,14.86,14.12,14.84,40925325
SOFI,2025-01-06,15.2,15.48,14.89,15.29,32859034
SOFI,2025-01-07,15.31,15.62,14.71,14.91,38956313
SOFI,2025-01-08,14.64,14.84,14.33,14.55,28712107
SOFI,2025-01-10,14.2,14.28,13.81,14.15,33470100
SOFI,2025-01-13,13.64,14.09,13.6,14.07,32197109
SOFI,2025-01-14,14.3,14.86,14.23,14.5,34100836
SOFI,2025-01-15,15.36,15.55,14.99,15.51,38873135
SOFI,2025-01-16,15.7,16.38,15.57,16.3,43586900
SOFI,2025-01-17,16.42,16.73,16.18,16.5,40496500
SOFI,2025-01-21,17.0,18.1,16.89,17.9,67982600
SOFI,2025-01-22,18.06,18.06,17.27,17.59,51349809
SOFI,2025-01-23,17.4,18.21,17.28,18.03,43826738
SOFI,2025-01-24,18.15,18.42,17.86,17.92,55232024
