symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SRPT,2024-08-27,140.01,140.89,138.14,140.65,379720
SRPT,2024-08-28,140.37,140.97,138.14,138.91,545300
SRPT,2024-08-29,139.1,140.1,136.8,137.25,469545
SRPT,2024-08-30,138.17,138.71,134.53,135.78,770347
SRPT,2024-09-03,135.45,138.71,133.97,135.1,1186633
SRPT,2024-09-04,133.96,135.38,132.72,134.79,454836
SRPT,2024-09-05,134.84,135.27,133.22,133.77,423000
SRPT,2024-09-06,134.0,134.55,126.82,128.92,1160500
SRPT,2024-09-09,128.51,129.93,127.29,127.69,945755
SRPT,2024-09-10,127.57,127.86,124.71,126.94,619106
SRPT,2024-09-11,126.46,128.59,125.34,128.39,871261
SRPT,2024-09-12,128.0,128.0,124.49,125.34,624710
SRPT,2024-09-13,124.12,125.95,120.42,124.65,1243867
SRPT,2024-09-16,125.76,126.67,123.91,124.33,670800
SRPT,2024-09-17,124.78,127.36,124.32,125.69,528843
SRPT,2024-09-18,126.07,128.08,123.61,125.01,624885
SRPT,2024-09-19,126.41,128.65,125.61,127.1,636900
SRPT,2024-09-20,127.1,129.01,125.05,127.21,997763
SRPT,2024-09-23,127.21,127.29,124.57,124.79,754000
SRPT,2024-09-24,125.03,125.84,123.27,125.49,628440
SRPT,2024-09-25,125.56,125.92,123.65,124.62,716713
SRPT,2024-09-26,124.59,125.76,123.6,124.84,582823
SRPT,2024-09-27,125.59,125.74,123.47,124.53,768359
SRPT,2024-09-30,124.93,127.9,123.68,124.89,676671
SRPT,2024-10-01,125.0,125.73,121.66,122.33,723108
SRPT,2024-10-02,121.73,124.0,119.76,122.52,822535
SRPT,2024-10-03,121.96,122.22,118.27,118.76,1381145
SRPT,2024-10-04,119.91,121.88,118.63,120.4,893683
SRPT,2024-10-07,120.32,121.0,116.58,117.79,884200
SRPT,2024-10-08,117.86,120.89,117.53,119.72,809027
SRPT,2024-10-09,119.64,119.64,116.17,117.99,1099448
SRPT,2024-10-10,119.69,124.66,118.43,122.41,1083137
SRPT,2024-10-11,122.41,125.96,122.17,124.51,868402
SRPT,2024-10-14,124.42,124.94,122.74,124.37,414738
SRPT,2024-10-15,124.37,124.98,123.22,123.73,656200
SRPT,2024-10-16,123.66,126.35,123.66,125.92,612987
SRPT,2024-10-17,125.6,127.18,124.21,124.25,896123
SRPT,2024-10-18,124.98,130.04,124.26,127.08,1028079
SRPT,2024-10-21,127.73,129.24,126.58,127.31,859200
SRPT,2024-10-22,126.26,128.54,126.21,128.42,514400
SRPT,2024-10-23,131.0,131.0,126.78,129.88,737400
SRPT,2024-10-24,129.9,132.88,129.53,132.02,737633
SRPT,2024-10-25,132.1,133.36,130.93,131.14,849647
SRPT,2024-10-28,131.37,132.8,129.26,130.26,515932
SRPT,2024-10-29,130.07,131.17,129.26,130.21,431757
SRPT,2024-10-30,129.32,130.85,127.4,127.78,658100
SRPT,2024-10-31,127.32,128.19,125.92,126.0,652347
SRPT,2024-11-01,125.91,126.51,122.68,123.29,1141434
SRPT,2024-11-04,123.3,124.03,121.01,123.07,973205
SRPT,2024-11-05,123.0,125.25,121.18,125.01,825800
SRPT,2024-11-06,126.5,128.32,122.45,127.97,1453723
SRPT,2024-11-07,132.4,133.0,117.52,120.42,2393600
SRPT,2024-11-08,120.5,121.96,116.32,121.61,1484714
SRPT,2024-11-11,121.88,122.63,117.53,117.84,1143559
