symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SSRM,2024-08-27,5.44,5.47,5.37,5.41,1188432
SSRM,2024-08-28,5.3,5.32,5.1,5.16,2301721
SSRM,2024-08-29,5.24,5.3,5.16,5.19,1566922
SSRM,2024-08-30,5.21,5.25,5.15,5.19,1301800
SSRM,2024-09-03,5.1,5.12,4.87,4.91,1750700
SSRM,2024-09-04,4.9,5.0,4.83,4.84,1348000
SSRM,2024-09-05,4.94,5.05,4.94,5.03,1350222
SSRM,2024-09-06,5.0,5.04,4.86,4.89,1454200
SSRM,2024-09-09,4.96,5.17,4.87,5.04,2890100
SSRM,2024-09-10,5.08,5.3,5.04,5.29,1908600
SSRM,2024-09-11,5.27,5.34,5.11,5.33,1991934
SSRM,2024-09-12,5.4,5.87,5.39,5.8,3584305
SSRM,2024-09-13,5.88,5.99,5.83,5.93,2726400
SSRM,2024-09-16,5.92,5.97,5.82,5.89,1270200
SSRM,2024-09-17,5.87,5.94,5.77,5.78,1595461
SSRM,2024-09-18,5.84,6.08,5.68,5.7,1927039
SSRM,2024-09-19,5.9,5.93,5.76,5.83,1494038
SSRM,2024-09-20,5.91,6.03,5.86,6.0,3256846
SSRM,2024-09-23,5.97,6.02,5.68,5.68,2253205
SSRM,2024-09-24,5.76,6.05,5.73,5.99,2206064
SSRM,2024-09-25,5.97,6.04,5.86,5.89,1516349
SSRM,2024-09-26,6.01,6.21,5.95,6.15,2072800
SSRM,2024-09-27,6.15,6.2,5.95,5.97,1657021
SSRM,2024-09-30,5.86,5.88,5.57,5.68,2218895
SSRM,2024-10-01,5.76,5.87,5.72,5.83,1800333
SSRM,2024-10-02,5.81,5.98,5.79,5.9,1432810
SSRM,2024-10-03,5.82,5.83,5.7,5.77,1190890
SSRM,2024-10-04,5.82,5.92,5.72,5.73,1006500
SSRM,2024-10-07,5.72,5.72,5.49,5.52,1334600
SSRM,2024-10-08,5.45,5.52,5.41,5.51,1074523
SSRM,2024-10-09,5.47,5.49,5.36,5.45,1327800
SSRM,2024-10-10,5.46,5.75,5.41,5.73,2274630
SSRM,2024-10-11,5.79,5.91,5.76,5.85,1235800
SSRM,2024-10-14,5.85,5.85,5.69,5.74,1068937
SSRM,2024-10-15,5.72,5.9,5.64,5.89,1704532
SSRM,2024-10-16,5.98,6.07,5.87,5.88,1505110
SSRM,2024-10-17,5.88,5.96,5.78,5.82,1170900
SSRM,2024-10-18,5.9,6.3,5.9,6.24,2523000
SSRM,2024-10-21,6.38,6.44,6.15,6.23,2253316
SSRM,2024-10-22,6.33,6.58,6.31,6.53,2225723
SSRM,2024-10-23,6.5,6.5,6.31,6.46,2521500
SSRM,2024-10-24,6.51,6.52,6.15,6.41,2707200
SSRM,2024-10-25,6.34,6.38,6.12,6.15,2248700
SSRM,2024-10-28,6.18,6.45,6.13,6.35,2122855
SSRM,2024-10-29,6.4,6.6,6.32,6.39,1940119
SSRM,2024-10-30,6.39,6.39,6.19,6.31,1658114
SSRM,2024-10-31,6.23,6.25,6.03,6.17,3083315
SSRM,2024-11-01,6.23,6.26,6.12,6.14,2208128
SSRM,2024-11-04,6.18,6.26,6.08,6.09,1292700
SSRM,2024-11-05,6.16,6.23,6.01,6.06,1310697
SSRM,2024-11-06,5.87,6.21,5.78,6.14,2821642
SSRM,2024-11-07,5.99,5.99,5.06,5.28,6780539
SSRM,2024-11-08,5.21,5.7,5.21,5.7,4027728
SSRM,2024-11-11,5.43,5.58,5.42,5.52,2842000
SSRM,2024-11-12,5.43,5.52,5.24,5.32,2186700
SSRM,2024-11-13,5.43,5.49,5.32,5.37,2118300
SSRM,2024-11-14,5.26,5.55,5.26,5.51,5109800
SSRM,2024-11-15,5.6,5.7,5.5,5.51,2012570
SSRM,2024-11-18,5.67,5.8,5.6,5.63,2955513
SSRM,2024-11-19,5.68,5.82,5.58,5.8,1527600
SSRM,2024-11-20,5.74,5.78,5.67,5.73,1182500
SSRM,2024-11-21,5.8,6.01,5.73,5.99,1743200
SSRM,2024-11-22,6.01,6.01,5.9,5.91,1264023
SSRM,2024-11-25,5.73,5.85,5.65,5.76,1452300
SSRM,2024-11-26,5.76,5.76,5.65,5.7,932900
SSRM,2024-11-27,5.78,5.85,5.74,5.76,1052100
SSRM,2024-11-29,5.86,5.9,5.79,5.81,505323
SSRM,2024-12-02,5.78,5.79,5.68,5.7,1047300
SSRM,2024-12-03,5.75,6.05,5.75,6.0,1380234
SSRM,2024-12-04,5.98,6.04,5.92,6.02,2106683
SSRM,2024-12-05,6.05,6.13,6.0,6.09,1410792
SSRM,2024-12-06,6.13,6.57,6.03,6.35,3089400
SSRM,2024-12-09,6.54,7.32,6.52,7.14,4504200
SSRM,2024-12-10,7.23,7.71,7.18,7.54,4158708
SSRM,2024-12-11,7.63,8.33,7.61,8.12,4815300
SSRM,2024-12-12,7.95,8.06,7.64,7.66,2646733
SSRM,2024-12-13,7.53,7.63,7.26,7.44,3450230
SSRM,2024-12-16,7.48,7.48,7.18,7.41,2982940
SSRM,2024-12-17,7.32,7.37,7.2,7.25,3026771
SSRM,2024-12-18,7.23,7.34,6.87,6.92,4585600
SSRM,2024-12-19,6.99,7.07,6.85,6.87,4145896
SSRM,2024-12-20,6.9,7.16,6.84,6.95,6609900
