symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
STEP,2024-08-27,52.24,52.79,52.01,52.12,356900
STEP,2024-08-28,51.89,52.35,50.51,51.4,357300
STEP,2024-08-29,51.89,52.68,51.59,51.97,284200
STEP,2024-08-30,52.29,53.0,52.15,52.87,403600
STEP,2024-09-03,52.19,52.74,51.39,51.99,486700
STEP,2024-09-04,51.99,52.92,51.2,52.24,520100
STEP,2024-09-05,52.52,52.95,51.8,51.92,306200
STEP,2024-09-06,51.98,52.53,50.22,50.72,528100
STEP,2024-09-09,51.2,51.99,51.19,51.27,441913
STEP,2024-09-10,48.56,49.38,47.28,49.23,3154644
STEP,2024-09-11,49.02,49.8,47.76,49.7,819100
STEP,2024-09-12,49.83,50.18,48.68,50.13,641600
STEP,2024-09-13,50.79,50.83,50.0,50.09,829245
STEP,2024-09-16,50.16,51.62,49.95,51.36,798641
STEP,2024-09-17,51.87,52.88,51.66,52.81,572257
STEP,2024-09-18,52.96,55.39,52.96,53.77,729166
STEP,2024-09-19,55.02,55.27,53.8,54.19,536600
STEP,2024-09-20,54.19,54.69,53.48,54.33,3055600
STEP,2024-09-23,54.39,55.34,54.27,54.62,451300
STEP,2024-09-24,54.68,56.14,53.99,55.98,403647
STEP,2024-09-25,55.79,56.02,54.74,54.79,422057
STEP,2024-09-26,55.24,55.79,54.62,54.62,361000
STEP,2024-09-27,55.2,56.04,54.65,55.36,1122600
STEP,2024-09-30,54.93,55.98,54.63,54.93,563300
STEP,2024-10-01,55.18,56.23,54.59,56.14,820900
STEP,2024-10-02,56.05,57.09,55.67,57.0,588100
STEP,2024-10-03,56.71,57.99,56.5,57.72,1069372
STEP,2024-10-04,58.52,58.92,57.74,58.65,528220
STEP,2024-10-07,58.47,59.33,57.75,58.22,520779
STEP,2024-10-08,58.33,58.85,57.86,57.91,262622
STEP,2024-10-09,57.94,58.89,57.75,58.37,322802
STEP,2024-10-10,57.67,57.97,57.34,57.61,354015
STEP,2024-10-11,57.6,58.54,57.6,57.96,469033
STEP,2024-10-14,58.07,58.4,57.69,57.95,389306
STEP,2024-10-15,57.96,58.06,57.13,57.18,477304
STEP,2024-10-16,58.05,59.3,57.78,58.93,799732
STEP,2024-10-17,59.11,59.42,58.5,58.94,516340
STEP,2024-10-18,59.16,59.38,58.37,58.84,668573
STEP,2024-10-21,58.64,58.85,57.73,57.78,308000
STEP,2024-10-22,57.41,58.61,57.29,58.59,462539
STEP,2024-10-23,58.47,59.2,57.7,58.26,415800
STEP,2024-10-24,58.55,60.02,58.31,59.85,404000
STEP,2024-10-25,60.43,60.88,58.52,58.8,277318
STEP,2024-10-28,59.25,59.72,59.04,59.52,279300
STEP,2024-10-29,59.03,59.89,58.99,59.88,240800
STEP,2024-10-30,59.61,60.41,59.22,59.26,366200
STEP,2024-10-31,59.13,59.25,57.72,58.12,386916
STEP,2024-11-01,58.31,58.4,57.0,57.03,480704
STEP,2024-11-04,56.64,58.3,56.32,57.25,444922
STEP,2024-11-05,57.52,58.87,57.52,57.78,447146
STEP,2024-11-06,61.01,63.94,60.65,63.89,1188209
STEP,2024-11-07,63.62,64.22,62.59,62.68,723556
STEP,2024-11-08,58.02,66.4,57.29,65.75,895700
STEP,2024-11-11,67.5,68.02,65.24,67.0,775828
STEP,2024-11-12,66.54,67.21,65.48,65.75,1420500
STEP,2024-11-13,66.77,66.77,61.85,61.97,742605
STEP,2024-11-14,62.51,63.41,61.58,63.17,595500
STEP,2024-11-15,63.5,63.86,62.35,62.83,691000
STEP,2024-11-18,63.06,63.58,62.33,62.59,377200
STEP,2024-11-19,61.82,63.55,61.82,63.12,437500
STEP,2024-11-20,63.33,64.25,62.16,63.07,361600
STEP,2024-11-21,63.92,64.5,62.82,63.8,390034
STEP,2024-11-22,63.89,64.92,63.53,64.81,284547
STEP,2024-11-25,65.55,66.07,63.92,64.46,574800
STEP,2024-11-26,64.18,64.85,63.43,64.5,320717
STEP,2024-11-27,65.39,65.42,62.77,63.83,597542
STEP,2024-11-29,64.39,64.42,63.65,63.92,427849
STEP,2024-12-02,63.79,64.19,62.7,62.86,534835
STEP,2024-12-03,62.86,62.91,60.83,60.97,622800
STEP,2024-12-04,61.12,61.8,60.22,61.08,695300
STEP,2024-12-05,60.66,61.07,59.99,60.38,727030
STEP,2024-12-06,60.71,60.71,58.24,58.41,1118300
STEP,2024-12-09,58.41,58.92,56.92,58.03,1638900
STEP,2024-12-10,57.92,58.65,57.04,58.3,993200
STEP,2024-12-11,59.14,60.6,58.15,60.11,848300
STEP,2024-12-12,60.21,60.97,59.42,60.16,608900
STEP,2024-12-13,60.31,60.83,59.69,60.1,641100
