symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
STT,2024-08-27,79.88,81.39,79.83,81.1,2203600
STT,2024-08-28,80.85,81.37,79.97,80.4,2229600
STT,2024-08-29,80.83,81.97,80.04,81.5,1547600
STT,2024-08-30,81.67,82.8,81.53,82.64,1749100
STT,2024-09-03,82.02,82.7,81.25,81.58,1795300
STT,2024-09-04,82.02,82.72,80.86,81.51,2014936
STT,2024-09-05,82.3,82.3,80.6,80.83,1867226
STT,2024-09-06,80.8,81.68,78.6,79.03,2191600
STT,2024-09-09,79.73,80.49,78.26,79.38,3230100
STT,2024-09-10,79.5,79.63,77.86,79.05,1893005
STT,2024-09-11,78.49,78.59,76.41,78.36,2333001
STT,2024-09-12,78.41,79.1,77.67,78.35,1743000
STT,2024-09-13,78.61,80.05,78.61,79.02,2262726
STT,2024-09-16,79.51,81.54,79.32,81.08,3480100
STT,2024-09-17,81.36,82.67,81.07,82.25,1654226
STT,2024-09-18,82.43,83.68,82.15,82.7,2699400
STT,2024-09-19,83.82,84.84,82.94,84.74,1914400
STT,2024-09-20,84.24,84.36,83.12,83.97,3578200
STT,2024-09-23,84.66,84.91,84.11,84.57,1680838
STT,2024-09-24,84.39,84.77,83.97,84.36,1899800
STT,2024-09-25,84.49,84.62,83.67,83.97,1881659
STT,2024-09-26,84.17,84.61,83.42,83.58,2769100
STT,2024-09-27,84.1,84.79,83.36,83.68,3154644
STT,2024-09-30,83.48,84.13,82.83,83.94,2499729
STT,2024-10-01,83.73,83.87,82.68,82.92,1957800
STT,2024-10-02,82.98,83.7,82.01,82.29,1483600
STT,2024-10-03,81.98,82.34,81.39,82.26,3023000
STT,2024-10-04,83.25,83.84,83.03,83.56,1744100
STT,2024-10-07,83.54,84.09,82.91,83.71,2146468
STT,2024-10-08,83.79,85.0,83.49,84.76,1962200
STT,2024-10-09,84.89,85.37,84.27,85.04,1996715
STT,2024-10-10,85.03,85.92,84.84,85.5,1705400
STT,2024-10-11,86.08,86.9,85.26,85.97,2793355
STT,2024-10-14,85.85,87.22,85.78,87.02,2425400
STT,2024-10-15,87.89,90.53,85.5,87.87,5898847
STT,2024-10-16,89.06,89.55,88.05,88.89,2569715
STT,2024-10-17,89.0,89.35,88.2,88.57,1923204
STT,2024-10-18,88.84,88.88,87.29,87.5,2180900
STT,2024-10-21,87.28,87.43,85.92,86.31,1637927
STT,2024-10-22,86.0,86.34,85.51,86.0,1403500
STT,2024-10-23,85.75,87.63,85.65,87.5,2457701
STT,2024-10-24,88.03,88.1,87.39,87.92,1722328
STT,2024-10-25,88.65,88.65,86.48,86.49,1553900
STT,2024-10-28,87.31,89.57,86.91,88.98,2406165
STT,2024-10-29,88.62,89.68,88.5,88.83,2104700
STT,2024-10-30,88.75,90.01,88.7,88.93,1552300
STT,2024-10-31,88.84,89.6,88.2,88.81,2673803
STT,2024-11-01,89.01,89.73,88.72,88.81,2158900
STT,2024-11-04,88.81,88.96,88.05,88.29,1363156
STT,2024-11-05,88.28,89.21,88.07,88.91,1480396
STT,2024-11-06,93.38,94.22,91.85,92.65,3076146
STT,2024-11-07,92.25,92.78,90.98,91.03,1915629
STT,2024-11-08,91.12,91.44,89.76,90.7,2723300
STT,2024-11-11,91.58,92.83,91.46,92.4,1712803
STT,2024-11-12,92.03,92.58,91.09,91.1,1938800
STT,2024-11-13,91.2,92.35,91.04,91.08,1649632
STT,2024-11-14,91.3,91.67,89.92,90.13,1377200
STT,2024-11-15,90.23,91.55,90.13,91.37,2354445
STT,2024-11-18,91.25,92.16,91.11,91.99,1528028
STT,2024-11-19,90.98,91.44,90.55,90.64,1781929
STT,2024-11-20,91.2,91.31,90.5,91.2,1351023
STT,2024-11-21,91.76,92.54,91.32,92.2,1326900
STT,2024-11-22,92.26,93.51,92.26,93.31,1513140
STT,2024-11-25,93.76,95.22,93.64,94.54,2408339
STT,2024-11-26,94.19,94.79,93.65,94.56,2184732
STT,2024-11-27,94.56,94.97,94.16,94.54,1924062
STT,2024-11-29,94.74,95.18,94.27,94.27,1155234
STT,2024-12-02,94.93,94.95,93.47,93.81,1722323
STT,2024-12-03,95.03,95.23,93.51,93.57,1891946
