symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
SYK,2024-08-27,349.02,353.28,348.5,352.67,1131400
SYK,2024-08-28,353.23,353.25,347.84,350.35,1504900
SYK,2024-08-29,352.45,353.42,350.1,352.1,1107810
SYK,2024-08-30,353.31,354.94,350.2,354.55,1307600
SYK,2024-09-03,354.17,356.35,351.96,353.76,860630
SYK,2024-09-04,354.24,358.42,350.98,354.43,806300
SYK,2024-09-05,353.39,354.43,348.41,352.17,1213820
SYK,2024-09-06,352.82,355.18,349.92,353.07,1001435
SYK,2024-09-09,355.34,359.65,354.98,356.87,1439231
SYK,2024-09-10,359.01,360.0,356.87,359.1,921021
SYK,2024-09-11,358.47,360.71,352.62,360.38,1143900
SYK,2024-09-12,360.24,362.88,358.77,361.8,1487400
SYK,2024-09-13,360.95,368.15,360.95,364.22,1114100
SYK,2024-09-16,366.92,368.53,363.98,365.9,910100
SYK,2024-09-17,365.14,367.39,354.95,358.02,1399115
SYK,2024-09-18,357.23,359.88,353.8,355.47,938932
SYK,2024-09-19,359.68,360.72,356.71,359.1,994000
SYK,2024-09-20,358.88,360.62,356.7,358.87,1751600
SYK,2024-09-23,360.64,362.73,359.61,360.56,723100
SYK,2024-09-24,359.62,359.62,353.52,355.12,1273676
SYK,2024-09-25,357.34,357.88,352.9,353.64,854946
SYK,2024-09-26,356.1,357.57,352.47,355.46,1431800
SYK,2024-09-27,357.08,358.2,353.91,354.4,814400
SYK,2024-09-30,353.67,356.45,351.8,356.16,790700
SYK,2024-10-01,356.59,356.89,350.35,352.23,738900
SYK,2024-10-02,349.95,351.9,346.34,350.1,830118
SYK,2024-10-03,349.92,350.28,345.77,346.65,850802
SYK,2024-10-04,347.41,349.42,342.9,346.26,676931
SYK,2024-10-07,344.97,344.97,339.1,340.27,1096180
SYK,2024-10-08,342.93,346.76,341.67,345.84,923200
SYK,2024-10-09,345.73,349.49,344.13,348.97,861434
SYK,2024-10-10,349.99,350.97,346.82,348.38,740946
SYK,2024-10-11,349.99,353.8,347.95,350.58,787931
SYK,2024-10-14,351.51,355.81,349.87,354.63,698625
SYK,2024-10-15,353.95,359.86,352.05,353.91,976000
SYK,2024-10-16,353.33,357.24,351.11,356.21,796000
SYK,2024-10-17,357.49,359.38,353.97,354.65,820712
SYK,2024-10-18,356.06,365.94,355.14,364.35,1589600
SYK,2024-10-21,362.27,365.74,361.04,362.07,906600
SYK,2024-10-22,361.21,362.14,357.97,360.86,893500
SYK,2024-10-23,359.57,361.79,355.73,358.11,1313400
SYK,2024-10-24,359.36,361.07,354.81,354.82,708143
SYK,2024-10-25,353.43,356.5,346.33,347.84,1244500
SYK,2024-10-28,350.85,351.49,349.16,350.99,967742
SYK,2024-10-29,349.0,357.24,348.46,353.94,2173842
SYK,2024-10-30,360.53,368.45,352.85,358.3,2242813
SYK,2024-10-31,355.64,358.87,350.54,351.25,1383928
SYK,2024-11-01,353.11,362.57,352.73,361.97,1860500
SYK,2024-11-04,362.8,364.47,358.99,361.72,730100
SYK,2024-11-05,361.07,365.06,357.93,364.64,1346698
SYK,2024-11-06,368.72,370.73,359.47,363.81,1366200
SYK,2024-11-07,365.11,365.11,360.95,364.61,867013
SYK,2024-11-08,365.88,372.5,365.6,370.66,1009226
SYK,2024-11-11,372.14,376.15,370.83,373.51,966242
SYK,2024-11-12,376.04,382.65,375.19,381.65,1634143
SYK,2024-11-13,381.21,385.08,379.9,382.86,1685900
SYK,2024-11-14,384.04,387.16,377.0,377.87,1811800
SYK,2024-11-15,376.6,386.48,374.85,384.58,2874077
SYK,2024-11-18,387.43,392.59,383.55,383.91,2054699
SYK,2024-11-19,381.47,386.78,380.45,383.2,1524200
SYK,2024-11-20,384.35,384.5,376.86,380.24,1098100
SYK,2024-11-21,381.73,384.87,379.15,384.64,1136399
SYK,2024-11-22,384.9,385.55,376.1,379.42,1069700
SYK,2024-11-25,380.84,382.95,374.15,379.48,2102840
SYK,2024-11-26,382.52,384.45,379.48,384.21,1014600
SYK,2024-11-27,383.67,385.87,382.34,382.66,1018008
SYK,2024-11-29,381.57,387.75,381.01,386.62,711206
SYK,2024-12-02,387.7,388.58,383.18,384.13,1216547
SYK,2024-12-03,383.99,386.37,381.0,385.45,923883
SYK,2024-12-04,385.24,386.68,382.49,384.26,707714
SYK,2024-12-05,381.71,383.22,374.46,377.05,1319513
SYK,2024-12-06,377.69,384.49,377.69,379.59,1049412
SYK,2024-12-09,379.37,379.71,373.4,375.73,924900
SYK,2024-12-10,378.7,380.12,375.71,377.28,1281748
SYK,2024-12-11,377.61,381.17,369.96,370.85,1214105
SYK,2024-12-12,371.68,372.76,369.34,369.77,846127
SYK,2024-12-13,370.32,371.17,367.88,369.31,755824
SYK,2024-12-16,369.71,370.93,367.19,367.44,1155610
SYK,2024-12-17,366.34,369.29,362.86,365.58,1540400
SYK,2024-12-18,365.76,366.67,353.43,354.1,1618165
SYK,2024-12-19,354.24,357.94,351.27,352.1,1713558
SYK,2024-12-20,351.21,359.67,350.98,359.46,3146700
SYK,2024-12-23,359.64,362.08,357.33,361.32,1461406
SYK,2024-12-24,363.09,365.6,361.39,365.55,431006
SYK,2024-12-26,363.05,365.42,362.3,364.21,840826
SYK,2024-12-27,362.05,364.45,359.64,361.93,705500
SYK,2024-12-30,357.78,358.97,353.61,357.15,814082
SYK,2024-12-31,357.62,360.27,354.0,355.79,821834
SYK,2025-01-02,358.2,358.2,352.6,354.48,858300
SYK,2025-01-03,356.71,357.72,354.07,357.25,805544
SYK,2025-01-06,356.69,358.16,353.79,357.09,1269910
SYK,2025-01-07,357.89,358.18,347.69,350.98,1931600
SYK,2025-01-08,357.04,360.64,350.54,359.8,1534717
SYK,2025-01-10,357.35,364.46,356.89,361.34,1313873
SYK,2025-01-13,359.35,363.5,356.49,356.71,1400835
SYK,2025-01-14,358.54,359.31,355.07,358.51,1175858
SYK,2025-01-15,360.22,365.67,359.36,364.25,1529224
SYK,2025-01-16,367.67,377.31,367.67,377.28,1515283
SYK,2025-01-17,380.45,381.26,374.52,378.89,1727128
SYK,2025-01-21,385.03,391.53,383.31,391.17,2102209
SYK,2025-01-22,389.5,390.33,384.29,385.87,1996600
SYK,2025-01-23,386.5,389.93,384.85,388.85,1389832
SYK,2025-01-24,385.44,390.02,385.21,389.65,1331817
SYK,2025-01-27,391.32,395.6,389.87,395.17,1582562
SYK,2025-01-28,395.88,401.39,389.93,390.48,1993700
SYK,2025-01-29,390.33,392.02,382.2,386.45,3322100
SYK,2025-01-30,389.5,395.83,384.7,385.82,1683600
SYK,2025-01-31,386.52,392.86,385.39,386.66,1549213
SYK,2025-02-03,384.84,389.47,382.43,386.52,999024
SYK,2025-02-04,384.73,388.42,383.65,387.75,1121598
SYK,2025-02-05,390.22,395.12,388.77,394.37,1011830
SYK,2025-02-06,393.69,395.52,391.23,391.39,1124078
SYK,2025-02-07,391.36,392.53,385.99,386.77,1025808
SYK,2025-02-10,388.15,389.3,385.76,387.96,1334553
SYK,2025-02-11,386.1,388.79,384.4,385.86,881900
SYK,2025-02-12,382.22,385.12,377.52,381.07,1161419
SYK,2025-02-13,381.68,384.2,378.91,383.78,916676
SYK,2025-02-14,385.42,386.87,379.96,380.63,1267884
SYK,2025-02-18,378.47,381.15,374.87,381.05,1338410
SYK,2025-02-19,380.04,384.04,379.72,383.93,827136
SYK,2025-02-20,383.09,383.41,378.77,381.84,930300
SYK,2025-02-21,378.35,382.94,375.61,378.26,1268475
SYK,2025-02-24,377.45,385.66,376.01,383.33,1317444
SYK,2025-02-25,383.66,386.75,380.52,385.69,1665069
SYK,2025-02-26,386.92,391.98,384.74,387.11,867818
SYK,2025-02-27,385.78,389.18,383.91,384.3,997300
SYK,2025-02-28,386.43,389.17,375.13,381.63,2855622
SYK,2025-03-03,385.78,392.62,383.76,390.21,1237657
SYK,2025-03-04,390.4,391.75,384.17,385.31,1687300
SYK,2025-03-05,383.16,393.29,382.43,391.01,1105201
SYK,2025-03-06,387.4,388.82,375.51,377.79,1263833
SYK,2025-03-07,375.45,376.5,363.11,374.82,1961830
SYK,2025-03-10,371.02,372.64,362.95,365.75,2162585
SYK,2025-03-11,365.15,365.15,358.81,360.97,1638849
SYK,2025-03-12,364.0,366.72,357.07,359.54,1559213
