symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TALO,2024-08-28,11.63,11.85,11.56,11.8,1389200
TALO,2024-08-29,11.94,12.02,11.75,11.94,1333177
TALO,2024-08-30,10.93,11.5,10.71,11.47,3249200
TALO,2024-09-03,11.07,11.16,10.64,11.1,3616900
TALO,2024-09-04,10.99,11.26,10.8,10.81,10987900
TALO,2024-09-05,11.1,11.1,10.72,10.79,4868300
TALO,2024-09-06,11.07,11.25,10.9,10.92,2525702
TALO,2024-09-09,10.82,11.07,10.63,10.91,3103893
TALO,2024-09-10,10.97,11.05,10.5,10.79,2976891
TALO,2024-09-11,10.78,10.86,10.5,10.84,2003500
TALO,2024-09-12,10.91,11.09,10.74,10.96,1831000
TALO,2024-09-13,11.11,11.14,10.94,11.04,1900630
TALO,2024-09-16,11.2,11.3,11.01,11.2,1686170
TALO,2024-09-17,11.28,11.53,11.18,11.53,1994325
TALO,2024-09-18,11.54,11.85,11.31,11.33,2280200
TALO,2024-09-19,11.74,11.74,11.4,11.51,2517700
TALO,2024-09-20,11.38,11.58,11.23,11.46,10970934
TALO,2024-09-23,11.47,11.75,11.32,11.39,1234742
TALO,2024-09-24,11.6,11.6,10.98,10.99,1959400
TALO,2024-09-25,10.89,10.94,10.44,10.51,2225100
TALO,2024-09-26,10.4,10.55,10.02,10.05,3609106
TALO,2024-09-27,10.2,10.38,10.14,10.19,1795700
TALO,2024-09-30,10.22,10.55,10.15,10.35,2409718
TALO,2024-10-01,10.1,10.51,9.99,10.43,3205885
TALO,2024-10-02,10.6,10.9,10.48,10.84,2906700
TALO,2024-10-03,10.83,11.17,10.61,11.15,1712720
TALO,2024-10-04,11.31,11.42,11.1,11.29,1259235
TALO,2024-10-07,11.35,11.59,11.3,11.51,1402930
TALO,2024-10-08,11.27,11.27,10.78,10.87,1523257
TALO,2024-10-09,10.73,10.98,10.7,10.91,944923
TALO,2024-10-10,10.91,11.08,10.8,10.93,1299000
TALO,2024-10-11,10.85,11.17,10.8,11.07,1494500
TALO,2024-10-14,10.88,10.95,10.76,10.78,1173806
TALO,2024-10-15,10.37,10.38,9.85,9.87,2413519
TALO,2024-10-16,9.88,9.92,9.55,9.63,3037629
TALO,2024-10-17,9.64,9.75,9.54,9.75,1788053
TALO,2024-10-18,9.73,9.8,9.6,9.71,1264045
TALO,2024-10-21,9.82,9.89,9.52,9.58,1422606
TALO,2024-10-22,9.62,9.81,9.55,9.73,1164505
TALO,2024-10-23,9.68,10.04,9.44,10.02,2962600
TALO,2024-10-24,10.11,10.31,9.8,10.3,3107899
TALO,2024-10-25,10.39,10.66,10.31,10.48,2033405
TALO,2024-10-28,10.1,10.28,10.01,10.09,1756923
TALO,2024-10-29,10.04,10.12,9.83,9.92,1202233
TALO,2024-10-30,10.0,10.34,9.9,10.2,1508000
TALO,2024-10-31,10.36,10.48,10.2,10.22,1232615
TALO,2024-11-01,10.35,10.39,10.01,10.08,1225523
TALO,2024-11-04,10.22,10.58,10.13,10.46,1683751
TALO,2024-11-05,10.46,10.95,10.41,10.91,2807188
TALO,2024-11-06,11.1,11.9,11.06,11.68,3001840
TALO,2024-11-07,11.76,11.9,11.38,11.83,2224226
TALO,2024-11-08,11.75,11.85,11.55,11.83,1818307
TALO,2024-11-11,11.91,12.0,11.59,11.77,2502100
TALO,2024-11-12,12.0,12.71,11.78,11.97,3713700
TALO,2024-11-13,12.01,12.09,11.49,11.79,2338208
TALO,2024-11-14,11.91,12.13,11.48,11.66,2018700
TALO,2024-11-15,11.81,11.84,11.27,11.28,1465919
TALO,2024-11-18,11.34,11.62,11.3,11.41,1548609
TALO,2024-11-19,11.24,11.39,11.0,11.03,958610
TALO,2024-11-20,11.1,11.53,11.06,11.45,1615800
TALO,2024-11-21,11.59,11.73,11.45,11.57,2542615
TALO,2024-11-22,11.54,11.76,11.43,11.45,1061700
TALO,2024-11-25,11.45,11.63,11.29,11.3,1385516
TALO,2024-11-26,11.3,11.57,11.12,11.16,1262517
TALO,2024-11-27,11.16,11.5,11.16,11.2,687142
TALO,2024-11-29,11.24,11.35,11.23,11.25,506000
TALO,2024-12-02,11.3,11.33,10.97,11.17,906202
TALO,2024-12-03,11.26,11.38,11.0,11.01,747515
TALO,2024-12-04,11.0,11.02,10.51,10.62,1059100
TALO,2024-12-05,10.46,10.7,10.22,10.24,1612397
TALO,2024-12-06,10.18,10.19,9.83,9.88,1628845
TALO,2024-12-09,10.09,10.57,10.07,10.21,1670900
TALO,2024-12-10,10.33,10.69,10.19,10.4,1678896
TALO,2024-12-11,10.44,10.46,10.17,10.25,1747236
TALO,2024-12-12,10.26,10.34,9.95,10.0,1819717
TALO,2024-12-13,10.01,10.13,9.86,9.96,1457327
TALO,2024-12-16,9.9,9.95,9.77,9.82,2792500
TALO,2024-12-17,9.75,9.84,9.49,9.8,2561853
TALO,2024-12-18,9.85,9.93,9.49,9.53,2339231
TALO,2024-12-19,9.74,9.76,9.13,9.16,2816767
