symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TECH,2024-08-27,70.77,71.25,69.69,70.46,545838
TECH,2024-08-28,70.52,71.31,70.24,71.03,713827
TECH,2024-08-29,71.34,74.82,70.9,73.93,1367200
TECH,2024-08-30,74.17,74.4,72.92,73.4,842930
TECH,2024-09-03,72.9,73.47,70.64,71.16,637126
TECH,2024-09-04,71.11,71.46,70.31,70.55,625246
TECH,2024-09-05,70.55,71.98,70.24,71.79,743000
TECH,2024-09-06,71.79,73.39,70.27,70.92,734814
TECH,2024-09-09,71.39,72.15,70.99,71.51,789700
TECH,2024-09-10,71.63,73.57,70.43,73.19,954925
TECH,2024-09-11,72.65,73.58,71.87,72.9,993706
TECH,2024-09-12,72.68,73.03,70.59,72.62,950425
TECH,2024-09-13,72.78,74.12,72.66,74.07,401745
TECH,2024-09-16,74.68,74.9,73.15,74.16,931638
TECH,2024-09-17,74.44,76.25,73.93,74.68,671200
TECH,2024-09-18,74.96,77.22,74.46,75.9,834048
TECH,2024-09-19,77.7,80.31,76.96,79.72,1534012
TECH,2024-09-20,79.1,79.36,76.77,77.68,1558300
TECH,2024-09-23,78.44,78.48,76.38,76.59,776613
TECH,2024-09-24,76.69,78.64,76.49,76.8,846710
TECH,2024-09-25,77.46,77.46,73.97,74.35,674423
TECH,2024-09-26,76.3,78.43,75.37,77.44,575400
TECH,2024-09-27,77.46,79.48,77.4,78.09,690201
TECH,2024-09-30,77.87,79.38,77.38,79.29,721138
TECH,2024-10-01,79.3,79.3,76.39,77.55,744200
TECH,2024-10-02,77.36,77.75,76.7,76.81,714100
TECH,2024-10-03,76.33,76.8,73.3,73.41,1142900
TECH,2024-10-04,74.53,75.13,73.46,74.18,703900
TECH,2024-10-07,73.75,73.76,72.03,72.93,893400
TECH,2024-10-08,73.63,74.18,72.52,73.15,698843
TECH,2024-10-09,73.3,73.78,72.44,73.67,459012
TECH,2024-10-10,72.77,73.48,72.27,72.4,433100
TECH,2024-10-11,72.61,73.29,72.19,72.77,650650
TECH,2024-10-14,72.83,73.28,71.58,73.23,886900
TECH,2024-10-15,73.01,74.57,72.67,73.0,579918
TECH,2024-10-16,73.38,73.45,71.13,71.23,882000
TECH,2024-10-17,71.7,72.16,69.37,69.59,930300
TECH,2024-10-18,70.05,70.75,69.36,70.67,834004
TECH,2024-10-21,70.22,70.36,69.24,69.8,951300
TECH,2024-10-22,69.5,70.08,68.35,69.39,864800
TECH,2024-10-23,69.21,69.72,68.12,68.79,734623
TECH,2024-10-24,69.02,69.49,67.78,67.82,595600
TECH,2024-10-25,68.3,68.59,67.52,68.13,681327
TECH,2024-10-28,69.04,69.86,68.66,69.82,1066938
TECH,2024-10-29,69.59,70.45,69.28,70.18,1582125
TECH,2024-10-30,73.41,78.82,73.36,75.41,2663662
TECH,2024-10-31,75.28,75.81,73.16,73.16,1109819
TECH,2024-11-01,73.51,75.95,73.48,74.71,984000
TECH,2024-11-04,74.93,76.67,74.43,75.29,692023
TECH,2024-11-05,74.31,77.03,73.33,77.0,542349
TECH,2024-11-06,80.15,80.15,74.23,75.22,1100100
TECH,2024-11-07,76.08,76.97,75.38,75.81,685347
TECH,2024-11-08,75.72,76.21,74.43,75.44,649400
TECH,2024-11-11,75.39,75.97,73.89,74.18,628523
TECH,2024-11-12,74.12,74.64,73.08,73.9,802414
TECH,2024-11-13,74.04,75.91,73.75,75.41,1456005
TECH,2024-11-14,74.65,75.32,71.77,72.04,1211378
TECH,2024-11-15,71.77,71.97,67.01,67.1,2449274
TECH,2024-11-18,66.77,67.03,65.54,66.4,1889600
TECH,2024-11-19,66.29,67.02,65.86,65.91,1568600
TECH,2024-11-20,65.84,68.45,65.16,68.25,1493431
TECH,2024-11-21,68.13,70.83,67.95,70.56,1338452
TECH,2024-11-22,70.61,71.91,70.12,70.79,620615
TECH,2024-11-25,71.57,74.49,71.41,73.88,1165869
TECH,2024-11-26,73.3,74.61,72.21,74.35,995017
TECH,2024-11-27,74.75,75.66,73.6,74.86,557025
TECH,2024-11-29,74.81,75.35,74.0,74.84,464410
TECH,2024-12-02,74.52,75.75,73.75,75.5,922632
TECH,2024-12-03,75.01,75.32,73.86,74.53,595600
TECH,2024-12-04,74.54,76.28,73.18,75.37,571800
TECH,2024-12-05,75.37,76.07,73.29,73.38,722155
TECH,2024-12-06,74.14,75.1,73.47,74.0,497245
TECH,2024-12-09,74.24,76.97,74.24,76.87,773986
TECH,2024-12-10,77.35,77.72,75.71,76.59,966600
TECH,2024-12-11,77.35,77.88,76.19,76.28,695805
TECH,2024-12-12,76.05,77.04,75.2,76.15,652829
TECH,2024-12-13,76.05,76.05,73.9,75.17,487423
TECH,2024-12-16,75.39,76.38,74.59,75.64,560879
TECH,2024-12-17,75.47,77.08,74.5,74.75,620643
TECH,2024-12-18,74.94,75.42,70.73,70.92,765659
TECH,2024-12-19,70.98,71.59,69.0,70.9,1051878
TECH,2024-12-20,70.76,73.76,70.76,72.67,2221200
TECH,2024-12-23,71.99,72.63,70.78,72.24,618836
TECH,2024-12-24,72.13,72.88,71.99,72.53,309620
TECH,2024-12-26,71.92,73.28,71.45,72.72,353412
TECH,2024-12-27,71.99,73.08,71.99,72.48,474701
TECH,2024-12-30,71.44,72.32,70.93,71.79,328400
TECH,2024-12-31,72.4,72.61,71.11,71.53,444811
TECH,2025-01-02,72.25,72.43,70.51,70.99,658118
TECH,2025-01-03,71.07,73.55,70.27,73.28,657000
TECH,2025-01-06,73.3,75.12,73.25,73.74,692700
TECH,2025-01-07,74.03,76.2,73.41,74.25,533400
TECH,2025-01-08,74.07,74.73,72.71,74.67,468800
TECH,2025-01-10,72.86,74.46,72.56,72.8,1034500
TECH,2025-01-13,72.52,75.95,72.02,75.89,1356631
TECH,2025-01-14,75.96,77.9,73.64,74.22,1278550
TECH,2025-01-15,75.61,77.02,73.57,74.61,795100
TECH,2025-01-16,74.35,75.79,73.17,75.58,959044
TECH,2025-01-17,76.48,76.64,75.14,75.31,991000
TECH,2025-01-21,75.97,78.29,75.89,78.21,906228
TECH,2025-01-22,77.65,78.6,76.8,78.17,1176011
TECH,2025-01-23,78.58,78.58,73.94,76.38,1328414
TECH,2025-01-24,76.0,77.45,75.63,76.52,718000
TECH,2025-01-27,76.29,77.73,75.0,75.92,815247
TECH,2025-01-28,76.24,76.94,73.06,74.09,1585000
TECH,2025-01-29,73.5,73.5,70.63,71.34,1373633
TECH,2025-01-30,72.15,74.22,71.91,72.26,931000
TECH,2025-01-31,72.49,73.78,72.29,73.04,940234
TECH,2025-02-03,71.61,72.56,70.39,71.55,1323900
TECH,2025-02-04,71.55,74.27,71.27,72.05,2090600
TECH,2025-02-05,78.73,78.73,74.68,74.73,3093035
TECH,2025-02-06,76.5,76.5,72.93,74.49,2007047
TECH,2025-02-07,75.17,75.17,70.98,72.31,1215227
TECH,2025-02-10,70.84,71.51,67.18,69.44,2922600
TECH,2025-02-11,69.01,69.76,67.39,67.87,2067400
TECH,2025-02-12,67.53,67.72,65.89,66.98,1706391
TECH,2025-02-13,67.4,67.91,65.93,66.31,1766405
TECH,2025-02-14,67.22,67.35,65.37,65.56,1172600
TECH,2025-02-18,65.79,66.28,64.04,64.92,1507700
TECH,2025-02-19,63.15,65.69,63.14,65.42,1881200
TECH,2025-02-20,65.93,66.81,65.02,65.12,1729500
TECH,2025-02-21,65.83,66.49,64.21,64.55,1973317
TECH,2025-02-24,64.46,65.81,64.02,65.19,1122411
TECH,2025-02-25,65.64,66.09,62.88,63.85,1712700
TECH,2025-02-26,64.19,64.92,63.35,63.78,1016333
TECH,2025-02-27,63.37,64.05,60.71,60.88,2022950
TECH,2025-02-28,60.75,61.62,60.59,61.4,2197101
TECH,2025-03-03,61.63,61.89,60.04,60.84,1813200
TECH,2025-03-04,60.36,60.66,58.65,59.78,1958841
TECH,2025-03-05,60.12,62.23,59.64,61.85,2143320
TECH,2025-03-06,61.31,64.53,61.31,63.03,2496644
TECH,2025-03-07,62.65,64.28,61.7,64.0,1991343
TECH,2025-03-10,63.35,64.43,62.04,62.54,2469377
TECH,2025-03-11,63.0,63.49,57.87,58.14,3067800
TECH,2025-03-12,58.34,59.96,56.28,59.9,3589224
TECH,2025-03-13,59.59,61.33,58.86,59.54,2636300
TECH,2025-03-14,60.2,62.06,59.82,61.81,2197719
TECH,2025-03-17,61.95,63.39,61.47,62.22,1531700
TECH,2025-03-18,62.45,62.51,60.77,62.47,1242709
TECH,2025-03-19,62.16,62.65,60.48,60.54,1520534
TECH,2025-03-20,60.33,60.98,59.31,60.0,992800
TECH,2025-03-21,59.62,60.79,59.11,60.26,2581240
TECH,2025-03-24,60.36,61.79,60.12,60.72,1121505
TECH,2025-03-25,60.87,61.51,58.99,59.64,1454500
