symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TEM,2024-08-27,60.51,72.45,60.51,68.47,1449900
TEM,2024-08-28,68.47,68.99,58.6,59.23,1227827
TEM,2024-08-29,61.2,62.35,55.66,57.91,1192800
TEM,2024-08-30,57.91,59.73,56.7,59.38,715300
TEM,2024-09-03,59.05,62.2,51.56,52.09,1084000
TEM,2024-09-04,52.0,55.73,50.63,53.74,797115
TEM,2024-09-05,54.31,60.17,53.81,55.63,949359
TEM,2024-09-06,55.35,56.28,47.04,50.19,1465200
TEM,2024-09-09,51.94,51.94,43.91,47.27,1580000
TEM,2024-09-10,47.27,47.5,43.41,45.05,941900
TEM,2024-09-11,45.52,47.0,43.33,46.49,1099300
TEM,2024-09-12,46.49,50.95,44.65,45.45,1418710
TEM,2024-09-13,46.07,49.45,45.6,49.38,929541
TEM,2024-09-16,48.4,54.9,47.05,54.67,1360300
TEM,2024-09-17,55.61,55.66,48.32,49.23,2000100
TEM,2024-09-18,50.0,53.8,48.57,51.31,1013211
TEM,2024-09-19,53.91,54.61,49.89,50.09,1054816
TEM,2024-09-20,51.35,54.9,49.74,54.43,1691900
TEM,2024-09-23,54.56,57.5,52.5,55.36,917800
TEM,2024-09-24,55.45,55.97,50.5,51.22,1393817
TEM,2024-09-25,51.0,51.63,48.81,49.15,982400
TEM,2024-09-26,50.33,52.75,49.95,51.87,763236
TEM,2024-09-27,53.0,54.48,51.53,53.84,755600
TEM,2024-09-30,53.76,56.78,52.39,56.6,739106
TEM,2024-10-01,56.71,57.03,51.76,53.07,1012000
TEM,2024-10-02,52.5,52.54,50.27,51.25,534809
TEM,2024-10-03,52.35,52.91,48.1,48.96,1421500
TEM,2024-10-04,50.38,54.5,49.59,52.94,1059007
TEM,2024-10-07,53.0,53.02,50.04,50.55,634202
TEM,2024-10-08,50.92,50.94,47.34,48.08,1146900
TEM,2024-10-09,48.08,49.54,47.4,48.33,839200
TEM,2024-10-10,48.9,48.9,45.76,45.98,732604
TEM,2024-10-11,45.42,49.54,45.3,48.82,885046
TEM,2024-10-14,49.01,51.4,48.66,50.72,503932
TEM,2024-10-15,50.72,50.72,45.79,46.63,1406101
TEM,2024-10-16,47.1,49.3,46.7,49.05,622400
TEM,2024-10-17,49.2,49.33,47.78,48.01,435200
TEM,2024-10-18,49.3,51.57,48.71,49.34,960000
TEM,2024-10-21,49.7,50.14,47.8,48.68,411944
TEM,2024-10-22,48.0,48.21,46.0,46.53,1060116
TEM,2024-10-23,46.05,46.64,44.43,45.41,670300
TEM,2024-10-24,46.5,47.25,45.6,46.21,429317
TEM,2024-10-25,46.07,46.33,43.5,43.51,832400
TEM,2024-10-28,43.68,44.77,42.24,43.34,846946
TEM,2024-10-29,43.07,46.22,42.46,45.22,740501
