symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TENB,2024-08-27,41.03,41.21,40.72,40.82,792529
TENB,2024-08-28,40.75,41.21,40.53,41.04,704400
TENB,2024-08-29,41.16,42.54,41.16,41.53,621900
TENB,2024-08-30,41.76,41.88,40.76,41.28,2184746
TENB,2024-09-03,41.15,41.56,40.03,40.07,728584
TENB,2024-09-04,39.58,40.48,39.11,39.89,833819
TENB,2024-09-05,39.8,40.06,39.15,39.86,533736
TENB,2024-09-06,40.18,40.32,38.86,39.11,678300
TENB,2024-09-09,39.1,40.08,39.1,39.35,541900
TENB,2024-09-10,39.47,39.47,38.69,38.98,366947
TENB,2024-09-11,38.75,39.15,38.29,39.0,453500
TENB,2024-09-12,39.26,39.52,38.65,39.5,675504
TENB,2024-09-13,39.78,40.22,39.39,39.74,552600
TENB,2024-09-16,39.77,40.27,39.7,40.15,532713
TENB,2024-09-17,40.55,40.55,39.9,39.96,450200
TENB,2024-09-18,39.82,40.32,39.34,39.63,580708
TENB,2024-09-19,40.67,40.81,40.06,40.28,674804
TENB,2024-09-20,40.47,40.77,40.2,40.37,1673313
TENB,2024-09-23,40.48,40.53,39.97,40.09,717936
TENB,2024-09-24,40.36,40.48,39.49,39.76,781128
TENB,2024-09-25,39.98,39.98,39.0,39.7,979152
TENB,2024-09-26,40.27,40.4,39.52,40.08,782830
TENB,2024-09-27,40.44,40.85,39.76,39.92,793200
TENB,2024-09-30,39.85,40.61,39.72,40.52,990500
TENB,2024-10-01,40.58,40.86,39.84,40.82,766500
TENB,2024-10-02,40.9,41.81,40.53,40.74,691000
TENB,2024-10-03,40.4,40.93,39.83,40.2,703842
TENB,2024-10-04,41.09,41.54,40.64,41.43,406830
TENB,2024-10-07,41.22,41.3,40.12,40.44,722001
TENB,2024-10-08,40.47,41.05,40.06,41.0,489300
TENB,2024-10-09,40.94,41.7,40.87,41.59,721200
TENB,2024-10-10,41.02,42.54,41.02,42.46,718836
TENB,2024-10-11,42.4,42.7,41.96,42.14,402800
TENB,2024-10-14,42.39,42.92,41.93,42.32,442406
TENB,2024-10-15,42.16,42.79,41.91,42.56,588100
TENB,2024-10-16,42.38,42.72,41.91,42.69,550000
TENB,2024-10-17,42.91,42.91,42.25,42.34,513400
TENB,2024-10-18,42.6,43.29,42.5,42.65,643500
TENB,2024-10-21,42.61,42.71,42.04,42.14,420424
TENB,2024-10-22,42.09,42.2,41.52,41.58,409200
TENB,2024-10-23,41.26,41.54,40.3,40.34,686435
TENB,2024-10-24,40.71,41.26,40.5,40.92,723000
TENB,2024-10-25,40.98,42.03,40.98,41.63,784200
TENB,2024-10-28,42.07,42.07,40.27,40.65,1048410
TENB,2024-10-29,40.46,41.86,40.37,41.8,1387800
TENB,2024-10-30,41.8,41.96,41.14,41.23,1324764
TENB,2024-10-31,43.0,43.0,39.32,39.61,2112400
TENB,2024-11-01,39.73,40.28,38.72,38.78,1656927
TENB,2024-11-04,38.7,39.08,38.3,38.71,1299018
TENB,2024-11-05,38.68,39.26,38.4,39.01,918548
TENB,2024-11-06,40.1,42.37,39.94,42.0,2233800
TENB,2024-11-07,41.83,42.53,41.62,42.17,1697917
TENB,2024-11-08,42.16,42.42,41.61,41.81,1180711
TENB,2024-11-11,42.14,42.19,41.39,41.43,1211018
TENB,2024-11-12,41.31,41.91,41.02,41.89,1008726
TENB,2024-11-13,41.81,43.26,41.81,42.03,1021431
TENB,2024-11-14,41.95,42.1,41.39,41.74,651418
TENB,2024-11-15,41.67,41.67,40.31,40.79,734300
TENB,2024-11-18,40.91,41.11,40.52,40.76,1336831
TENB,2024-11-19,40.48,41.01,40.24,40.79,1009200
TENB,2024-11-20,40.79,40.94,40.21,40.82,569944
TENB,2024-11-21,41.04,42.0,41.04,41.85,825036
TENB,2024-11-22,42.04,42.7,41.99,42.44,982109
TENB,2024-11-25,42.77,43.21,42.46,42.74,780000
TENB,2024-11-26,42.59,43.06,42.18,43.01,541205
TENB,2024-11-27,42.95,43.18,41.74,41.88,471142
TENB,2024-11-29,41.97,42.18,41.72,41.98,499300
TENB,2024-12-02,40.79,42.66,40.79,42.06,860149
