symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TEX,2024-08-27,54.55,54.74,53.23,53.95,434900
TEX,2024-08-28,53.85,54.75,53.71,54.26,533500
TEX,2024-08-29,55.24,55.78,54.01,55.12,440140
TEX,2024-08-30,55.28,55.69,54.01,55.59,491500
TEX,2024-09-03,54.71,54.91,51.9,52.01,651443
TEX,2024-09-04,51.64,52.36,50.35,50.8,975900
TEX,2024-09-05,50.68,50.99,49.12,49.4,777700
TEX,2024-09-06,49.43,50.23,48.41,48.78,870737
TEX,2024-09-09,49.03,50.39,48.89,49.42,818540
TEX,2024-09-10,49.56,49.97,48.55,48.87,656100
TEX,2024-09-11,48.7,49.5,47.11,49.17,680050
TEX,2024-09-12,49.55,50.04,48.69,49.65,566600
TEX,2024-09-13,50.58,51.05,50.04,50.35,460315
TEX,2024-09-16,50.64,52.3,50.64,52.03,822400
TEX,2024-09-17,52.89,54.34,52.75,54.34,932317
TEX,2024-09-18,54.44,57.01,53.67,54.69,1664100
TEX,2024-09-19,53.66,53.98,51.03,52.71,1885300
TEX,2024-09-20,52.1,52.11,50.53,50.78,1776700
TEX,2024-09-23,50.82,51.42,50.15,51.4,961800
TEX,2024-09-24,52.11,53.05,51.7,52.17,864300
TEX,2024-09-25,52.3,52.55,50.51,50.74,773619
TEX,2024-09-26,52.3,52.59,50.73,50.99,1248840
TEX,2024-09-27,51.67,52.67,51.05,51.64,826300
TEX,2024-09-30,51.19,52.16,50.84,51.81,554000
TEX,2024-10-01,51.25,51.69,50.18,50.68,533547
TEX,2024-10-02,50.69,51.28,49.83,50.54,774549
TEX,2024-10-03,49.98,50.39,49.32,49.83,511332
TEX,2024-10-04,51.4,51.4,49.78,50.44,622625
TEX,2024-10-07,50.03,51.08,49.71,51.07,713400
TEX,2024-10-08,50.66,52.25,49.33,51.91,1470072
TEX,2024-10-09,51.63,53.4,51.4,52.4,825840
TEX,2024-10-10,51.4,52.46,51.2,52.01,827517
TEX,2024-10-11,51.99,54.37,51.99,54.33,847100
TEX,2024-10-14,53.92,54.47,53.53,54.24,648800
TEX,2024-10-15,54.05,55.57,53.88,54.57,663309
TEX,2024-10-16,55.06,56.29,54.78,54.8,466334
TEX,2024-10-17,54.86,55.39,54.16,55.18,390300
TEX,2024-10-18,55.54,55.54,54.65,54.97,308924
TEX,2024-10-21,55.1,55.1,52.77,52.81,564555
TEX,2024-10-22,52.66,53.89,52.49,52.9,493700
TEX,2024-10-23,52.73,53.05,51.44,51.79,598600
TEX,2024-10-24,51.8,52.14,51.0,51.85,603309
TEX,2024-10-25,51.96,52.73,51.54,52.65,657600
TEX,2024-10-28,53.18,54.53,53.18,54.31,858500
TEX,2024-10-29,54.24,54.73,52.96,53.13,1386528
TEX,2024-10-30,51.17,51.95,50.0,50.46,1865706
TEX,2024-10-31,50.47,51.07,49.27,50.64,912777
TEX,2024-11-01,51.11,51.78,50.19,50.34,593000
TEX,2024-11-04,49.85,51.05,49.69,50.16,509512
TEX,2024-11-05,49.79,51.46,49.2,51.24,721400
TEX,2024-11-06,55.07,57.44,54.68,57.39,1171437
TEX,2024-11-07,56.96,57.08,55.13,55.17,715500
TEX,2024-11-08,54.88,55.3,53.97,54.74,939972
TEX,2024-11-11,55.33,55.52,54.42,54.59,555200
TEX,2024-11-12,54.32,54.53,52.19,52.28,727027
TEX,2024-11-13,52.77,52.91,50.64,50.68,620700
TEX,2024-11-14,51.07,52.09,50.85,51.63,586500
TEX,2024-11-15,52.29,52.35,50.82,51.05,475332
TEX,2024-11-18,51.23,52.1,51.01,51.34,574095
TEX,2024-11-19,50.43,51.16,50.43,50.48,538102
TEX,2024-11-20,50.72,51.25,50.34,51.21,526700
TEX,2024-11-21,51.81,52.43,51.05,51.95,559700
TEX,2024-11-22,51.84,53.17,51.47,52.84,480600
TEX,2024-11-25,53.53,55.63,53.52,55.02,739000
TEX,2024-11-26,53.96,54.41,53.13,53.33,695900
TEX,2024-11-27,53.56,54.58,52.94,53.3,461645
TEX,2024-11-29,53.93,54.54,53.51,53.81,333700
TEX,2024-12-02,53.53,54.7,53.0,54.26,521700
TEX,2024-12-03,54.36,54.92,53.64,54.18,843341
TEX,2024-12-04,54.15,54.83,53.7,54.65,603034
TEX,2024-12-05,54.88,54.88,52.0,52.2,644168
TEX,2024-12-06,52.98,52.98,51.36,52.0,514873
TEX,2024-12-09,52.7,53.63,51.52,51.6,613241
TEX,2024-12-10,50.94,51.37,49.64,49.72,730200
TEX,2024-12-11,50.23,50.66,49.74,49.78,586000
TEX,2024-12-12,49.34,50.22,49.1,49.74,716500
TEX,2024-12-13,49.42,50.07,48.54,48.67,794540
TEX,2024-12-16,48.93,49.37,47.06,47.28,1046556
TEX,2024-12-17,47.96,47.96,46.07,46.45,1157209
TEX,2024-12-18,47.04,47.43,44.41,44.96,1326651
TEX,2024-12-19,45.16,45.65,44.12,44.39,840572
TEX,2024-12-20,43.91,45.31,43.81,44.27,2665803
TEX,2024-12-23,44.09,44.59,43.64,44.48,813542
TEX,2024-12-24,44.34,44.57,43.99,44.49,290100
TEX,2024-12-26,43.97,45.12,43.97,44.98,437200
TEX,2024-12-27,44.59,45.25,44.05,44.42,443543
TEX,2024-12-30,44.07,44.8,43.75,44.4,544048
TEX,2024-12-31,44.57,45.41,44.57,45.4,787900
TEX,2025-01-02,45.67,45.8,43.27,43.73,637700
TEX,2025-01-03,43.98,44.93,43.45,44.93,854200
TEX,2025-01-06,45.55,45.96,44.28,44.37,544200
TEX,2025-01-07,44.39,44.99,44.09,44.95,594314
TEX,2025-01-08,44.07,44.3,43.55,44.13,704100
TEX,2025-01-10,43.39,44.07,43.01,43.21,572500
TEX,2025-01-13,42.76,44.1,42.72,44.09,680800
TEX,2025-01-14,44.91,45.15,43.76,45.04,761800
TEX,2025-01-15,46.5,46.61,45.73,46.05,512738
TEX,2025-01-16,46.22,46.78,45.88,46.6,559500
TEX,2025-01-17,47.33,47.37,46.02,46.37,699253
TEX,2025-01-21,47.15,48.03,46.62,48.01,641719
TEX,2025-01-22,47.98,48.1,47.44,47.75,451000
TEX,2025-01-23,47.66,48.48,47.66,48.03,494900
TEX,2025-01-24,47.79,48.49,47.35,47.97,494000
TEX,2025-01-27,47.77,48.03,46.74,47.71,682700
TEX,2025-01-28,47.48,47.48,45.77,46.28,617900
TEX,2025-01-29,46.21,47.0,45.98,46.61,657200
TEX,2025-01-30,47.16,49.36,47.0,48.1,991945
TEX,2025-01-31,47.91,47.95,46.65,47.23,943100
TEX,2025-02-03,45.91,46.16,44.2,45.17,926800
TEX,2025-02-04,45.36,46.73,45.3,46.53,660348
TEX,2025-02-05,46.67,47.25,46.49,47.13,1491038
TEX,2025-02-06,46.21,49.11,44.71,45.69,1592709
TEX,2025-02-07,45.77,45.88,43.1,43.95,1885400
TEX,2025-02-10,44.08,44.18,42.46,43.8,1341310
TEX,2025-02-11,43.45,44.93,42.76,44.76,841500
TEX,2025-02-12,43.82,44.24,43.29,44.08,955123
TEX,2025-02-13,44.25,44.3,43.42,44.13,871128
TEX,2025-02-14,44.69,44.95,44.25,44.71,711603
TEX,2025-02-18,44.93,46.97,44.53,46.71,965738
TEX,2025-02-19,45.67,46.79,45.67,46.36,647000
TEX,2025-02-20,46.35,46.57,44.49,44.76,733700
TEX,2025-02-21,45.36,45.51,42.24,42.41,877043
TEX,2025-02-24,42.4,43.03,41.12,41.16,998247
TEX,2025-02-25,41.24,42.21,40.94,41.5,839300
TEX,2025-02-26,41.83,42.66,41.46,41.66,647500
TEX,2025-02-27,41.25,41.97,40.5,40.61,679121
TEX,2025-02-28,40.45,41.22,39.41,39.97,1585400
TEX,2025-03-03,40.34,40.6,37.5,37.61,1319933
TEX,2025-03-04,36.57,37.78,35.51,36.98,2177500
TEX,2025-03-05,37.39,38.57,37.11,38.37,1783916
TEX,2025-03-06,38.01,40.38,37.72,39.68,1201000
