symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TOL,2024-08-27,141.77,142.33,140.42,141.79,1117000
TOL,2024-08-28,140.74,142.89,139.57,140.24,1322100
TOL,2024-08-29,140.79,141.96,138.85,140.36,714891
TOL,2024-08-30,141.95,142.72,139.19,142.12,1285371
TOL,2024-09-03,141.8,144.14,136.99,137.98,1236646
TOL,2024-09-04,136.66,138.42,135.08,137.98,1000849
TOL,2024-09-05,138.17,138.32,135.56,135.92,1111800
TOL,2024-09-06,136.6,141.56,136.42,136.9,1577500
TOL,2024-09-09,136.85,139.93,136.6,137.46,1212145
TOL,2024-09-10,138.45,139.45,136.39,138.12,1197003
TOL,2024-09-11,136.44,137.95,133.39,137.51,1873900
TOL,2024-09-12,138.18,143.49,137.62,142.89,1710326
TOL,2024-09-13,145.01,148.26,144.79,147.77,1744100
TOL,2024-09-16,148.14,149.15,145.03,148.01,1395710
TOL,2024-09-17,149.84,149.9,146.31,148.62,1113580
TOL,2024-09-18,149.25,152.53,145.76,148.11,1807434
TOL,2024-09-19,152.21,152.43,148.67,151.05,1811946
TOL,2024-09-20,148.9,150.85,147.51,148.4,5000800
TOL,2024-09-23,150.19,152.18,148.22,151.42,1029939
TOL,2024-09-24,150.82,152.36,150.0,151.24,951000
TOL,2024-09-25,149.64,150.98,148.19,148.3,1299566
TOL,2024-09-26,150.01,150.82,148.26,148.58,1341800
TOL,2024-09-27,150.14,153.89,149.25,153.25,1475800
TOL,2024-09-30,151.31,152.73,149.94,152.4,1282966
TOL,2024-10-01,152.58,153.96,149.98,152.65,965168
TOL,2024-10-02,151.62,152.21,149.19,150.96,895402
TOL,2024-10-03,150.62,151.9,149.02,151.66,851861
TOL,2024-10-04,152.83,153.08,145.84,147.86,1212424
TOL,2024-10-07,145.49,148.51,144.51,148.45,1062118
TOL,2024-10-08,148.95,151.43,147.54,149.06,790200
TOL,2024-10-09,148.85,150.24,147.98,149.03,632328
TOL,2024-10-10,146.98,148.84,145.9,147.05,982934
TOL,2024-10-11,147.83,148.89,147.67,148.06,841731
TOL,2024-10-14,148.28,152.25,148.28,151.79,977768
TOL,2024-10-15,152.75,155.77,152.75,153.31,962441
TOL,2024-10-16,154.91,157.01,154.78,155.68,846401
TOL,2024-10-17,154.64,156.15,153.7,154.78,849044
TOL,2024-10-18,155.86,158.19,154.8,157.66,799150
TOL,2024-10-21,156.88,157.64,151.49,151.59,1103145
TOL,2024-10-22,148.39,148.58,144.74,146.24,1385400
TOL,2024-10-23,145.29,147.11,143.76,145.18,1368217
