symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TOST,2024-08-27,24.08,24.76,23.98,24.75,2848100
TOST,2024-08-28,24.69,25.2,23.68,23.81,4245928
TOST,2024-08-29,24.21,25.06,24.13,24.63,4858400
TOST,2024-08-30,24.81,25.03,24.51,24.86,4954951
TOST,2024-09-03,24.71,24.77,23.78,24.02,4196340
TOST,2024-09-04,23.67,24.32,23.45,24.12,4298900
TOST,2024-09-05,24.08,24.37,23.81,24.12,5422159
TOST,2024-09-06,24.25,24.39,22.91,23.29,5509146
TOST,2024-09-09,23.63,23.94,23.33,23.62,6080722
TOST,2024-09-10,23.67,23.79,23.19,23.68,4495100
TOST,2024-09-11,23.35,25.02,23.06,25.0,6728909
TOST,2024-09-12,25.1,26.22,24.95,26.09,6074900
TOST,2024-09-13,26.25,26.52,25.96,26.19,5023101
TOST,2024-09-16,26.21,26.79,26.05,26.57,4702166
TOST,2024-09-17,26.85,26.85,26.32,26.75,4998600
TOST,2024-09-18,26.79,27.01,26.18,26.31,5183617
TOST,2024-09-19,27.0,27.14,26.7,26.96,4956802
TOST,2024-09-20,27.0,27.8,26.63,27.71,6082839
TOST,2024-09-23,27.89,28.19,27.54,27.65,5711833
TOST,2024-09-24,27.79,28.02,27.31,27.99,3650400
TOST,2024-09-25,27.89,27.98,26.87,27.09,3934900
TOST,2024-09-26,27.52,27.52,26.75,27.33,4531700
TOST,2024-09-27,28.5,29.92,27.83,28.0,7968002
TOST,2024-09-30,27.87,28.89,27.81,28.31,4603038
TOST,2024-10-01,28.63,28.9,27.71,28.56,6151600
TOST,2024-10-02,28.15,28.28,27.41,27.43,7323442
TOST,2024-10-03,27.11,27.9,26.91,27.88,4141201
TOST,2024-10-04,28.28,28.83,28.08,28.77,4713133
TOST,2024-10-07,28.72,28.72,27.86,28.17,4515800
TOST,2024-10-08,28.29,29.02,28.14,28.8,6591247
TOST,2024-10-09,29.04,29.29,28.68,28.98,2897900
TOST,2024-10-10,28.39,29.52,28.12,28.9,4199500
TOST,2024-10-11,28.05,28.77,27.72,28.34,5757700
TOST,2024-10-14,28.5,28.5,27.65,28.15,4197279
TOST,2024-10-15,28.21,28.87,28.05,28.73,5407948
TOST,2024-10-16,28.95,29.3,28.64,29.03,4275400
TOST,2024-10-17,29.07,29.63,28.53,29.54,4862143
TOST,2024-10-18,29.79,30.7,29.75,30.32,6171200
TOST,2024-10-21,30.17,30.45,29.41,29.52,3686114
TOST,2024-10-22,29.42,29.85,29.2,29.36,3382700
TOST,2024-10-23,29.39,29.54,28.86,29.25,2818811
TOST,2024-10-24,29.4,30.17,29.33,30.03,6700400
TOST,2024-10-25,30.23,30.41,29.42,29.49,2795200
TOST,2024-10-28,29.69,30.79,29.57,30.12,10910643
TOST,2024-10-29,30.0,30.28,29.63,30.04,4071185
TOST,2024-10-30,30.08,30.56,29.92,30.15,3225600
TOST,2024-10-31,30.0,30.51,29.77,30.03,4147900
TOST,2024-11-01,30.13,31.57,30.05,30.98,8330500
TOST,2024-11-04,30.69,31.35,30.27,30.32,5430607
TOST,2024-11-05,30.04,31.04,30.0,30.81,5776200
TOST,2024-11-06,30.8,32.15,30.75,32.14,8603000
TOST,2024-11-07,32.47,33.01,32.33,32.67,15792500
TOST,2024-11-08,38.39,38.4,34.71,37.48,28795314
