symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TPC,2025-02-10,24.35,24.35,23.71,24.07,469800
TPC,2025-02-11,23.77,24.1,23.47,24.02,306800
TPC,2025-02-12,23.43,23.86,23.21,23.43,339813
TPC,2025-02-13,23.65,23.8,22.74,23.23,316600
TPC,2025-02-14,23.34,23.65,23.01,23.65,387900
TPC,2025-02-18,23.41,23.68,22.51,22.93,439200
TPC,2025-02-19,22.65,23.16,22.47,23.1,279500
TPC,2025-02-20,23.19,24.68,23.18,23.24,606706
TPC,2025-02-21,23.85,23.88,21.96,22.0,415417
TPC,2025-02-24,22.42,22.42,21.42,21.47,815400
TPC,2025-02-25,21.77,22.71,21.53,22.6,747400
TPC,2025-02-26,23.03,23.59,22.71,23.1,570800
TPC,2025-02-27,22.96,23.0,21.69,21.83,685882
TPC,2025-02-28,24.73,29.99,23.98,29.34,1870602
TPC,2025-03-03,28.99,29.3,27.53,27.91,1045000
TPC,2025-03-04,27.21,28.37,26.75,27.48,743500
TPC,2025-03-05,27.76,27.85,26.57,27.42,780298
TPC,2025-03-06,26.89,27.44,26.07,26.2,613700
TPC,2025-03-07,26.02,27.12,25.12,26.53,583346
TPC,2025-03-10,25.37,26.23,24.01,24.3,597126
TPC,2025-03-11,24.2,25.68,24.2,24.98,731400
TPC,2025-03-12,25.67,26.56,25.19,25.42,530700
TPC,2025-03-13,25.56,25.85,24.49,24.61,302725
TPC,2025-03-14,25.25,25.68,24.85,25.56,276900
TPC,2025-03-17,25.31,26.01,25.29,25.59,292100
TPC,2025-03-18,25.38,25.68,24.86,25.1,360240
TPC,2025-03-19,24.7,26.06,24.65,25.67,315200
TPC,2025-03-20,25.03,25.92,25.03,25.53,289833
TPC,2025-03-21,24.96,25.34,24.35,24.49,1443911
TPC,2025-03-24,25.22,25.82,24.78,25.3,378320
TPC,2025-03-25,25.3,26.07,25.02,25.63,427400
TPC,2025-03-26,25.67,26.3,24.83,25.01,380250
TPC,2025-03-27,24.96,25.13,24.08,24.14,298331
TPC,2025-03-28,24.14,24.62,23.44,23.48,377600
TPC,2025-03-31,22.84,23.21,22.32,23.14,813904
TPC,2025-04-01,23.02,23.67,22.75,23.14,355435
TPC,2025-04-02,22.63,23.79,22.41,23.45,313550
TPC,2025-04-03,21.88,22.61,21.23,21.59,567714
TPC,2025-04-04,20.35,20.83,18.73,20.35,792700
TPC,2025-04-07,18.9,21.65,18.9,19.99,953700
