symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TRVI,2024-08-27,2.98,3.0,2.86,2.91,55900
TRVI,2024-08-28,2.91,2.97,2.88,2.95,188829
TRVI,2024-08-29,2.98,3.0,2.83,2.91,110100
TRVI,2024-08-30,3.09,3.17,2.91,3.16,289420
TRVI,2024-09-03,3.1,3.19,2.96,2.97,117200
TRVI,2024-09-04,2.97,3.15,2.94,2.95,156233
TRVI,2024-09-05,2.98,3.2,2.91,3.1,282000
TRVI,2024-09-06,3.1,3.1,2.93,2.95,71500
TRVI,2024-09-09,3.0,3.18,2.99,3.12,480300
TRVI,2024-09-10,3.14,3.24,3.01,3.15,235533
TRVI,2024-09-11,3.13,3.4,3.09,3.3,410114
TRVI,2024-09-12,3.3,3.4,3.29,3.3,112000
TRVI,2024-09-13,3.36,3.62,3.31,3.37,442100
TRVI,2024-09-16,3.42,3.68,3.38,3.51,720400
TRVI,2024-09-17,3.57,3.69,3.2,3.33,436022
TRVI,2024-09-18,3.34,3.59,3.34,3.41,315400
TRVI,2024-09-19,3.54,3.55,3.43,3.5,482203
TRVI,2024-09-20,3.51,3.57,3.4,3.44,1121304
TRVI,2024-09-23,3.43,3.47,3.25,3.3,206667
TRVI,2024-09-24,3.31,3.31,3.03,3.17,402700
TRVI,2024-09-25,3.17,3.26,3.05,3.08,394900
TRVI,2024-09-26,3.13,3.16,2.94,3.15,1817614
TRVI,2024-09-27,3.15,3.5,3.11,3.33,419500
TRVI,2024-09-30,3.32,3.38,3.0,3.34,246724
TRVI,2024-10-01,3.36,3.36,3.08,3.11,393176
TRVI,2024-10-02,3.11,3.28,3.01,3.19,282115
TRVI,2024-10-03,3.19,3.19,2.97,3.02,188844
TRVI,2024-10-04,2.95,3.07,2.77,3.02,382600
TRVI,2024-10-07,3.01,3.01,2.86,2.88,123925
TRVI,2024-10-08,2.93,3.18,2.83,3.15,436348
TRVI,2024-10-09,3.16,3.17,2.99,2.99,140000
TRVI,2024-10-10,2.94,3.12,2.88,3.0,304207
TRVI,2024-10-11,3.01,3.18,2.99,3.12,208500
TRVI,2024-10-14,3.12,3.22,3.09,3.18,310310
TRVI,2024-10-15,3.18,3.31,3.08,3.18,153500
TRVI,2024-10-16,3.2,3.29,3.1,3.2,460007
TRVI,2024-10-17,3.25,3.33,3.1,3.12,318000
TRVI,2024-10-18,3.14,3.14,3.04,3.12,290212
TRVI,2024-10-21,3.16,3.44,3.16,3.35,1588600
TRVI,2024-10-22,3.4,3.4,3.08,3.23,2609149
TRVI,2024-10-23,3.21,3.26,3.13,3.21,309958
TRVI,2024-10-24,3.22,3.23,3.08,3.11,213823
TRVI,2024-10-25,3.12,3.15,2.97,3.12,713000
TRVI,2024-10-28,3.16,3.29,3.15,3.18,419900
TRVI,2024-10-29,3.15,3.17,3.04,3.08,287400
TRVI,2024-10-30,3.05,3.15,2.99,3.06,291664
TRVI,2024-10-31,3.04,3.05,2.94,2.95,231507
TRVI,2024-11-01,2.99,3.05,2.88,3.01,367000
TRVI,2024-11-04,2.99,3.05,2.95,3.04,243400
TRVI,2024-11-05,3.02,3.05,2.86,3.02,217441
TRVI,2024-11-06,2.99,3.1,2.97,3.1,477200
TRVI,2024-11-07,3.09,3.19,2.8,2.9,757200
TRVI,2024-11-08,2.88,2.95,2.81,2.91,601100
TRVI,2024-11-11,3.01,3.12,2.86,3.07,1666915
TRVI,2024-11-12,3.07,3.22,2.92,3.0,307466
TRVI,2024-11-13,3.04,3.1,2.83,2.86,288542
TRVI,2024-11-14,2.87,3.01,2.81,2.86,1099000
TRVI,2024-11-15,2.9,2.92,2.67,2.75,500327
TRVI,2024-11-18,2.75,2.83,2.74,2.82,419735
TRVI,2024-11-19,2.8,3.07,2.77,3.0,961600
TRVI,2024-11-20,2.99,3.01,2.72,2.77,401016
TRVI,2024-11-21,2.77,2.83,2.73,2.73,139872
TRVI,2024-11-22,2.73,2.93,2.66,2.91,1757400
TRVI,2024-11-25,2.96,3.03,2.86,2.92,350149
TRVI,2024-11-26,2.9,2.93,2.83,2.88,139400
TRVI,2024-11-27,2.88,2.92,2.8,2.82,170658
TRVI,2024-11-29,2.85,2.93,2.8,2.88,93605
TRVI,2024-12-02,2.84,2.93,2.82,2.86,176931
TRVI,2024-12-03,2.84,2.86,2.74,2.78,297900
TRVI,2024-12-04,2.65,2.65,2.45,2.6,1988140
TRVI,2024-12-05,2.61,2.63,2.49,2.6,376421
TRVI,2024-12-06,2.63,2.8,2.56,2.76,343700
TRVI,2024-12-09,2.76,2.86,2.57,2.66,453626
TRVI,2024-12-10,2.68,2.78,2.66,2.68,232139
TRVI,2024-12-11,2.73,2.73,2.36,2.49,673838
TRVI,2024-12-12,3.91,4.6,3.43,3.6,63853000
TRVI,2024-12-13,3.95,4.28,3.75,4.17,4224128
TRVI,2024-12-16,4.3,4.52,4.01,4.24,3122139
TRVI,2024-12-17,4.39,4.6,4.17,4.5,2478631
TRVI,2024-12-18,4.57,4.68,4.08,4.15,1126926
TRVI,2024-12-19,4.24,4.42,4.12,4.15,684700
TRVI,2024-12-20,4.06,4.39,4.05,4.05,1742400
TRVI,2024-12-23,4.01,4.16,3.88,4.06,754123
TRVI,2024-12-24,4.05,4.15,3.96,4.0,441504
TRVI,2024-12-26,4.04,4.25,4.0,4.21,543802
TRVI,2024-12-27,4.2,4.48,4.15,4.27,757429
TRVI,2024-12-30,4.18,4.2,3.96,4.1,536600
TRVI,2024-12-31,4.1,4.27,4.04,4.12,392136
TRVI,2025-01-02,4.14,4.51,4.07,4.36,1338697
TRVI,2025-01-03,4.4,4.68,4.32,4.59,574871
TRVI,2025-01-06,4.64,4.68,4.32,4.32,558922
TRVI,2025-01-07,4.3,4.3,3.99,4.07,585800
TRVI,2025-01-08,4.36,4.36,3.95,4.03,500900
TRVI,2025-01-10,4.01,4.07,3.78,3.82,629217
TRVI,2025-01-13,3.85,4.05,3.63,3.99,675900
TRVI,2025-01-14,3.95,4.03,3.78,3.93,413400
TRVI,2025-01-15,4.06,4.06,3.77,3.82,384066
TRVI,2025-01-16,3.81,3.89,3.73,3.78,288724
TRVI,2025-01-17,3.82,3.82,3.71,3.76,258551
