symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TSCO,2024-08-27,52.91,53.33,52.61,53.24,3088270
TSCO,2024-08-28,53.1,53.75,53.1,53.3,3148650
TSCO,2024-08-29,53.69,54.17,53.27,53.39,2862115
TSCO,2024-08-30,53.25,53.26,51.84,52.19,6812320
TSCO,2024-09-03,52.05,52.54,51.79,52.35,5317420
TSCO,2024-09-04,52.42,53.35,52.14,53.19,4919620
TSCO,2024-09-05,53.16,53.16,52.14,52.82,3414175
TSCO,2024-09-06,52.98,53.45,52.47,52.78,4937545
TSCO,2024-09-09,52.89,53.81,52.89,53.21,5492250
TSCO,2024-09-10,53.08,53.25,52.29,52.81,3205800
TSCO,2024-09-11,52.82,53.96,52.11,53.89,3406900
TSCO,2024-09-12,53.98,54.63,53.69,54.52,2504425
TSCO,2024-09-13,54.95,55.84,54.81,55.19,2703160
TSCO,2024-09-16,55.45,56.0,55.03,55.28,3186185
TSCO,2024-09-17,54.98,55.29,53.94,53.98,3515120
TSCO,2024-09-18,54.14,54.56,53.59,53.74,2091605
TSCO,2024-09-19,54.57,54.57,53.28,53.44,3919255
TSCO,2024-09-20,53.43,53.79,52.91,53.62,4168365
TSCO,2024-09-23,53.79,54.44,53.23,54.0,4177020
TSCO,2024-09-24,54.0,54.39,53.55,54.14,3096750
TSCO,2024-09-25,54.32,54.88,53.95,54.78,3126485
TSCO,2024-09-26,55.05,55.67,54.8,55.65,3830920
TSCO,2024-09-27,56.03,56.54,55.81,55.82,3567395
TSCO,2024-09-30,55.97,56.86,55.97,56.75,4362170
TSCO,2024-10-01,56.59,57.9,56.29,57.57,7800650
TSCO,2024-10-02,57.57,58.2,57.35,58.14,5481795
TSCO,2024-10-03,57.6,58.13,56.5,56.93,7218890
TSCO,2024-10-04,57.36,58.03,57.09,57.53,3859175
TSCO,2024-10-07,57.34,57.55,56.81,57.32,3645865
TSCO,2024-10-08,57.32,59.33,57.22,59.24,4827375
TSCO,2024-10-09,59.22,59.7,58.23,58.71,5551935
TSCO,2024-10-10,58.58,58.75,57.7,58.0,4080465
TSCO,2024-10-11,58.37,59.31,58.11,59.17,2661190
TSCO,2024-10-14,59.22,59.77,58.81,59.25,2892100
TSCO,2024-10-15,59.02,60.02,58.61,58.68,4017125
TSCO,2024-10-16,58.46,59.27,58.27,59.07,4018830
TSCO,2024-10-17,59.42,59.44,58.16,58.19,3849170
TSCO,2024-10-18,58.42,58.54,57.99,58.05,4118100
TSCO,2024-10-21,58.0,58.23,57.03,57.47,6194395
TSCO,2024-10-22,56.96,57.09,56.3,56.85,4650445
TSCO,2024-10-23,56.67,57.26,56.46,56.98,5576750
TSCO,2024-10-24,55.3,56.11,53.34,53.51,11095170
TSCO,2024-10-25,54.28,54.42,52.96,53.2,4130815
TSCO,2024-10-28,53.71,53.71,52.6,52.67,4394385
TSCO,2024-10-29,52.29,53.3,52.12,52.43,5293260
TSCO,2024-10-30,52.18,52.91,52.07,52.27,5506935
TSCO,2024-10-31,52.07,52.53,51.75,51.79,5783165
TSCO,2024-11-01,52.07,52.88,51.96,51.99,5469500
TSCO,2024-11-04,52.31,53.52,51.96,52.74,4962130
TSCO,2024-11-05,52.78,53.96,52.78,53.88,5259625
TSCO,2024-11-06,54.04,56.44,54.04,56.36,12038740
TSCO,2024-11-07,56.65,57.1,55.94,56.43,6264320
TSCO,2024-11-08,56.77,57.39,56.14,56.29,6009535
TSCO,2024-11-11,56.39,56.39,54.6,54.92,4271390
TSCO,2024-11-12,54.83,55.16,54.38,54.46,4191080
TSCO,2024-11-13,54.36,54.69,54.03,54.37,2853220
TSCO,2024-11-14,54.47,55.04,53.96,54.05,3557900
TSCO,2024-11-15,53.88,54.44,53.57,53.77,4995960
TSCO,2024-11-18,53.55,54.2,53.41,53.99,3266435
TSCO,2024-11-19,53.61,53.93,53.07,53.22,5137830
TSCO,2024-11-20,52.87,53.02,52.25,52.67,4822800
TSCO,2024-11-21,53.15,53.65,52.78,53.38,4317905
TSCO,2024-11-22,53.54,55.3,53.54,54.95,4001635
TSCO,2024-11-25,55.73,56.44,55.56,56.01,8782300
TSCO,2024-11-26,55.77,56.21,54.82,54.87,3937915
TSCO,2024-11-27,55.09,56.15,55.06,55.21,3653615
TSCO,2024-11-29,55.63,56.21,55.33,55.55,3819500
TSCO,2024-12-02,55.61,56.95,54.92,56.84,5956025
TSCO,2024-12-03,56.45,56.7,55.39,55.81,6112635
TSCO,2024-12-04,55.81,56.34,55.36,55.98,4920510
TSCO,2024-12-05,56.16,56.75,54.59,55.31,5766000
TSCO,2024-12-06,55.93,56.43,55.18,55.31,5348635
TSCO,2024-12-09,55.32,55.8,54.64,55.57,7367315
TSCO,2024-12-10,55.61,56.42,55.3,55.75,3845650
TSCO,2024-12-11,56.03,56.58,55.77,55.91,4081370
TSCO,2024-12-12,55.88,56.25,55.42,55.86,3603000
TSCO,2024-12-13,56.06,56.25,55.57,55.91,3838330
TSCO,2024-12-16,56.16,56.26,54.1,54.15,5854810
TSCO,2024-12-17,54.24,54.49,53.46,53.9,6116325
TSCO,2024-12-18,54.05,54.05,51.89,51.94,7129675
TSCO,2024-12-19,51.91,52.25,51.39,51.71,7494550
TSCO,2024-12-20,51.56,53.29,51.56,52.79,10938869
TSCO,2024-12-23,52.22,52.8,51.64,52.57,5348558
TSCO,2024-12-24,52.57,53.36,52.2,53.35,2000568
TSCO,2024-12-26,53.45,54.43,52.82,54.33,3416825
TSCO,2024-12-27,53.93,54.41,53.14,53.42,3466624
TSCO,2024-12-30,52.87,52.95,51.46,51.49,3997224
TSCO,2024-12-31,51.5,52.52,51.35,51.95,4204855
TSCO,2025-01-02,52.01,52.52,50.89,51.29,4838602
TSCO,2025-01-03,51.35,51.59,50.21,50.85,6346226
TSCO,2025-01-06,51.26,52.68,50.85,52.53,6099058
TSCO,2025-01-07,52.77,53.08,52.17,52.75,3537121
TSCO,2025-01-08,52.72,53.36,52.33,53.25,4148397
TSCO,2025-01-10,53.11,54.63,53.03,53.45,6356753
TSCO,2025-01-13,52.87,53.52,52.53,53.43,4980539
TSCO,2025-01-14,53.52,53.69,51.93,52.07,3845390
TSCO,2025-01-15,52.82,53.28,51.71,51.99,4975432
TSCO,2025-01-16,51.81,52.61,51.53,52.41,4715328
TSCO,2025-01-17,52.97,53.58,52.39,52.54,5583421
TSCO,2025-01-21,52.97,55.87,52.89,55.69,7910635
TSCO,2025-01-22,55.64,56.91,55.53,56.27,4867170
TSCO,2025-01-23,56.3,57.1,56.06,56.18,5468442
TSCO,2025-01-24,56.22,56.81,56.04,56.73,3384402
TSCO,2025-01-27,56.21,57.49,56.18,56.72,4213733
TSCO,2025-01-28,56.44,57.73,56.16,56.18,4135049
TSCO,2025-01-29,56.05,57.19,55.75,55.97,6908800
TSCO,2025-01-30,52.92,54.28,52.39,53.16,9205378
TSCO,2025-01-31,53.39,53.76,52.2,53.23,9309357
TSCO,2025-02-03,52.38,54.07,52.27,53.44,6833912
TSCO,2025-02-04,53.51,53.74,52.62,52.91,6172645
TSCO,2025-02-05,53.17,53.17,52.34,52.49,4064062
TSCO,2025-02-06,52.49,52.64,51.66,51.95,7711296
TSCO,2025-02-07,52.06,52.27,51.4,51.84,6337948
TSCO,2025-02-10,52.04,53.47,51.94,53.29,4881783
TSCO,2025-02-11,53.18,53.91,52.76,53.82,5753041
TSCO,2025-02-12,53.29,54.76,52.94,54.7,4078876
TSCO,2025-02-13,54.83,55.85,54.62,55.8,7402454
TSCO,2025-02-14,56.02,56.18,55.41,55.95,4901550
TSCO,2025-02-18,56.21,56.56,55.46,56.52,4424687
TSCO,2025-02-19,56.29,56.85,55.24,56.65,4111684
TSCO,2025-02-20,56.72,56.77,56.03,56.53,2643220
