symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TSN,2024-08-27,60.52,60.7,60.19,60.3,1557100
TSN,2024-08-28,60.31,61.98,60.19,61.96,3043700
TSN,2024-08-29,61.89,61.89,60.78,60.98,1371238
TSN,2024-08-30,60.78,61.23,60.6,61.13,2055800
TSN,2024-09-03,60.89,61.89,60.89,61.6,2584323
TSN,2024-09-04,61.49,62.7,61.47,62.47,1777700
TSN,2024-09-05,62.74,62.87,61.79,61.91,2798613
TSN,2024-09-06,62.0,62.99,62.0,62.61,3443335
TSN,2024-09-09,62.89,63.57,62.46,62.52,2037000
TSN,2024-09-10,62.52,62.6,60.01,60.05,2414733
TSN,2024-09-11,59.76,60.14,58.27,58.6,2287419
TSN,2024-09-12,58.46,58.91,58.11,58.63,2149250
TSN,2024-09-13,58.59,59.04,57.85,58.36,2146521
TSN,2024-09-16,58.72,59.31,58.72,58.79,1421300
TSN,2024-09-17,58.74,59.47,58.53,58.74,1429044
TSN,2024-09-18,58.54,59.24,58.33,58.75,1399019
TSN,2024-09-19,58.56,58.82,58.15,58.62,1532907
TSN,2024-09-20,58.81,58.81,56.5,57.16,6068278
TSN,2024-09-23,56.67,57.44,56.58,57.43,1954000
TSN,2024-09-24,57.42,58.12,57.23,57.52,1707800
TSN,2024-09-25,55.75,56.27,54.75,55.09,3450885
TSN,2024-09-26,55.08,56.48,54.94,56.38,1957067
TSN,2024-09-27,56.56,57.22,56.44,56.74,1759561
TSN,2024-09-30,56.92,57.03,56.29,56.61,1582438
TSN,2024-10-01,56.4,57.39,56.32,56.8,1890647
TSN,2024-10-02,56.49,56.98,56.01,56.28,1754071
TSN,2024-10-03,56.02,56.37,54.96,55.2,1612430
TSN,2024-10-04,55.21,55.8,55.21,55.65,1040013
TSN,2024-10-07,55.58,55.61,55.04,55.35,1276346
TSN,2024-10-08,55.1,55.57,54.68,55.4,1393140
TSN,2024-10-09,55.51,55.62,55.23,55.4,1551361
TSN,2024-10-10,55.54,56.08,55.24,55.31,2143617
TSN,2024-10-11,55.57,56.14,55.38,55.92,1434543
TSN,2024-10-14,56.08,56.96,56.08,56.89,1819030
TSN,2024-10-15,56.8,57.82,56.72,56.91,1720256
TSN,2024-10-16,56.93,58.08,56.93,57.6,1457616
TSN,2024-10-17,57.56,57.71,56.75,56.83,1297900
TSN,2024-10-18,57.02,57.14,56.23,57.04,1277402
TSN,2024-10-21,56.93,57.11,55.85,56.25,1149900
TSN,2024-10-22,56.26,56.3,55.8,55.97,1944600
TSN,2024-10-23,55.31,56.61,55.21,55.97,2684700
TSN,2024-10-24,56.22,56.49,55.57,56.11,1703400
TSN,2024-10-25,56.32,56.49,55.72,55.77,1809547
TSN,2024-10-28,56.02,56.77,55.95,56.27,1235117
TSN,2024-10-29,56.01,56.12,55.36,55.48,2934060
TSN,2024-10-30,55.57,56.01,55.39,55.92,2326905
TSN,2024-10-31,56.04,56.48,55.68,55.69,2109200
TSN,2024-11-01,55.68,55.97,55.35,55.47,1890039
TSN,2024-11-04,55.59,56.03,55.34,55.43,1611121
TSN,2024-11-05,55.32,56.34,54.76,56.33,2413543
TSN,2024-11-06,56.93,57.46,56.13,56.23,1825647
TSN,2024-11-07,56.12,56.45,55.66,55.8,1925700
TSN,2024-11-08,55.76,57.17,55.72,56.64,2462218
TSN,2024-11-11,56.64,57.13,55.79,55.9,2693109
TSN,2024-11-12,59.52,62.69,59.08,59.56,7041800
TSN,2024-11-13,59.24,60.19,58.04,60.17,2709500
TSN,2024-11-14,60.27,61.29,60.24,60.84,3539133
TSN,2024-11-15,61.16,61.78,60.49,61.14,3430346
TSN,2024-11-18,62.01,62.1,61.17,61.35,2921811
TSN,2024-11-19,61.03,61.1,59.75,59.81,2070211
TSN,2024-11-20,59.85,60.25,59.85,60.12,2480379
TSN,2024-11-21,60.11,61.18,59.88,60.61,3172734
TSN,2024-11-22,60.93,61.38,60.57,60.61,3870482
TSN,2024-11-25,60.96,61.28,60.37,60.62,3868400
TSN,2024-11-26,60.36,60.69,59.92,60.65,1670000
TSN,2024-11-27,60.98,61.29,60.83,61.26,1838400
TSN,2024-11-29,61.18,61.99,61.18,61.78,1131600
TSN,2024-12-02,61.53,61.77,61.03,61.63,1755608
TSN,2024-12-03,61.63,61.84,61.21,61.49,2187006
TSN,2024-12-04,60.99,61.39,60.35,60.93,1695300
TSN,2024-12-05,60.92,61.3,60.67,61.02,1760900
TSN,2024-12-06,61.02,61.06,59.95,60.0,1376289
TSN,2024-12-09,60.05,60.66,59.92,60.0,1880132
TSN,2024-12-10,60.14,60.42,58.96,59.77,2150581
TSN,2024-12-11,59.81,60.15,59.17,59.31,3045832
TSN,2024-12-12,59.56,59.62,58.59,58.62,2100924
TSN,2024-12-13,58.56,58.68,57.69,57.93,1625600
TSN,2024-12-16,58.02,58.07,57.13,57.22,1938049
TSN,2024-12-17,56.96,57.58,56.84,56.9,1745488
TSN,2024-12-18,56.34,57.2,56.27,56.48,1800548
TSN,2024-12-19,56.25,56.49,55.39,55.75,2321900
TSN,2024-12-20,55.89,56.16,55.33,55.58,5593741
TSN,2024-12-23,54.77,55.55,54.56,55.39,1823036
TSN,2024-12-24,55.22,55.53,55.01,55.31,682824
TSN,2024-12-26,55.07,55.78,54.98,55.63,1821424
TSN,2024-12-27,55.34,55.9,55.17,55.53,1543424
TSN,2024-12-30,55.31,55.52,54.52,54.73,1514814
TSN,2024-12-31,54.68,55.24,54.45,55.02,3708700
TSN,2025-01-02,55.03,55.73,55.01,55.7,1665600
TSN,2025-01-03,55.63,56.16,55.39,55.73,1764262
TSN,2025-01-06,55.47,55.51,54.18,54.41,2620695
TSN,2025-01-07,54.41,54.72,53.12,53.24,2407714
TSN,2025-01-08,53.23,53.35,52.49,53.12,4011644
TSN,2025-01-10,52.58,53.09,51.73,51.98,3204997
TSN,2025-01-13,52.53,53.63,52.19,53.29,2507843
TSN,2025-01-14,53.2,53.63,52.91,53.12,2303900
TSN,2025-01-15,53.47,53.57,52.95,53.41,1663076
TSN,2025-01-16,53.09,53.81,52.97,53.66,2081508
TSN,2025-01-17,53.49,53.87,53.27,53.36,1908434
TSN,2025-01-21,53.21,54.19,53.2,54.08,2166612
TSN,2025-01-22,53.93,53.96,53.15,53.26,2060323
TSN,2025-01-23,53.26,54.07,53.23,53.71,2721938
TSN,2025-01-24,53.59,54.4,53.51,54.06,2831703
TSN,2025-01-27,54.72,56.1,54.69,55.61,2614021
TSN,2025-01-28,55.4,55.75,53.85,54.1,2178839
TSN,2025-01-29,54.16,54.67,53.83,54.21,2057350
TSN,2025-01-30,54.6,54.67,53.77,54.37,1605440
TSN,2025-01-31,54.02,54.86,53.95,54.11,2936789
TSN,2025-02-03,55.0,56.14,53.81,55.31,4991333
TSN,2025-02-04,55.34,55.34,53.86,54.61,3100884
TSN,2025-02-05,54.6,54.76,54.13,54.68,1977400
TSN,2025-02-06,55.26,55.27,54.54,55.0,1580300
TSN,2025-02-07,55.07,55.58,54.75,55.5,1661065
TSN,2025-02-10,55.37,55.42,54.85,55.28,3102800
TSN,2025-02-11,55.38,56.31,55.24,56.29,1775600
TSN,2025-02-12,55.7,56.14,55.31,55.35,1757436
TSN,2025-02-13,55.39,55.39,54.82,55.14,2449112
TSN,2025-02-14,55.71,55.84,54.64,54.69,3151580
TSN,2025-02-18,54.74,55.55,54.12,55.45,3160557
TSN,2025-02-19,55.16,55.89,55.13,55.17,2370764
TSN,2025-02-20,54.96,56.73,54.96,56.62,3642562
TSN,2025-02-21,56.74,58.11,56.74,57.9,3323540
TSN,2025-02-24,57.67,59.09,57.35,58.3,3830700
TSN,2025-02-25,58.69,59.2,58.28,58.76,2379264
TSN,2025-02-26,58.57,58.57,57.41,57.76,2043965
TSN,2025-02-27,57.64,58.52,57.16,58.42,1836011
TSN,2025-02-28,59.01,59.38,58.45,59.24,2620083
TSN,2025-03-03,59.21,60.22,59.13,59.71,2747898
TSN,2025-03-04,60.1,60.75,58.35,58.43,2710738
TSN,2025-03-05,58.16,59.16,58.09,58.66,1920452
TSN,2025-03-06,59.05,59.35,58.25,58.46,1545387
TSN,2025-03-07,58.44,59.85,58.37,59.14,1699700
TSN,2025-03-10,59.62,60.13,59.15,59.81,3577500
TSN,2025-03-11,59.61,59.91,59.16,59.21,3878037
TSN,2025-03-12,58.49,59.26,57.94,58.08,2904000
TSN,2025-03-13,58.17,58.59,57.64,57.95,1901033
TSN,2025-03-14,57.97,58.19,57.46,57.83,2224681
TSN,2025-03-17,57.82,58.75,57.77,58.52,2614600
TSN,2025-03-18,58.51,58.75,58.17,58.44,2603000
