symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TTC,2024-08-27,87.14,87.6,86.4,87.58,587100
TTC,2024-08-28,87.49,88.21,87.25,87.95,610518
TTC,2024-08-29,88.58,89.75,87.67,88.86,464600
TTC,2024-08-30,89.19,89.69,88.36,89.51,1633127
TTC,2024-09-03,89.82,89.9,88.11,88.6,1029408
TTC,2024-09-04,88.4,89.72,87.82,87.97,1094701
TTC,2024-09-05,75.76,81.19,75.76,79.09,3750851
TTC,2024-09-06,79.61,82.47,79.19,79.3,1762698
TTC,2024-09-09,79.17,80.31,78.87,79.88,948008
TTC,2024-09-10,79.81,80.39,79.54,80.02,724806
TTC,2024-09-11,79.63,80.38,78.36,79.48,859414
TTC,2024-09-12,79.43,80.26,79.0,80.19,574613
TTC,2024-09-13,80.47,81.52,80.11,80.86,1068145
TTC,2024-09-16,81.16,82.1,80.94,81.88,887100
TTC,2024-09-17,82.38,83.74,82.29,83.48,650364
TTC,2024-09-18,83.71,84.58,82.38,82.53,809000
TTC,2024-09-19,83.33,83.68,82.14,82.65,1695800
TTC,2024-09-20,82.25,82.25,81.35,82.07,1693933
TTC,2024-09-23,82.16,83.27,81.81,82.94,527400
TTC,2024-09-24,83.22,84.46,82.79,83.71,461600
TTC,2024-09-25,83.32,83.78,82.51,83.04,642840
TTC,2024-09-26,83.98,84.58,83.33,83.74,635135
TTC,2024-09-27,84.51,85.26,83.65,83.76,757606
TTC,2024-09-30,83.92,84.38,83.38,84.19,997700
TTC,2024-10-01,84.19,84.19,83.12,83.53,1203217
TTC,2024-10-02,83.43,84.55,83.43,84.48,1151300
TTC,2024-10-03,84.2,84.79,82.75,84.54,1368001
TTC,2024-10-04,84.98,85.0,81.27,81.52,1081767
TTC,2024-10-07,81.09,81.47,80.61,81.06,849500
TTC,2024-10-08,80.76,83.29,80.13,81.99,1062903
TTC,2024-10-09,82.25,82.94,81.41,81.64,962101
TTC,2024-10-10,80.86,81.33,79.19,79.86,858434
TTC,2024-10-11,79.8,81.13,79.67,81.12,1021044
TTC,2024-10-14,80.99,81.2,80.52,80.82,675600
TTC,2024-10-15,80.5,82.56,80.42,81.4,934640
TTC,2024-10-16,81.87,82.71,81.87,82.26,565400
TTC,2024-10-17,81.8,82.02,80.95,81.59,823400
TTC,2024-10-18,82.03,82.08,81.26,81.43,639002
TTC,2024-10-21,81.2,81.32,80.08,80.18,553612
TTC,2024-10-22,79.87,79.92,78.85,79.23,518900
TTC,2024-10-23,79.3,80.01,78.85,79.48,686840
TTC,2024-10-24,79.47,80.1,79.0,79.68,606300
TTC,2024-10-25,79.95,80.49,79.22,79.3,636800
TTC,2024-10-28,79.49,80.39,78.92,79.29,619800
TTC,2024-10-29,78.64,78.78,77.68,78.68,464800
TTC,2024-10-30,78.31,79.43,78.07,78.6,625400
TTC,2024-10-31,78.44,78.94,77.77,78.12,663737
TTC,2024-11-01,78.37,79.25,77.84,79.11,605734
TTC,2024-11-04,78.96,79.54,78.1,78.31,882812
TTC,2024-11-05,78.0,80.92,77.66,80.8,628027
TTC,2024-11-06,84.4,85.56,82.15,82.36,920800
TTC,2024-11-07,82.43,84.53,82.43,83.89,636700
TTC,2024-11-08,83.79,84.1,82.26,82.32,506500
TTC,2024-11-11,82.83,84.58,82.56,84.16,530700
TTC,2024-11-12,83.27,83.65,81.46,81.5,1041400
TTC,2024-11-13,81.3,81.7,79.98,80.27,834447
TTC,2024-11-14,80.53,80.96,79.3,79.69,527100
TTC,2024-11-15,79.63,79.63,78.37,78.59,526553
TTC,2024-11-18,78.62,79.73,78.43,79.42,462248
TTC,2024-11-19,78.74,79.35,78.21,78.45,455630
TTC,2024-11-20,78.62,79.59,78.35,79.47,466800
TTC,2024-11-21,79.5,81.5,79.29,81.35,459800
TTC,2024-11-22,81.64,83.02,81.64,82.61,492800
TTC,2024-11-25,83.41,85.3,83.28,84.7,875510
TTC,2024-11-26,83.89,84.14,83.05,83.65,453700
TTC,2024-11-27,83.86,85.44,83.7,84.33,471900
TTC,2024-11-29,84.09,85.09,83.78,84.53,330147
TTC,2024-12-02,84.52,84.86,83.37,83.96,682400
TTC,2024-12-03,83.89,83.97,81.88,83.82,551700
TTC,2024-12-04,83.34,84.24,83.12,84.09,418946
TTC,2024-12-05,84.51,84.68,83.09,83.56,768600
TTC,2024-12-06,84.32,84.34,83.33,83.66,516335
TTC,2024-12-09,84.36,85.82,84.31,85.11,614117
TTC,2024-12-10,85.1,85.4,83.34,84.89,658500
TTC,2024-12-11,86.25,86.88,85.5,85.85,1166100
TTC,2024-12-12,85.66,86.37,84.83,85.16,562200
TTC,2024-12-13,84.89,85.74,84.56,85.73,890600
TTC,2024-12-16,84.37,85.52,83.83,83.83,1010100
TTC,2024-12-17,83.41,84.21,82.61,82.81,1151918
TTC,2024-12-18,78.33,82.6,78.14,79.05,2415062
TTC,2024-12-19,79.55,80.69,78.23,78.71,1507096
TTC,2024-12-20,78.54,80.16,78.54,79.09,2236320
TTC,2024-12-23,79.07,79.34,76.87,78.22,911253
TTC,2024-12-24,77.79,79.07,77.46,78.84,336800
TTC,2024-12-26,78.87,79.7,78.64,79.62,717249
TTC,2024-12-27,78.94,80.06,78.41,79.02,697800
TTC,2024-12-30,78.62,78.62,77.72,78.18,635600
TTC,2024-12-31,78.59,79.26,77.98,78.11,469900
TTC,2025-01-02,78.62,79.06,77.11,77.11,736800
TTC,2025-01-03,77.37,78.35,76.68,78.14,649200
TTC,2025-01-06,78.36,79.68,77.95,78.06,743400
TTC,2025-01-07,78.01,78.82,76.05,76.41,842347
TTC,2025-01-08,76.28,77.35,75.39,77.28,729842
TTC,2025-01-10,76.16,76.72,75.23,75.48,979900
TTC,2025-01-13,75.09,78.22,75.04,78.18,876100
TTC,2025-01-14,78.59,80.24,78.18,80.23,913034
TTC,2025-01-15,81.46,81.62,80.16,80.17,680249
TTC,2025-01-16,80.27,80.58,79.37,80.46,544800
TTC,2025-01-17,81.26,81.63,80.32,81.33,546737
TTC,2025-01-21,82.09,82.56,81.21,82.36,820500
TTC,2025-01-22,82.13,82.54,81.41,82.06,549019
TTC,2025-01-23,82.15,84.45,81.52,84.4,655300
TTC,2025-01-24,84.07,84.37,83.43,83.92,746500
TTC,2025-01-27,84.36,85.27,83.93,85.11,632314
TTC,2025-01-28,84.54,85.28,84.19,84.65,616610
TTC,2025-01-29,84.4,84.4,81.83,82.14,873510
