symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
TW,2024-08-27,116.5,117.55,116.13,116.46,551710
TW,2024-08-28,116.48,117.37,115.28,115.71,509400
TW,2024-08-29,116.26,117.25,116.02,116.49,395400
TW,2024-08-30,116.58,117.74,116.03,117.48,530500
TW,2024-09-03,117.36,117.74,115.83,116.89,520300
TW,2024-09-04,116.89,118.13,115.8,116.23,403000
TW,2024-09-05,116.34,117.28,114.63,116.95,959900
TW,2024-09-06,113.09,113.57,110.0,111.18,1932100
TW,2024-09-09,112.24,114.46,111.47,113.26,990700
TW,2024-09-10,112.82,114.6,112.31,113.35,605100
TW,2024-09-11,113.67,114.06,111.8,113.86,484848
TW,2024-09-12,113.95,115.8,112.48,115.78,473300
TW,2024-09-13,116.22,117.29,115.34,116.88,469252
TW,2024-09-16,116.87,118.99,116.85,118.88,498200
TW,2024-09-17,119.07,119.44,116.56,117.86,813746
TW,2024-09-18,118.44,119.35,116.13,118.15,663325
TW,2024-09-19,119.42,120.03,118.19,119.7,660400
TW,2024-09-20,119.33,119.61,117.62,118.81,966300
TW,2024-09-23,119.71,120.78,119.24,120.38,617744
TW,2024-09-24,120.18,121.39,119.25,121.24,649813
TW,2024-09-25,121.74,122.72,120.27,120.75,668500
TW,2024-09-26,122.37,122.63,120.69,120.97,792432
TW,2024-09-27,120.42,122.18,120.18,121.07,507300
TW,2024-09-30,120.58,123.06,120.31,122.98,974222
TW,2024-10-01,122.99,125.05,121.59,124.15,706500
TW,2024-10-02,123.62,126.55,122.96,126.08,841200
TW,2024-10-03,126.01,127.35,124.31,124.96,831313
TW,2024-10-04,125.29,131.26,125.24,130.67,1080040
TW,2024-10-07,131.55,133.09,131.24,131.83,1321700
TW,2024-10-08,132.82,133.31,132.04,132.71,651700
TW,2024-10-09,133.36,133.69,132.32,132.86,980404
TW,2024-10-10,132.63,133.52,132.06,132.39,698187
TW,2024-10-11,132.39,133.52,132.02,132.69,537135
TW,2024-10-14,133.12,134.55,133.12,134.31,921000
TW,2024-10-15,131.88,135.38,130.58,133.74,938504
TW,2024-10-16,133.91,134.66,131.34,132.95,1208400
TW,2024-10-17,133.92,134.12,131.88,132.01,861400
TW,2024-10-18,132.68,133.28,132.17,132.29,676900
TW,2024-10-21,132.11,133.82,131.88,133.72,859240
TW,2024-10-22,132.5,133.27,131.54,132.38,804700
TW,2024-10-23,132.35,132.94,130.93,131.57,851700
TW,2024-10-24,131.38,132.58,131.3,132.48,493700
TW,2024-10-25,132.91,133.35,131.02,131.76,552900
TW,2024-10-28,132.41,132.84,130.5,130.52,1075629
TW,2024-10-29,131.03,132.5,129.91,130.71,1383356
TW,2024-10-30,131.55,131.55,127.38,128.07,1233400
TW,2024-10-31,127.62,127.92,125.37,126.29,1015500
TW,2024-11-01,126.36,127.42,125.56,126.19,684723
TW,2024-11-04,126.05,126.78,125.46,126.35,562900
TW,2024-11-05,126.29,128.66,126.29,128.31,657818
TW,2024-11-06,132.25,132.25,124.46,127.57,1677540
TW,2024-11-07,128.33,130.76,128.33,129.12,753904
TW,2024-11-08,129.57,132.13,129.57,131.19,715107
TW,2024-11-11,131.58,132.09,128.73,128.82,726640
TW,2024-11-12,128.82,129.49,126.94,128.24,1165900
TW,2024-11-13,128.74,128.74,126.49,126.66,584540
TW,2024-11-14,127.35,129.38,126.32,127.98,668045
TW,2024-11-15,127.63,129.55,127.09,128.13,687100
TW,2024-11-18,127.99,130.22,127.99,129.85,555900
TW,2024-11-19,129.24,134.15,129.24,133.71,1262980
TW,2024-11-20,135.08,136.67,132.38,134.24,987289
TW,2024-11-21,134.48,135.07,131.29,134.31,999371
TW,2024-11-22,134.17,135.47,133.52,135.23,814912
TW,2024-11-25,136.04,137.47,133.53,134.24,1144754
TW,2024-11-26,134.45,136.2,133.34,135.56,881100
TW,2024-11-27,136.68,137.16,134.34,135.28,447400
TW,2024-11-29,135.31,135.99,134.37,134.74,323500
TW,2024-12-02,135.1,135.54,133.35,133.82,622242
TW,2024-12-03,134.16,135.04,133.46,133.64,584300
TW,2024-12-04,133.94,134.31,132.53,133.7,610349
TW,2024-12-05,134.37,141.0,133.9,135.46,1412930
TW,2024-12-06,135.33,136.69,129.52,130.2,1121520
TW,2024-12-09,130.37,130.61,126.51,126.69,976300
TW,2024-12-10,126.62,128.32,124.45,127.25,1031933
TW,2024-12-11,127.59,130.49,126.33,130.14,1507790
TW,2024-12-12,131.14,132.67,130.51,131.83,944136
TW,2024-12-13,132.23,133.32,129.97,130.86,972300
TW,2024-12-16,130.78,133.29,130.78,132.89,995679
TW,2024-12-17,132.83,133.55,130.43,132.64,819644
TW,2024-12-18,131.98,133.34,129.6,129.8,983400
TW,2024-12-19,129.51,131.2,129.36,129.69,770400
TW,2024-12-20,129.75,133.58,129.51,132.08,1319227
TW,2024-12-23,131.19,132.98,129.95,132.66,518015
TW,2024-12-24,132.79,134.23,132.41,133.64,163700
TW,2024-12-26,133.56,134.85,131.83,134.74,334600
TW,2024-12-27,133.85,134.32,132.75,134.27,380014
TW,2024-12-30,132.9,134.16,130.88,132.47,405545
TW,2024-12-31,132.41,132.41,128.62,130.28,839469
TW,2025-01-02,130.37,131.25,128.46,130.69,715800
TW,2025-01-03,130.68,134.47,130.5,133.77,945058
TW,2025-01-06,133.88,133.95,130.57,131.42,960256
TW,2025-01-07,131.81,133.05,129.78,131.94,1051121
TW,2025-01-08,132.16,134.22,130.94,133.41,754800
TW,2025-01-10,133.84,134.36,129.04,130.44,922922
TW,2025-01-13,129.8,131.29,129.21,129.35,667624
TW,2025-01-14,129.91,132.47,129.1,131.29,845040
TW,2025-01-15,132.69,133.55,125.4,128.44,1830000
TW,2025-01-16,129.88,131.1,128.41,130.52,698541
TW,2025-01-17,131.36,131.36,128.35,128.39,780942
TW,2025-01-21,129.24,129.24,126.3,127.29,1154900
TW,2025-01-22,127.37,128.43,126.46,127.94,1164600
TW,2025-01-23,127.38,130.41,127.38,130.36,831146
TW,2025-01-24,130.43,131.49,129.75,130.36,866044
TW,2025-01-27,129.36,129.36,126.4,127.51,807400
TW,2025-01-28,127.45,129.35,126.54,128.25,551600
TW,2025-01-29,127.79,128.87,125.31,127.25,782600
TW,2025-01-30,128.55,129.44,127.01,127.31,663120
TW,2025-01-31,127.31,127.85,125.55,126.28,1817127
TW,2025-02-03,123.61,127.19,123.21,126.94,1127100
TW,2025-02-04,126.72,127.69,125.01,125.08,1043220
TW,2025-02-05,125.24,126.18,123.58,124.57,1259523
TW,2025-02-06,127.15,127.91,122.68,122.82,1623000
TW,2025-02-07,122.4,124.2,121.71,123.74,1873400
TW,2025-02-10,124.1,127.72,124.1,124.45,1570528
TW,2025-02-11,123.85,124.38,121.93,123.84,1097600
TW,2025-02-12,123.53,126.74,123.45,126.28,1091600
TW,2025-02-13,126.47,128.14,125.92,127.72,1113072
TW,2025-02-14,126.76,127.38,125.0,126.41,1046832
TW,2025-02-18,127.07,127.07,125.4,126.63,733100
TW,2025-02-19,126.83,129.18,126.42,128.94,1031800
TW,2025-02-20,128.6,131.1,127.71,129.25,1500405
TW,2025-02-21,129.25,134.2,129.06,133.5,2071622
TW,2025-02-24,133.31,133.5,130.76,131.63,1268210
TW,2025-02-25,131.89,132.81,128.69,131.48,1135125
TW,2025-02-26,131.38,132.86,130.28,130.37,698916
TW,2025-02-27,131.21,133.49,130.3,130.44,785025
TW,2025-02-28,130.51,135.01,130.51,134.71,1276590
TW,2025-03-03,135.83,139.92,135.59,136.5,1591819
TW,2025-03-04,135.98,136.45,132.13,132.98,889615
TW,2025-03-05,133.21,138.89,132.87,134.55,620604
TW,2025-03-06,131.71,134.16,129.48,132.3,1096747
TW,2025-03-07,132.26,133.5,129.79,132.69,890600
TW,2025-03-10,131.12,133.8,130.52,132.53,1021300
TW,2025-03-11,133.03,136.56,132.92,134.75,1557605
TW,2025-03-12,136.12,136.28,132.35,132.76,1264500
TW,2025-03-13,132.05,133.78,131.82,133.11,667967
TW,2025-03-14,133.4,135.36,133.4,135.25,844520
TW,2025-03-17,135.39,141.66,135.08,141.0,994328
TW,2025-03-18,140.14,142.21,138.59,139.87,1188207
TW,2025-03-19,139.71,141.89,138.44,141.7,1063200
TW,2025-03-20,140.6,143.25,140.23,142.43,1337330
TW,2025-03-21,141.16,142.34,139.91,141.84,1472833
TW,2025-03-24,142.31,144.28,142.28,143.5,931735
TW,2025-03-25,143.97,145.15,142.81,144.95,778176
TW,2025-03-26,145.06,145.73,143.38,144.78,550600
TW,2025-03-27,144.19,146.83,143.56,145.67,659000
TW,2025-03-28,145.22,146.4,143.57,146.18,1193200
TW,2025-03-31,144.94,148.38,144.92,147.86,1699720
TW,2025-04-01,147.93,149.71,146.52,147.36,1436000
TW,2025-04-02,146.25,150.09,145.78,147.89,1606276
TW,2025-04-03,146.59,152.04,145.92,148.42,1765776
TW,2025-04-04,143.99,145.41,129.78,130.07,2665873
TW,2025-04-07,127.08,131.97,123.19,130.43,2679916
TW,2025-04-08,131.46,133.02,123.7,124.97,2066892
TW,2025-04-09,124.83,128.05,118.96,127.51,3377500
TW,2025-04-10,126.4,127.63,122.09,124.87,1376131
TW,2025-04-11,124.7,127.9,122.35,127.57,1673031
TW,2025-04-14,130.05,131.32,128.71,130.71,854300
TW,2025-04-15,131.22,133.24,130.97,133.07,1005200
TW,2025-04-16,132.8,134.36,131.92,133.98,1900141
TW,2025-04-17,134.25,135.74,132.84,133.84,762600
TW,2025-04-21,132.57,132.57,127.63,128.94,681299
TW,2025-04-22,129.87,132.56,129.62,132.17,1016304
TW,2025-04-23,134.7,135.43,131.96,133.12,967000
TW,2025-04-24,133.15,135.06,131.71,134.49,890500
TW,2025-04-25,133.79,135.4,132.91,134.75,711519
TW,2025-04-28,135.67,136.99,134.54,135.94,800204
TW,2025-04-29,135.59,137.52,134.77,136.83,1066124
TW,2025-04-30,134.2,138.08,130.47,137.74,2023305
TW,2025-05-01,137.42,138.56,135.05,137.51,1260200
TW,2025-05-02,138.62,141.63,138.62,141.29,953000
TW,2025-05-05,140.3,144.05,140.01,143.73,1108956
TW,2025-05-06,139.62,143.68,139.62,142.76,1113102
TW,2025-05-07,142.89,143.94,141.93,143.16,684746
TW,2025-05-08,144.42,145.91,143.32,144.67,1353200
TW,2025-05-09,145.29,147.01,144.64,146.87,1215410
TW,2025-05-12,147.09,148.65,138.45,140.98,2314440
TW,2025-05-13,141.55,143.1,140.13,140.84,879081
TW,2025-05-14,140.73,141.65,139.3,139.45,787900
TW,2025-05-15,139.41,143.03,138.55,142.92,977841
