symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
UCB,2024-08-27,28.2,28.32,28.01,28.15,363300
UCB,2024-08-28,27.98,28.63,27.93,28.54,274400
UCB,2024-08-29,28.83,28.83,28.35,28.45,294028
UCB,2024-08-30,28.59,28.84,28.29,28.8,428839
UCB,2024-09-03,28.4,28.75,28.27,28.49,428048
UCB,2024-09-04,28.2,28.71,27.82,27.99,340800
UCB,2024-09-05,28.29,28.29,27.62,27.68,304900
UCB,2024-09-06,27.88,27.88,26.94,27.1,387500
UCB,2024-09-09,26.98,27.29,26.59,27.2,478300
UCB,2024-09-10,27.2,27.27,26.52,27.05,443310
UCB,2024-09-11,26.7,26.79,26.06,26.69,481200
UCB,2024-09-12,26.82,27.03,26.44,26.86,328500
UCB,2024-09-13,27.26,27.5,27.07,27.46,403600
UCB,2024-09-16,27.64,28.08,27.2,27.82,370714
UCB,2024-09-17,28.17,28.53,27.89,27.9,447613
UCB,2024-09-18,28.0,29.0,27.55,28.0,559911
UCB,2024-09-19,28.8,28.94,28.24,28.9,524500
UCB,2024-09-20,28.68,28.81,28.06,28.15,2435500
UCB,2024-09-23,28.36,28.54,27.88,27.96,682200
UCB,2024-09-24,27.97,28.06,27.48,27.49,571800
UCB,2024-09-25,27.44,27.51,26.98,27.06,409200
UCB,2024-09-26,27.35,27.55,27.18,27.28,531600
UCB,2024-09-27,27.65,27.71,27.15,27.28,1060200
UCB,2024-09-30,27.25,27.93,27.21,27.71,507625
UCB,2024-10-01,27.5,27.5,26.62,26.75,401439
UCB,2024-10-02,26.62,27.05,26.39,26.49,695203
UCB,2024-10-03,26.18,26.76,26.17,26.75,746720
UCB,2024-10-04,27.22,27.38,26.82,27.08,434209
UCB,2024-10-07,26.9,26.95,26.48,26.67,385438
UCB,2024-10-08,26.78,26.78,26.21,26.29,511100
UCB,2024-10-09,26.21,26.7,26.07,26.44,600700
UCB,2024-10-10,26.13,26.39,25.94,26.28,420419
UCB,2024-10-11,26.42,27.37,26.42,27.19,471400
UCB,2024-10-14,27.14,27.8,26.88,27.65,445100
UCB,2024-10-15,27.68,28.56,27.6,27.85,587900
UCB,2024-10-16,28.23,28.54,27.98,28.32,416939
UCB,2024-10-17,28.29,28.54,28.09,28.51,342400
UCB,2024-10-18,28.53,28.53,27.87,27.92,461500
UCB,2024-10-21,27.88,27.88,26.84,26.91,369500
UCB,2024-10-22,26.92,27.35,26.84,27.32,550200
UCB,2024-10-23,24.96,27.08,24.78,26.88,827921
UCB,2024-10-24,26.85,26.96,26.33,26.92,553400
UCB,2024-10-25,26.97,27.17,26.23,26.35,325900
UCB,2024-10-28,26.69,27.35,26.55,27.24,410000
UCB,2024-10-29,27.0,27.22,26.82,27.21,422500
UCB,2024-10-30,27.04,28.03,27.04,27.74,559700
UCB,2024-10-31,27.83,27.84,27.1,27.12,540800
UCB,2024-11-01,27.38,27.48,26.79,26.89,927048
UCB,2024-11-04,26.81,26.81,26.09,26.49,335800
UCB,2024-11-05,26.53,27.06,26.51,27.02,451600
UCB,2024-11-06,29.02,31.26,28.42,30.87,1750000
UCB,2024-11-07,30.68,30.73,29.65,29.87,700739
UCB,2024-11-08,30.11,30.52,29.72,30.21,716912
UCB,2024-11-11,30.89,31.85,30.77,30.94,722140
UCB,2024-11-12,30.94,31.49,30.94,31.06,700700
UCB,2024-11-13,31.22,31.8,30.98,31.07,640708
UCB,2024-11-14,31.09,31.26,30.69,30.88,645303
UCB,2024-11-15,31.07,31.26,30.62,31.25,623900
