symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
UFPI,2025-02-12,111.39,111.82,109.85,110.82,279400
UFPI,2025-02-13,111.5,112.56,110.61,112.28,192600
UFPI,2025-02-14,113.08,114.51,112.44,114.33,310100
UFPI,2025-02-18,111.04,113.22,110.61,112.46,403355
UFPI,2025-02-19,109.87,112.26,109.08,110.93,373900
UFPI,2025-02-20,110.31,110.81,107.61,107.93,357112
UFPI,2025-02-21,109.5,109.5,105.86,106.66,422813
UFPI,2025-02-24,106.75,108.34,103.74,104.8,420204
UFPI,2025-02-25,105.58,108.44,104.13,107.93,533700
UFPI,2025-02-26,108.08,108.64,106.62,106.88,414014
UFPI,2025-02-27,105.87,107.14,104.71,104.79,295242
UFPI,2025-02-28,105.24,105.65,103.46,105.14,502200
UFPI,2025-03-03,105.48,106.78,103.44,103.67,568500
UFPI,2025-03-04,102.36,105.12,100.9,102.44,1181029
UFPI,2025-03-05,102.99,105.15,102.99,104.66,427520
UFPI,2025-03-06,104.02,106.07,103.84,105.77,354700
UFPI,2025-03-07,105.83,107.9,104.46,107.59,392000
UFPI,2025-03-10,107.13,108.71,106.78,106.85,500200
UFPI,2025-03-11,106.62,107.55,103.97,104.27,437518
UFPI,2025-03-12,104.41,105.96,103.52,103.89,384400
UFPI,2025-03-13,104.07,105.47,102.92,103.02,533601
UFPI,2025-03-14,104.04,105.2,103.55,105.04,301632
UFPI,2025-03-17,104.37,107.87,104.37,105.71,524700
UFPI,2025-03-18,105.22,106.63,105.13,106.05,387500
UFPI,2025-03-19,105.63,106.9,104.39,106.56,407000
UFPI,2025-03-20,105.36,107.69,105.36,106.37,388942
UFPI,2025-03-21,106.31,106.56,104.68,105.98,1860048
UFPI,2025-03-24,106.79,110.38,106.79,110.17,524300
UFPI,2025-03-25,109.54,110.74,107.69,108.43,604400
UFPI,2025-03-26,108.47,109.68,108.01,108.69,340241
UFPI,2025-03-27,109.08,110.35,107.77,108.53,364700
UFPI,2025-03-28,108.73,109.65,104.59,104.81,299449
UFPI,2025-03-31,104.79,106.61,103.12,105.53,442700
UFPI,2025-04-01,105.19,106.3,104.35,105.1,308900
UFPI,2025-04-02,103.79,107.81,103.62,107.56,339909
UFPI,2025-04-03,103.05,103.91,101.18,102.86,753406
UFPI,2025-04-04,99.15,105.84,99.15,104.93,728595
UFPI,2025-04-07,101.92,107.88,99.77,102.71,1224200
UFPI,2025-04-08,104.98,105.26,98.17,99.54,747117
UFPI,2025-04-09,99.93,107.98,98.02,106.79,625800
UFPI,2025-04-10,106.76,107.29,101.31,104.29,485003
UFPI,2025-04-11,103.87,105.37,100.95,104.91,398500
UFPI,2025-04-14,106.27,106.52,104.39,105.55,417601
UFPI,2025-04-15,105.58,106.58,103.97,104.05,346100
UFPI,2025-04-16,103.66,104.51,100.7,102.07,511300
UFPI,2025-04-17,101.82,104.22,101.77,103.3,355000
UFPI,2025-04-21,102.27,102.42,100.33,101.56,373725
UFPI,2025-04-22,103.01,105.02,101.47,104.57,338200
UFPI,2025-04-23,105.42,108.29,104.62,104.73,332700
UFPI,2025-04-24,105.81,106.86,104.5,106.44,240400
UFPI,2025-04-25,105.54,105.79,104.34,105.23,195300
UFPI,2025-04-28,105.67,106.73,104.53,105.07,414100
UFPI,2025-04-29,98.65,102.41,96.21,98.85,897635
UFPI,2025-04-30,97.57,98.05,95.62,97.45,1110365
UFPI,2025-05-01,97.94,99.75,96.87,98.52,639400
UFPI,2025-05-02,98.93,101.08,98.93,100.51,440200
UFPI,2025-05-05,99.55,100.32,98.2,98.3,379024
UFPI,2025-05-06,97.2,97.94,96.34,96.61,579904
UFPI,2025-05-07,96.8,96.8,94.54,95.54,564044
UFPI,2025-05-08,96.52,98.36,95.84,97.06,913000
UFPI,2025-05-09,97.54,97.54,95.47,95.99,763800
UFPI,2025-05-12,99.9,101.96,99.03,101.92,672230
UFPI,2025-05-13,102.41,102.75,101.19,102.12,431900
UFPI,2025-05-14,101.81,101.89,99.02,99.17,479043
UFPI,2025-05-15,98.83,100.31,98.53,99.93,368177
UFPI,2025-05-16,99.72,101.3,99.58,101.14,574141
UFPI,2025-05-19,99.43,100.53,98.53,100.42,452826
UFPI,2025-05-20,100.26,101.37,99.45,99.86,340534
UFPI,2025-05-21,98.94,99.01,96.58,96.85,565030
UFPI,2025-05-22,96.36,96.88,95.41,96.31,307500
UFPI,2025-05-23,94.74,96.22,94.69,94.99,435200
UFPI,2025-05-27,97.0,98.3,95.66,98.25,437414
UFPI,2025-05-28,97.81,98.13,95.92,96.03,423800
UFPI,2025-05-29,96.63,97.07,95.62,96.87,301200
UFPI,2025-05-30,96.33,96.74,95.7,96.18,385612
UFPI,2025-06-02,95.69,95.84,93.68,94.76,485813
UFPI,2025-06-03,94.83,96.72,94.38,96.62,349212
UFPI,2025-06-04,97.01,97.26,95.7,96.03,429203
UFPI,2025-06-05,95.83,96.92,94.99,96.34,405600
UFPI,2025-06-06,97.3,97.7,95.23,95.56,254312
UFPI,2025-06-09,96.25,97.51,95.93,96.59,333700
UFPI,2025-06-10,97.16,99.64,96.54,99.19,461100
UFPI,2025-06-11,99.88,99.88,96.86,96.95,540219
UFPI,2025-06-12,96.69,97.23,95.5,96.57,262613
UFPI,2025-06-13,95.06,95.98,94.0,94.66,429500
UFPI,2025-06-16,95.84,95.99,94.02,95.83,479900
UFPI,2025-06-17,94.64,96.11,93.83,93.93,486121
UFPI,2025-06-18,93.64,95.52,93.6,94.1,418500
UFPI,2025-06-20,94.7,95.77,94.28,95.31,1312803
UFPI,2025-06-23,95.04,98.71,94.91,98.68,444000
UFPI,2025-06-24,98.94,99.92,98.26,99.65,408300
UFPI,2025-06-25,99.53,99.53,97.91,98.19,385200
