symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
UNM,2024-08-27,52.62,52.77,52.3,52.57,718913
UNM,2024-08-28,52.43,53.24,52.4,52.99,809163
UNM,2024-08-29,53.02,53.34,52.61,53.05,647200
UNM,2024-08-30,53.04,53.34,52.78,53.24,1103909
UNM,2024-09-03,53.12,53.37,52.62,52.82,1336120
UNM,2024-09-04,52.77,53.25,52.48,52.91,1040767
UNM,2024-09-05,53.32,53.32,52.43,53.02,1345711
UNM,2024-09-06,52.86,53.43,51.77,51.94,1507217
UNM,2024-09-09,51.8,52.33,51.39,52.15,1470579
UNM,2024-09-10,52.01,52.39,51.53,51.95,1199200
UNM,2024-09-11,51.86,51.96,50.58,51.17,1125532
UNM,2024-09-12,51.31,52.34,51.24,52.24,1646523
UNM,2024-09-13,52.58,52.9,52.51,52.79,828031
UNM,2024-09-16,53.21,53.98,53.16,53.97,1034828
UNM,2024-09-17,54.06,54.44,53.91,54.11,700041
UNM,2024-09-18,54.16,54.63,53.94,53.96,1735244
UNM,2024-09-19,54.45,54.83,53.79,54.58,1156712
UNM,2024-09-20,54.41,55.23,54.2,55.02,3962000
UNM,2024-09-23,55.13,55.96,55.13,55.88,1225574
UNM,2024-09-24,55.95,56.31,54.91,55.08,1103600
UNM,2024-09-25,55.37,55.49,54.89,55.16,1008528
UNM,2024-09-26,55.23,55.8,55.23,55.76,988026
UNM,2024-09-27,55.81,56.62,55.68,56.27,1113321
UNM,2024-09-30,56.41,57.03,55.73,57.03,1306700
UNM,2024-10-01,56.64,56.92,56.0,56.49,1016900
UNM,2024-10-02,56.78,57.4,56.42,57.12,1083200
UNM,2024-10-03,56.97,57.05,56.28,56.89,863400
UNM,2024-10-04,57.56,59.19,57.54,59.05,1617139
UNM,2024-10-07,58.96,59.22,58.4,58.69,1441941
UNM,2024-10-08,58.8,58.95,57.94,57.97,979038
UNM,2024-10-09,58.36,59.32,58.03,59.15,987438
UNM,2024-10-10,59.39,59.69,58.8,59.13,960400
UNM,2024-10-11,59.4,60.69,59.27,60.19,1128733
UNM,2024-10-14,60.41,60.53,60.04,60.42,1271345
UNM,2024-10-15,60.43,61.29,60.3,60.7,649400
UNM,2024-10-16,60.69,61.65,60.57,61.12,1153900
UNM,2024-10-17,61.55,61.91,61.15,61.61,824702
UNM,2024-10-18,61.47,61.47,60.87,61.04,674300
UNM,2024-10-21,61.02,61.27,60.64,60.81,858824
UNM,2024-10-22,60.74,61.33,60.14,60.76,551803
UNM,2024-10-23,60.59,61.01,60.32,60.86,735800
UNM,2024-10-24,60.94,60.98,60.45,60.77,1915500
UNM,2024-10-25,60.82,60.89,59.32,59.56,1326000
UNM,2024-10-28,59.84,60.22,59.59,59.74,1271389
UNM,2024-10-29,59.53,59.92,59.28,59.53,1561561
UNM,2024-10-30,61.17,62.69,60.62,62.19,3448906
UNM,2024-10-31,61.97,62.64,61.77,61.99,1611500
UNM,2024-11-01,62.0,62.42,61.66,61.93,1615407
UNM,2024-11-04,62.05,62.75,61.82,61.89,1420600
UNM,2024-11-05,61.81,62.75,61.79,62.65,910300
UNM,2024-11-06,65.87,68.0,65.18,67.8,2404935
UNM,2024-11-07,67.19,67.42,66.66,66.99,1484100
UNM,2024-11-08,67.4,67.5,66.65,67.05,1062700
UNM,2024-11-11,67.7,68.98,67.7,67.82,1244719
UNM,2024-11-12,67.72,68.9,67.42,68.87,1290906
UNM,2024-11-13,68.47,69.0,68.25,68.59,882848
UNM,2024-11-14,70.08,70.47,69.45,69.77,1420507
UNM,2024-11-15,70.22,70.74,69.98,70.69,1523739
UNM,2024-11-18,70.77,71.1,70.06,70.1,1306439
UNM,2024-11-19,69.4,69.75,68.6,69.62,1141661
UNM,2024-11-20,70.13,70.21,69.63,70.14,869700
UNM,2024-11-21,71.95,73.33,71.57,72.85,2064510
UNM,2024-11-22,73.06,73.7,72.86,73.25,1758127
UNM,2024-11-25,73.17,74.1,72.9,73.61,2165665
UNM,2024-11-26,73.41,73.67,72.59,73.61,1305100
UNM,2024-11-27,73.79,74.57,73.65,74.44,849600
UNM,2024-11-29,74.91,74.98,74.1,74.27,459400
UNM,2024-12-02,74.38,74.53,73.61,73.74,1039729
UNM,2024-12-03,73.86,74.07,73.08,73.44,1229827
UNM,2024-12-04,73.43,73.72,72.21,73.09,1145369
UNM,2024-12-05,73.28,73.88,73.16,73.5,1265000
UNM,2024-12-06,73.19,73.5,72.25,72.4,1437910
UNM,2024-12-09,72.38,72.96,71.5,71.52,1301800
UNM,2024-12-10,71.86,71.89,69.77,70.35,1464637
UNM,2024-12-11,70.58,70.65,69.57,70.43,1320100
UNM,2024-12-12,71.27,72.2,70.97,71.09,847700
UNM,2024-12-13,71.09,71.53,70.81,71.31,851400
UNM,2024-12-16,70.93,71.51,70.67,71.07,1965918
UNM,2024-12-17,70.36,70.9,70.13,70.37,1478045
UNM,2024-12-18,70.75,70.75,67.96,68.1,2920049
UNM,2024-12-19,69.54,69.89,68.27,68.54,1812820
UNM,2024-12-20,68.53,69.92,67.98,69.55,4008422
UNM,2024-12-23,69.01,70.34,69.01,70.29,856500
UNM,2024-12-24,70.55,70.86,70.17,70.84,287800
UNM,2024-12-26,70.69,71.33,70.51,71.25,433003
UNM,2024-12-27,70.82,71.5,70.32,70.69,557800
UNM,2024-12-30,69.91,70.86,69.74,70.56,990136
UNM,2024-12-31,70.78,71.04,70.5,70.54,1169000
UNM,2025-01-02,70.46,70.86,70.19,70.44,1261905
UNM,2025-01-03,70.67,71.17,70.41,70.6,1038500
UNM,2025-01-06,70.81,71.46,70.36,70.77,1075447
UNM,2025-01-07,70.43,71.23,70.26,70.86,1085322
UNM,2025-01-08,70.72,70.72,68.99,70.46,1197400
UNM,2025-01-10,69.81,70.04,68.88,69.35,1523200
UNM,2025-01-13,69.12,70.64,69.1,69.43,1320300
UNM,2025-01-14,69.64,70.55,69.55,70.49,1244400
UNM,2025-01-15,71.63,71.63,70.19,70.83,1471625
UNM,2025-01-16,70.77,71.98,70.77,71.76,930100
UNM,2025-01-17,71.99,72.92,71.9,72.42,911400
UNM,2025-01-21,72.62,73.29,72.47,72.87,876700
UNM,2025-01-22,72.73,73.2,72.44,72.77,724238
UNM,2025-01-23,73.63,73.66,72.9,72.98,1013585
UNM,2025-01-24,72.7,73.15,72.66,72.85,806500
UNM,2025-01-27,72.94,73.52,72.54,73.17,921800
UNM,2025-01-28,73.17,74.38,73.11,73.78,602500
UNM,2025-01-29,73.71,75.42,73.65,75.08,814400
UNM,2025-01-30,75.33,75.46,74.41,74.8,750039
UNM,2025-01-31,74.69,75.13,74.0,74.06,1311611
UNM,2025-02-03,72.85,74.45,72.62,74.04,1042215
UNM,2025-02-04,73.72,74.98,73.62,73.77,1257920
UNM,2025-02-05,72.03,76.42,71.9,75.49,2535323
UNM,2025-02-06,75.99,77.15,73.15,74.47,1689488
UNM,2025-02-07,75.27,75.81,74.7,74.74,1067000
UNM,2025-02-10,74.62,75.3,74.09,74.35,954747
UNM,2025-02-11,74.33,74.52,72.99,73.0,1005700
UNM,2025-02-12,73.0,73.7,72.56,72.98,961500
UNM,2025-02-13,72.93,73.6,72.28,73.27,967000
UNM,2025-02-14,73.07,73.59,72.17,72.22,1150117
UNM,2025-02-18,72.34,72.63,71.68,71.89,1304700
UNM,2025-02-19,72.27,73.21,71.71,72.79,1322339
UNM,2025-02-20,72.44,72.67,71.54,72.64,1073420
UNM,2025-02-21,72.7,73.45,71.77,71.93,1204100
UNM,2025-02-24,72.44,73.3,72.24,72.61,903128
UNM,2025-02-25,73.04,74.26,72.91,74.18,1671428
UNM,2025-02-26,74.17,75.65,74.13,75.06,1002301
UNM,2025-02-27,78.64,81.55,78.63,79.37,2462896
UNM,2025-02-28,79.44,79.96,78.07,79.92,1943711
UNM,2025-03-03,79.85,80.86,77.99,79.05,1688787
UNM,2025-03-04,78.29,78.43,74.42,75.67,2640141
UNM,2025-03-05,76.81,79.45,76.81,78.92,2398627
UNM,2025-03-06,78.54,78.75,77.03,77.18,1279781
UNM,2025-03-07,76.74,77.49,75.15,76.77,1274669
UNM,2025-03-10,75.47,76.73,74.52,75.11,1829619
UNM,2025-03-11,74.85,76.86,74.05,76.35,1618400
UNM,2025-03-12,77.22,77.67,74.61,75.39,1339338
UNM,2025-03-13,75.95,76.17,74.64,74.93,1189800
UNM,2025-03-14,75.35,76.75,75.19,76.56,1217369
UNM,2025-03-17,77.07,79.7,77.07,79.26,2002300
UNM,2025-03-18,79.23,79.89,78.42,78.56,1221202
UNM,2025-03-19,78.58,79.93,78.57,79.05,1841570
UNM,2025-03-20,78.24,79.31,77.83,78.71,1191449
UNM,2025-03-21,78.15,79.62,77.71,79.0,10362660
UNM,2025-03-24,79.49,80.97,79.49,80.94,1873100
UNM,2025-03-25,80.13,82.05,80.13,80.65,1510300
UNM,2025-03-26,81.15,81.62,79.73,79.96,1214508
UNM,2025-03-27,80.48,80.5,79.19,79.54,1040547
UNM,2025-03-28,79.21,79.62,77.14,77.7,1230900
UNM,2025-03-31,77.24,79.63,76.81,79.12,1300648
UNM,2025-04-01,79.05,80.13,78.43,79.64,1267243
UNM,2025-04-02,78.89,80.82,78.89,80.53,958300
UNM,2025-04-03,76.99,78.58,76.66,76.96,3549500
UNM,2025-04-04,73.56,74.54,68.63,69.12,2658900
UNM,2025-04-07,67.09,70.92,64.89,68.72,2620302
UNM,2025-04-08,71.96,72.4,67.32,68.45,1792542
UNM,2025-04-09,67.29,75.23,67.29,74.68,2557500
UNM,2025-04-10,73.02,73.61,70.29,71.7,1575203
UNM,2025-04-11,71.62,73.27,70.57,73.1,1921703
UNM,2025-04-14,74.62,75.48,73.94,74.7,1165043
UNM,2025-04-15,75.0,76.04,74.8,75.13,1598800
UNM,2025-04-16,74.65,75.33,73.21,73.5,3294835
UNM,2025-04-17,73.86,74.69,73.42,73.69,1132000
UNM,2025-04-21,73.62,73.75,71.25,72.04,1987047
UNM,2025-04-22,73.48,75.17,72.76,75.09,1019308
UNM,2025-04-23,75.99,78.17,75.85,76.44,1437400
UNM,2025-04-24,75.91,77.88,75.89,77.06,1195859
UNM,2025-04-25,76.62,77.12,76.01,76.62,1111930
UNM,2025-04-28,77.02,77.73,76.65,77.18,1100600
UNM,2025-04-29,76.61,77.89,76.24,77.37,1191129
UNM,2025-04-30,72.26,76.05,71.45,75.83,2909900
UNM,2025-05-01,75.19,76.8,75.19,75.6,1397901
UNM,2025-05-02,76.87,78.05,76.32,77.73,1013637
UNM,2025-05-05,77.09,77.4,76.38,76.8,976300
UNM,2025-05-06,76.42,77.87,76.39,77.61,1127163
UNM,2025-05-07,78.11,79.22,77.81,78.61,1094100
UNM,2025-05-08,78.85,79.74,78.13,78.35,989619
UNM,2025-05-09,78.4,78.89,78.06,78.57,771444
UNM,2025-05-12,79.94,80.41,78.74,78.95,1030743
UNM,2025-05-13,78.95,79.86,78.89,79.01,1179428
UNM,2025-05-14,79.24,79.28,77.66,77.83,1044300
UNM,2025-05-15,77.62,79.12,77.18,78.86,843715
UNM,2025-05-16,78.82,80.51,78.8,80.21,1361242
UNM,2025-05-19,80.04,80.32,79.66,80.22,977131
UNM,2025-05-20,80.16,80.57,80.02,80.07,688522
UNM,2025-05-21,79.83,80.09,78.38,78.4,849343
UNM,2025-05-22,78.56,78.74,77.59,77.75,907500
UNM,2025-05-23,76.93,78.26,76.93,77.98,693326
UNM,2025-05-27,78.46,80.06,78.26,79.81,834600
UNM,2025-05-28,79.65,79.95,78.54,78.69,854452
UNM,2025-05-29,79.01,79.48,78.74,79.46,793300
UNM,2025-05-30,79.3,80.0,79.09,79.78,1073300
UNM,2025-06-02,79.64,80.05,78.95,79.99,878107
UNM,2025-06-03,79.99,81.11,78.83,80.2,937990
UNM,2025-06-04,80.49,80.6,78.77,78.77,1068045
UNM,2025-06-05,79.03,79.03,77.51,78.12,1239821
UNM,2025-06-06,79.16,79.77,78.81,79.56,757948
UNM,2025-06-09,79.48,79.48,76.86,78.55,1209701
UNM,2025-06-10,78.27,78.63,76.63,76.94,1132500
UNM,2025-06-11,76.94,77.35,76.37,76.8,1348800
UNM,2025-06-12,75.96,77.43,75.5,77.38,1294601
UNM,2025-06-13,76.91,76.96,75.74,76.34,1171700
UNM,2025-06-16,76.63,77.37,76.33,77.0,1001822
UNM,2025-06-17,76.61,76.83,74.8,76.01,1654500
UNM,2025-06-18,76.06,76.98,75.66,76.58,1310600
UNM,2025-06-20,76.97,77.58,76.59,77.41,4037800
UNM,2025-06-23,77.16,78.23,76.61,78.18,975148
UNM,2025-06-24,78.51,78.82,77.41,77.55,1088800
UNM,2025-06-25,77.64,77.67,76.15,76.19,1117800
UNM,2025-06-26,76.45,77.85,76.2,77.82,1136738
UNM,2025-06-27,77.81,78.93,77.53,78.56,1758400
UNM,2025-06-30,78.48,79.04,78.46,78.85,974262
UNM,2025-07-01,78.8,80.49,78.8,80.12,1527002
UNM,2025-07-02,80.02,80.35,78.46,79.32,1397648
UNM,2025-07-03,79.68,80.39,79.68,80.18,1250500
UNM,2025-07-07,80.09,81.17,79.39,79.8,1223100
UNM,2025-07-08,79.8,80.29,78.97,79.03,1295243
UNM,2025-07-09,79.52,79.52,77.34,77.4,1353166
UNM,2025-07-10,77.45,78.66,77.18,78.57,1074300
UNM,2025-07-11,78.31,79.06,77.63,78.15,1076400
UNM,2025-07-14,78.21,79.63,78.15,79.48,956300
UNM,2025-07-15,78.89,79.45,77.1,77.1,1046110
UNM,2025-07-16,77.4,78.65,77.38,78.53,1292340
UNM,2025-07-17,77.92,79.32,77.87,79.1,1338800
UNM,2025-07-18,79.09,79.66,78.87,79.2,739647
UNM,2025-07-21,79.15,79.41,77.81,77.89,996800
UNM,2025-07-22,78.04,78.86,77.82,78.58,941900
UNM,2025-07-23,79.0,79.2,78.53,78.83,1293517
UNM,2025-07-24,78.6,79.16,77.94,78.12,1203800
UNM,2025-07-25,78.37,79.42,78.36,79.31,981820
UNM,2025-07-28,79.2,79.21,78.53,78.64,1182403
