symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
USAR,2024-08-27,10.78,10.78,10.68,10.68,56300
USAR,2024-08-28,10.72,10.79,10.68,10.68,13314
USAR,2024-08-29,10.79,10.79,10.67,10.67,42105
USAR,2024-08-30,10.67,10.67,10.67,10.67,0
USAR,2024-09-03,10.79,10.79,10.68,10.68,37314
USAR,2024-09-04,10.7,10.71,10.7,10.71,93199
USAR,2024-09-05,10.76,10.76,10.7,10.71,4503
USAR,2024-09-06,10.75,10.75,10.7,10.71,5500
USAR,2024-09-09,10.71,10.72,10.7,10.71,9200
USAR,2024-09-10,10.71,10.73,10.71,10.71,87300
USAR,2024-09-11,10.74,10.74,10.7,10.71,20400
USAR,2024-09-12,10.7,10.71,10.7,10.71,121800
USAR,2024-09-13,10.7,10.73,10.7,10.71,50100
USAR,2024-09-16,10.72,10.72,10.7,10.72,152143
USAR,2024-09-17,10.73,10.73,10.73,10.73,16543
USAR,2024-09-18,10.71,10.73,10.7,10.72,6860
USAR,2024-09-19,10.71,10.72,10.71,10.72,2200
USAR,2024-09-20,10.73,10.73,10.72,10.73,8300
USAR,2024-09-23,10.73,10.73,10.71,10.73,12600
USAR,2024-09-24,10.71,10.77,10.71,10.73,92418
USAR,2024-09-25,10.73,10.73,10.72,10.73,104814
USAR,2024-09-26,10.73,10.74,10.73,10.74,635500
USAR,2024-09-27,10.74,10.77,10.74,10.77,152400
USAR,2024-09-30,10.74,10.75,10.74,10.75,9200
USAR,2024-10-01,10.78,10.78,10.75,10.75,142835
USAR,2024-10-02,10.77,10.77,10.77,10.77,1942
USAR,2024-10-03,10.76,10.76,10.76,10.76,600
USAR,2024-10-04,10.78,10.78,10.78,10.78,122
USAR,2024-10-07,10.76,10.76,10.76,10.76,2000
USAR,2024-10-08,10.77,10.78,10.77,10.78,324244
USAR,2024-10-09,10.78,10.79,10.77,10.77,163600
USAR,2024-10-10,10.77,10.79,10.76,10.77,4745
USAR,2024-10-11,10.76,10.77,10.76,10.76,44100
USAR,2024-10-14,10.76,10.76,10.76,10.76,1304
USAR,2024-10-15,10.76,10.77,10.76,10.76,5600
USAR,2024-10-16,10.76,10.76,10.76,10.76,0
USAR,2024-10-17,10.77,10.77,10.76,10.77,11042
USAR,2024-10-18,10.77,10.79,10.77,10.79,1558700
