symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
UUUU,2024-08-28,4.81,4.86,4.69,4.7,2434495
UUUU,2024-08-29,4.74,4.87,4.68,4.79,2120844
UUUU,2024-08-30,4.79,4.9,4.76,4.9,2406116
UUUU,2024-09-03,4.82,4.83,4.33,4.4,4233000
UUUU,2024-09-04,4.33,4.49,4.33,4.39,2416204
UUUU,2024-09-05,4.48,4.48,4.33,4.37,2252431
UUUU,2024-09-06,4.37,4.43,4.21,4.3,2372903
UUUU,2024-09-09,4.31,4.36,4.26,4.28,2235807
UUUU,2024-09-10,4.3,4.55,4.29,4.52,2838027
UUUU,2024-09-11,4.49,4.94,4.47,4.9,4980840
UUUU,2024-09-12,4.94,5.14,4.93,5.09,4158700
UUUU,2024-09-13,5.12,5.15,4.72,4.72,7157607
UUUU,2024-09-16,4.76,4.83,4.55,4.67,3252410
UUUU,2024-09-17,4.69,4.8,4.66,4.73,2705100
UUUU,2024-09-18,4.74,4.9,4.62,4.68,3413025
UUUU,2024-09-19,4.9,5.02,4.85,4.95,2710120
UUUU,2024-09-20,5.2,5.35,5.05,5.3,7722522
UUUU,2024-09-23,5.38,5.51,5.27,5.37,5269338
UUUU,2024-09-24,5.54,5.56,5.38,5.46,2897400
UUUU,2024-09-25,5.44,5.65,5.41,5.61,3197000
UUUU,2024-09-26,5.69,5.79,5.52,5.56,2912419
UUUU,2024-09-27,5.56,5.66,5.45,5.54,1694700
UUUU,2024-09-30,5.56,5.68,5.41,5.49,3543453
UUUU,2024-10-01,5.5,5.72,5.49,5.59,1967800
UUUU,2024-10-02,5.63,5.92,5.59,5.9,3095700
UUUU,2024-10-03,5.97,6.0,5.59,5.61,3295112
UUUU,2024-10-04,5.65,5.73,5.55,5.67,2776546
UUUU,2024-10-07,5.7,5.74,5.29,5.4,3124500
UUUU,2024-10-08,5.27,5.62,5.26,5.59,2219833
UUUU,2024-10-09,5.49,5.54,5.33,5.39,2284325
UUUU,2024-10-10,5.34,5.45,5.3,5.4,2173299
UUUU,2024-10-11,5.45,5.54,5.34,5.53,1909523
UUUU,2024-10-14,5.6,5.74,5.53,5.74,2126200
UUUU,2024-10-15,5.74,5.74,5.45,5.72,2844300
UUUU,2024-10-16,5.9,6.73,5.86,6.6,11187700
UUUU,2024-10-17,6.72,6.97,6.54,6.64,9225500
UUUU,2024-10-18,6.79,7.04,6.54,6.84,5644800
UUUU,2024-10-21,7.05,7.09,6.71,6.94,5479832
UUUU,2024-10-22,6.82,6.92,6.49,6.67,3418747
UUUU,2024-10-23,6.6,6.7,6.27,6.36,3718835
UUUU,2024-10-24,6.39,6.45,6.07,6.17,3654600
UUUU,2024-10-25,6.24,6.33,6.11,6.17,2722445
UUUU,2024-10-28,6.21,6.54,6.2,6.49,3670145
UUUU,2024-10-29,6.54,6.56,6.36,6.42,2345300
UUUU,2024-10-30,6.36,6.5,6.3,6.33,3552614
UUUU,2024-10-31,6.3,6.38,5.93,6.02,3740319
UUUU,2024-11-01,5.88,5.97,5.56,5.6,6035100
UUUU,2024-11-04,5.49,5.67,5.33,5.63,4851400
UUUU,2024-11-05,5.64,5.87,5.58,5.85,3098433
UUUU,2024-11-06,6.1,6.17,5.72,6.05,4814944
UUUU,2024-11-07,6.09,6.44,6.09,6.35,3348700
UUUU,2024-11-08,6.4,6.53,6.12,6.31,2905510
UUUU,2024-11-11,6.34,6.46,6.0,6.42,3849119
UUUU,2024-11-12,6.45,6.78,6.33,6.71,3962000
UUUU,2024-11-13,6.8,6.87,6.34,6.38,3636300
UUUU,2024-11-14,6.4,6.7,6.36,6.7,3782900
UUUU,2024-11-15,6.75,7.15,6.55,6.64,6695617
UUUU,2024-11-18,7.05,7.34,6.88,7.29,8021105
UUUU,2024-11-19,7.3,7.32,7.14,7.23,3706300
