symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
V,2024-12-06,306.07,309.73,306.0,308.19,4302851
V,2024-12-09,309.0,310.17,304.85,305.5,5785300
V,2024-12-10,304.57,310.13,303.85,309.54,4539827
V,2024-12-11,310.2,312.68,308.38,310.94,4321824
V,2024-12-12,311.96,312.69,310.59,311.38,3218540
V,2024-12-13,312.96,314.07,311.48,311.88,4682543
V,2024-12-16,311.88,314.67,311.25,313.02,6562510
V,2024-12-17,312.95,315.95,312.28,315.41,8844349
V,2024-12-18,315.61,318.7,306.75,306.97,10479200
V,2024-12-19,309.0,313.99,308.4,312.02,8317119
V,2024-12-20,310.73,317.1,309.45,314.83,24387016
V,2024-12-23,312.78,315.08,310.51,314.34,7984610
V,2024-12-24,315.28,318.62,314.4,317.74,2684103
V,2024-12-26,316.87,318.54,316.56,318.0,2856059
V,2024-12-27,316.37,318.58,314.68,315.77,3489200
V,2024-12-30,311.83,314.23,310.39,312.45,3478763
V,2024-12-31,313.25,314.78,312.33,313.17,3963824
V,2025-01-02,314.9,316.78,309.58,311.55,5373059
V,2025-01-03,311.33,313.05,309.18,312.05,4271845
V,2025-01-06,312.15,312.53,309.24,310.2,6567336
V,2025-01-07,310.05,312.33,308.49,308.84,4958641
V,2025-01-08,308.17,311.19,307.39,309.76,5161601
V,2025-01-10,308.38,309.02,303.22,304.92,6660255
V,2025-01-13,302.23,304.13,301.08,304.13,9568727
V,2025-01-14,305.94,307.34,304.72,306.28,5107901
V,2025-01-15,310.83,314.31,310.29,313.41,5222278
V,2025-01-16,312.88,316.28,312.88,314.37,4606700
V,2025-01-17,314.62,317.68,313.84,316.72,5805810
V,2025-01-21,317.4,321.63,317.09,320.69,5653341
V,2025-01-22,321.82,322.78,319.45,320.62,5026500
V,2025-01-23,320.82,325.53,320.63,325.23,5297100
V,2025-01-24,325.04,328.08,324.83,327.2,4327755
V,2025-01-27,327.0,332.44,325.07,331.5,6636541
V,2025-01-28,331.63,334.76,329.86,331.44,5999623
V,2025-01-29,331.46,334.05,331.46,332.83,5087300
V,2025-01-30,336.43,341.32,335.93,339.94,8081300
V,2025-01-31,343.33,348.06,338.61,338.7,8628071
V,2025-02-03,336.91,342.86,336.16,342.68,8004548
V,2025-02-04,341.47,342.87,339.43,342.02,5532600
V,2025-02-05,342.86,346.31,342.12,346.27,4939100
V,2025-02-06,346.6,347.46,343.45,344.32,4294541
V,2025-02-07,344.84,347.57,344.06,344.86,4261612
V,2025-02-10,345.53,348.7,344.54,348.04,6067002
V,2025-02-11,345.72,349.51,343.68,348.12,5154800
V,2025-02-12,346.57,349.22,344.91,348.88,6760100
V,2025-02-13,350.5,353.44,348.13,352.99,4279581
V,2025-02-14,351.8,352.79,350.59,351.18,5720300
V,2025-02-18,351.06,354.09,349.78,354.08,5822034
V,2025-02-19,353.37,354.5,351.55,352.59,4152300
V,2025-02-20,352.59,353.49,346.47,347.89,5697023
V,2025-02-21,347.89,350.69,344.9,345.94,6924127
V,2025-02-24,346.17,348.19,344.78,347.26,5055927
V,2025-02-25,348.77,349.98,343.44,349.48,6191949
V,2025-02-26,347.4,349.22,346.4,348.03,5960603
V,2025-02-27,349.29,357.64,349.07,353.1,7298114
V,2025-02-28,352.08,361.3,351.09,360.02,15857344
V,2025-03-03,360.31,363.83,356.88,359.14,9099607
V,2025-03-04,357.44,357.6,347.8,349.62,8955804
V,2025-03-05,348.22,351.48,346.35,350.06,8244242
V,2025-03-06,343.4,346.29,337.87,341.61,8611119
V,2025-03-07,338.34,343.82,336.63,342.76,6358901
V,2025-03-10,337.42,342.45,335.14,338.95,8204300
V,2025-03-11,335.9,337.09,327.14,329.68,9776100
V,2025-03-12,333.48,333.67,326.67,330.37,6295400
V,2025-03-13,328.53,333.7,325.27,326.11,7915323
V,2025-03-14,324.78,330.3,323.96,329.34,7810970
V,2025-03-17,327.58,333.62,327.32,332.07,6149652
