symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
VNQ,2024-12-05,90.13,90.36,89.78,90.28,2922428
VNQ,2024-12-06,90.53,90.83,89.75,90.15,1866153
VNQ,2024-12-09,90.28,90.71,90.15,90.41,2872135
VNQ,2024-12-10,90.3,90.31,88.82,89.1,2902206
VNQ,2024-12-11,89.14,89.56,88.64,88.89,4295027
VNQ,2024-12-12,88.67,89.7,88.67,88.75,2255224
VNQ,2024-12-13,88.62,88.81,88.24,88.49,2796345
VNQ,2024-12-16,88.44,89.18,88.11,88.18,3645006
VNQ,2024-12-17,87.83,88.48,87.53,87.76,3020525
VNQ,2024-12-18,87.53,87.95,84.12,84.14,5409800
VNQ,2024-12-19,84.36,85.0,82.77,82.83,5404413
VNQ,2024-12-20,82.83,85.18,82.83,84.23,7622510
VNQ,2024-12-23,83.95,84.66,83.63,84.56,4548927
VNQ,2024-12-24,84.3,85.22,84.26,85.12,2182639
VNQ,2024-12-26,84.89,85.44,84.47,85.35,2577456
VNQ,2024-12-27,84.84,85.46,84.25,84.49,3816756
VNQ,2024-12-30,84.17,84.31,83.24,84.07,4402433
VNQ,2024-12-31,84.7,85.0,84.04,84.8,5045102
VNQ,2025-01-02,84.81,84.98,83.78,84.05,5296210
VNQ,2025-01-03,84.26,85.25,83.99,85.16,3470005
VNQ,2025-01-06,85.04,85.41,83.93,84.06,4206849
VNQ,2025-01-07,84.42,84.72,83.04,83.26,5679386
VNQ,2025-01-08,83.25,83.55,82.45,83.48,5250673
VNQ,2025-01-10,82.16,82.36,81.37,81.44,10056566
VNQ,2025-01-13,81.37,82.52,81.18,82.44,3740423
VNQ,2025-01-14,82.8,83.38,82.59,83.2,3829918
VNQ,2025-01-15,85.48,85.55,83.62,83.67,3886792
VNQ,2025-01-16,83.86,85.49,83.59,85.4,4112800
VNQ,2025-01-17,85.65,85.93,85.35,85.35,3672448
VNQ,2025-01-21,85.78,87.01,85.7,86.95,3635099
VNQ,2025-01-22,86.69,86.69,85.37,85.43,2966307
VNQ,2025-01-23,85.57,86.08,84.77,86.06,2706900
VNQ,2025-01-24,85.76,86.91,85.72,86.36,3267442
VNQ,2025-01-27,86.35,87.54,86.24,87.51,4107784
VNQ,2025-01-28,87.25,87.25,86.24,86.45,2373807
VNQ,2025-01-29,86.48,86.71,84.9,85.31,2820294
VNQ,2025-01-30,86.32,87.12,85.7,86.39,3485111
VNQ,2025-01-31,86.16,87.04,85.96,86.2,2566459
VNQ,2025-02-03,85.44,86.35,84.65,86.02,5187715
VNQ,2025-02-04,85.5,86.29,85.2,86.09,3371536
VNQ,2025-02-05,86.9,87.49,86.13,87.3,3310438
VNQ,2025-02-06,87.79,87.79,86.96,87.52,3468697
VNQ,2025-02-07,87.68,87.73,86.73,87.23,2516260
VNQ,2025-02-10,87.38,87.43,86.53,87.19,2195458
VNQ,2025-02-11,86.8,87.61,86.71,87.57,2260086
VNQ,2025-02-12,85.83,87.05,85.69,86.77,4747200
