symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
VNT,2024-08-27,34.45,34.95,34.21,34.81,703500
VNT,2024-08-28,34.82,35.08,34.48,34.5,592500
VNT,2024-08-29,34.77,35.24,34.58,34.62,646915
VNT,2024-08-30,34.68,35.02,34.58,34.88,1885200
VNT,2024-09-03,34.52,34.65,33.28,33.64,1384741
VNT,2024-09-04,33.49,33.6,33.08,33.26,1319639
VNT,2024-09-05,33.29,33.51,32.94,32.99,937940
VNT,2024-09-06,32.97,33.24,32.39,32.44,552300
VNT,2024-09-09,32.54,32.63,32.15,32.18,800644
VNT,2024-09-10,32.17,32.34,31.88,32.15,625800
VNT,2024-09-11,32.05,32.05,31.11,31.84,1266400
VNT,2024-09-12,31.99,32.47,31.69,32.3,1366833
VNT,2024-09-13,32.4,33.1,32.38,33.02,947925
VNT,2024-09-16,33.01,33.48,32.98,33.33,641345
VNT,2024-09-17,33.61,33.73,33.18,33.34,509103
VNT,2024-09-18,33.45,33.76,32.98,33.09,664141
VNT,2024-09-19,33.88,34.06,33.42,33.89,537637
VNT,2024-09-20,33.61,33.69,33.09,33.12,3044100
VNT,2024-09-23,33.38,33.52,33.08,33.26,1021300
VNT,2024-09-24,33.39,33.48,33.12,33.15,879519
VNT,2024-09-25,33.3,33.3,32.61,32.76,1149500
VNT,2024-09-26,33.31,33.46,32.96,33.34,1236300
VNT,2024-09-27,33.46,34.18,33.28,33.76,1011100
VNT,2024-09-30,33.68,33.85,33.33,33.62,815300
VNT,2024-10-01,33.43,33.56,32.96,33.39,615800
VNT,2024-10-02,33.33,33.76,33.1,33.24,549724
VNT,2024-10-03,33.01,33.29,32.9,32.92,796600
VNT,2024-10-04,33.32,33.59,33.15,33.57,663809
VNT,2024-10-07,33.34,33.65,33.05,33.4,635900
VNT,2024-10-08,33.38,33.52,33.01,33.08,496300
VNT,2024-10-09,33.24,33.73,33.13,33.41,465236
VNT,2024-10-10,33.11,33.78,32.79,33.76,955914
VNT,2024-10-11,33.72,34.73,33.72,34.39,826100
VNT,2024-10-14,34.42,34.47,34.14,34.23,529123
VNT,2024-10-15,34.03,34.73,33.99,34.22,751500
VNT,2024-10-16,34.44,34.73,34.19,34.34,443400
VNT,2024-10-17,34.46,35.2,34.37,35.19,701800
VNT,2024-10-18,35.29,35.29,34.83,35.18,570818
VNT,2024-10-21,35.07,35.26,34.89,35.09,471300
VNT,2024-10-22,34.92,35.06,34.6,34.62,490932
VNT,2024-10-23,34.15,34.52,33.81,34.11,498500
VNT,2024-10-24,34.2,34.28,33.98,34.21,719114
VNT,2024-10-25,34.49,34.69,33.87,33.91,542315
VNT,2024-10-28,34.1,34.61,34.08,34.37,970255
VNT,2024-10-29,34.25,34.41,33.68,33.81,1488225
VNT,2024-10-30,33.56,34.3,33.48,33.96,951210
VNT,2024-10-31,36.16,37.35,36.1,36.95,1674800
VNT,2024-11-01,36.65,37.25,36.41,36.83,1215603
VNT,2024-11-04,36.86,37.43,36.62,36.95,736700
VNT,2024-11-05,36.94,37.95,36.41,37.88,1094543
VNT,2024-11-06,39.86,40.11,38.96,39.88,1211601
VNT,2024-11-07,39.93,40.57,39.56,40.31,1017400
VNT,2024-11-08,40.21,40.85,39.67,39.91,1163340
VNT,2024-11-11,40.11,40.66,40.0,40.21,732223
VNT,2024-11-12,40.08,40.19,39.37,39.38,1088219
VNT,2024-11-13,39.38,39.63,38.93,38.98,1161819
VNT,2024-11-14,38.9,39.05,38.62,38.8,882276
VNT,2024-11-15,38.87,38.97,37.91,37.95,707300
VNT,2024-11-18,37.96,38.19,37.47,37.49,755023
VNT,2024-11-19,36.99,37.35,36.58,36.96,1072622
VNT,2024-11-20,36.95,37.4,36.66,37.26,964416
VNT,2024-11-21,37.63,38.37,37.23,38.21,953100
VNT,2024-11-22,38.3,38.84,37.93,38.73,1137700
VNT,2024-11-25,39.16,39.52,38.87,38.91,1337700
VNT,2024-11-26,38.8,39.02,38.53,38.84,833217
VNT,2024-11-27,38.91,39.28,38.6,39.07,624013
VNT,2024-11-29,39.19,39.53,39.09,39.15,675918
VNT,2024-12-02,39.27,39.48,38.99,39.2,807100
VNT,2024-12-03,39.03,39.13,38.59,38.82,591748
VNT,2024-12-04,38.88,39.09,38.51,38.97,496941
VNT,2024-12-05,39.03,39.07,38.29,38.4,443116
VNT,2024-12-06,38.68,38.68,38.2,38.53,731303
VNT,2024-12-09,38.63,38.99,38.45,38.78,534136
VNT,2024-12-10,39.6,39.76,38.58,39.04,1100800
VNT,2024-12-11,39.33,39.33,38.82,39.05,823148
VNT,2024-12-12,39.83,40.3,39.54,39.8,1144647
VNT,2024-12-13,39.66,39.67,38.9,39.49,763800
VNT,2024-12-16,39.38,39.75,38.97,39.32,794647
VNT,2024-12-17,39.14,39.29,38.01,38.07,1320200
VNT,2024-12-18,38.31,38.35,36.63,36.84,868100
VNT,2024-12-19,37.07,37.25,36.24,36.28,1005037
VNT,2024-12-20,36.08,36.8,35.69,36.43,4081822
VNT,2024-12-23,36.16,36.82,36.16,36.71,584503
VNT,2024-12-24,36.73,37.02,36.52,37.0,182333
VNT,2024-12-26,36.85,37.31,36.85,37.24,395100
VNT,2024-12-27,36.98,37.29,36.31,36.51,309723
VNT,2024-12-30,36.21,36.37,35.8,36.12,410533
VNT,2024-12-31,36.19,36.53,36.1,36.37,539000
VNT,2025-01-02,36.54,36.85,35.88,35.96,514000
VNT,2025-01-03,36.04,36.65,35.94,36.61,508900
VNT,2025-01-06,36.73,37.38,36.71,36.78,711100
VNT,2025-01-07,36.88,37.28,36.14,36.53,818500
VNT,2025-01-08,36.1,36.15,35.71,36.02,577116
VNT,2025-01-10,35.65,36.13,35.56,35.87,732700
VNT,2025-01-13,35.43,35.9,35.36,35.66,609010
