symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
VSH,2024-08-27,19.49,19.51,19.22,19.37,1079800
VSH,2024-08-28,19.27,19.43,18.96,18.97,1348002
VSH,2024-08-29,19.15,19.75,19.1,19.32,1400907
VSH,2024-08-30,19.53,19.57,19.16,19.32,1566527
VSH,2024-09-03,19.0,19.05,18.15,18.15,1860467
VSH,2024-09-04,18.0,18.4,17.94,18.31,1307400
VSH,2024-09-05,18.26,18.4,17.88,18.1,1628600
VSH,2024-09-06,18.05,18.09,17.68,17.7,1615041
VSH,2024-09-09,17.67,17.68,17.02,17.14,2589200
VSH,2024-09-10,17.09,17.27,16.87,17.14,2355900
VSH,2024-09-11,17.12,17.4,16.79,17.37,1528016
VSH,2024-09-12,17.37,17.5,16.93,17.36,1717359
VSH,2024-09-13,17.61,17.79,17.49,17.76,1047314
VSH,2024-09-16,17.72,17.81,17.37,17.66,1078900
VSH,2024-09-17,17.86,18.08,17.65,17.78,914808
VSH,2024-09-18,17.83,18.31,17.62,17.69,1165142
VSH,2024-09-19,18.25,18.28,17.83,18.09,1306300
VSH,2024-09-20,17.93,18.04,17.67,17.8,5471543
VSH,2024-09-23,17.87,18.0,17.72,17.81,961200
VSH,2024-09-24,17.95,18.12,17.61,17.85,1291094
VSH,2024-09-25,17.87,17.87,17.22,17.24,1481800
VSH,2024-09-26,17.71,18.08,17.6,17.83,2737700
VSH,2024-09-27,18.13,18.42,17.98,18.38,1669004
VSH,2024-09-30,18.19,18.33,18.03,18.23,1547810
VSH,2024-10-01,18.18,18.19,17.63,17.7,1103127
VSH,2024-10-02,17.65,17.85,17.48,17.56,684600
VSH,2024-10-03,17.38,17.53,16.99,17.12,774816
VSH,2024-10-04,17.46,17.48,17.18,17.35,591759
VSH,2024-10-07,17.2,17.26,17.04,17.17,1093243
VSH,2024-10-08,17.15,17.16,16.85,17.1,614400
VSH,2024-10-09,17.13,17.39,17.04,17.26,710600
VSH,2024-10-10,17.08,17.14,16.86,17.11,625966
VSH,2024-10-11,17.09,17.55,17.01,17.55,769238
VSH,2024-10-14,17.56,17.81,17.39,17.73,704400
VSH,2024-10-15,17.76,18.01,17.44,17.46,729605
VSH,2024-10-16,17.72,17.77,17.55,17.64,598800
VSH,2024-10-17,17.72,17.8,17.46,17.78,695105
VSH,2024-10-18,17.94,18.01,17.56,17.58,890600
VSH,2024-10-21,17.52,17.58,17.02,17.2,652900
VSH,2024-10-22,17.17,17.17,16.93,17.04,890227
VSH,2024-10-23,17.04,17.21,16.82,16.94,1733200
VSH,2024-10-24,17.01,17.14,16.93,17.12,798900
VSH,2024-10-25,17.22,17.41,17.11,17.13,1050200
VSH,2024-10-28,17.22,17.44,17.11,17.27,968536
VSH,2024-10-29,17.14,17.42,17.14,17.37,1060240
VSH,2024-10-30,17.22,17.52,16.81,16.83,941900
VSH,2024-10-31,16.78,16.78,16.33,16.35,1833724
VSH,2024-11-01,16.44,16.68,16.27,16.34,1687933
VSH,2024-11-04,16.3,16.52,16.05,16.41,1315200
VSH,2024-11-05,16.26,16.51,16.17,16.43,1514574
VSH,2024-11-06,17.21,17.83,17.02,17.53,2447932
VSH,2024-11-07,17.54,17.87,17.22,17.24,1217840
VSH,2024-11-08,17.0,17.29,16.84,17.24,1221991
VSH,2024-11-11,17.35,17.37,16.66,16.73,1196281
VSH,2024-11-12,16.56,16.65,16.05,16.07,1818543
VSH,2024-11-13,16.16,16.21,15.71,15.74,1396038
VSH,2024-11-14,15.74,15.9,15.4,15.46,1606901
VSH,2024-11-15,15.47,15.5,14.76,14.81,2045953
VSH,2024-11-18,14.8,14.84,14.56,14.67,2159600
VSH,2024-11-19,14.5,14.7,14.41,14.68,1783200
VSH,2024-11-20,14.59,14.83,14.46,14.62,1371339
VSH,2024-11-21,14.68,15.04,14.58,14.94,1551200
VSH,2024-11-22,14.94,15.41,14.91,15.4,1597849
VSH,2024-11-25,15.66,16.63,15.66,16.51,3269068
VSH,2024-11-26,16.45,17.93,16.29,17.53,7992016
VSH,2024-11-27,18.09,19.43,17.77,18.28,7172800
VSH,2024-11-29,18.54,18.98,18.23,18.41,1982445
VSH,2024-12-02,18.4,18.92,18.28,18.71,3090422
VSH,2024-12-03,18.74,18.96,17.87,17.91,2438406
VSH,2024-12-04,18.16,18.91,18.09,18.31,2334003
VSH,2024-12-05,18.45,18.7,17.6,17.69,1618242
VSH,2024-12-06,17.76,17.82,17.31,17.61,1982800
VSH,2024-12-09,17.92,18.26,17.55,17.58,2505475
VSH,2024-12-10,17.52,17.71,17.21,17.3,1720134
VSH,2024-12-11,17.44,18.07,17.34,17.47,2035600
VSH,2024-12-12,17.28,17.41,16.64,17.05,2161133
VSH,2024-12-13,17.05,17.45,16.67,17.25,2005513
VSH,2024-12-16,17.09,18.07,17.09,17.19,2723536
VSH,2024-12-17,17.18,17.52,16.83,16.96,1263617
VSH,2024-12-18,17.16,17.67,16.65,16.84,2759482
VSH,2024-12-19,17.01,17.2,16.35,16.48,2713000
VSH,2024-12-20,16.37,16.89,16.28,16.64,22842700
VSH,2024-12-23,16.53,16.78,16.29,16.69,2015836
VSH,2024-12-24,16.67,16.99,16.48,16.99,502713
VSH,2024-12-26,16.89,17.31,16.79,17.21,1249700
VSH,2024-12-27,17.09,17.25,16.74,16.93,1214600
VSH,2024-12-30,16.71,16.76,16.22,16.31,1104645
VSH,2024-12-31,16.55,16.73,16.33,16.41,1156800
VSH,2025-01-02,16.57,16.79,16.01,16.17,980000
VSH,2025-01-03,16.25,16.67,16.14,16.62,1720000
VSH,2025-01-06,16.9,17.22,16.58,16.65,1470200
VSH,2025-01-07,16.85,17.05,16.62,16.66,1202931
VSH,2025-01-08,16.43,16.43,15.94,16.12,1036900
VSH,2025-01-10,15.76,15.91,15.41,15.85,1468943
VSH,2025-01-13,15.64,15.9,15.5,15.75,1369600
VSH,2025-01-14,15.98,16.16,15.38,15.58,1780200
VSH,2025-01-15,15.97,16.37,15.83,15.95,2118005
VSH,2025-01-16,16.1,16.37,15.86,15.99,1233618
VSH,2025-01-17,16.21,16.31,15.83,15.98,1282706
VSH,2025-01-21,16.1,16.91,16.09,16.76,1982303
VSH,2025-01-22,16.81,17.08,16.52,16.66,1319000
VSH,2025-01-23,16.38,16.75,16.23,16.61,1494773
VSH,2025-01-24,16.54,16.66,16.21,16.33,1878035
VSH,2025-01-27,16.15,16.38,15.77,15.78,1955600
VSH,2025-01-28,15.85,15.96,15.54,15.74,1319610
VSH,2025-01-29,15.77,16.01,15.6,15.91,1402611
VSH,2025-01-30,16.09,16.25,16.0,16.13,1568409
VSH,2025-01-31,16.03,16.54,15.87,16.4,2248400
