symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
VST,2024-08-27,83.22,85.02,82.51,83.68,2951000
VST,2024-08-28,83.66,83.99,81.34,81.61,3549000
VST,2024-08-29,82.31,85.3,82.31,83.76,4849200
VST,2024-08-30,84.15,85.22,83.31,84.51,3947100
VST,2024-09-03,84.08,84.12,74.86,74.92,9487900
VST,2024-09-04,74.68,77.6,74.22,75.85,5282700
VST,2024-09-05,75.78,76.38,74.68,75.01,4306900
VST,2024-09-06,74.91,75.61,72.36,72.91,5161500
VST,2024-09-09,74.19,74.67,72.11,74.14,4121900
VST,2024-09-10,74.6,75.99,73.7,75.26,3392700
VST,2024-09-11,76.13,79.43,74.4,79.2,4994300
VST,2024-09-12,79.23,80.97,78.18,79.6,3860600
VST,2024-09-13,81.63,85.04,80.25,84.63,6323100
VST,2024-09-16,84.09,89.1,84.01,88.44,6947200
VST,2024-09-17,89.35,91.42,87.93,90.17,5981600
VST,2024-09-18,90.84,92.93,89.76,90.21,5958100
VST,2024-09-19,93.31,94.22,89.29,91.74,7887700
VST,2024-09-20,98.89,107.35,97.03,106.97,23358400
VST,2024-09-23,109.42,113.59,106.14,110.69,15615000
VST,2024-09-24,110.94,114.59,110.24,111.45,9722700
VST,2024-09-25,113.21,119.59,112.74,118.07,15868400
VST,2024-09-26,118.99,120.98,112.66,113.2,12987400
VST,2024-09-27,114.28,118.69,113.36,116.73,7133500
VST,2024-09-30,116.89,119.27,113.87,117.54,7519100
VST,2024-10-01,117.0,121.6,114.05,121.51,7126700
VST,2024-10-02,119.03,126.49,118.68,124.31,8792700
VST,2024-10-03,127.31,134.16,124.94,131.33,14026800
VST,2024-10-04,133.2,138.2,131.68,137.24,12377600
VST,2024-10-07,138.68,142.65,127.27,130.16,15672300
VST,2024-10-08,129.89,130.14,126.65,126.88,9002400
VST,2024-10-09,125.34,125.43,119.75,123.13,9781200
VST,2024-10-10,122.95,125.97,121.93,123.06,5842500
VST,2024-10-11,116.51,124.25,113.53,124.23,10896200
VST,2024-10-14,126.69,132.61,126.21,131.14,12001900
VST,2024-10-15,130.9,131.66,125.45,127.21,6937800
VST,2024-10-16,129.63,134.93,127.36,134.54,7574200
VST,2024-10-17,138.3,138.3,125.91,126.19,11724100
VST,2024-10-18,126.22,131.14,124.31,130.05,6257300
VST,2024-10-21,130.47,132.3,126.73,129.28,4314800
VST,2024-10-22,126.91,127.79,123.64,123.98,5758000
VST,2024-10-23,122.95,127.61,122.07,125.04,4554600
VST,2024-10-24,124.85,126.04,122.26,124.52,3317400
VST,2024-10-25,126.27,127.26,122.06,122.98,3792500
VST,2024-10-28,124.15,127.53,122.92,126.7,5213300
VST,2024-10-29,124.52,126.78,123.29,125.59,4738600
VST,2024-10-30,125.98,127.37,120.47,123.06,4166500
VST,2024-10-31,123.26,124.66,121.38,123.9,4073500
VST,2024-11-01,123.55,125.27,118.08,118.5,5979600
VST,2024-11-04,116.69,117.79,110.56,114.76,10742700
VST,2024-11-05,115.33,121.24,114.91,120.87,6438800
VST,2024-11-06,124.11,125.92,120.04,125.02,7411300
VST,2024-11-07,136.94,142.57,128.92,134.58,14877300
VST,2024-11-08,134.1,143.55,134.1,140.7,9826100
VST,2024-11-11,145.05,148.54,140.75,144.57,7850400
VST,2024-11-12,142.71,144.75,136.08,140.96,5314700
VST,2024-11-13,144.2,146.35,140.12,140.92,3863200
VST,2024-11-14,141.03,142.2,137.0,137.29,3230200
VST,2024-11-15,136.44,141.4,135.87,140.95,3562100
VST,2024-11-18,141.51,151.35,141.51,145.39,5744000
VST,2024-11-19,142.92,153.64,141.92,153.55,6372400
VST,2024-11-20,154.45,156.38,149.98,153.32,4446700
VST,2024-11-21,156.41,166.18,155.53,165.2,7868500
VST,2024-11-22,167.24,167.24,156.78,160.55,6993300
VST,2024-11-25,164.6,164.98,151.42,152.84,7673800
VST,2024-11-26,153.08,162.76,152.32,161.29,5331100
VST,2024-11-27,160.31,161.77,152.1,153.21,4819900
VST,2024-11-29,157.15,159.54,155.41,158.49,2475800
VST,2024-12-02,160.24,161.95,152.24,152.81,4843800
VST,2024-12-03,154.33,157.54,152.6,152.86,3898800
VST,2024-12-04,157.6,162.87,155.69,159.95,5327200
VST,2024-12-05,159.64,163.47,158.23,159.52,3554200
VST,2024-12-06,159.74,162.11,155.96,158.63,3220400
VST,2024-12-09,158.82,159.36,144.92,147.06,6844200
VST,2024-12-10,144.64,146.55,138.12,140.32,7109700
VST,2024-12-11,144.71,147.16,142.23,144.77,6209300
VST,2024-12-12,145.19,147.72,143.37,143.85,3703000
VST,2024-12-13,145.12,148.09,142.38,143.67,4016400
VST,2024-12-16,143.49,145.97,142.07,144.1,4801300
VST,2024-12-17,141.67,142.16,134.95,138.59,5475200
VST,2024-12-18,140.06,140.06,130.53,131.77,5690600
VST,2024-12-19,133.47,138.55,132.19,136.04,7554400
VST,2024-12-20,131.54,140.66,131.09,138.99,8735100
VST,2024-12-23,139.05,140.41,134.7,139.83,2871400
VST,2024-12-24,141.06,143.17,140.06,142.38,1642700
VST,2024-12-26,141.92,143.88,140.48,143.12,1928000
VST,2024-12-27,142.02,142.02,135.8,138.72,3214700
VST,2024-12-30,135.12,140.21,133.94,139.13,4930600
VST,2024-12-31,138.96,139.48,136.09,136.93,2761600
VST,2025-01-02,138.67,148.86,137.31,148.63,6169600
VST,2025-01-03,153.3,161.55,150.62,161.25,8762600
VST,2025-01-06,164.03,164.87,158.41,162.83,7406900
VST,2025-01-07,163.48,164.08,154.73,162.25,5258700
VST,2025-01-08,161.86,161.89,151.57,159.71,7198700
VST,2025-01-10,160.4,168.03,153.34,165.59,9743400
VST,2025-01-13,160.6,163.61,155.24,161.02,6289200
VST,2025-01-14,165.54,173.8,164.55,169.34,7486300
VST,2025-01-15,173.8,176.86,165.94,168.01,7817300
VST,2025-01-16,169.76,177.18,168.84,172.81,5772000
VST,2025-01-17,167.87,172.09,165.36,169.69,8263500
VST,2025-01-21,178.07,187.48,173.65,184.08,10678200
VST,2025-01-22,191.67,193.34,182.04,185.58,9003500
VST,2025-01-23,187.71,198.48,186.94,190.58,10217800
VST,2025-01-24,192.69,193.11,187.81,189.8,5265600
VST,2025-01-27,153.03,155.85,131.68,136.14,32356900
VST,2025-01-28,141.2,148.87,133.99,148.61,20931000
VST,2025-01-29,146.24,158.91,145.63,154.15,14323400
VST,2025-01-30,157.93,175.28,155.92,175.09,18034800
VST,2025-01-31,173.8,175.21,166.0,166.88,12159400
VST,2025-02-03,156.43,170.33,155.21,167.38,9849800
VST,2025-02-04,167.37,169.6,161.86,167.18,5652700
VST,2025-02-05,171.19,175.15,167.51,170.43,7017700
VST,2025-02-06,170.44,173.76,166.14,168.72,5943800
VST,2025-02-07,169.71,173.77,164.0,165.76,6438600
VST,2025-02-10,167.85,171.52,164.4,167.24,5726400
VST,2025-02-11,165.37,169.23,163.2,166.46,4000000
VST,2025-02-12,162.31,169.81,159.97,165.47,5265400
VST,2025-02-13,166.99,168.18,160.15,164.52,7820700
VST,2025-02-14,164.47,169.28,160.39,166.51,5713300
