symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
VTRS,2024-08-27,10.96,10.99,10.85,10.92,4466437
VTRS,2024-08-28,10.91,11.15,10.89,11.12,6583624
VTRS,2024-08-29,11.13,11.18,11.01,11.11,4033826
VTRS,2024-08-30,11.15,11.31,11.15,11.29,6717166
VTRS,2024-09-03,11.11,11.2,11.06,11.11,5801900
VTRS,2024-09-04,11.12,11.13,10.95,11.01,6281542
VTRS,2024-09-05,11.06,11.11,10.87,10.9,5034232
VTRS,2024-09-06,10.92,11.01,10.43,10.53,9593640
VTRS,2024-09-09,10.54,10.73,10.37,10.4,9489200
VTRS,2024-09-10,10.4,10.46,10.14,10.44,10988147
VTRS,2024-09-11,10.38,10.67,10.27,10.6,9510900
VTRS,2024-09-12,10.63,11.0,10.62,10.98,8430812
VTRS,2024-09-13,10.99,11.14,10.85,10.89,4802900
VTRS,2024-09-16,10.96,11.04,10.8,11.03,6201870
VTRS,2024-09-17,11.0,11.05,10.9,11.04,7437684
VTRS,2024-09-18,11.03,11.23,10.92,11.12,6424746
VTRS,2024-09-19,11.21,11.33,11.06,11.12,7905900
VTRS,2024-09-20,10.96,10.99,10.48,10.64,48176100
VTRS,2024-09-23,10.69,10.89,10.67,10.72,11824614
VTRS,2024-09-24,10.77,10.84,10.67,10.7,10061502
VTRS,2024-09-25,10.74,10.79,10.47,10.53,19555100
VTRS,2024-09-26,10.56,10.89,10.46,10.86,10515818
VTRS,2024-09-27,10.87,10.91,10.74,10.79,6370700
VTRS,2024-09-30,10.81,10.89,10.74,10.85,6335541
VTRS,2024-10-01,10.86,10.9,10.67,10.74,6820824
VTRS,2024-10-02,10.73,10.77,10.59,10.72,6955840
VTRS,2024-10-03,10.64,10.7,10.54,10.68,7017100
VTRS,2024-10-04,10.75,10.89,10.73,10.83,4015407
VTRS,2024-10-07,10.84,10.89,10.59,10.59,4618300
VTRS,2024-10-08,10.59,10.68,10.51,10.58,4411900
VTRS,2024-10-09,10.61,10.72,10.55,10.66,4210225
VTRS,2024-10-10,10.67,10.71,10.52,10.59,4838821
VTRS,2024-10-11,10.62,10.7,10.57,10.63,4219439
VTRS,2024-10-14,10.62,10.66,10.54,10.64,5050592
VTRS,2024-10-15,10.64,11.14,10.61,11.06,6745519
VTRS,2024-10-16,11.07,11.11,10.96,11.04,4354900
VTRS,2024-10-17,11.04,11.05,10.89,10.94,4003830
VTRS,2024-10-18,10.85,11.0,10.76,10.99,4684285
VTRS,2024-10-21,10.99,11.03,10.81,10.81,3713524
VTRS,2024-10-22,10.78,10.94,10.76,10.9,4077400
VTRS,2024-10-23,10.86,10.95,10.73,10.79,3470463
VTRS,2024-10-24,10.8,10.88,10.68,10.73,4068300
